"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","other_share_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",26.7306349206349,"Up",3111314000,-2111558000,999756000,-709033000,-709033000,290723000,-72157000,-72018000,218566000,218566000,-82570000,135996000,135996000,135996000,135996000,-14860259785.0072,-14860259785.0072,5977382376.51765,784760822.01274,-302366289.056683,-8098116586.47677,1407443263.65327,5565916769.50292,4338589000,1270634031.31271,-43306261.8097945,6973360033.15619,-1124756553.32058,4201327941.9118,6335410993.26603,-922726858.007216,-1211356193.34701,4198230374.2462,-8801441932.97948,376498823.634925,684849104.010157,-308350280.375232,-8424943109.34456,-4226712735.09835,3199749260.72354,2910577287.40511,289171973.318424,-77763461.6746557,-20029617.2711159,3101956181.77776,3101956181.77776,-1124756553.32058,135996000,63252000,11835000,4979000,10029000,-3173000,-119871000,-85176000,-36954000,2259000,91212000,-90740000,258000,258000,-90998000,-90998000,-90740000,-463000,-463000,-463000,-4182000,4806000,161000,633000,633000,633000,353975000,0,225934000,0.32133,0.09344,0.04371,0.266479698949236,0.123935478880705,1.66133,-8.7227982209686,-0.57866232154692,-0.561661773724009,0.39903,0.39488,9.12893,9.44502071727153,0.66291,0.153943220563648,0.101489117691705,-32.4870162885234,-50.0747905639892
"2","2010_Q3",26.40640625,"Down",3214155000,-2178176000,1035979000,-735222000,-735222000,300757000,-75824000,-69330000,224933000,224933000,-83738000,141195000,141195000,141195000,141195000,-6144542392.50358,-6144542392.50358,3574626688.25883,362611911.00637,-99453644.5283414,-2207303793.23838,1458035631.82664,5622622884.75146,4338589000,1266953515.65635,17080369.0951028,7080658516.57809,4873354723.33971,2544022470.9559,3265677496.63302,-382139929.003608,-339515096.673506,2558558187.1231,-1861391466.48974,642749911.817463,632829052.005079,9920859.8123841,-1218641554.67228,1339916632.45083,3223221630.36177,2928537643.70256,294683986.659212,334148769.162672,-23932308.6355579,3533438090.88888,3533438090.88888,4873354723.33971,141195000,62904000,-863000,3387000,-14889000,10639000,-15142000,-134413000,150930000,-31659000,188094000,-71774000,286000,286000,-72060000,-72060000,-71774000,-57674000,-57674000,-57674000,-514999.999999999,581000,-57608000,58712000,58712000,58712000,363661000,-2.38418579101562e-07,360483000,0.32232,0.09357,0.04393,0.163659849474618,0.0739577394403527,2.55309,-2.7869591104843,0.56786383922654,-0.0367508868620043,0.41406,0.40956,9.42565,10.5117403586358,1.05713,0.090306610281824,0.104949558845852,-11.4160131442617,-18.8396502819946
"3","2010_Q4",27.75140625,"Up",3223427000,-2212759000,1010668000,-736334000,-736334000,274334000,-75457000,-67235000,198877000,198877000,-70757000,128120000,128120000,128120000,128120000,-1388431464.16786,-1388431464.16786,2269289229.41961,158026303.66879,31170451.8238862,1038884068.92054,1493400543.94221,5649081961.58382,4338589000,1262263171.88545,48229789.6983676,7142482505.52603,8181366574.44657,1656310156.9853,1601358832.21101,-89021643.0012027,143972967.775498,1685044062.37437,1873593177.83675,784386637.272488,605776017.335026,178610619.937461,2657979815.10924,4343023877.48361,3236859876.78726,2939193881.23419,297665995.553071,625030923.054224,-23548102.8785193,3838342696.96296,3838342696.96296,8181366574.44657,128120000,63583000,48351000,3254000,36480000,8617000,-115564000,-147314000,32957000,-1207000,124490000,-95861000,324000,324000,-96185000,-96185000,-95861000,-72517000,-72517000,-72517000,-653000,1026000,-72144000,-43515000,-43515000,-43515000,337917000,0,197249000,0.31354,0.08511,0.03975,0.0950866164915393,0.0414959131467842,1.53956,0.450773629838568,1.16096461307551,0.242753037712665,0.37565,0.37164,9.45115,11.2939567862119,0.57834,0.0495388700939413,0.0898698529486175,0.593755618579437,-1.0357300939982
"4","2011_Q1",26.8712903225806,"Down",3486104000,-2355951000,1130153000,-721902000,-721902000,408251000,-65655000,-65409000,342596000,342596000,-120050000,222546000,222546000,222546000,222546000,497446000,497446000,1765433000,104946000,104946000,2367825000,1524575000,5653822000,4338589000,1256922000,58311000,7178397000,9546222000,1327362000,953641000,25980000,347741000,1365373000,3287070000,839300000,598565000,240735000,4126370000,5491743000,3243843000,2945024000,298819000,830932000,-20296000,4054479000,4054479000,9546222000,222546000,65188000,21838000,4336000,19365000,-1863000,111316000,115094000,-23509000,19731000,420888000,-160572000,580000,580000,-161152000,-161152000,-160572000,-526000,-526000,-526000,5350000,-5600000,-776000,259540000,259540000,259540000,473439000,3288227000,544233000,0.32419,0.11711,0.06384,0.05489,0.02331,2.44549,1.7342,1.35449,0.34445,0.65204,0.64447,10.21401,11.87931,1.59456,0.0272,0.06652,5.8947,6.83594
"5","2011_Q2",30.3601587301587,"Up",3451697000,-2364300000,1087397000,-765779000,-765779000,321618000,-67844000,-65572000,253774000,253774000,-96805000,156969000,156969000,156969000,156969000,602463000,602463000,1767121000,137313000,137313000,2506897000,1562596000,5645371000,4338589000,1251289000,55493000,7207967000,9714864000,1346349000,933710000,32217000,380422000,1387230000,3262597000,845381000,606071000,239310000,4107978000,5495208000,3247350000,2948506000,298844000,987901000,-15595000,4219656000,4219656000,9714864000,156969000,67486000,17219000,3519000,7393000,6307000,-18102000,-5275000,-25922000,13095000,223572000,-91591000,367000,367000,-91958000,-91958000,-91591000,-27151000,-27151000,-27151000,28095428.6651021,187000,-26964000,105017000,105017000,105017000,389104000,3263636000,376216000,0.31503,0.09318,0.04548,0.0372,0.01616,2.39675,1.80712,1.30229,0.33594,0.45962,0.45446,10.10681,12.35544,1.10159,0.01885,0.04517,6.83923,8.27433
"6","2011_Q3",31.461875,"Up",3575194000,-2426852000,1148342000,-798313000,-798313000,350029000,-118866000,-60627000,231163000,231163000,-85121000,146042000,146042000,146042000,146042000,113050000,113050000,1973863000,185868000,142433000,2272781000,1622991000,5633331000,4338589000,1245773000,48969000,7256322000,9529103000,1490382000,1122949000,810000,366623000,1526951000,2779408000,849180000,624034000,225146000,3628588000,5155539000,3250603000,2951761000,298842000,1133943000,-10982000,4373564000,4373564000,9529103000,146042000,68385000,85277000,3279000,10743000,71255000,-124837000,-217394000,192612000,-100055000,174867000,-126059000,106000,106000,-126165000,-126165000,-126059000,-538210000,-512610000,-884210000,33993723.3994123,-11000,-538221000,-489413000,-489413000,-489413000,418414000,2780371000,252639000,0.3212,0.0979,0.04085,0.03339,0.01533,1.72991,1.48844,1.1788,0.29178,0.42761,0.42254,10.46805,12.80565,0.73972,0.01825,0.03157,6.37484,7.62029
"7","2011_Q4",36.7120634920635,"Up",3595224000,-2479422000,1115802000,-804885000,-804885000,310917000,-38685000,-38632000,272232000,272232000,-101068000,171164000,171164000,171164000,171164000,118580000,118580000,2089722000,184553000,135746000,2392855000,1716797000,5626230000,4338589000,1240733000,46908000,7343027000,9735882000,1548632000,1132544000,1111000,414977000,1572221000,2721061000,888588000,647329000,241259000,3609649000,5181870000,3256781000,2957267000,299514000,1305107000,-7876000,4554012000,4554012000,9735882000,171164000,68900000,8308000,4171000,5841000,-1704000,-42312000,-128263000,-2354000,88305000,206060000,-144720000,256000,256000,-144976000,-144976000,-144720000,-58547000,-371947000,-347000,-22416593.5659837,2737000,-55810000,5530000,5530000,5530000,379817000,2721824000,293853000,0.31036,0.08648,0.04761,0.03759,0.01758,1.71679,1.52196,1.13787,0.27957,0.50055,0.49501,10.51373,13.31758,0.85933,0.02096,0.03599,6.85394,8.37279
"8","2012_Q1",39.5908064516129,"Up",4185073000,-2838704000,1346369000,-838129000,-838129000,508240000,-40120000,-40069000,468120000,468120000,-175610000,292510000,292510000,292510000,292510000,126126000,126126000,2009206000,139742000,139742000,2275074000,1794960000,5618486000,4338589000,1235954000,43943000,7413446000,9688520000,1505590000,1064087000,44428000,397075000,1509902000,2617891000,886145000,656996000,229149000,3504036000,5013938000,3262855000,2967027000,295828000,1416918000,-5191000,4674582000,4674582000,9688520000,292510000,70637000,-3931000,4281000,-13745000,5533000,86765000,59440000,-59894000,87219000,445981000,-151465000,297000,297000,-151762000,-151762000,-151465000,-103343000,-243000,-243000,-186597000,2970000,-286970000,7546000,7546000,7546000,578877000,2618481000,689787000,0.32171,0.12144,0.06989,0.06257,0.03019,2.35817,1.50677,1.0726,0.27027,0.86051,0.85113,12.31175,13.7518,2.02923,0.03576,0.08433,4.3055,4.90389
"9","2012_Q2",44.7833333333333,"Up",3901205000,-2672949000,1228256000,-843932000,-843932000,384324000,-38745000,-37074000,345579000,345579000,-132164000,213415000,213415000,213415000,213415000,132530000,132530000,2000864000,140341000,135131000,2273735000,1878172000,5618301000,4338589000,1231866000,47846000,7496473000,9770208000,1396628000,985924000,50355000,360349000,1411253000,2880920000,886603000,649532000,237071000,3767523000,5178776000,3257796000,2967014000,290782000,1336298000,-2662000,4591432000,4591432000,9770208000,213415000,72271000,-10492000,4759000,-1119000,-14132000,-82555000,6499000,-82227000,-6827000,192639000,-145738000,119000,119000,-145857000,-145857000,-145738000,262898000,-202000,-202000,-3e+08,-3395000,-40497000,6404000,6404000,6404000,456595000,2881379000,360466000,0.31484,0.09851,0.0547,0.04648,0.02184,1.68904,1.61115,1.12792,0.29491,0.63501,0.62863,11.60797,13.66172,1.07256,0.02553,0.04312,6.02032,7.15243
"10","2012_Q3",47.8690476190476,"Up",3948655000,-2685432000,1263223000,-876009000,-876009000,387214000,-62223000,-35666000,324991000,324991000,-110851000,214140000,214140000,214140000,214140000,134157000,134157000,2147837000,232450000,142977000,2514444000,1972205000,5616825000,4338589000,1227499000,50737000,7589030000,10103474000,1510793000,1143857000,665000,366271000,1526683000,2887251000,879130000,651521000,227609000,3766381000,5293064000,3265143000,2973160000,291983000,1550438000,-5171000,4810410000,4810410000,10103474000,214140000,73989000,-5411000,5465000,275000,-11151000,-101865000,-146497000,150742000,-106110000,180853000,-157824000,307000,307000,-158131000,-158131000,-157824000,-20543999.9999999,22356000,-477644000,0,-858000,-21402000,1627000,1627000,1627000,461203000,2887595000,312365000,0.31991,0.09806,0.05423,0.04452,0.02119,1.4587,1.647,1.10034,0.2858,0.64306,0.63823,11.85779,14.44563,0.93803,0.02497,0.03642,5.97012,7.11089
