"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2012_Q1",6.37145161290323,"Up",4643000,3891000,4556000,-665000,752000,238000,538000,-23000,-1250000,3393000,-2352000,-2352000,1041000,1041000,605000,-185000,420000,420000,420000,420000,17031000,14224000,295641000,-4455000,300096000,2385000,1234000,9225000,339740000,299997000,269421000,30576000,291000,8506000,1456000,310250000,11969000,18096000,-659000,29406000,84000,29490000,339740000,420000,357000,1250000,20938000,-21009000,1956000,-242000,456000,2137000,2160000,-44423.8208117309,0,151000,-124000,3992000,3992000,3992000,1398000,8797000,-19668000,0.22421,0.09046,0.01424,0.00124,-46.82857,10.52052,0.02589,0.16267,0.16103,1.79824,11.389,-7.61745,0.0171770720878491,0.00124,-0.05789,0.0372351032976945,-5.88984,-7.9097
"2","2012_Q2",6.5631746031746,"Up",5299000,3962000,4563000,-601000,1337000,251000,550000,627000,-1500000,3799000,-2539000,-2539000,1260000,1260000,791000,-245000,546000,546000,546000,546000,17628317.2971552,23461673.0987942,282860038.139792,-4361720.49159073,287221758.631383,2286604.36744684,1211773.00926426,13159987.0627715,340608392.975224,312588776.832732,283247431.713757,29341345.1189752,944270.61940912,-10060353.9622788,-402749.655522851,303069943.83434,19592740.3857572,18365314.4583019,-487571.579778072,37470483.264281,70019.6181231612,37539186.8129901,340609130.64733,546000,305000,1500000,20625000,-20869000,2107000,-15000,1320000,-2735000,-1636000,-14807.940270577,21324016.5151563,7779000,7907000,8378000,8378000,8378000,1565000,0,-19074000,0.23778,0.10304,0.00353128794973501,0.000295315565122213,-34.93407,8.38454652610155,-0.0219083510601133,0.21149,0.20971,2.05258,14.4891444467407,-7.38835,0.00572569069594969,0.00027960344613488,-0.0858253796202734,0.0124117010992315,-17.5315632767798,-23.1964921418294
"3","2012_Q3",7.84031746031746,"Up",4798000,4011000,4598000,-587000,787000,308000,514000,-2000,-1100000,3698000,-2806000,-2806000,892000,892000,869000,-275000,594000,594000,594000,594000,17123517.2971552,29322873.0987942,288451738.139792,-4340020.49159073,292791758.631383,2243104.36744684,1220973.00926426,12714987.0627715,351077192.975224,315285776.832732,284506031.713757,30779745.1189752,905470.61940912,-6820753.96227878,-350549.655522851,309019943.83434,23437940.3857572,18997914.4583019,-447471.579778072,41988383.264281,70719.6181231612,42057786.8129901,351077730.64733,593000,390000,1100000,11458000,-11572000,1969000,-13000,-5438000,-7848000,-13451000,0,21884016.5151563,5953000,5473000,-6009000,-6009000,-6009000,1282000,0,-10028000,0.18591,0.1238,0.00563028794973501,0.000680315565122213,-16.88215,7.45138852610155,-0.0140083510601133,0.22954,0.227,1.85411,16.2276944467407,-3.87516,0,0.00066460344613488,-0.0893143796202734,0,-14.8314662767798,-19.5307501418294
"4","2012_Q4",8.71983870967742,"Up",5152000,3946000,4542000,-596000,1206000,667000,574000,-2999.99999999994,-1075000,4077000,-2920000,-2920000,1157000,1157000,892000,-280000,612000,612000,612000,612000,15655000,32562000,304665000,-4333000,308998000,2237000,1249000,10130000,366498000,313044000,279737000,33307000,542000,8023999.99999997,686999.999999998,322297000,24748000,19848000,-473000,44123000,78000,44201000,366498000,613000,363000,1075000,30400000,-31543000,908000,-108000,-10993000,-4491000,-15626000,0,11538000,-686000,10973000,-3745000,-3745000,-3745000,1520000,8566000,-29851000,0.22457,0.11879,0.01385,0.00167,-48.77614,7.29162,0.0233700000000001,0.23651,0.23289,1.99098,17.05125,-11.53586,0,0.00167,-0.08145,0,-4.66382,-6.12705
"5","2013_Q1",10.394,"Up",5525000,3896000,4472000,-576000,1629000,837000,580000,220000,-850000,4675000,-3192000,-3192000,1483000,1483000,1319000,-431000,888000,888000,888000,888000,12727000,34246000,322496000,-4248000,326744000,2256000,1280000,8039000,381044000,312083000,276849000,35234000,331000,21864000,1628000,335906000,24815000,20736000,-496000,45055000,83000,45138000,381044000,888000,4e+05,850000,30453000,-27366000,5225000,-129000,-2004000,-18903000,-21062000,0,1120000,-960000,12909000,-2928000,-2928000,-2928000,1883000,22195000,-25181000,0.26842,0.16072,0.01967,0.00233,-28.35698,7.44176,0.05825,0.34318,0.33786,2.1352,17.41206,-9.73151,0,0.00233,-0.06608,0,5.02815,6.38436
"6","2013_Q2",11.149375,"Up",5433000,4067000,4636000,-569000,1366000,447000,598000,340000,-250000,5183000,-3341000,-3341000,1842000,1842000,1167000,-370000,797000,797000,797000,797000,8795000,34973000,334820000,-4046000,338866000,2280000,1303000,8485000,390656000,316727000,281698000,35029000,585000,25703000,1625000,344640000,24858000,21533000,-452000,45939000,78000,46017000,390657000,797000,371000,250000,25783000,-26249000,952000,-133000,-92000,-13363000,-13621000,3.63797880709171e-12,0,4644000,8737000,-3932000,-3932000,-3932000,2213000,26288000,-23799000,0.33904,0.1467,0.01732,0.00204,-29.86073,7.48941,0.06729,0.30801,0.30131,2.09967,17.7539,-9.19752,-1.73472347597681e-18,0.00204,-0.06092,0,7.90465,9.49674
"7","2013_Q3",12.5559375,"Up",5700000,4342000,4886000,-544000,1358000,309000,552000,508000,-450000,5250000,-3405000,-3405000,1845000,1845000,1682000,-540000,1142000,1142000,1142000,1142000,11760000,32272000,354530000,-4129000,358659000,2233000,1333000,7437000,409565000,319514000,285544000,33970000,277000,40542000,2065000,362398000,24899000,22546000,-350000,47095000,72000,47167000,409565000,1142000,368000,450000,48535000,-48334000,2161000,-67000,4274000,-20592000,-16385000,-129000,0,2787000,17189000,2965000,2965000,2965000,2213000,40819000,-45648000,0.32368,0.20035,0.02421,0.00279,-39.97198,7.6833,0.09966,0.44147,0.43295,2.20349,18.20582,-17.64644,0.04987,0.0031,-0.11145,0.11296,13.13104,15.75014
"8","2013_Q4",14.08796875,"Up",5434000,4407000,4985000,-578000,1027000,38000,564000,425000,-450000,4984000,-3441000,-3441000,1543000,1543000,1418000,-423000,995000,995000,995000,995000,13961000,31589000,375671000,-4115000,379786000,2174000,1313000,7020000,431728000,341342000,306767000,34575000,562000,40381000,1922000,384207000,24396000,23410000,-285000,47521000,76111.3115024831,47521000,431728000,995000,375000,450000,-11418000,11718000,2120000,-58000,943000,-22080000,-21195000,-131000,-545000,21828000,21276000,2201000,2201000,2201000,1918000,40943000,14001000,0.28395,0.18311,0.02094,0.0023,14.07136,8.08499,0.09484,0.38601,0.37775,2.10813,18.43581,5.4317,0.05082,0.00261,0.03243,0.13166,14.06778,17.48671
"9","2014_Q1",14.7118032786885,"Up",5659000,4498000,5119000,-621000,1161000,173000,556000,432000,-2e+05,5459000,-3898000,-3898000,1561000,1561000,1488000,-482000,1006000,1006000,1006000,1006000,15334000,28933000,386749000,-4177000,390926000,2138000,1366000,8091000,442611000,348339000,313745000,34594000,362000,43221000,2734000,394656000,23854000,24288000,-269000,47873000,82000,47955000,442611000,1006000,356000,2e+05,42856000,-41885000,2533000,-85000,1110000,-11339000,-10314000,-128000,-657000,6997000,9154000,1373000,1373000,1373000,1917000,43583000,-39571000,0.27584,0.17777,0.02098,0.00227,-39.33499,8.22972,0.09847,0.39752,0.38903,2.23615,18.91702,-15.63648,0.05058,0.00256,-0.0894,0.12724,14.73605,18.09673
"10","2014_Q2",14.9247619047619,"Up",5377000,4592000,5202000,-610000,785000,76000,536000,173000,-2e+05,5177000,-3649000,-3649000,1528000,1528000,1445000,-458000,987000,987000,987000,987000,14614000,29606000,390694000,-4176000,394870000,2066000,1378000,7227000,445585000,363347000,325940000,37407000,728000,28060000,5212000,397347000,23148000,25149000,-138000,48159000,79000,48238000,445585000,987000,355000,2e+05,5860999.99999999,-4692000.00000001,2711000,-51000,1701000,-4252000,-2614000,-126000,-904000,15008000,-817000,-720000.000000001,-720000.000000001,-720000.000000001,1883000,28788000,-2402000,0.28417,0.18356,0.02046,0.00222,-2.43363999999999,8.23722,0.06461,0.39375,0.37903,2.14507,19.21228,-0.958239999999996,0.05027,0.0025,-0.00539000000000001,0.12766,7.52735,9.27618
