"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",28.6344444444444,"Down",4.88e+08,-3.99e+08,8.9e+07,-1.14e+08,-8.7e+07,-2.7e+07,-2.5e+07,-1.7e+07,-1.6e+07,-1e+06,-4.2e+07,-1.8e+07,-6e+07,7e+06,-5.3e+07,-3.4e+07,-3.6e+07,-3.6e+07,8.09e+08,8.09e+08,4.86e+08,4.86e+08,3.99e+08,2.44e+08,8.2e+07,1.938e+09,6.43e+08,5.01e+08,9.6e+07,1.49e+08,1.144e+09,3.082e+09,2.63e+08,2.63e+08,4e+06,5.72e+08,5.72e+08,8.39e+08,6.73e+08,9.54e+08,5.41e+08,4.13e+08,1.627e+09,2.466e+09,6.14e+08,-3e+06,-1.17e+08,1e+08,5.94e+08,6.16e+08,3.082e+09,-3.4e+07,5.6e+07,-5.3e+07,-1.3e+07,-4.4e+07,-4e+06,-4e+06,-4e+06,1.6e+07,-1e+06,-1e+06,-2.9e+07,-2.9e+07,-6e+06,-3.5e+07,3.1e+07,6.77e+08,7e+06,0.18238,-0.05123,-0.07377,-0.05844,-0.01168,-0.19444,2.30989,4.00325,0.21966,-0.86331,-0.86331,11.70264,14.2446,0.16787,-0.01602,0.00312,-4.25806,5.28
"2","2014_Q3",23.7315625,"Down",5.28e+08,-4.26e+08,1.02e+08,-1.11e+08,-8.5e+07,-2.6e+07,-9e+06,-1.8e+07,-1.6e+07,-2e+06,-2.7e+07,-2.5e+07,-5.2e+07,-7e+06,-5.9e+07,-6.1e+07,-6.2e+07,-6.2e+07,7.68e+08,7.68e+08,4.64e+08,4.64e+08,4.16e+08,1.14e+08,3.7e+07,1.762e+09,6e+08,4.91e+08,9.6e+07,1.38e+08,1.091e+09,2.853e+09,2.34e+08,2.34e+08,4e+06,5.07e+08,5.07e+08,7.45e+08,6.73e+08,8.87e+08,5.23e+08,3.64e+08,1.56e+09,2.305e+09,6.15e+08,-3e+06,-1.79e+08,9.2e+07,5.25e+08,5.48e+08,2.853e+09,-6.1e+07,5.6e+07,-1.6e+07,-6.7e+07,-8.8e+07,-9e+06,-9e+06,-9e+06,4.7e+07,-1e+06,-1e+06,-4.2e+07,-4.2e+07,1e+06,-4.1e+07,4.7e+07,6.77e+08,-2.2e+07,0.19318,-0.01705,-0.11742,-0.11314,-0.02173,0.35484,2.3651,4.2062,0.23729,-1.48681,-1.48681,12.66187,12.58993,-0.52758,-0.02936,-0.01042,-1.93617,10.11111
"3","2014_Q4",20.80421875,"Down",5.68e+08,-4.12e+08,1.56e+08,-8.9e+07,-6.7e+07,-2e+07,6.7e+07,-1.6e+07,-1.5e+07,-1e+06,5.1e+07,-1e+07,4.1e+07,-1.1e+07,3e+07,1.8e+07,1.7e+07,1.7e+07,7.44e+08,7.44e+08,4.17e+08,4.17e+08,4.02e+08,9.7e+07,3.6e+07,1.66e+09,5.52e+08,4.67e+08,9.6e+07,1.45e+08,1.019e+09,2.679e+09,2.1e+08,2.1e+08,4e+06,4.09e+08,4.09e+08,6.23e+08,6.72e+08,8.57e+08,4.98e+08,3.59e+08,1.529e+09,2.152e+09,6.18e+08,-4e+06,-1.62e+08,5.4e+07,5.06e+08,5.27e+08,2.679e+09,1.8e+07,4.9e+07,-3.3e+07,-3.8e+07,-4e+06,-9e+06,-9e+06,-9e+06,-9e+06,-1e+06,-4e+06,-1.7e+07,-1.7e+07,-7e+06,-2.4e+07,1.16e+08,6.76e+08,8e+07,0.27465,0.11796,0.02993,0.03226,0.00635,4.70588,2.66453,4.08349,0.25233,0.40767,0.40767,13.6211,12.13429,1.91847,0.00825,0.03883,-0.58621,-1.01493
"4","2015_Q1",18.974262295082,"Down",4.62e+08,-3.49e+08,1.13e+08,-4.3e+07,-4.5e+07,9e+06,7e+07,-3.2e+07,-1.5e+07,-1.7e+07,3.8e+07,-1.6e+07,2.2e+07,999999.999999998,2.3e+07,-4.1e+07,-4.2e+07,-4.2e+07,7.12e+08,7.12e+08,4.14e+08,4.14e+08,3.49e+08,7.5e+07,3e+07,1.55e+09,5.24e+08,4.82e+08,9.6e+07,1.66e+08,1.006e+09,2.556e+09,2.12e+08,2.12e+08,5e+06,3.82e+08,3.82e+08,5.99e+08,6.72e+08,9.86e+08,6.62e+08,3.24e+08,1.658e+09,2.257e+09,6.21e+08,-4e+06,-2.04e+08,-1.36e+08,2.77e+08,2.99e+08,2.556e+09,-4.1e+07,3.8e+07,5.5e+07,-4.4e+07,8e+06,-2.1e+07,-2.1e+07,-2.1e+07,-1.3e+07,0,-1e+06,-6e+06,-6e+06,-2.6e+07,-3.2e+07,1.08e+08,6.77e+08,4.2e+07,0.24459,0.15152,-0.09091,-0.14047,-0.01643,-1,2.58765,7.54849,0.26487,-1.00719,-1.00719,11.07914,6.64269,1.00719,-0.02141,0.02141,-0.32407,-0.499999999999999
"5","2015_Q2",19.0044444444444,"Up",4.11e+08,-3.28e+08,8.3e+07,-6.8e+07,-5.2e+07,-1.3e+07,1.5e+07,-2.5e+07,-1.5e+07,-1e+07,-1e+07,-2.2e+07,-3.2e+07,-5e+06,-3.7e+07,-5.4e+07,-5.8e+07,-5.8e+07,6.09e+08,6.09e+08,3.59e+08,3.59e+08,3.73e+08,7e+07,3.2e+07,1.411e+09,4.82e+08,4.6e+08,9e+07,1.62e+08,9.42e+08,2.353e+09,1.97e+08,1.97e+08,6e+06,3.12e+08,3.12e+08,5.15e+08,6.71e+08,9.2e+08,6.09e+08,3.11e+08,1.591e+09,2.106e+09,6.23e+08,-5e+06,-2.61e+08,-1.35e+08,2.22e+08,2.47e+08,2.353e+09,-5.4e+07,3.8e+07,-2.2e+07,-5.1e+07,-8.9e+07,-7e+06,-7e+06,-7e+06,-6e+06,0,-1e+06,-9.6e+07,-9.6e+07,-7e+06,-1.03e+08,5.3e+07,6.77e+08,0,0.20195,0.0365,-0.14112,-0.23482,-0.02465,0,2.73981,8.52632,0.28772,-1.38425,-1.38425,9.80907,5.29833,0,-0.03145,0,1.28302,4.53333
"6","2015_Q3",14.9378125,"Down",4.34e+08,-3.5e+08,8.4e+07,-6.9e+07,-5.8e+07,-1.2e+07,1.5e+07,-1.7e+07,-1.5e+07,-2e+06,-2e+06,-5e+06,-7e+06,-8e+06,-1.5e+07,-2.3e+07,-2.4e+07,-2.4e+07,5.76e+08,5.76e+08,3.75e+08,3.75e+08,3.81e+08,6.8e+07,3.1e+07,1.4e+09,4.64e+08,4.58e+08,9e+07,1.66e+08,9.22e+08,2.322e+09,2.06e+08,2.06e+08,4e+06,3.17e+08,3.17e+08,5.27e+08,6.71e+08,8.97e+08,5.88e+08,3.09e+08,1.568e+09,2.095e+09,6.26e+08,-5e+06,-2.85e+08,-1.36e+08,2e+08,2.27e+08,2.322e+09,-2.3e+07,3.9e+07,-2.4e+07,-7e+06,-1.5e+07,-7e+06,-7e+06,-7e+06,-1.3e+07,-3e+06,-3e+06,-3.1e+07,-3.1e+07,-2e+06,-3.3e+07,5.4e+07,6.75e+08,4.8e+07,0.19355,0.03456,-0.0553,-0.10573,-0.01034,-2,2.65655,9.22907,0.2907,-0.57279,-0.57279,10.358,4.77327,1.14558,-0.01334,0.02668,1.83333,6.6
"7","2015_Q4",13.79015625,"Down",4.25e+08,-3.31e+08,9.4e+07,-6.1e+07,-5.2e+07,-1.1e+07,3.3e+07,-1.9e+07,-1.6e+07,-3e+06,1.4e+07,-6e+06,8e+06,-1.4e+07,-6e+06,-2.1e+07,-2.2e+07,-2.2e+07,5.21e+08,5.21e+08,3.76e+08,3.76e+08,3.75e+08,5.3e+07,3.2e+07,1.325e+09,4.33e+08,4.42e+08,9e+07,1.59e+08,8.75e+08,2.2e+09,1.86e+08,1.86e+08,4e+06,3.12e+08,3.12e+08,5.02e+08,6.7e+08,8.46e+08,5.56e+08,2.9e+08,1.516e+09,2.018e+09,6.29e+08,-5e+06,-3.07e+08,-1.62e+08,1.55e+08,1.82e+08,2.2e+09,-2.1e+07,3.6e+07,-2e+07,-3.4e+07,-3.9e+07,-1.1e+07,-1.1e+07,-1.1e+07,-1e+07,-1e+06,-1e+06,-5e+07,-5e+07,-5e+06,-5.5e+07,6.9e+07,6.74e+08,3.8e+07,0.22118,0.07765,-0.05176,-0.12088,-0.01,-1.72727,2.63944,11.08791,0.30636,-0.52506,-0.52506,10.1432,3.69928,0.90692,-0.01293,0.02233,2.21739,4.63636
"8","2016_Q1",9.7855737704918,"Down",5.33e+08,-4.13e+08,1.2e+08,-8.3e+07,-6.4e+07,-2.5e+07,3.7e+07,-2.3e+07,-1.7e+07,-6e+06,1.4e+07,-1.8e+07,-4e+06,-5e+06,-9e+06,2.3e+07,2.4e+07,2.4e+07,5.46e+08,5.46e+08,3.5e+08,3.5e+08,2.63e+08,1.19e+08,2.5e+07,1.278e+09,3.94e+08,4.66e+08,8.8e+07,2.36e+08,8.6e+08,2.138e+09,1.86e+08,1.86e+08,6e+06,2.67e+08,2.67e+08,4.59e+08,6.79e+08,8.97e+08,6.19e+08,2.78e+08,1.576e+09,2.035e+09,6.33e+08,-5e+06,-2.83e+08,-2.67e+08,7.8e+07,1.03e+08,2.138e+09,2.3e+07,3.2e+07,-4.6e+07,3.9e+07,4.8e+07,-1.8e+07,-1.8e+07,-1.8e+07,-1.2e+07,5e+06,4e+06,4e+07,4e+07,-7e+06,3.3e+07,6.9e+07,6.85e+08,9.5e+07,0.22514,0.06942,0.04503,0.23301,0.01123,3.95833,2.78431,19.75728,0.32039,0.57279,0.57279,12.72076,1.86158,2.2673,0.01424,0.05638,2.01449,3.75676
"9","2016_Q2",12.930625,"Up",3.77e+08,-2.89e+08,8.8e+07,-7.4e+07,-4.5e+07,-1.5e+07,1.4e+07,-1.7e+07,-1.6e+07,-1e+06,-3e+06,-4e+06,-7e+06,-7e+06,-1.4e+07,-1.5e+07,-1.8e+07,-1.8e+07,5.13e+08,5.13e+08,3.19e+08,3.19e+08,2.86e+08,1.86e+08,2.3e+07,1.304e+09,3.72e+08,3.9e+08,8.8e+07,1.78e+08,7.62e+08,2.066e+09,1.77e+08,1.77e+08,4e+06,2.62e+08,2.62e+08,4.43e+08,6.72e+08,9.99e+08,7.35e+08,2.64e+08,1.671e+09,2.114e+09,6.35e+08,-5e+06,-3.01e+08,-4.05e+08,-7.6e+07,-4.8e+07,2.066e+09,-1.5e+07,3e+07,-7e+06,-2.9e+07,-2.1e+07,-5e+06,-5e+06,-5e+06,-5e+06,-1e+06,-1e+06,-2.7e+07,-2.7e+07,3e+06,-2.4e+07,4.4e+07,6.76e+08,1.7e+07,0.23342,0.03714,-0.04775,0.375,-0.00871,-0.94444,2.94357,-44.04167,0.3272,-0.42755,-0.42755,8.95487,-1.80523,0.4038,-0.01106,0.01045,3.70455,11.64286
"10","2016_Q3",15.8490625,"Up",4.23e+08,-3.16e+08,1.07e+08,-6.8e+07,-5.8e+07,-1.6e+07,3.9e+07,-1.7e+07,-1.6e+07,-1e+06,2.2e+07,-7e+06,1.5e+07,-6e+06,9e+06,8e+06,7000000.00000001,7000000.00000001,5.13e+08,5.13e+08,3.18e+08,3.18e+08,2.86e+08,1.86e+08,2.7e+07,1.303e+09,3.68e+08,3.71e+08,8.8e+07,1.66e+08,7.39e+08,2.042e+09,1.86e+08,1.86e+08,4e+06,2.54e+08,2.54e+08,4.44e+08,6.72e+08,9.65e+08,6.98e+08,2.67e+08,1.637e+09,2.081e+09,6.39e+08,-6e+06,-2.94e+08,-4.06e+08,-6.7e+07,-3.9e+07,2.042e+09,8e+06,2.7e+07,-3.8e+07,-6e+06,-9e+06,-7e+06,-7e+06,-7e+06,3e+06,-1e+06,-7e+06,-1.3e+07,-1.3e+07,-1e+06,-1.4e+07,6.6e+07,6.76e+08,5.9e+07,0.25296,0.0922,0.01655,-0.17949,0.00343,8.42857,2.93468,-53.35897,0.33105,0.16548,0.16393,10,-1.58392,1.3948,0.00437,0.03683,2.4697,4.17949
