"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",1.97,"Down",252053000,-192333000,59720000,-48967000,-48967000,10753000,-4137000,-4137000,6616000,3953000,-893000,3060000,3060000,-6000,3054000,3054000,48294000,48294000,152735000,152735000,120473000,21563000,98910000,321502000,41205000,373350000,102716000,123104000,68640000,78890000,414555000,736057000,143753000,33349000,110404000,16250000,89415000,57224000,32191000,249418000,172480000,250073000,187417000,187417000,32885000,29771000,422553000,671971000,81696000,143517000,-165689000,59524000,4562000,64086000,736057000,3060000,7592000,4281000,-38734000,-23801000,-5663000,-5680000,-2035000,-3645000,-5663000,-16327857.6384843,9252000,-742000,8510000,-20954000,-20954000,-1106000,-22060000,18345000,188730000,-25159000,0.23693,0.04266,0.01212,0.04765,0.00415,-8.23805,1.28901,10.48546,0.25641,0.0583,0.05772,4.81137,1.13624,-0.48025,0.306109252526151,0.00607,-0.05003,-3.94488252632272,7.65527,13.06017
"2","2010_Q3",1.585,"Down",255986000,-194259000,61727000,-50411000,-50411000,11316000,-3672000,-3672000,7644000,-1646000,-865000,-2511000,-2511000,-16000,-2527000,-2527000,38234000,38234000,150489000,150489000,128885000,24851000,104034000,317608000,40193000,370514000,100979000,122162000,68072000,79301000,410707000,728315000,150255000,34205000,116050000,20179000,82778000,50071000,32707000,253212000,171920000,242339000,180128000,180128000,31864000,30347000,414259000,667471000,82355000,140990000,-167339000,56006000,4838000,60844000,728315000,-2511000,7563000,3758000,-14641000,-5831000,-6528000,-6542000,-2938000,-3604000,-6528000,-9043714.5830906,3115000,-1.16415321826935e-10,3115000,-9244000,-9244000,-816000,-10060000,18879000,192099000,-1425000,0.24113,0.04421,-0.00987,-0.04153,-0.00347,0.563910000000003,1.25432,10.9702,0.26376,-0.04802,-0.04769,4.86471,1.06433,-0.0270799999999999,0.169785551515691,-0.0051,-0.00288,-1.95312351579363,8.15006,13.59712
"3","2010_Q4",1.56171875,"Down",278110000,-208759000,69351000,-50152000,-50152000,19199000,-3923000,-3923000,15276000,15276000,-2180000,13096000,13096000,-106000,12990000,12990000,42193000,42193000,169428000,169428000,144326000,27643000,116683000,355947000,40868000,369022000,99433000,122590000,67314000,79685000,409890000,765837000,163393000,41293000,122100000,33487000,88698000,51227000,37471000,285578000,171638000,229428000,167908000,167908000,31190000,30330000,401066000,686644000,84355000,153980000,-163927000,74408000,4785000,79193000,765837000,13096000,7625000,634000,-16833000,4522000,-6443000,-6452000,-3030000,-3422000,-13746000,-4465857.2915453,12338000,-179000,12689000,3465000,3465000,494000,3959000,26824000,205125000,5728000,0.24937,0.06903,0.04671,0.16403,0.01696,0.44095,1.24641,8.67051,0.26784,0.24606,0.24351,5.26803,1.40946,0.1085,0.0840227757578454,0.02528,0.01115,-0.741541757896816,6.07411,8.48648
"4","2011_Q1",2.06725806451613,"Up",324652000,-243896000,80756000,-53096000,-53096000,27660000,-3270000,-3270000,24390000,20905000,-5774000,15131000,15131000,-320000,14811000,14811000,93540000,93540000,142521000,142521000,143344000,20411000,122933000,379405000,43371000,397898000,97881000,125764000,91930000,82323000,441269000,820674000,177762000,53517000,121687000,2891000,116188000,63948000,35094000,296841000,220437000,208165000,145030000,145030000,30048000,33087000,428602000,725443000,85047000,168791000,-164322000,89516000,5715000,95231000,820674000,15131000,7819000,9888000,18439000,51277000,-9094000,-9105000,-5470000,-3635000,-16594000,-2004285.76384843,17115000,-1379000,15206000,49889000,49889000,1458000,51347000,35479000,223328000,50598000,0.24875,0.0852,0.04562,0.15553,0.01805,3.41624,1.27814,7.61772,0.27213,0.28021,0.27585,6.1422,1.69358,0.95728,0.0378109252526151,0.02812,0.09606,-0.123407252632272,3.65816,4.69226
"5","2011_Q2",3.05428571428571,"Up",304108000,-226012000,78096000,-55996000,-55996000,22100000,-4136000,-4136000,17964000,17964000,-6037000,11927000,11927000,220000,12147000,12147000,46732000,46732000,167832000,167832000,151520000,21914000,129606000,366084000,43590000,398296000,98609000,126982000,90968000,81737000,441886000,807970000,162514000,46649000,110454000,16785000,99287000,66179000,15669000,278586000,219829000,202464000,142395000,142395000,29323000,30746000,422293000,700879000,83765000,179869000,-161605000,102029000,5062000,107091000,807970000,11927000,7723000,3483000,-73353000,-50220000,-6282000,-6298000,-3683000,-2615000,-8907000,-1069000,15291000,-1658000,12564000,-46563000,-46563000,-245000,-46808000,29823000,236614000,-43775000,0.2568,0.07267,0.03994,0.11343,0.01503,-3.60377,1.31408,6.5447,0.29285,0.22884,0.22703,5.72913,1.92214,-0.82468,0.02014,0.0242,-0.08015,0.08801,6.36697,8.59195
"6","2011_Q3",3.2959375,"Up",314082000,-233142000,80940000,-57163000,-57163000,23777000,-4118000,-4118000,19659000,19659000,-6005000,13654000,13654000,-185000,13469000,13469000,37206000,37206000,185026000,185026000,158089000,21363000,136726000,380321000,44050000,399092000,97180000,129872000,90022000,82018000,443142000,823463000,172277000,42958000,120343000,3426000,105252000,66897000,21143000,280955000,217589000,193340000,134845000,134845000,29098000,29397000,410929000,691884000,84911000,192268000,-150862000,126317000,5262000,131579000,823463000,13654000,8133000,3604000,-8377000.00000001,17014000,-5619000,-5643000,-2492000,-3151000,-9868000,-1070000,-17589000,33000,-18626000,-11480000,-11480000,1954000,-9526000,31910000,221015000,23919000,0.2577,0.0757,0.04288,0.10236,0.01636,1.77586,1.35367,5.25832,0.2684,0.25182,0.24932,5.87212,2.36164,0.44719,0.02,0.02663,0.04381,0.07944,5.76023,7.73054
"7","2011_Q4",2.87539682539683,"Down",308219000,-236829000,71390000,-53615000,-53615000,17775000,-4142000,-4142000,13633000,20625000,-5295000,15330000,15330000,-34000,15296000,15296000,68034000,68034000,179024000,179024000,156464000,23040000,133424000,403522000,42976000,398375000,95326000,127756000,88952000,86341000,441351000,844873000,168526000,41324000,117703000,24720000,108502000,65218000,26207000,301748000,217005000,181856000,127799000,127799000,28623000,25434000,398861000,700609000,86691000,206198000,-153638000,139251000,5013000,144264000,844873000,15330000,7948000,-5062000,-2608000,15608000,-9304000,-9348000,-3151000,-6197000,-4391000,-1366000,20973000,-69000,20126000,31343000,31343000,-515000,30828000,25723000,241725000,19106000,0.23162,0.05767,0.04963,0.10603,0.0181,1.24908,1.33728,4.85644,0.28611,0.28473,0.27901,5.7373,2.59207,0.35565,0.02543,0.02934,0.03365,0.0893,6.75236,9.77165
"8","2012_Q1",2.72758064516129,"Down",284953000,-221946000,63007000,-54696000,-54696000,8311000,-3515000,-3515000,4796000,183000,4598000,4781000,4781000,-289000,4492000,4492000,77613000,77613000,161543000,161543000,130393000,22899000,107494000,369549000,43884000,405044000,96392000,131246000,91210000,86196000,448928000,818477000,174642000,41806000,132544000,2204000,109903000,69664000,32617000,286749000,211983000,181457000,120195000,120195000,27856000,33406000,393440000,680189000,87752000,209323000,-163603000,133472000,4816000,138288000,818477000,4781000,8014000,-3763000,45242000,54274000,-8276000,-8609000,-4895000,-3714000,-11767000,-1367000,-26623000,-3450000,-32028000,10479000,10479000,-9e+05,9579000,16325000,214187000,48693000,0.22111,0.02917,0.01576,0.03248,0.00549,10.83994,1.28875,4.91864,0.26169,0.08353,0.08222,5.29869,2.48191,0.90544,0.02542,0.01097,0.0912,0.30432,8.36594,16.43292
"9","2012_Q2",2.51825396825397,"Down",287346000,-219300000,68046000,-55679000,-55679000,12367000,-1864000,-2169000,10503000,9613000,-3393000,6220000,6220000,-155000,6065000,6065000,47423000,47423000,165032000,165032000,145216000,23253000,121963000,357671000,44346000,396563000,94437000,131210000,83825000,87091000,440909000,798580000,140382000,41564000,97666000,22496000,113671000,69857000,36418000,276549000,212613000,168331000,113630000,113630000,27053000,27648000,380944000,657493000,87274000,214008000,-165013000,136269000,4818000,141087000,798580000,6220000,8023000,1218000,-53643000,-38182000,-7983000,-7985000,-4176000,-3809000,-7983000,-1380000,19522000,-925000,17217000,-28948000,-28948000,-1242000,-30190000,20390000,235109000,-37843000,0.23681,0.04304,0.02111,0.04299,0.00759,-6.23957,1.29334,4.6602,0.29441,0.11243,0.11138,5.32665,2.52607,-0.70151,0.02558,0.01367,-0.0695,0.22754,9.20481,15.17636
"10","2012_Q3",2.92619047619048,"Up",319016000,-237984000,81032000,-59077000,-59077000,21955000,-2109000,-2387000,19846000,18275000,-7583000,10692000,10692000,-267000,10425000,10425000,45655000,45655000,185434000,185434000,157892000,24571000,133321000,388981000,45984000,396144000,92733000,130756000,82934000,89721000,442128000,831109000,171726000,48606000,120448000,21460000,114877000,68938000,38407000,308063000,209643000,158606000,101606000,101606000,27214000,29786000,368249000,676312000,88157000,222901000,-161393000,149665000,5132000,154797000,831109000,10692000,8223000,2488000,-9666000.00000001,11737000,-8557000,-8602000,-4126000,-4476000,-8557000,-1383000,-3308999.99999999,-299000,-5196000,-2016000,-2016000,248000,-1768000,30178000,231103000,19538000,0.25401,0.06882,0.03268,0.06735,0.01254,1.87415,1.26267,4.36903,0.27807,0.19205,0.18954,5.8769,2.75712,0.35993,0.02548,0.02169,0.03588,0.13266,6.14514,8.44673
