"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"12","2017_Q1",35.6712903225806,"Up",11162000,-649000,10513000,-19222000,-4133000,-2364000,-360000,-8709000,30000.0000000002,309000,-8679000,3769000,-4910000,419000,-4491000,-4491000,-4367000,-1876000,45983000,37440000,26620000,5971000,78574000,256892000,162852000,532000,419744000,498318000,20044000,20581000,34698000,11033000,34698000,55279000,1360345000,-918972000,443039000,443039000,498318000,-17017000,54000,-16963000,-87999.9999999963,15714000,230000,230000,-1018999.99999999,-1019000,-1372000,2.91038304567337e-11,0.94186,-0.78024,-0.16807,-0.00423,-0.00376,3.81779,0.12477,0,-0.6279,-0.62435,3.73596,148.28665,-0.00393,5.27994
"13","2017_Q2",28.142380952381,"Down",14833000,-9287000,5546000,-13064000,-4293000,-8444000,-327000,-7518000,-68000,-68000,-7586000,4568000,-3018000,1157811.10578541,-3018000,-3018000,-3018000,-3018000,44219000,28890000,29453000,8043000,81715000,256362000,1316000.00000006,1316000,417663000,499378000,22836000,23366000,33237000,11116000,33237000,56603000,1359224000,-921990000,442775000,442775000,499378000,-6884000,34000.0000000001,-6850000,-314000,-314000,-1451000,-1451000,-8615000,-8615000,-8550000,530000,0.3739,-0.50684,-0.20347,-0.00682,-0.00604,3.49718,0.12784,0.00106,-1.00743,-1.00743,4.95135,147.80105,-0.00633,5.81125
"14","2017_Q3",24.2669841269841,"Down",15110000,-8560000,6550000,-8789000,-4078000,-3086000,-482000,-2239000,941000,-109000,-1298000,-261000,-1559000,-153000,-1712000,-1712000,-1712000,-1712000,35877000,24781000,20018000,10179000,66074000,297530000,10348000,10348000,465198000,531272000,18388000,19077000,33650000,10349000,33650000,52727000,1397780000,-923700000,478545000,478545000,531272000,-9695000,-34000,-9729000,-591000,5651000,1498000,1.86264514923096e-09,-4078000,-4078000,-4109000,689000,0.43349,-0.14818,-0.1133,-0.00358,-0.00322,3.46354,0.11018,0.0013,-0.02961,-0.0296099999999999,0.261330000000001,8.2766,-0.00334,15.71594
"15","2017_Q4",20.0430158730159,"Down",13430000,-8649000,4781000,-10767000,-4734000,-2356000,-316000,-5986000,-579000,-303000,-6565000,-2071000,-8636000,564000,-8072000,-8072000,-8072000,-8072000,78187000,68962000,19560000,10703000,108450000,296770000,11227000,11227000,462587000,571037000,25082000,25771000,37837000,14474000,37837000,63608000,1435953000,-931772000,507429000,507429000,571037000,49000,112000,161000,-6000,2262000,0,41661000,44084000,44084000,44181000,0,0.35599,-0.44572,-0.60104,-0.01591,-0.01414,4.20822,0.12535,0,-0.25692,-0.25692,0.42745,16.15054,-0.0148,13.06164
"16","2018_Q1",21.5131147540984,"Up",24092000,-16853000,7239000,-14966000,-10368000,-4738000,-4364000,-7727000,-11000,-458000,-7738000,-5052000,-12790000,14958000,2168000,2168000,2168000,2168000,35124000,27153000,31951000,19789000,86864000,344483000,160782000,10718000,505265000,592129000,34880000,35996000,33136000,24706000,34860000,70856000,1447879000,-929606000,521273000,521273000,592129000,-4158000,-11581000,-19797000,944000,-21290000,52739000,9517000,-31570000,-31570000,-31809000,2194000,0.30047,-0.32073,0.08999,0.00416,0.00366,2.41316,0.13593,0.00371,0.69069,0.69069,7.67537,166.07027,0.0039,4.26168
"17","2018_Q2",21.24234375,"Down",41285000,-26394000,14891000,-18792000,-5187000,-11454000,-360000,-3901000,-134000,-134000,-4035000,-2314000,-6349000,1138000,-5211000,-5211000,-5211000,-5211000,32477000,29904000,29051000,18097000,79625000,353862000,9659000,9659000,508522000,588147000,38268000,39332000,37019000,28843000,38019000,77351000,1442613000,-931817000,510796000,510796000,588147000,6187000,49999.9999999981,6237000,-10832000,-3318000,40000,-1645000,1274000,1274000,1588000,1321000,0.36069,-0.09449,-0.12622,-0.0102,-0.00886,2.02443,0.15143,0.00225,-1.54601,-1.54601,12.24849,151.54363,-0.00949,7.98667
"18","2018_Q3",20.8422222222222,"Down",33806000,-20615000,13191000,-21999000,-5753000,-9609000,-4372000,-8808000,1576000,354000,-7232000,-288000,-7520000,2140000,-5380000,-5380000,-5380000,-5380000,18340000,16028000,27299000,12581000,58220000,376727000,9707000,9707000,526790000,585010000,37637000,38719000,39984000,33240000,40285000,79004000,1443203000,-937197000,506006000,506006000,585010000,-5566000,-50000,-5616000,-16573000,-13699000,5000,5000.00000000186,-19310000,-19310000,-19044000,549000.000000002,0.3902,-0.26055,-0.15914,-0.01063,-0.0092,1.50365,0.15613,0.00094,-0.0840000000000003,-0.0840000000000005,0.527850000000003,7.90086,-0.00984,2.01987
"19","2018_Q4",19.2763492063492,"Down",26896000,-17740000,9156000,-24048000,-7422000,-8231000,-3422000,-14892000,303000,-832000,-14589000,-314000,-14903000,1613000,-13290000,-13290000,-13290000,-13290000,44001000,40839000,27806000,5963000,77770000,402741000,6881000,6881000,542876000,620646000,37608000,39880000,36978000,31692000,86110000,125990000,1445143000,-950487000,494656000,494656000,620646000,-1455000,12835019.5121985,-1455000,27405000,-24568000,18000,47031000,21008000,21008000,21191000,49132000,0.34042,-0.55369,-0.49413,-0.02687,-0.02141,1.9501,0.2547,0.07916,-3.94245,-3.94245,7.97864,146.73865,-0.02288,-0.34455
"20","2019_Q1",17.677868852459,"Down",26188000,-31344000,-5156000,15960000,7237000,-7282000,6976000,10804000,-2196000,-1007000,8608000,-27476000,-18868000,-2121000,-20989000,-20989000,-20989000,-20989000,18887000,15756000,26630000,18450000,63967000,551693000,1281000,1281000,552974000,616941000,30817000,36012000,45777000,39351000,94983000,130995000,1457422000,-971476000,485946000,485946000,616941000,-66430000,14875000,-8e+07,83999.9999999925,53565000,14224000,15049000,-11386000,-11386000,-10399000,49206000,-0.19688,0.41256,-0.80147,-0.04319,-0.03402,1.77627,0.26957,0.07976,-6.22271,-6.22271,7.76408,144.07066,-0.03613,2.80628
"21","2019_Q2",14.6285714285714,"Down",15583000,-14154000,1429000,-6563000,-2261000,-4150000,-152000,-5134000,534000,-513000,-4600000,-5418000,-10018000,-118000,-10136000,-10136000,-10136000,-10136000,16129000,11907000,30682000,18849000,65660000,435659000,4173000,4173000,563316000,628976000,27292000,30089000,50984000,44535000,103157000,133246000,1477342000,-981612000,495730000,495730000,628976000,-14450000,-6234000,-27634000,301000,2321000,22326000,21878000,-3435000,-3435000,-3772000,52173000,0.0917,-0.32946,-0.65045,-0.02045,-0.01612,2.18219,0.26879,0.08295,-2.99388,-2.99388,4.60277,146.42438,-0.01692,-7.02065
