"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",34.7098412698413,"Up",610600000,-286300000,324300000,-269600000,-163700000,-88700000,-17200000,54700000,9e+06,-6100000,4200000,9500000,63700000,63700000,-13900000,49800000,49800000,0,49800000,49800000,422600000,280800000,394700000,394700000,221100000,77100000,77100000,1115500000,142800000,2639100000,2128600000,361600000,148900000,2781900000,3897400000,219100000,115900000,103200000,138300000,401900000,299300000,102600000,759300000,509800000,207400000,37700000,39200000,130500000,717200000,1476500000,1399700000,1216100000,-194800000,2.421e+09,2420900000,3897400000,49800000,42200000,1300000,10700000,1.04e+08,-5700000,-78500000,19600000,-95300000,25900000,25400000,39600000,-3e+05,5.1e+07,59700000,59700000,5e+06,64700000,96900000,648100000,115800000,0.53112,0.08958,0.08156,0.02057,0.01278,2.3253,1.46912,0.6099,0.16629,0.19762,0.19461,2.42302,9.60714,0.45952,0.0152,0.03534,2.32714,4.12249
"30","2017_Q3",38.0446031746032,"Up",665200000,-316400000,348800000,-284300000,-175900000,-90800000,-17600000,64500000,5e+06,-6e+06,9900000,1100000,69500000,69500000,-18900000,50600000,50600000,-9.09494701772928e-13,50600000,50600000,486100000,384900000,395300000,395300000,223300000,78400000,78400000,1183100000,145600000,2709600000,2183700000,363500000,162400000,2855200000,4038300000,271400000,136900000,134500000,147300000,408100000,301700000,106400000,826800000,4.65e+08,228800000,39300000,41700000,147800000,693800000,1520600000,1.426e+09,1251800000,-1.6e+08,2517800000,2517700000,4038300000,47300000,44600000,9100000,48400000,149400000,-9900000,-46400000,7e+05,-15100000,-3.6e+07,4e+06,10200000,-4300000,-36300000,9.8e+07,9.8e+07,6100000,104100000,109100000,612300000,166500000,0.52435,0.09696,0.07607,0.0201,0.01253,3.29051,1.43094,0.60396,0.15162,0.2,0.19681,2.62925,9.95178,0.6581,0.01506,0.04957,1.15674,1.95659
"31","2017_Q4",40.9890476190476,"Up",670900000,-325900000,3.45e+08,-284200000,-173300000,-92600000,-18300000,60800000,5600000,-6300000,8700000,1600000,66400000,66400000,-12500000,53900000,53900000,0,53900000,53900000,409200000,2.55e+08,407200000,407200000,254700000,90800000,90800000,1161900000,160500000,2858300000,2289300000,405800000,163200000,3018800000,4180700000,280700000,146200000,134500000,135400000,392300000,285400000,106900000,808400000,560400000,254500000,41300000,45200000,1.68e+08,814900000,1623300000,1452300000,1.236e+09,-130800000,2557500000,2557400000,4180700000,57200000,48700000,18400000,-55100000,69200000,-10800000,-154100000,2e+05,-217800000,82800000,-67900000,23200000,-2700000,12200000,-136400000,-136400000,6500000,-129900000,109500000,695800000,56100000,0.51423,0.09062,0.08034,0.02108,0.01289,1.04082,1.43728,0.63475,0.16643,0.21338,0.209,2.65598,10.1247,0.22209,0.01537,0.01599,2.61735,4.71382
"32","2018_Q1",40.2949180327869,"Down",699800000,-340300000,359500000,-303800000,-188900000,-98100000,-16800000,55700000,-7100000,-6800000,6700000,-7300000,48600000,48600000,-84400000,-35800000,-35800000,-1e+05,-35900000,-35900000,537400000,358500000,427700000,427700000,264600000,8.2e+07,8.2e+07,1311700000,1.74e+08,2830600000,2287100000,364800000,178700000,3004600000,4316300000,308200000,1.46e+08,162200000,128400000,336800000,237600000,99200000,773400000,785500000,342900000,3.9e+07,47800000,256100000,1128400000,1901800000,1461300000,1084600000,-131400000,2414500000,2414500000,4316300000,-35800000,47900000,23300000,71700000,107100000,-17300000,-1199999.99999994,4e+05,-4.3e+07,217900000,-1.73e+08,8e+05,-5300000,39600000,103700000,103700000,-200000.000000001,103500000,103600000,913900000,242400000,0.51372,0.07959,-0.0513,-0.01487,-0.00832,-6.75209,1.69602,0.78766,0.21173,-0.14314,-0.14029,2.79027,9.62719,0.96651,-0.00978,0.06603,3.63417,6.75943
"33","2018_Q2",34.69140625,"Down",742200000,-3.46e+08,396200000,-3.32e+08,-203700000,-109300000,-1.9e+07,64200000,2500000,-9500000,4900000,3400000,66700000,66700000,-8e+06,58700000,58700000,-2e+05,58500000,58500000,274500000,274500000,475700000,475700000,289100000,85300000,85300000,1124600000,184300000,3364800000,2726400000,466200000,172200000,3549100000,4673700000,282100000,157400000,124700000,430500000,434200000,324200000,1.1e+08,1146800000,691800000,335200000,36200000,49800000,249200000,1.027e+09,2173800000,1497200000,1103600000,-101100000,2499700000,2499900000,4673700000,58700000,4.9e+07,9900000,-34700000,82900000,-18200000,-518700000,4400000,-353500000,2.08e+08,-27700000,25300000,-2509953.91628624,180300000,-90300000,-90300000,6300000,-8.4e+07,113200000,1122300000,68300000,0.53382,0.0865,0.07882,0.0234,0.01252,1.16752,0.98064,0.86955,0.24013,0.23513,0.23104,2.98312,10.04703,0.27452,0.01478,0.01726,7.4894,13.20561
"34","2018_Q3",39.0742857142857,"Up",785500000,-362800000,422700000,-333200000,-202200000,-110100000,-20900000,89500000,-10300000,-18600000,9500000,1800000,79200000,79200000,-15100000,64100000,64100000,0,64100000,64100000,5.71e+08,5.71e+08,446200000,446200000,282400000,87300000,87300000,1386900000,192600000,3278800000,2682100000,422200000,174500000,3471400000,4858300000,312400000,1.59e+08,153400000,4e+05,404200000,319200000,8.5e+07,7.17e+08,1286200000,337500000,3.7e+07,40500000,2.6e+08,1623700000,2340700000,1524700000,1153900000,-161200000,2517400000,2517600000,4858300000,64100000,51300000,32100000,37400000,184900000,-17800000,-14200000.0000001,700000.000000002,-31300000,162700000,-3600000,-3600000,-1800000,157300000,310900000,310900000,-14400000,296500000,140800000,1286600000,175500000,0.53813,0.11394,0.0816,0.02546,0.01319,2.73791,1.93431,0.92973,0.26483,0.25691,0.25416,3.1483,10.08978,0.70341,0.01548,0.04237,5.08239,7.99553
"35","2018_Q4",36.7936507936508,"Down",795200000,-368300000,426900000,-349500000,-211300000,-114100000,-24100000,77400000,-13300000,-22700000,8800000,7e+05,64100000,64100000,9600000,73700000,73700000,0,73700000,73700000,205400000,205400000,4.76e+08,4.76e+08,286300000,93500000,93500000,1061200000,206100000,4514900000,3548600000,7.8e+08,186300000,4.721e+09,5782200000,309600000,155700000,153900000,226100000,443600000,326100000,117500000,979300000,1786600000,367700000,38200000,88500000,2.41e+08,2154300000,3133600000,1575100000,1227200000,-153900000,2648400000,2648600000,5782200000,73700000,58800000,17800000,-33300000,1.17e+08,-17100000,-1208500000,-2400000,-1.228e+09,721900000,30600000,30600000,-7100000,745400000,-365600000,-365600000,0,-365600000,136200000,2012700000,76200000,0.53685,0.09733,0.09268,0.02783,0.01275,1.03392,1.08363,1.18312,0.34809,0.29421,0.29062,3.17445,10.57246,0.30419,0.01466,0.01515,13.26946,23.35013
"36","2019_Q1",37.9562295081967,"Up",785500000,-350300000,435200000,-345600000,-212400000,-112600000,-20600000,89600000,-21600000,-22400000,5500000,-4100000,6.8e+07,6.8e+07,18800000,86800000,86800000,-3e+05,86500000,86500000,172500000,172500000,512600000,512600000,2.98e+08,1.06e+08,1.06e+08,1089100000,212900000,4474400000,3.54e+09,744300000,190100000,4687300000,5776400000,332100000,147600000,184500000,256200000,466900000,348400000,118500000,1055200000,1712300000,334100000,38800000,73800000,221500000,2046400000,3101600000,1592200000,1268300000,-186100000,2674400000,2674800000,5776400000,86800000,56100000,-7300000,-33700000,101900000,-14500000,-22100000,178800000,-36800000,-41300000,-52100000,-12100000,-199999.999999999,-93600000,-28499999.9999999,-28499999.9999999,-4400000,-32900000.0000001,145700000,1968500000,78700000,0.55404,0.11407,0.11012,0.03234,0.01497,0.90983,1.03213,1.15956,0.34078,0.34435,0.33975,3.12699,10.6465,0.3133,0.01738,0.01581,12.3267,20.04464
"37","2019_Q2",41.5579365079365,"Up",801600000,-363300000,438300000,-3.52e+08,-210200000,-118200000,-23600000,86300000,-11100000,-21900000,8800000,2900000,75200000,75200000,-12800000,62400000,62400000,-1e+05,62300000,62300000,216700000,216700000,525200000,525200000,303700000,102200000,102200000,1147800000,212800000,4559500000,3540800000,697500000,321200000,4772300000,5920100000,273800000,147600000,126200000,246800000,569400000,422900000,146500000,1.09e+09,1647800000,439300000,41500000,74700000,323100000,2087100000,3177100000,1634800000,1289400000,-182500000,2741700000,2.743e+09,5920100000,62400000,54500000,14400000,16300000,147600000,-14500000,704420992.513575,4900000,-9600000,-72800000,-14400000,25600000,-7100000,-94300000,43700000,43700000,5e+05,44200000,140800000,1894600000,155400000,0.54678,0.10766,0.07772,0.02271,0.01052,2.49438,1.05303,1.15826,0.32003,0.24771,0.24528,3.18728,10.90139,0.61789,0.01227,0.03061,11.9169,19.44264
"38","2019_Q3",40.225625,"Down",854800000,-394200000,460600000,-350900000,-208700000,-119600000,-22600000,109700000,5700000,-20600000,12900000,14400000,115400000,115400000,-20800000,94600000,94600000,-2.91038304567337e-11,94600000,94600000,199600000,199600000,516800000,516800000,287900000,117100000,117100000,1121400000,214100000,4540600000,3541900000,654500000,344200000,4754700000,5876100000,304100000,148400000,155700000,229300000,541800000,408100000,133700000,1075200000,1513600000,4.62e+08,44300000,78700000,3.39e+08,1975600000,3050800000,1.65e+09,1354400000,-180400000,2.824e+09,2825300000,5876100000,94600000,53600000,1.2e+07,17700000,177900000,-2.4e+07,450400627.258264,13800000,-10200000,-153600000,-31200000,-12200000,-200000.000000003,-1.85e+08,-17300000,-17300000,2e+05,-17100000,163300000,1742900000,177800000,0.53884,0.12833,0.11067,0.03348,0.0161,1.87949,1.04297,1.07981,0.29661,0.37584,0.37244,3.39611,11.21971,0.7064,0.01881,0.03535,9.4507,14.06837
