"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",18.0912698412698,"Down",73035000,-41620000,31415000,-21169000,-11278000,-9891000,10246000,1277000,-181000,1458000,11523000,23388000,-1346000,22042000,22042000,22042000,751000,78987884.1785918,78987874.9869198,55593366.1061885,55593366.1061885,52364648.0267268,20958214.9926229,-6340263.78792272,207904113.30413,23971968.080484,25338253.0080648,18995597.0683232,3995195.41116975,2480268.91239026,49310221.0884824,257214334.392612,54038464.6544044,25331478.1170281,20594456.3264992,56095488.7475854,31678016.4525326,20180313.0592745,31187112.8830816,87282601.630667,342261708.682987,-15012.2489635553,-172532985.938896,218022.266817181,169931732.761945,169931732.761945,257214334.392612,22042000,2683000,-16248000,-221000,8256000,-4503000,-4503000,21000,21000,-500005.379484237,-16313000,-12560000,-12560000,-12560000,12929000,0,9551000,0.43014,0.14029,0.01028,-1.04442403441256,-0.714576010344669,12.71771,3.49851866431553,0.535521172926872,-0.00087742751504954,0.42988,0.20011,41.80595,86.7829331599246,5.46709,-0.927279684234108,-0.0559684002749721,-10.198171077093,-18.6952884687868
"2","2012_Q3",13.9990476190476,"Down",77480000,-40931000,36549000,-19813000,-11040000,-8773000,16736000,-7650000,-203000,-7447000,9086000,-47406000,-6155000,-53561000,-53561000,-53561000,-34886000,74743000,74743000,48489000,48489000,49788000,12132000,3842000,185152000,29570000,27037000,20801000,3990000,2246000,56607000,241759000,40513000,22040000,16781000,54554000,21573000,21269000,21573000,76127000,344366000,-330000,-178239000,-165000,165632000,165632000,241759000,-53561000,2940000,64404000,-3881000,9902000,-5162000,-5162000,-247000,83000,-330000,36895000,41635000,41635000,41635000,19676000,0,16788000,0.47172,0.216,-0.45026,-0.21062,-0.1443,-0.481220000000002,3.39392,0.45962,0,-5.08172,-7.17967,11.28623,24.12702,2.44545,-0.18526,0.08968,-3.79869,-4.466
"3","2012_Q4",12.8161290322581,"Down",77125000,-41721000,35404000,-19899000,-10706000,-9193000,15505000,3128000,-161000,3198000,18633000,18532000,-4987000,13545000,13545000,13545000,13545000,77628000,77628000,50592000,50592000,53034000,13880000,5555000,195134000,30926000,26278000,20162000,3990000,2126000,57204000,252338000,39134000,24410000,14724000,56538000,15145000,14706000,15145000,71683000,346108000,-546000,-164694000,-213000,180655000,180655000,252338000,13545000,2954000,-1771000,-6607000,8121000,-3846000,-3846000,-146000,70000,-216000,-1390000,2885000,2885000,2885000,18459000,0,12993000,0.45905,0.20104,0.17562,0.07498,0.05368,0.95925,3.45138,0.39679,0,0.29975,0.29975,1.7068,3.99794,0.28754,0.07056,0.06636,-4.20543,-5.00664
"4","2013_Q1",15.9925,"Up",75696000,-44941000,30755000,-21559000,-12664000,-8895000,9196000,5910000,-150000,6151000,15106000,17775000,-3465000,14310000,14310000,14310000,14310000,84528000,84528000,54184000,54184000,57459000,16863000,3660000,213034000,30209000,24830000,18776000,3990000,2064000,55039000,268073000,41155000,26958000,13867000,55727000,12888000,8797000,12888000,68615000,348016000,-685000,-147736000,-137000,199458000,199458000,268073000,14310000,4015000,-3193000.00000001,-11031000,4101000,-2168000,-2168000,214000,353000,-139000,5039000,6972000,6972000,6972000,13211000,2.91038304567337e-11,3477000,0.4063,0.12149,0.18905,0.07174,0.05338,0.24298,3.82281,0.34401,0,0.31636,0.316359999999998,1.67347,4.40957,0.0768699999999999,0.06814,0.01637,-6.3983,-9.19182
"5","2013_Q2",14.0453125,"Down",75014000,-42749000,32265000,-20690000,-10867000,-9823000,11575000,-2168000,-226000,-2026000,9407000,9579000,-3471000,6108000,6108000,6108000,6108000,92574000,92574000,52142000,52142000,58629000,13347000,2945000,216692000,29548000,23966000,17987000,3990000,1989000,53514000,270206000,38610000,24964000,13445000,47082000,14913000,10822000,14913000,61995000,350745000,-762000,-141628000,-144000,208211000,208211000,270206000,6108000,3464000,3117000,-3647000,9042000,-1580000,-1580000,768000,845000,-77000,584000,8046000,8046000,8046000,15039000,0,13283000,0.43012,0.1543,0.08142,0.02934,0.0226,2.17469,4.60244,0.29775,0,0.13421,0.13032,1.64826,4.57496,0.29186,0.02737,0.05953,-6.1556,-7.99775
"6","2013_Q3",15.88015625,"Up",79905000,-47851000,32054000,-25766000,-13790000,-11976000,6288000,-1183000,-2e+05,-899000,5105000,5510000,-2142000,3368000,3368000,3368000,3368000,103329000,103329000,49646000,49646000,57202000,17090000,4957000,227267000,29539000,22926000,17198000,3990000,1738000,52465000,279732000,37878000,24803000,12424000,45452000,15548000,11457000,15548000,6.1e+07,353305000,-762000,-133542000,-269000,218732000,218732000,279732000,3368000,4351000,2347000,-512000,9554000,-3488000,-3488000,186000,186000,0,4672000,10738000,10738000,10738000,10639000,-9.31322574615479e-10,8781000,0.40115,0.07869,0.04215,0.0154,0.01204,2.60719,5.00015,0.27888,0,0.07356,0.0715,1.74515,4.77716,0.19178,0.01438,0.03748,-9.71228,-16.43273
"7","2013_Q4",16.23390625,"Up",83477000,-47973000,35504000,-25588000,-13449000,-12139000,9916000,993000,-190000,1183000,10909000,9849000,-2869000,6980000,6980000,6980000,6980000,115631000,115631000,55195000,55195000,54654000,17802000,5217000,243282000,28749000,21786000,16410000,3990000,1386000,50535000,293817000,40585000,24130000,15621000,48650000,14816000,10409000,14816000,63466000,355549000,-762000,-124175000,-261000,230351000,230351000,293817000,6980000,3373000,850000,-366000,10837000,-2103000,-2103000,666000,666000,-7.27595761418343e-12,3544000,12278000,12278000,12278000,13289000,0,13689000,0.42531,0.11879,0.08362,0.0303,0.02376,1.96117,5.00066,0.27552,3.46944695195361e-18,0.15152,0.14808,1.81212,5.00046,0.29716,0.02847,0.05584,-8.70126,-11.66105
"8","2014_Q1",17.644262295082,"Up",4306999.99999999,5068000,9375000,-28391000,-19824000,-8567000,-19016000,-2399000,-201000,-2198000,-21415000,-21992000,8199000,-13793000,1740000,1740000,1740000,110488000,110488000,63526000,63526000,54908000,17525000,7121000,246447000,32735000,37453000,24798000,6750000,5501000,70188000,316635000,42927000,25986000,16921000,52158000,17336000,15351000,17336000,69494000,379826000,-330000,-132188000,-167000,247141000,247141000,316635000,1740000,3634000,-765000,-5139000,-530000,-6062000,-6061999.99999999,189000,189000,0,1417999.99999999,-5174000,-5174000,-5174000,-15382000,-7.45058059692383e-09,-34782000,2.17669,-4.41514,0.40399,0.00704,0.0055,-19.98966,4.72501,0.28119,0,0.03758,0.03668,0.0930200000000001,5.33782,-0.75123,0.00658,-0.13151,7.18294,5.81027
"9","2014_Q2",19.2703174603175,"Up",84154000,-48432000,35722000,-31813000,-19383000,-12430000,3909000,774000,-586000,1360000,4683000,-8407000,1591000,-6816000,-8921000,-8921000,-8921000,66420000,66420000,66468000,66468000,88687000,33283000,17237000,254858000,47353000,265485000,165359000,14697000,20930000,312838000,567696000,77169000,36622000,40547000,93409000,18944000,18944000,238944000,332353000,362719000,-330000,-126924000,-122000,235343000,235343000,567696000,-8921000,5011000,964000,5284000,2338000,-5150000,-237178000,1057000,1057000,-768.040460058743,190820000,-44020000,-44020000,-44020000,8920000,226960000,7463000,0.42448,0.04645,-0.10601,-0.03791,-0.01571,-0.83657,2.72841,1.41221,0.39979,-0.19178,-0.19178,1.8091,5.05929,0.16044,-0.01854,0.01551,17.99776,41.06933
"10","2014_Q3",22.23953125,"Up",107827000,-80964000,26863000,-44851000,-24504000,-20347000,-17988000,-4679000,-1622000,-3057000,-22667000,-25302000,5680000,-19622000,-22122000,-22122000,-22122000,63139000,63139000,67913000,67913000,71937000,45380000,17380000,248369000,48268000,269641000,171929000,15840000,9393000,317909000,566278000,69998000,28520000,40486000,89429000,22906000,22906000,267906000,357335000,373058000,-330000,-163231000,-554000,208943000,208943000,566278000,-22122000,10940000,26352000,-21792000,-6622000,-4940000,-22393000,938000,1238000,-3e+05,25686000,-3329000.00000001,-3329000.00000001,-3329000,-7048000,249532000,-39460000,0.24913,-0.16682,-0.20516,-0.10588,-0.03907,1.78373999999999,2.77728,1.7102,0.44065,-0.47274,-0.47274,2.30424,4.46507,-0.84325,-0.04596,-0.08197,-26.44623,-10.36207
