"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",12.49265625,"Up",33683000,-20107000,13576000,-13614000,-5979000,-5283000,-2352000,-38000,-216000,-234000,18000,-254000,1705000,-8000,1697000,1697000,1697000,1697000,17534447.8209011,17534447.8208972,25359127.8559164,25359127.8559164,46096078.5408877,1646322.23778223,1646322.24921043,90635976.4554874,13135391.9917854,378263.475831434,378263.476362901,13513655.4676168,104149631.923104,17702311.7620928,17702311.7620928,22514189.237865,22514189.2378677,41244352.9942535,7155187.56405701,7155187.56405935,7155187.5640944,48399540.5583479,1071885317.04916,-1016319888.02164,184662.337284531,55750091.3648025,55750091.3647564,104149631.923104,1697000,380000,-1395000,122000,804000,425000,425000,76000,76000,9000,1238000,1238000,-37000,1201000,342000,0,897000,0.40305,-0.00113,0.05038,0.0148520551545943,0.00247636268437644,0.52858,2.11453191858455,0.83601579000546,-0.0190000107064001,0.27981,0.27981,5.55385,9.09017702151591,0.1479,-0.00476254067724374,-0.064919311514167,92.1686441034712,-1.99260787508638
"2","2011_Q1",12.255,"Down",31016000,-18742000,12274000,-13503000,-6147000,-5430000,-1926000,-1229000,-49000,-29000,-20000,-1278000,-1278000,6000.00000000001,-1272000,-1272000,-1272000,-1272000,21174000,21174000,29747000,29747000,31048000,2514000,2514000,84483000,5274000,354000,354000,5628000,90111000,13217000,13217000,11864000,11864000,35081000,5615000,5615000,5615000,40696000,1069543000,-1020405000,277000,49415000,49415000,90111000,-1272000,324000,507000,2715000,2274000,-2623000,-2623000,39000,39000,39000,-310000,-310000,12000,-298000,-905000,1e+07,-819000,0.39573,-0.03962,-0.04101,-0.02574,-0.01412,0.64387,2.40823,0.82356,0.11097,-0.20784,-0.20784,5.06797,8.07435,-0.13382,-0.01956,-0.01259,12.34696,9.09194
"3","2011_Q2",11.9573015873016,"Down",29572000,-18993000,10579000,-13081000,-5494000,-5516000,-2071000,-2502000,9000,-47000,56000,-2493000,-2493000,53000,-2440000,-2440000,-2440000,-2440000,21210850.7263663,21210850.7263676,29304040.7146945,29304040.7146945,26451723.8197041,2777392.58740592,2777392.58359652,79744007.8481708,3762036.0027382,292662.174722855,292662.1745457,4054698.17746106,83798706.0256319,11736729.4126357,11736729.4126357,8821020.25404501,8821020.25404411,32298465.6685822,4779104.14531433,4779104.14531355,4779104.14530187,37077569.813884,1069262060.98361,-1022835203.99279,294279.220905156,46721136.2117325,46721136.2117479,83798706.0256319,-2440000,453000,718000,-511000,-1780000,-253000,-253000,48000,48000,48000,-1985000,-1985000,-10000,-1995000,-2049000,0,-2866000,0.35774,-0.08461,-0.08251,-0.0382890183848648,-0.0202037875614588,1.17459,2.47322769380515,0.80075556999818,0.140964170235467,-0.39881,-0.39881,4.83345,7.6344426594947,-0.46844,-0.0260841531075854,0.000658937171389002,-5.51503053449041,9.56079762502879
"4","2011_Q3",8.5609375,"Down",31294000,-20228000,11066000,-12941000,-5399000,-5449000,-2093000,-1875000,-14000,-28000,14000,-1889000,-1889000,-7000,-1896000,-1896000,-1896000,-1896000,19348000,19348000,26828000,26828000,27652000,2708000,2708000,76536000,5158000,230000,230000,5388000,81924000,11790000,11790000,10038000,10038000,31828000,4436000,4436000,4436000,36264000,1070131000,-1024741000,270000,45660000,45660000,81924000,-1896000,443000,796000,1333000,675999.999999999,-527000,-527000,17000,17000,16999.9999999999,166000.000000001,166000.000000001,3000,169000,-1432000,1e+07,-619000,0.35361,-0.05992,-0.06059,-0.04152,-0.02314,0.32648,2.40468,0.79422,0.12206,-0.30936,-0.30936,5.10606,7.45007,-0.101,-0.03155,-0.0103,6.52793,4.9856
"5","2011_Q4",4.60968253968254,"Down",30204000,-19930000,10274000,-13005000,-5557000,-5294000,-2154000,-2731000,-4000,-35000,31000,-2735000,-2735000,-13000,-2748000,-2748000,-2748000,-2748000,17834000,17834000,26853000,26853000,29458000,2583000,2583000,76728000,5158000,212000,212000,5370000,82098000,11687000,11687000,12143000,12143000,33830000,4373000,4373000,4373000,38203000,1071144000,-1027489000,240000,43895000,43895000,82098000,-2748000,447000,1267000,-85000,-1119000,-447000,-447000,82000,82000,82000,-1484000,-1484000,-30000,-1514000,-2284000,1e+07,-2803000,0.34015,-0.09042,-0.09098,-0.0626,-0.03347,1.02001,2.26805,0.87033,0.12181,-0.44754,-0.44754,4.91906,7.14879,-0.4565,-0.04716,-0.04811,3.42995,2.86855
"6","2012_Q1",5.77677419354839,"Up",33432000,-21390000,12042000,-12434000,-5847000,-5121000,-1466000,-392000,79000,69000,9999.99999999999,-313000,-4549000,-93000,-4642000,-4642000,-4642000,-4642000,18190000,18190000,31598000,31598000,27393000,2672000,2672000,79853000,608000,271000,271000,879000,80732000,10029000,10029000,11797000,11797000,36826000,4379000,4379000,4379000,41205000,1071421000,-1032131000,237000,39527000,39527000,80732000,-4642000,467000,5064000,-5438000,-4549000,-153000,-153000,61000,61000,5061000,359000,359000,-3000,356000,75000,1.5e+07,-5423000,0.36019,-0.01173,-0.13885,-0.11744,-0.0575,1.16825,2.16839,1.04245,0.1858,-0.75485,-0.75485,5.43645,6.42757,-0.88185,-0.0788,-0.09206,-42.53333,8.13776
"7","2012_Q2",4.53396825396825,"Down",27062000,-18682000,8380000,-11734000,-4715000,-4925000,-2094000,-3354000,-27000,-18000,-9000,-3381000,-3381000,-33000,-3414000,-3414000,-3414000,-3414000,15031000,15031000,23695000,23695000,26519000,2823000,2823000,68068000,624000,271000,271000,895000,68963000,9051000,9051000,9284000,9284000,28335000,4282000,4282000,4282000,32617000,1071650000,-1035545000,241000,36346000,36346000,68963000,-3414000,77000,573000,4634000,1870000,-93000,-93000,60000,60000,-4940000,-3163000,-3163000,4000,-3159000,-3277000,1e+07,1297000,0.30966,-0.12394,-0.12615,-0.09393,-0.0495,-0.37991,2.40226,0.8974,0.14501,-0.5532,-0.5532,4.38507,5.88943,0.21016,-0.06743,0.02562,1.53525,1.5
"8","2012_Q3",3.06253968253968,"Down",30835000,-21563000,9272000,-11364000,-4825000,-4820000,-1719000,-2092000,5999.99999999999,-8999.99999999999,15000,-2086000,-2086000,-16000,-2102000,-2102000,-2102000,-2102000,13130000,13130000,25457000,25457000,27658000,2393000,2393000,68638000,584000,214000,214000,798000,69436000,8772000,8772000,12037000,12037000,30809000,4085000,4085000,4085000,34894000,1071968000,-1037647000,221000,34542000,34542000,69436000,-2102000,80000,709000,-580000,-1893000,-101000,-43000,55000,55000,55000,-1881000,-1881000,-20000,-1901000,-2012000,1e+07,-2677000,0.3007,-0.06784,-0.06817,-0.06085,-0.03027,1.27355,2.22786,1.01019,0.14402,-0.3392,-0.3392,4.97579,5.57399,-0.43198,-0.04323,-0.05505,1.55567,1.49618
"9","2012_Q4",2.47564516129032,"Down",29198000,-20966000,8232000,-12371000,-4976000,-5090000,-2305000,-4139000,-45000,-26000,-19000,-4184000,-4184000,-14000,-4198000,-4198000,-4198000,-4198000,10274000,10274000,26106000,26106000,25379000,2619000,2619000,64378000,637000,214000,214000,851000,65229000,8363000,8363000,11663000,11663000,30026000,4018000,4018000,4018000,34044000,1072817000,-1041845000,213000,31185000,31185000,65229000,-4198000,77000,1701000,-308000,-2728000,-135000,-135000,15000,15000,15000,-2848000,-2848000,-8000,-2856000,-4062000,1e+07,-4491000,0.28194,-0.14176,-0.14378,-0.13462,-0.06436,1.0698,2.14408,1.09168,0.15331,-0.67522,-0.67522,4.69633,5.01592,-0.72235,-0.09287,-0.09935,0.06745,0.0662
"10","2013_Q1",3.9345,"Up",28290000,-17890000,10400000,-9534000,-4788000,-3707000,-1039000,866000,-45000,-49000,4000,821000,760000,-61000,699000,699000,699000,699000,11119000,11119000,25820000,25820000,21404000,2590000,2590000,60933000,583000,208000,208000,791000,61724000,8836000,8836000,7229000,7229000,26065000,3719000,3719000,3719000,29784000,1072870000,-1041146000,216000,31940000,31940000,61724000,699000,82000,993000,-907000,867000,-30000,-30000,5000,5000,5000,842000,842000,3000,844999.999999999,947999.999999999,1e+07,71999.9999999991,0.36762,0.03061,0.02471,0.02188,0.01132,0.103,2.33773,0.9325,0.16201,0.11234,0.11234,4.54648,5.13307,0.01157,0.01531,0.00157999999999998,-1.18038,-1.29215
