"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",67.29234375,"Down",-10200000,-2094000,-8106000,-10200000,341000,341000,-9859000,-9859000,-9859000,-9859000,-9859000,-9859000,135705000,135705000,1140000,986000,136845000,316000,84000,84000,4e+05,137245000,6334000,1480000,4854000,6834000,28000,28000,28000,6862000,174021000,-43638000,130383000,130383000,137245000,-9859000,9000,1097000,1449000,-7304000,-278000,-278000,-278000,-278000,89938000,89938000,89938000,82356000,82356000,82356000,-10191000,0,-0.07562,-0.07184,20.02414,0.05263,0,-3.2055,-3.2055,42.39206,-0.0756,13.31616,13.30441
"2","2018_Q3",81.5133333333333,"Up",-14113000,-2268000,-11845000,-14113000,522000,522000,-13591000,-13591000,-13591000,-13591000,-13591000,-13591000,125923000,51353000,2449000,2398000,128372000,324000,84000,84000,408000,128780000,11091000,4523000,6568000,11591000,25000,25000,25000,11616000,174423000,-57229000,117164000,117164000,128780000,-13591000,22000,345000,3441000,-9783000,-26000,-26000,-26000,-74569000,-1.49011611938477e-08,-1.49011611938477e-08,1.49011611938477e-08,-84352000,-84352000,-84352000,-14091000,0,-0.116,-0.10554,11.07514,0.09914,0,-3.38677,-3.38677,29.19634,-0.11598,8.93641,8.92248
"3","2018_Q4",82.2966666666667,"Up",-9032000,-2267000,-6765000,-9032000,625000,625000,-8407000,-8407000,-8407000,-8407000,-8407000,-8407000,115378000,22856000,1645000,1621000,117023000,319000,84000,84000,403000,117426000,7564000,4201000,3363000,8064000,22000,22000,22000,8086000,175052000,-65636000,109340000,109340000,117426000,-8407000,24000,381000,-2716000,-10718000,-29000,-29000,-29000,-17779000,0,0,0,-28497000,-28497000,-28497000,-9008000,0,-0.07689,-0.07159,14.51178,0.07395,0,-2.09496,-2.09496,27.24665,-0.07687,12.80839,12.77436
"4","2019_Q1",56.7895081967213,"Down",10200000,-1799000,11999000,18381000,3588000,3045000,21969000,21969000,22558000,22558000,22558000,22558000,108028000,7042000,1506000,1491000,109534000,321000,84000,84000,405000,109939000,5716000,2989000,2727000,5716000,19000,19000,19000,5735000,175638000,-71393000,104204000,104204000,109939000,22558000,1167000,-3880000,-10220000,9625000,-543000,-543000,-543000,76568000,-78892000,-78892000,-78892000,7301000.00000001,7301000.00000001,7301000.00000001,19548000,0,0.21648,0.20519,19.1627,0.05504,0,5.62394,5.62394,25.97911,0.21644,-5.52629,-5.87716
"5","2019_Q2",56.6555555555556,"Down",-11691000,-2839000,-8852000,-11691000,631000,631000,-11060000,-11060000,-11069000,-11069000,-11069000,-11069000,143091000,7181000,1587000,1563000,144678000,318000,84000,84000,402000,145080000,4609000,3364000,1245000,4609000,15000,15000,15000,4624000,222886000,-82462000,140456000,140456000,145080000,-11069000,27000,416000,-1423000,-12049000,-24000,-24000,-24000,-34628000,46816000,46816000,46816000,139000,139000,139000,-11664000,0,-0.07881,-0.0763,31.39032,0.03292,0,-2.66967,-2.66967,33.87577,-0.0788,12.26775,12.23941
"6","2019_Q3",69.7834375,"Up",-19169000,-2616000,-16553000,-19169000,847000,847000,-18322000,-18322000,-18332000,-18332000,-18332000,-18332000,132796000,21371000,3292000,3270000,136088000,325000,245000,245000,570000,136658000,9706000,8242000,1464000,9706000,10999.9999999999,11000.0000000001,10999.9999999999,9717000,227565000,-100794000,126941000,126941000,136658000,-18332000,28000,566000,3563000,-14175000,-23999.9999999999,-24000.0000000001,-24000.0000000001,24976000,3559000,3559000,3550000.00000001,14351000,14351000,14351000,-19141000,0,-0.14441,-0.13415,14.02102,0.07655,0,-3.61545,-3.61545,25.03542,-0.1444,6.93778,6.92764
"7","2019_Q4",31.6415625,"Down",7623000,-614000,8237000,6649000,1174000,613000,7823000,7823000,7841000,7841000,7841000,7841000,117262000,23621000,4019000,3998000,121281000,437000,245000,245000,682000,121963000,12193000,9973000,2220000,12193000,6000,6000,6000,12199000,234897000,-125242000,109764000,109764000,121963000,7841000,907000,-2343000,-804000,5601000,-563000,-563000,-563000,-33265000,26693000,26693000,26702000,-962000,-962000,-962000,7556000,0,0.07144,0.06429,9.94677,0.11114,0,1.29838,1.29838,18.17572,0.07143,-15.51906,-17.63604
"8","2020_Q1",9.27564516129032,"Down",-9146000,-2623000,-6523000,-7177000,617000,240000,-6560000,-6560000,-6578000,-6578000,-6578000,-6578000,62400000,10607000,1786000,1786000,64186000,2121000,4692000,4692000,17401000,81587000,3872000,1052000,2820000,14865000,13005000,13005000,13005000,27870000,9258000.00000003,-69647000,53717000,53717000,81587000,-6578000,276000,38000.0000000005,-995000,-7259000,-341000,-459000,-459000,-5014000,-123000,-123000,-123000,-12396000,-12396000,-12396000,-6901000,0,-0.12246,-0.08063,4.31793,0.51883,0,-1.51086,-1.51086,-13.86509,-0.09859,9.04217,8.69444
"9","2020_Q2",12.2795238095238,"Up",-9557000,-2524000,-7033000,-7557000,392000,70000,-7165000,-7165000,-4486000,-4486000,-4486000,-4486000,76343000,61232000,1238000,1237000,77581000,380000,245000,245000,625000,78206000,2565000,1210000,1355000,2565000,24000,24000,24000,2589000,236755000,-161170000,75617000,75617000,78206000,-4486000,313000,198000,-4377000,-8352000,-295000,-295000,-295000,4445000,42000,42000,42000,-3865000,-3865000,-3865000,-7244000,0,-0.05933,-0.05736,30.246,0.03424,0,-0.86136,-0.86136,14.51935,-0.05931,10.53879,10.10229
"10","2020_Q3",15.8059375,"Up",-16095000,-7419000,-8676000,-8630000,175000,-19999.9999999999,-8455000,-8455000,-8455000,-8455000,-8455000,-8455000,70889000,70889000,2860000,2860000,73749000,348000,245000,245000,593000.000000004,74342000,3564000,2467000,1097000,3564000,33999.9999999981,33999.9999999981,33999.9999999981,3598000,237513000,-166769000,70744000,70744000,74342000,-8455000,313000,366000,-4230000,-12006000,-117000,-117000,-117000,23678000,7000,7000,-150000.000000001,11522000,11522000,11522000,-8317000,0,-0.11952,-0.11373,20.69276,0.05086,0,-1.62343,-1.62343,13.58346,-0.11946,8.52339,8.21425
"11","2020_Q4",12.800625,"Down",-16683000,-7741000,-8942000,-13655000,-1121000,-1224000,-14776000,-14776000,-14779000,-14779000,-14779000,-14779000,108120000,84960000,9291000,9291000,117411000,2043000,30943000,10204000,32986000,150397000,10687000,3838000,6849000,30077000,3390000,3023000,3390000,33467000,214214000,-97367000,116930000,116930000,150397000,-14779000,285000,4029000,2616000,-7849000,-218000,-218000,-218000,74646000,144000,144000,144000,66941000,66941000,66941000,-13370000,0,-0.12639,-0.09827,3.90368,0.28621,0,-4.63211,-4.63211,36.64877,-0.12283,8.08676,7.91798
"12","2021_Q1",14.3440983606557,"Up",-14759000,-5076000,-9683000,-9349000,252000,221000,-9097000,-9097000,-8958000,-8958000,-8958000,-8958000,94614000,84330000,5722000,5722000,100336000,2790000,50709000,30620000,53499000,153835000,7284000,1552000,5732000,22479000,21529000,21404000,21529000,44008000,216128000,-106325000,109827000,109827000,153835000,-8958000,315000,2831000,-7533000,-13345000,-360000,-360000,-360000,12448000,267000.000000007,267000.000000007,267000.000000007,-630000.000000015,-630000.000000015,-630000.000000015,-9034000,0,-0.08156,-0.05823,4.46354,0.4007,0,-0.454529999999999,-0.454529999999999,5.57264,-0.0682,10.4731,10.12023
"13","2021_Q2",12.7304761904762,"Down",-17373000,-5630000,-11743000,-21354000,-13000,-4000,-21367000,-21367000,-21319000,-21319000,-21319000,-21319000,223420000,221667000,5686000,5686000,229106000,3122000,49845000,29982000,52967000,282073000,5975000,1748000,4227000,25183000,20631000,20554000,20631000,45814000,363901000,-127644000,236259000,236259000,282073000,-21319000,326000,7983000,-2136000,-15146000,-658000,-658000,-658000,7842000,144730000,144730000,144887000,137583000,137583000,137583000,-21028000,0,-0.09024,-0.07558,9.09765,0.19391,0,-2.91244,-2.91244,32.27592,-0.08299,10.62488,10.46268
"14","2021_Q3",7.7509375,"Down",-15641000,-5025000,-10616000,-10827000,-104000,-62000,-10931000,-10931000,-10854000,-10854000,-10854000,-10854000,208726000,208726000,7577000,7577000,216303000,4795000,47680000,28218000,52475000,268778000,6749000,2316000,4433000,20947000,19490000,19490000,19490000,40437000,366839000,-138498000,228341000,228341000,268778000,-10854000,459000,-584000,-1799000,-12778000,-2132000,-2132000,-2132000,-381999.999999998,279000.00000003,279000.00000003,-26999.9999999702,-13187000,-13187000,-13187000,-10368000,0,-0.04753,-0.04038,10.3262,0.17709,0,-0.37456,-0.37456,7.87981,-0.0438,20.13175,19.27829
