"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",26.51046875,"Up",79809000,-39878000,39931000,-17308000,-12327000,-4981000,22623000,-2750000,-4006103.5303895,-2078000,-672000,19873000,19873000,-6558000,13315000,13315000,-89000,13226000,13226000,123278943.155081,166821517.201824,63436901.408029,63436901.408029,47164311.997773,52122999.6363949,-1405773.62515793,38766857.3002975,286003156.197278,75213459.0392656,32379964.8535833,4723800.96531443,6514447.97276135,21116987.6543254,107593423.892849,393596580.090127,176328785.935342,9887709.92398888,109049057.675183,57392018.3361691,687790.223124031,172275989.148356,13191042.5970458,-9319353.91290632,-9319353.91290632,3871688.6841395,176147677.832495,312870640.186798,-8255735.80155972,-75934160.9015226,228680743.483701,217448902.257631,393596580.090127,13315000,5584000,7514000,-20444000,5969000,-5500000,54000,-5446000,-2325000,-7025529.99827933,-7025529.99834523,3023000,3546000,3546000,2429000,5975000,28207000,0,8821000,0.50033,0.28346,0.16572,0.113536234303238,0.0772624204215079,0.66694,-0.403329501464186,0.544072403318318,0.0385373480333141,0.2842,0.27724,1.71496,4.9060574637499,0.18955,0.108554462601895,0.375372353630353,-2.58765830267517,-2.99215093864634
"2","2011_Q1",44.76,"Up",100985000,-45466000,55519000,-17228000,-11936000,-5292000,38291000,536999.999999999,-1188000,523000,1202000,38828000,38828000,-11560000,27268000,27268000,-206000,27062000,27062000,147860000,147860000,55399000,55399000,72470000,25072000,13816000,2663000,300801000,120683000,20371000,7131000,4489000,8751000,141054000,441855000,71209000,9510000,11594000,50105000,1333000,82770000,15644000,1735000,1735000,17379000,100149000,310223000,5567000,810000,316600000,341706000,441855000,27268000,5747000,-505000,1514999.99999999,34025000,-14173000,-248000,-14421000,1891000,6298000,6298000,33632000,53236000,53236000,-2006000,51230000,44038000,16977000,42940000,0.54977,0.37918,0.26798,0.0792,0.06125,1.58673,3.63418,0.29309,0.03842,0.57776,0.5621,2.15599,6.7593,0.91675,0.07509,0.11914,-2.97205,-3.41811
"3","2011_Q2",65.265873015873,"Up",99958000,-46292000,53666000,-18848000,-13117000,-5731000,34818000,-918000,-206000,-720000,8000,33900000,33900000,-10522000,23378000,23378000,-310000,23068000,23068000,167358768.948306,159207327.599392,61291199.530657,61291199.530657,93515062.667409,20862083.454535,18630341.208386,-4432452.43343251,343027114.600907,138777263.653578,17625845.0488055,7958066.34489519,3948267.34241288,5727754.11522486,156403108.702384,499430223.303291,49941071.3548862,11906096.6920037,-11003519.2250612,49038493.8879436,1577903.25895866,67448170.2838814,16690152.4676514,5139617.97096877,5139617.97096877,21829770.4386202,89277940.7225016,313953203.271067,29348078.6005199,24749220.3005075,368050502.1721,410152282.58079,499430223.303291,23378000,5658000,8957000,-27839000,10154000,-9587000,149000,-9888000,-748000,10561864.9991397,10561864.9991726,7244000,7510000,7510000,5248000,12758000,40476000,0,13572000,0.53689,0.34833,0.23078,0.0678395885655875,0.0554416931928307,0.58835,4.77910066715473,0.223050032227227,0.0361483839888953,0.48978,0.47377,2.1223,7.81931167875003,0.28816,0.0642260124660348,0.0396133821232156,-3.10676056577494,-3.55280885378455
"4","2011_Q3",59.665,"Down",121936000,-55230000,66706000,-20790000,-14180000,-6610000,45916000,-582000,-170000,206000,-618000,45334000,45334000,-13827000,31507000,31507000,-771000,30736000,30736000,188196000,188196000,73284000,73284000,109273000,29047000,17179000,4419000.00000001,399800000,141902000,19679000,7736000,4267000,7676000,161581000,561381000,73171000,14884000,7554999.99999999,50732000,1586000,90828000,16758000,4661000,4661000,21419000,112247000,325788000,59371000,1.7e+07,402159000,449134000,561381000,31507000,6297000,3847000,-24813000,16838000,-13199000,-36999.9999999995,-13236000,216000,8911164.99913967,8911164.99917262,22444000,26046000,26046000,1532000,27578000,52213000,18344000,28028000,0.54706,0.37656,0.25207,0.06843,0.05475,0.91189,4.40173,0.24992,0.03268,0.64966,0.6323,2.57733,8.50033,0.59242,0.0651,0.05936,-3.25306,-3.69919
"5","2011_Q4",43.7622222222222,"Down",129064000,-58605000,70459000,-23154000,-16653000,-6501000,47305000,1863000,-209000,1927000,145000,49168000,49168000,-14899000,34269000,34269000,-1400000,32869000,32869000,196586000,196586000,80361000,80361000,117276000,37389000,13532000,14494000,431612000,143339000,21373000,6954000,4763000,9656000,164712000,596324000,95518000,15241000,29029000,51248000,1546000,110658000,16296000,4756000,4756000,21052000,131710000,329421000,91753000,-2447000,418727000,464614000,596324000,34269000,6227000,-1345000,-10148000,29003000,-11964000,77000,-11887000,71000,4491000,4491000,1825000,18941000,18941000,-10551000,8390000,53532000,17842000,46319000,0.54592,0.36652,0.25467,0.07074,0.05512,1.4092,3.90041,0.28348,0.02992,0.69221,0.67421,2.71805,8.81828,0.97547,0.06746,0.09507,-3.33901,-3.77854
"6","2012_Q1",51.9543548387097,"Up",123524000,-57100000,66424000,-21803000,-15223000,-6580000,44621000,1561000,-96000,1449000,208000,46182000,46182000,-14327000,31855000,31855000,-769000,31086000,31086000,205685000,180234000,75755000,75755000,116978000,36039000,11855000,13285000,434457000,155202000,18473000,6157000,4830000,7486000,173675000,608132000,79637000,11122000,21230000,47285000,1613000,93712000,15726000,8961000,8961000,24687000,118399000,332590000,122833000,-12100000,443323000,489733000,608132000,31855000,5780000,3415000,-9694000,31356000,-18257000,-25531000,-44088000,-928000,777000,777000,372000.000000007,-12360000,-12360000,-3992000,-16352000,50401000,17339000,36777000,0.53774,0.36123,0.25166,0.06348,0.05112,1.18307,4.63609,0.24176,0.02851,0.65353,0.63847,2.5969,9.32017,0.77318,0.06024,0.07127,-3.73695,-4.22102
"7","2012_Q2",45.6246031746032,"Down",123192000,-54508000,68684000,-22221000,-15081000,-7140000,46463000,-2509000,-129000,-1286000,-1094000,43954000,43954000,-13406000,30548000,30548000,-633000,29915000,29915000,395522000,377071000,88426000,88426000,123430000,40300000,14251000,14434000,647678000,169876000,17351000,5727000,5321000,6303000,187227000,834905000,82222000,13488000,24720000,44014000,1575000,103139000,15132000,9881000,9881000,25013000,128152000,504248000,153241000,877000,658366000,706753000,834905000,30548000,6215000,9362000,-19120000,27005000,-13779000,7150000,-6629000,2334000,749000,749000,171699000,192075000,192075000,4762000,196837000,52678000,16707000,33185000,0.55754,0.37716,0.24283,0.04233,0.03583,1.10931,6.27966,0.18133,0.02001,0.61749,0.60334,2.54287,13.58969,0.68499,0.04079,0.04525,-7.19114,-8.15305
"8","2012_Q3",54.8430158730159,"Up",137927000,-63017000,74910000,-21819000,-14590000,-7229000,53091000,3877000,615000,3354000,-91999.9999999998,56968000,56968000,-17119000,39849000,39849000,-2107000,37742000,37742000,355343000,345578000,86132000,86132000,121979000,39503000,14516000,13946000,602957000,177441000,17616000,4946000,6660000,6010000,195057000,798014000,90616000,13200000,31191000,46225000,1580000,103778000,14671000,9834000,9834000,24505000,128283000,499956000,190983000,-21208000,669731000,669731000,798014000,39849000,6143000,1780000,3678000,51450000,-22187000,8498000,-13689000,-6553000,1500000,1500000,-60652000,-22890999.9999999,-22890999.9999999,-8602000,-31493000,59234000,16251000,57844000,0.54311,0.38492,0.27364,0.05635,0.04729,1.53262,5.81007,0.19154,0.02036,0.7402,0.72483,2.70503,13.13481,1.13444,0.05424,0.08313,-5.72462,-6.387
"9","2012_Q4",58.4209677419355,"Up",156379000,-70420000,85959000,-24156000,-16394000,-7762000,61803000,-1536000,55000,-1796000,205000,60267000,60267000,-17832000,42435000,42435000,0,42435000,42435000,372569000,372569000,110649000,110649000,135121000,42767000,18296000,13968000,661106000,195153000,22126000,7875000,4419000,6719000,217279000,878385000,107628000,14291000,37604000,55733000,1572000,121281000,14341000,13191000,13191000,27532000,148813000,506859000,233418000,-10705000,729572000,729572000,878385000,42435000,6810000,10335000,-21530000,38050000,-15749000,9491000,-17854000,413000,2026000,2026000,5155000,25351000,25351000,1640000,26991000,68613000,15913000,49166000,0.54968,0.39521,0.27136,0.05816,0.04831,1.15862,5.45103,0.20397,0.01812,0.83059,0.81307,3.06085,14.28013,0.96234,0.05593,0.06481,-5.19808,-5.77085
"10","2013_Q1",64.5615,"Up",145030000,-69856000,75174000,-26281000,-17011000,-9270000,48893000,-867000,-222000,-1634000,989000,48026000,48026000,-13114000,34912000,34912000,-2.3283064365387e-10,34912000,34912000,384053000,384053000,96630000,96630000,139618000,44658000,18639000,13071000,664959000,210563000,19976000,7510000,2107000,7461000,230539000,895498000,111677000,17783000,42443000,51451000,1505000,125455000,14014000,13102000,13102000,27116000,152571000,511044000,234977000,-3094000,742927000,742927000,895498000,34912000,6976000,9153000,7730000.00000001,58771000,-16469000,-616000,-17085000,-2741000,1205000,1205000,-34115000,7571000,7571000,3913000,11484000,55869000,15519000,60244000,0.51833,0.33712,0.24072,0.04699,0.03899,1.7256,5.30038,0.20536,0.01733,0.67945,0.66752,2.82253,14.45861,1.17245,0.04525,0.07808,-6.5964,-7.53756
"11","2013_Q2",61.08171875,"Down",141852000,-66211000,75641000,-26476000,-17678000,-8798000,49165000,498000,-52999.9999999999,481000,70000,49663000,49663000,-14536000,35127000,35127000,-388994.745185705,35127000,35127000,355715000,355715000,102793000,102793000,142096000,48767000,23265000,14397000,649371000,218995000,23892000,11412000,2344000,6878000,242887000,892258000,73904000,14575000,9191000,50138000,1529000,88110000,12525000,18398000,18398000,30923000,119033000,515760000,270104000,-12639000,773225000,773225000,892258000,35127000,7217000,8600000,-62283000,-11339000,-17657000,375000,-22837000,5842000,720000,720000,8026000,-26150000,-26150000,-2188000,-28338000,56382000,14054000,-9022000,0.53324,0.34659,0.24763,0.04543,0.03937,-0.25684,7.37,0.15394,0.01575,0.68331,0.671,2.75939,15.04124,-0.1755,0.0436,-0.0112,-6.05975,-6.94927
"12","2013_Q3",58.498125,"Down",168171000,-78249000,89922000,-30157000,-19674000,-10483000,59765000,-164000,-35000,110000,-239000,59601000,59601000,-17881000,41720000,41720000,-370662.829194573,41720000,41720000,369484000,369484000,114498000,114498000,154093000,53510000,25942000,16146000,691585000,225195000,22475000,10956000,3402000,7662000,247670000,939255000,89836000,18525000,17861000,53450000,1333000,95202000,1.2e+07,16086000,16086000,28086000,123288000,521049000,311824000,-16906000,815967000,815967000,939255000,41720000,7668000,1255000,-15030000,35613000,-16440000,32000,-16408000,-8648000,1457000,1457000,-6299000.00000001,12906000,12906000,863000,13769000,67433000,13333000,53844000,0.53471,0.35538,0.24808,0.05113,0.04442,1.2906,7.2644,0.15109,0.0142,0.8107,0.79673,3.26787,15.85572,1.04629,0.04935,0.06369,-5.28155,-5.95919
