"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",19.9434920634921,"Up",1.2388e+10,-8.03e+09,4.358e+09,-3.49e+09,-3.093e+09,-3.97e+08,8.68e+08,-8.2e+07,-8.2e+07,7.86e+08,7.86e+08,-2.97e+08,4.89e+08,4.89e+08,4.89e+08,4.89e+08,3.352e+09,2.677e+09,6.75e+08,9.899e+09,2.42e+08,2.42e+08,1.3493e+10,2.2379e+10,2.2379e+10,8.32e+08,7.1e+08,2.02e+08,5.08e+08,2.3921e+10,3.7414e+10,7.656e+09,7.062e+09,5.94e+08,5.36e+08,2.689e+09,9.01e+08,1.788e+09,1.0881e+10,5.531e+09,1.983e+09,1.462e+09,7.514e+09,1.8395e+10,7.28e+08,7.22e+08,1.8246e+10,4.5e+07,1.9019e+10,1.9019e+10,3.7414e+10,4.89e+08,4.24e+08,-5.5e+07,1.878e+09,2.736e+09,-2.78e+08,-8.05e+08,3.66e+08,-1.171e+09,-1e+06,-1.084e+09,-1.31e+08,9.67e+08,-4.45e+08,0,3.91e+08,2.043e+09,2.043e+09,2e+06,2.045e+09,1.292e+09,6.067e+09,3.189e+09,0.35179,0.07007,0.03947,0.02571,0.01307,6.52147,1.24005,0.96719,0.16216,0.34006,0.33935,8.61474,13.22601,2.21766,0.0911,6.47770562617629,0.0229,0.11781,0.26789,2.10139,3.12788
"2","2010_Q3",16.8459375,"Down",1.4361e+10,-9.354e+09,5.007e+09,-3.588e+09,-3.19e+09,-3.98e+08,1.419e+09,-8.4e+07,-8.4e+07,1.335e+09,1.335e+09,-5.03e+08,8.32e+08,8.32e+08,8.32e+08,8.32e+08,2.007e+09,1.191e+09,8.16e+08,8.653e+09,2.56e+08,2.56e+08,1.0916e+10,2.2274e+10,2.2274e+10,7.3e+08,7.13e+08,2.05e+08,5.08e+08,2.3717e+10,3.4633e+10,5.425e+09,4.888e+09,5.37e+08,3.7e+07,2.531e+09,7.7e+08,1.761e+09,7.993e+09,5.533e+09,1.894e+09,1.435e+09,7.427e+09,1.542e+10,7.2e+08,7.11e+08,1.8454e+10,3.9e+07,1.9213e+10,1.9213e+10,3.4633e+10,8.32e+08,4.24e+08,-1.7e+07,-1.193e+09,4.6e+07,-3.25e+08,-4.4e+07,2.43e+08,-2.87e+08,-1.5e+07,-3.84e+08,-1.3e+08,-5.1e+08,-5.08e+08,1e+06,-1.147e+09,-1.485e+09,-1.485e+09,-1e+06,-1.486e+09,1.843e+09,5.57e+09,8.28e+08,0.34865,0.09881,0.05793,0.0433,0.02402,0.995189999999998,1.36569,0.80258,0.16083,0.58716,0.58633,10.13479,13.55893,0.58433,0.09174,6.8259018753921,0.03606,0.03104,0.15625,1.93326,2.51092
"3","2010_Q4",18.69734375,"Up",1.1586e+10,-7.525e+09,4.061e+09,-3.33e+09,-2.931e+09,-3.99e+08,7.31e+08,-8e+07,-8e+07,6.51e+08,6.51e+08,-2.47e+08,4.04e+08,4.04e+08,4.04e+08,4.04e+08,1.737e+09,1.078e+09,6.59e+08,8.543e+09,2.19e+08,2.19e+08,1.0499e+10,2.218e+10,2.218e+10,8.65e+08,7.97e+08,2.02e+08,5.95e+08,2.3842e+10,3.4341e+10,5.637e+09,4.959e+09,6.78e+08,3.6e+07,2.335e+09,8.02e+08,1.533e+09,8.008e+09,5.539e+09,1.902e+09,1.446e+09,7.441e+09,1.5449e+10,7.03e+08,6.97e+08,1.8144e+10,4.5e+07,1.8892e+10,1.8892e+10,3.4341e+10,4.04e+08,4.24e+08,8.1e+07,1.42e+08,1.051e+09,-3.85e+08,2.2e+07,5.97e+08,-5.75e+08,-3.7e+07,-4e+08,-1.57e+08,-8e+06,-6e+08,0,-7.65e+08,-1.14e+08,-1.14e+08,1e+06,-1.13e+08,1.155e+09,5.575e+09,1.159e+09,0.35051,0.06309,0.03487,0.02138,0.01176,2.86881,1.31106,0.81775,0.16234,0.29065,0.29023,8.33525,13.59137,0.83381,0.11295,7,0.02127,0.04395,0.38861,3.32294,5.25034
"4","2011_Q1",20.8429032258065,"Up",1.048e+10,-6.754e+09,3.726e+09,-3.184e+09,-2.792e+09,-3.92e+08,5.42e+08,-8.6e+07,-8.6e+07,4.56e+08,4.56e+08,-1.71e+08,2.85e+08,2.85e+08,2.85e+08,2.85e+08,1.123e+09,6.52e+08,4.71e+08,8.321e+09,3.3e+08,3.3e+08,9.774e+09,2.2089e+10,2.2089e+10,1.008e+09,8.28e+08,1.93e+08,6.35e+08,2.3925e+10,3.3699e+10,5.018e+09,4.351e+09,6.67e+08,3.6e+07,2.065e+09,7.07e+08,1.358e+09,7.119e+09,6.537e+09,1.931e+09,1.464e+09,8.468e+09,1.5587e+10,6.88e+08,6.77e+08,1.7371e+10,5.3e+07,1.8112e+10,1.8112e+10,3.3699e+10,2.85e+08,4.12e+08,8e+07,-7.58e+08,19000000.0000002,-3.16e+08,4.4e+07,6.16e+08,-5.72e+08,3.9e+07,-3.16e+08,-1.53e+08,9.84e+08,-9.61e+08,0,-1.3e+08,-4.27e+08,-4.27e+08,1e+06,-4.26e+08,9.54e+08,6.573e+09,50999999.9999998,0.35553,0.05172,0.02719,0.01574,0.00846,0.17895,1.37295,0.86059,0.19505,0.20971,0.20956,7.71155,13.32745,0.03753,0.11258,7,0.01646,0.00192,0.53684,5.71279,10.05535
"5","2011_Q2",20.3706349206349,"Down",1.2185e+10,-7.866e+09,4.319e+09,-3.491e+09,-3.12e+09,-3.71e+08,8.28e+08,-8.8e+07,-8.8e+07,7.4e+08,7.4e+08,-2.79e+08,4.61e+08,4.61e+08,4.61e+08,4.61e+08,1.841e+09,1.496e+09,3.45e+08,9.661e+09,2.39e+08,2.39e+08,1.1741e+10,2.206e+10,2.206e+10,1.209e+09,8.74e+08,2.32e+08,6.42e+08,2.4143e+10,3.5884e+10,7.251e+09,6.694e+09,5.57e+08,3.8e+07,2.632e+09,9.7e+08,1.662e+09,9.921e+09,6.538e+09,1.966e+09,1.468e+09,8.504e+09,1.8425e+10,6.59e+08,6.59e+08,1.6715e+10,8.5e+07,1.7459e+10,1.7459e+10,3.5884e+10,4.61e+08,3.97e+08,-2e+06,1.567e+09,2.423e+09,-3.08e+08,-7.3e+07,5.54e+08,-6.27e+08,2e+06,-4.11e+08,-1.49e+08,-9e+06,-1.016e+09,3e+06,-1.171e+09,8.41e+08,8.41e+08,3e+06,8.44e+08,1.225e+09,6.576e+09,2.763e+09,0.35445,0.06795,0.03783,0.0264,0.01285,5.99349,1.18345,1.05533,0.18326,0.34819,0.34714,9.20317,13.18656,2.08686,0.11254,6.76618867212006,0.02346,0.10627,0.32321,3.86531,5.7186
"6","2011_Q3",17.05140625,"Down",1.4543e+10,-9.527e+09,5.016e+09,-3.597e+09,-3.231e+09,-3.66e+08,1.419e+09,-9e+07,-9e+07,1.329e+09,1.329e+09,-4.98e+08,8.31e+08,8.31e+08,8.31e+08,8.31e+08,9.08e+08,5.68e+08,3.4e+08,8.825e+09,2.13e+08,2.13e+08,9.946e+09,2.2195e+10,2.2195e+10,8.57e+08,1.047e+09,2.22e+08,8.25e+08,2.4099e+10,3.4045e+10,5.873e+09,5.378e+09,4.95e+08,3.9e+07,2.765e+09,8.31e+08,1.934e+09,8.677e+09,6.581e+09,2.008e+09,1.529e+09,8.589e+09,1.7266e+10,6.37e+08,6.3e+08,1.606e+10,8.2e+07,1.6779e+10,1.6779e+10,3.4045e+10,8.31e+08,3.89e+08,1.15e+08,-4.65e+08,8.7e+08,-4.52e+08,3.57e+08,6.78e+08,-3.21e+08,-1.6e+07,-2.83e+08,-1.45e+08,-9e+06,-1.362e+09,0,-1.516e+09,-9.29e+08,-9.29e+08,1e+06,-9.28e+08,1.808e+09,6.62e+09,1.389e+09,0.34491,0.09757,0.05714,0.04953,0.02441,1.67148,1.14625,1.02902,0.19445,0.65176,0.65023,11.40627,13.16,1.08941,0.11373,6,0.03841,0.05467,0.17449,3.15929,4.02537
"7","2011_Q4",18.9349206349206,"Up",1.1851e+10,-7.815e+09,4.036e+09,-3.593e+09,-3.232e+09,-3.61e+08,4.43e+08,-9.1e+07,-9.1e+07,3.52e+08,3.52e+08,-1.27e+08,2.25e+08,2.25e+08,2.25e+08,2.25e+08,9.69e+08,6.75e+08,2.94e+08,8.99e+09,2.27e+08,2.27e+08,1.0186e+10,2.1888e+10,2.1888e+10,7.05e+08,1.087e+09,2.37e+08,8.5e+08,2.368e+10,3.3866e+10,5.864e+09,5.242e+09,6.22e+08,5.9e+08,2.702e+09,7.89e+08,1.913e+09,9.156e+09,6.025e+09,1.876e+09,1.554e+09,7.901e+09,1.7057e+10,6.54e+08,6.3e+08,1.6109e+10,4.6e+07,1.6809e+10,1.6809e+10,3.3866e+10,2.25e+08,3.85e+08,1.82e+08,-1.93e+08,5.99e+08,-4.78e+08,1.88e+08,4.4e+08,-2.52e+08,1e+06,-2.89e+08,-1.76e+08,-1e+07,-1e+06,-1.2e+07,-1.99e+08,1.11e+08,1.11e+08,-4e+06,1.07e+08,8.28e+08,6.615e+09,2.84e+08,0.34056,0.03738,0.01899,0.01339,0.00664,1.26222,1.11249,1.01475,0.19533,0.18,0.17971,9.4808,13.4472,0.2272,0.1408,5,0.01585,0.01123,0.78222,6.81884,12.74492
"8","2012_Q1",23.3558064516129,"Up",1.1629e+10,-7.65e+09,3.979e+09,-3.392e+09,-3.01e+09,-3.82e+08,5.87e+08,-1.02e+08,-1.02e+08,4.85e+08,4.85e+08,-1.63e+08,3.22e+08,3.22e+08,3.22e+08,3.22e+08,1.3e+09,1.014e+09,2.86e+08,8.355e+09,2.34e+08,2.34e+08,9.889e+09,2.197e+10,2.197e+10,5.04e+08,1.196e+09,1.83e+08,1.013e+09,2.367e+10,3.3559e+10,4.965e+09,4.352e+09,6.13e+08,5.92e+08,2.334e+09,8.01e+08,1.533e+09,7.891e+09,7.035e+09,2.1e+09,1.569e+09,9.135e+09,1.7026e+10,6.35e+08,6.21e+08,1.5852e+10,4.6e+07,1.6533e+10,1.6533e+10,3.3559e+10,3.22e+08,4.08e+08,3.34e+08,-6.07e+08,4.57e+08,-5.39e+08,2.15e+08,4.48e+08,-2.33e+08,-2e+06,-4.54e+08,-1.77e+08,9.84e+08,-4.58e+08,-1.2e+07,3.37e+08,3.4e+08,3.4e+08,-1e+06,3.39e+08,9.95e+08,7.627e+09,1.2e+07,0.34216,0.05048,0.02769,0.01948,0.0096,0.0372699999999999,1.2532,1.02982,0.22727,0.26073,0.26094,9.41619,13.38704,0.00972000000000001,0.14332,6,0.019,0.000459999999999999,0.54969,6.35879,10.77853
"9","2012_Q2",24.4501587301587,"Up",1.3153e+10,-8.589e+09,4.564e+09,-3.611e+09,-3.241e+09,-3.7e+08,9.53e+08,-1.03e+08,-1.03e+08,8.5e+08,8.5e+08,-3.23e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,3.233e+09,3.072e+09,1.61e+08,9.786e+09,3.3e+08,3.3e+08,1.3349e+10,2.1821e+10,2.1821e+10,7.1e+08,1.328e+09,2.79e+08,1.049e+09,2.3859e+10,3.7208e+10,7.469e+09,6.977e+09,4.92e+08,5.93e+08,2.934e+09,8.81e+08,2.053e+09,1.0996e+10,9.018e+09,1.991e+09,1.579e+09,1.1009e+10,2.2005e+10,5.94e+08,5.94e+08,1.4557e+10,5.2e+07,1.5203e+10,1.5203e+10,3.7208e+10,5.27e+08,3.96e+08,-1.71e+08,1.715e+09,2.467e+09,-3.08e+08,-8.1e+07,6.27e+08,-7.08e+08,-1.1e+07,-4.7e+08,-1.74e+08,1.974e+09,-1.736e+09,-4e+06,6e+07,2.057e+09,2.057e+09,1e+06,2.058e+09,1.349e+09,9.611e+09,3.079e+09,0.34699,0.07245,0.04007,0.03466,0.01416,5.8425,1.21399,1.44741,0.2583,0.43698,0.43626,10.9063,12.60614,2.55307,0.14428,7,0.02615,0.11487,0.33017,4.72795,6.69255
"10","2012_Q3",23.1134920634921,"Down",1.4249e+10,-9.414e+09,4.835e+09,-3.542e+09,-3.173e+09,-3.69e+08,1.293e+09,-9.6e+07,-9.6e+07,1.197e+09,1.197e+09,-4.49e+08,7.48e+08,7.48e+08,7.48e+08,7.48e+08,2.296e+09,1.71e+09,5.86e+08,8.699e+09,3.25e+08,3.25e+08,1.132e+10,2.1734e+10,2.1734e+10,4.85e+08,1.493e+09,2.79e+08,1.214e+09,2.3712e+10,3.5032e+10,5.645e+09,5.084e+09,5.61e+08,5.94e+08,2.783e+09,8.47e+08,1.936e+09,9.022e+09,9.008e+09,2.178e+09,1.598e+09,1.1186e+10,2.0208e+10,5.78e+08,5.76e+08,1.4199e+10,4.7e+07,1.4824e+10,1.4824e+10,3.5032e+10,7.48e+08,3.93e+08,2.31e+08,-1.043e+09,329000000.000001,-2.65e+08,-1.98e+08,2.7e+08,-4.68e+08,-1e+07,-5.62e+08,-1.66e+08,-10000000.0000002,-9.67e+08,1.7e+07,-1.126e+09,-1.359e+09,-1.359e+09,-3e+06,-1.362e+09,1.686e+09,9.602e+09,8.27e+08,0.33932,0.09074,0.05249,0.05046,0.02135,1.10561,1.25471,1.36319,0.27409,0.6465,0.64538,12.31547,12.81245,0.71478,0.14347,4,0.03436,0.03109,0.22193,4.33333,5.65043
