"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q4",21.0026984126984,"Down",33785000,-21559000,12226000,-10256000,-10256000,1970000,-403000,-366000,-37000,1567000,1567000,-366000,1201000,1201000,1201000,1201000,7021000,7021000,31579000,31579000,36799000,2448000,2448000,77847000,9449000,22467000,-13018000,23642000,18929000,765000,33091000,110938000,13983000,8463000,5520000,13983000,45969000,266000,266000,46235000,60218000,20906000,45492000,-1808000,50720000,50720000,110938000,1201000,741000,315000,1206000,3463000,-801000,-801000,-801000,-801000,-371000,-977000,-1355000,1307000,1307000,40000,1347000,2711000,45969000,3482000,0.36188,0.05831,0.03555,0.02368,0.01083,2.89925,5.56726,1.18726,0.41437,0.35649,0.31547,10.0282,15.05491,1.03354,0.11012,0.01621,0.03591,0.30891,14.36665,19.77056
"30","2018_Q1",20.6691803278689,"Down",30170349,-19544076,10626273,-9838220,-9838220,788053,-419756,-378160,-41596,368297,368297,-1022818,-654521,-654521,-654521,-654521,9338269,9338269,26012368,26012368,40086871,2380137,2380137,77817645,13728139,27233053,-13504914,23184022,17882005,96001,36912161,114729806,16516304,11150960,5365344,16782971,47161459,847383,847383,48008842,64791813,7104915,44467077,-1633999,49937993,49937993,114729806,-654521,767860,793054,5100483,6006876,-4745194,-4745194,-4745194,-4745308,-371428,1459195,1024468,2286036,2286036,31463,2317499,1555913,47428126,2934020,0.35221,0.02612,-0.02169,-0.01311,-0.0057,-4.4827,4.6367,1.29745,0.41339,-0.19407,-0.18164,8.9459,14.80727,0.86998,0.11013,-0.00288,0.02987,-0.56748,24.48071,48.33413
"31","2018_Q2",19.72359375,"Down",31709000,-19585000,12124000,-10759000,-10759000,1365000,-392000,-405000,13000,973000,973000,-209000,764000,764000,764000,764000,1065000,1065000,24486000,24486000,41900000,2766000,2766000,70217000,14158000,28166000,-14008000,22871000,17576000,599000,37029000,107246000,11153000,7483000,3670000,11153000,44744000,857000,857000,45601000,56754000,21118000,44860000,-1616000,50492000,50492000,107246000,764000,781000,168000,-6288000,-4575000,-897000,-897000,-897000,-897000,-371000,-2417000,-2833000,-8305000,-8305000,32000,-8273000,2146000,44744000,-4830000,0.38235,0.04305,0.02409,0.01513,0.00712,-6.32199,6.29579,1.12402,0.41721,0.22644,0.20863,9.39804,14.96503,-1.43154,0.10996,0.01181,-0.05026,0.4856,20.35368,31.99927
"32","2018_Q3",19.3460317460317,"Down",39751000,-25039000,14712000,-11087000,-11087000,3625000,-519000,-445000,-74000,3106000,3106000,-670000,2436000,2436000,2436000,2436000,1894000,1894000,34511000,34511000,42510000,2525000,2525000,81440000,14576000,28947000,-14371000,22562000,17268000,598000,37138000,118578000,17612000,12972000,4640000,17612000,47896000,846000,846000,48742000,66354000,21039000,46924000,-1869000,52224000,52224000,118578000,2436000,779000,139000,-4026000,-672000,-922000,-922000,-922000,-922000,-372000,3152000,2583000,989000,989000,-160000,829000,4404000,47896000,126000,0.3701,0.09119,0.06128,0.04665,0.02054,0.05172,4.62412,1.27057,0.40392,0.72199,0.67256,11.78156,15.47836,0.03734,0.11025,0.02781,0.00125,0.15271,10.4455,12.69021
"33","2018_Q4",15.7228571428571,"Down",34731000,-22281000,12450000,-11077000,-11077000,1373000,-519000,-496000,-23000,854000,854000,-47000,807000,807000,807000,807000,4021000,4021000,30869000,30869000,41274000,2270000,2270000,78434000,14488000,29367000,-14879000,22261000,16959000,606000,36749000,115183000,11338000,6654000,4684000,11338000,50539000,815000,815000,51354000,62692000,20862000,47360000,-1861000,52491000,52491000,115183000,807000,843000,334000,-1233000,750999.999999999,-433000,-433000,-433000,-433000,-371000,2643000,1760000,2078000,2078000,49000,2127000,2216000,50539000,597000,0.35847,0.03953,0.02324,0.01537,0.00701,0.739780000000001,6.9178,1.19434,0.43877,0.23918,0.23473,10.29372,15.5575,0.17694,0.10996,0.01134,0.00574999999999998,0.45973,20.99188,33.88055
"34","2019_Q1",15.1331147540984,"Down",31130395,-19767413,11362982,-10269076,-10269076,1093906,-495682,-512224,16542,598224,598224,-6874,591350,591350,591350,591350,4409042,4409042,25101663,25101663,41332137,2149295,2149295,72992137,14542624,29810501,-15267877,21943025,17044400,88902.0000000001,36485649,109477786,13098020,7982620,5115400,13364687,43727560,53128.0000000002,53128.0000000002,43780688,57145375,21075936,47549650,-2057985,52332411,52332411,109477786,591350,826200,780288,6773431,8971269,-978914,-978914,-598993,-978914,-370829,-6811900,-7561953,430402,430402,-42629,387773,1920106,43994227,7721497,0.36501,0.03514,0.019,0.0113,0.0054,13.05741,5.46157,1.09197,0.40186,0.17595,0.17162,9.26231,15.5706,2.2974,0.11033,0.00998,0.08012,0.62709,20.61615,36.18701
"35","2019_Q2",19.0392063492063,"Up",31370000,-19568000,11802000,-10268000,-10268000,1534000,-499000,-501000,2000,1035000,1035000,-228000,807000,807000,807000,807000,3798000,3798000,25228000,25228000,40570000,2281000,2281000,71877000,14423000,30237000,-15814000,24315000,16736000,2883000,38738000,110615000,10046000,5672000,4374000,11343000,44718000,1686000,1686000,46404000,57747000,21208000,48074000,-2179000,52868000,52868000,110615000,807000,859000,218000,-2567000,-683000.000000004,-438000,-438000,-438000,-438000,-405000,989999.999999999,504999.999999999,-616000,-616000,5000,-611000,2393000,44985000,-383999.999999998,0.37622,0.0489,0.02573,0.01526,0.0073,-0.47584,6.33668,1.09229,0.40668,0.24082,0.23791,9.36138,15.77678,-0.11459,0.12086,0.01218,-0.00386000000000002,0.50186,17.21145,26.84941
"36","2019_Q3",19.26609375,"Up",40220000,-25448000,14772000,-11003000,-11003000,3769000,-507000,-493000,-14000,3262000,3262000,-591000,2671000,2671000,2671000,2671000,1924000,1924000,35462000,35462000,39615000,2085000,2085000,79086000,14200000,30584000,-16384000,23744000,16422000,2626000,37944000,117030000,16796000,9931000,6865000,18050000,42699000,1479000,1479000,44178000,62228000,20795000,50341000,-2099000,54802000,54802000,117030000,2671000,863000,291000,-2258000,1567000,-321000,-321000,-321000,-321000,-404000,-2018000,-3121000,-1875000,-1875000,1000.00000000001,-1874000,4632000,42966000,2644000,0.36728,0.09371,0.06641,0.04874,0.02282,0.98989,4.3815,1.13551,0.36714,0.79708,0.77063,12.00239,16.35392,0.78902,0.12056,0.03098,0.02664,0.15125,8.86054,10.88936
"37","2019_Q4",20.04703125,"Up",36995000,-23861000,13134000,-11408000,-11408000,1726000,-509000,-469000,-40000,1217000,1217000,-158000,1059000,1059000,1059000,1059000,5698000,5698000,30635000,30635000,38970000,1787000,1787000,77090000,14006000,30849000,-16843000,23128000,16107000,2325000,37134000,114224000,15419000,7217000,8202000,16606000,41369000,1225000,1225000,42594000,59200000,20567000,50996000,-2304000,55024000,55024000,114224000,1059000,855000,307000,4163000,6384000,-364000,-364000,-364000,-364000,-404000,-1330000,-2209000,3811000,3811000,-37000,3774000,2581000,41636000,6538000,0.35502,0.04665,0.02863,0.01925,0.00927,6.17375,4.6423,1.07589,0.36451,0.31574,0.30431,11.03011,16.40549,1.94931,0.12045,0.01495,0.06679,0.38149,13.92406,20.82155
"38","2020_Q1",21.6888709677419,"Up",33872342,-21579484,12292858,-10892510,-10892510,1400348,-371184,-325512,-45672,1029164,1029164,-52556,976608,976608,976608,976608,6821883,6821883,25484865,25484865,39261105,1578248,1578248,73146101,14035544,30627434,-16591890,23567208,15792738,3078100,37602752,110748853,15268940,6692692,8576248,16583105,36418185,2042582,1993298,38460767,55043872,20356621,51571420,-1987870,55704981,55704981,110748853,976608,855722,624454,4977447,7434231,-557479,-557479,-557479,-557479,-395956,-4951375,-5781113,1095639,1095639,28201,1123840,2256070,36684852,6728594,0.36292,0.04134,0.02883,0.01753,0.00882,6.88976,4.41088,0.98813,0.33124,0.29144,0.28124,10.10836,16.62377,2.00798,0.11816,0.01453,0.07125,0.40544,13.23672,21.32539
"39","2020_Q2",20.3907936507937,"Down",35775000,-22244000,13531000,-11521000,-11521000,2010000,-358000,-315000,-43000,1652000,1652000,-375000,1277000,1277000,1277000,1277000,4272000,4272000,27413000,27413000,36250000,1926000,1926000,69861000,14097000,31175000,-17078000,24164000,16668000,2800000,38261000,108122000,12141000,5186000,6955000,13411000,36964000,1923000,1923000,38887000,52298000,20142000,52448000,-2317000,55824000,55824000,108122000,1277000,897000,533000,-1914000,793000,-597000,-597000,-597000,-2671000,-4e+05,545000,-526000.000000001,-2404000,-2404000,-146000,-2550000,2907000,37231000,771000,0.37823,0.05618,0.0357,0.02288,0.01181,0.60376,5.20923,0.93684,0.34434,0.38131,0.36289,10.68229,16.66886,0.23022,0.11944,0.01766,0.00812,0.31323,11.33781,16.39751
"40","2020_Q3",21.70703125,"Up",44042000,-27990000,16052000,-11670000,-11670000,4382000,-233000,-239000,6000.00000000001,4149000,4149000,-950000,3199000,3199000,3199000,3199000,5239000,5239000,33720000,33720000,44311000,2438000,2438000,85708000,14277000,31958000,-17681000,23551000,16376000,2479000,37828000,123536000,19413000,8733000,10680000,20613000,42294000,1622000,1622000,43916000,64529000,20398000,55247000,-2116000,59007000,59007000,123536000,3199000,887000,735000,-7967000,-3146000,-726000,-726000,-726000,-726000,-4e+05,5332000,4756000,884000,884000,83000,967000,5269000,42561000,-2474000,0.36447,0.0995,0.07264,0.05421,0.0259,-0.77337,4.15796,1.09358,0.34452,0.95807,0.91952,13.19018,17.67206,-0.74094,0.1198,0.03488,-0.02398,0.12504,7.08332,8.51712
"41","2020_Q4",27.6734375,"Up",43316000,-28360000,14956000,-12832000,-12832000,2124000,-133000,-168000,35000,1991000,1991000,-412000,1579000,1579000,1579000,1579000,3031000,3031000,32154000,32154000,48351000,2142000,2142000,85678000,14341000,32685000,-18344000,22998000,16072000,2230000,37339000,123017000,22627000,9251000,13376000,23741000,37189000,1491000,1491000,38680000,62421000,20539000,56425000,-1846000,60596000,60596000,123017000,1579000,1037000,628000,850000,4094000,-758000,-758000,-758000,-758000,-401000,-5106000,-5693000,-2357000,-2357000,149000,-2208000,3161000,37456000,3665000,0.34528,0.04903,0.03645,0.02606,0.01284,2.32109,3.60886,1.03012,0.30448,0.47261,0.46896,12.96498,18.13708,1.09698,0.12002,0.01989,0.03682,0.25396,10.89054,16.20763
"42","2021_Q1",33.9870491803279,"Up",40870040,-25814326,15055714,-12159050,-12159050,2896664,-861936,-197709,-664227,2034728,2034728,9038.00000000006,2043766,2043766,2043766,2043766,4167376,4167376,27173431,27173431,50704197,1640904,1640904,83685908,20238907,39193259,-18954352,25942921,18721423,2421669,46181828,129867736,19061147,7601123,11460024,20200722,45186325,1764246,1654025,46950571,67151293,20031336,58033252,-825967,62716443,62716443,129867736,2043766,930980,815784,189506,3980036,-488174,-488174,-488174,-9796902,-403706,7997140,6754082,937216,937216,199277,1136493,3827644,45452992,3519938,0.36838,0.07087,0.05001,0.03259,0.01574,1.72228,4.14272,1.07071,0.34999,0.61163,0.55643,12.23097,18.76884,1.05339,0.12082,0.02226,0.03202,0.19753,10.78617,14.25281
"43","2021_Q2",41.702380952381,"Up",43525000,-27938000,15587000,-12619000,-12619000,2968000,-298000,-221000,-77000,2670000,2670000,-624000,2046000,2046000,2046000,2046000,3857000,3857000,31592000,31592000,49389000,2477000,2477000,87315000,21138000,40831000,-19693000,26861000,18361000,3700000,47999000,135314000,19474000,8151000,11323000,20673000,46978000,3036000,3036000,50014000,70687000,20520000,59643000,-1014000,64627000,64627000,135314000,2046000,959000,378000,-3719000,-336000,-1480000,-1480000,-1480000,-1480000,-436000,1792000,1538000,-278000,-278000,-32000,-310000,3927000,47245000,-648000,0.35812,0.06819,0.04701,0.03166,0.01512,-0.31672,4.22363,1.09377,0.34915,0.61129,0.52314,13.00418,19.30893,-0.19361,0.13027,0.0216,-0.00564,0.2131,11.04864,14.6186
"44","2021_Q3",38.59078125,"Down",44847000,-28694000,16153000,-12364000,-12364000,3789000,-290000,-222000,-67999.9999999999,3499000,7007000,224000,7231000,7231000,7231000,7231000,3240000,3240000,36270000,36270000,48691000,2234000,2234000,90435000,22409000,42741000,-20332000,26295000,18019000,3476000,48704000,139139000,18299000,8021000,10278000,19485000,42328000,2874000,2874000,45202000,64687000,23405000,66415000,-846000,74452000,74452000,139139000,7231000,959000,-2903000,-4808000,479000,-1871000,-1871000,-1871000,-1871000,-435000,-1143000,727000,-665000,-665000,48000,-617000,4748000,42595000,-2155000,0.36018,0.08449,0.16124,0.09712,0.05197,-0.29802,4.64126,0.86884,0.30613,2.16044,1.84889,13.39916,22.2444,-0.64386,0.12997,0.06393,-0.01797,0.06016,8.28875,10.38665
"45","2021_Q4",33.9575,"Down",47923000,-30918000,17005000,-14044000,-14044000,2961000,-296000,-228000,-68000,2665000,2665000,-619000,2046000,2046000,2046000,2046000,5306000,5306000,36088000,36088000,48795000,2458000,2458000,92647000,23182000,44096000,-20914000,25602000,17615000,3187000,48784000,141431000,17910000,6695000,11215000,19122000,43165000,2596000,2596000,45761000,64883000,24228000,67998000,-1156000,76548000,76548000,141431000,2045000,1002000,607000,-818000,2836000,-1441000,-1277610.57472288,-1277608.99565091,-1441000,-458000,838000,748000,2143000,2143000,-77000,2066000,3963000,43432000,2323000,0.35484,0.06179,0.04269,0.02673,0.01447,1.13539,4.84505,0.84761,0.30709,0.59322,0.5155,13.89475,22.19426,0.67353,0.13279,0.02043,0.01895,0.22385,9.62049,12.87606
"46","2022_Q1",32.423064516129,"Down",45792559,-29737202,16055357,-13003370,-13003370,3051987,-219100,-237223,18123,2832887,2832934,-500255,2332679,2332679,2332679,2332679,4843000,4843000,34221000,34221000,53552000,2635000,2635000,95251000,24027000,44977000,-20950000,25161000,17231000,3130000,49188000,144439000,8977000,8977000,10337785.6583571,20275000,44118000,2964000,2964000,47082000,67357000,24585000,69873000,-1380000,77082000,77082000,144439000,2333679,1128574,4372067,-5672742,2161578,-1580615,-510188.547550921,-510187.542686943,-1580615,-463356,1074686,-970354,-389391,-389391,-73636,-463027,4180561,44507000,-2572541,0.35061,0.06665,0.05094,0.03026,0.01615,-1.10283,4.69795,0.87384,0.30814,0.77151,1.09465,15.14545,25.49413,-0.85084,0.15325,0.02245,-0.02065,0.19864,9.48772,12.99612
"47","2022_Q2",31.9675806451613,"Down",43333000,-28365000,14968000,-13597000,-13597000,1371000,-303000,-305000,2000,1068000,1068000,-238000,830000,830000,830000,830000,5307000,5307000,34605000,34605000,60716000,3810000,3810000,104438000,23887000,45496000,-21609000,24752000,16888000,3064000,48639000,153077000,19876000,10939000,8937000,21377000,51140000,2787000,2787000,53927000,75304000,24877000,70245000,-1353000,77773000,77773000,153077000,830000,1026000,406000,-7741000,-5479000,-518000,-518000,-518000,-518000,-458000,7016000,6450000,453000,453000,11000,464000,2397000,51529000,-5624000,0.34542,0.03164,0.01915,0.01067,0.00542,-6.7759,4.88553,0.96825,0.33662,0.23573,0.2157,12.30702,22.08833,-1.59727,0.13008,0.00975,-0.04258,0.55181,19.28327,33.71408
"48","2022_Q3",28.03296875,"Down",56773000,-38225000,18548000,-14572000,-14572000,3976000,-573000,-424000,-149000,3403000,3403000,-665000,2738000,2738000,2738000,2738000,1760000,1760000,46991000,46991000,65039000,3647000,3647000,117437000,26277000,48558000,-22281000,34101000,21625000,4287000,60378000,177815000,31550000,21421000,10129000,33019000,61160000,3813000,3813000,64973000,97992000,25255000,72491000,-1927000,79823000,79823000,177815000,2738000,1057000,420000,-3906000,309000,-2243000,-2243000,-2243000,-11852000,-457000,10017000,9570000,-1973000,-1973000,-73000,-2046000,5033000,61549000,-451000,0.3267,0.07003,0.04823,0.0343,0.0154,-0.16472,3.55665,1.22762,0.34614,0.77762,0.71265,16.12411,22.67055,-0.12809,0.12979,0.02201,-0.00311,0.16691,11.8794,15.03747
