"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2012_Q4",488.756774193548,"Down",923619,-934142,-10523,-3211186,-1822806,-1388380,-3221709,-18112,95261,-113373,-3239821,-3239821,-2186394,-2186394,-2166686,-2166686,33296107,7829751,934991,934991,35117526,734734,3317448,3317448,7067890,42185416,3819088,458571,3360517,5783696,375000,6158696,158120719,-98517,-121893079,-90266,36038857,36026720,42185416,-1924239,407165,-1925377,-3442451,3136434,-111039,-111039,-417056,-417056,-222400,-639456,475000,-0.01139,-3.48814,-2.34587,-0.06014,-0.05136,6.07181,0.17095,0.01126,-42.16659,-42.16659,17.97485,701.36408,-0.05936,10.18748
"12","2013_Q1",401.008666666667,"Down",1388598,-1364097,24501,-4202357,-2416440,-1785917,-4177856,64762,76421,-11659,-4113094,-4113094,-4113094,-4113094,-4096395,-4096395,31722944,9353460,1065870,1065870,33853610,682933,2905094,2905094,3588027,37441637,3210867,440773,2770094,4984256,350000,5334256,158306865,-102388,-125989474,-78990,32136013,32107381,37441637,-4113094,1766100,-1824517,-4171511,5727948,-28871,-28870.9999999999,1527566,1527566,-3857,1523709,450000,0.01764,-3.00869,-2.95002,-0.12758,-0.10941,6.79211,0.16614,0.01202,-79.62099,-79.62099,26.98996,624.62269,-0.12582,7.4854
"13","2013_Q2",326.599375,"Down",460927,-460376,551,-3818704,-2547759,-1270945,-3818153,22128,358,21770,-3796025,-3796025,-3796025,-3796025,-3749970,-3749970,17333901,7337651,463627,463627,18121380,662713,2577681,2577681,3240394,21361774,4834773,1068379,3766394,5468598,1341782,6810380,159395415,-130707,-144421281,-98576,14744851,14551394,21361774,-3796025,605263,113232,-3077530,4080542,-31814,-31814,971198,971198,-6335,964863,841782,0.0012,-8.28364,-8.13571,-0.25771,-0.17555,3.31372,0.46802,0.03941,-72.84325,-72.84325,8.95352,286.41904,-0.23447,4.3194
"14","2013_Q3",334.1234375,"Up",1881768,-1765761,116007,-5535256,-1941207,-3594049,-5419249,62602,89954,-27352,-5356647,-5356647,-5356647,-5356647,-5337623,-5337623,25068791,13446531,1111575,1111575,26757546,845812,2713456,2713456,3559268,30316814,4158169,489850,3668319,5877985,9e+05,6777985,158924067,-111510,-135077067,-102477,23633013,23538829,30316814,-3307473,-323174,224717,-3405930,2646410,-25000,3412799,2653279,2653279,41354,2694633,4e+05,0.06165,-2.87987,-2.83649,-0.22676,-0.17606,4.55216,0.28795,0.01319,-103.62706,-103.62706,36.53351,458.82214,-0.21752,4.55207
"15","2013_Q4",386.1609375,"Up",865553,-890051,-24498,-2969597,-2367849,-601748,-2994095,43582,21804,21778,-2950513,-2950513,-1497270,-1497270,-1465771,-1465771,23056146,8954941,839799,839799,24551199,815384,2734524,2734524,3549908,28101107,3636815,375570,3261245,4200492,1716524,5917016,159062433,-123893,-136542838,-85167,22310535,22184091,28101107,-3546444,1702822,113331,-1730291,1194231,-39691,-3477490,-4013550,-4013550,-44465,-4058015,1216524,-0.0283,-3.45917,-1.69345,-0.06607,-0.05216,5.84484,0.26672,0.04329,-28.44976,-28.44976,16.79988,433.03442,-0.06107,7.29423
"16","2014_Q1",671.523934426229,"Up",407881,-364633,43247.9999999999,-4130966,-2269942,-1861024,-4087718,-85351,14261,-99612,-4173069,-4173069,-4173069,-4173069,-4128473,-4128473,20369493,6372788,280560,280560,21446385,700968,2683706,2683706,3384674,24831059,4410654,510031,3900623,5627769,1082033,6709802,159165768,-123893,-140671311,-79786,18290778,18121257,24831059,-4173069,-454449,1995621,-2631897,136390,-25000,-24999.9999999991,-2520507,-2520507,-61646,-2582153,582033,0.10603,-10.02184,-10.12176,-0.22782,-0.16626,3.81081,0.37027,0.02344,-80.0534,-80.0534,7.90904,354.6684,-0.21387,4.84071
"17","2014_Q2",488.854285714286,"Down",1540528,-1967164,-426636,-3042917,-3122972,80055,-3469553,120722,-58620,-5658,-3348831,-3348831,-3348831,-3348831,-3282752,-3282752,24872007,7627650,7977299,7977299,32849306,285450,2084769,2084769,2370219,35219525,4399804,660581,3739223,9736841,725000,10461841,180485214,-132016,-154923255,-227711,25202232,24757684,35219525,-3348831,261969,-80678,-3167540,-3006517,-26309,-25668,-6199725,-6199725,-31284,-6231009,225000,-0.27694,-2.25218,-2.13093,-0.1326,-0.09321,3.37371,0.42257,0.00639,-63.61024,-63.61024,29.85098,488.3464,-0.12832,7.1038
"18","2014_Q3",260.474375,"Down",-615993,1044452,428459,-4194768,-1233679,-2961089,-3766309,11641.9999999999,61857,134785,-3754667,-3754667,-3754667,-3754667,-3737775,-3737775,16530455,10032284,452895,452895,16983350,612612,3728827,3728827,4341439,21324789,4830989,502439,4328550,5714051,851276,6565327,162973070,-130707,-147691838,-151476,14999049,14759462,21324789,-4396478,599731,-5146690,-8943437,7706783,-25000,-24486,-1261140,-1261140,-127802,-1388942,351276,-0.69556,6.11421,6.06789,-0.25325,-0.17528,2.97221,0.44482,0.01647,-71.12401,-71.12401,-11.72138,285.40845,-0.23791,4.29577
"19","2014_Q4",191.581875,"Down",199622,-193213,6409,-2557506,-1771560,-785946,-2551097,26784,3336,23448,-2524313,-2524313,-778418,-778418,-739790,-739790,17412802,5916638,660329,660329,18081630,562586,3672313,3672313,4234899,22316529,3879553,280102,3599451,4647219,1027164,5674383,165676567,-130707,-148431628,-213697,16900535,16642146,22316529,-136607,-394150,4589717,4058960,-2971307,-30505,5909599,6997252,6997252,166549,7163801,527164,0.03211,-12.77964,-3.70595,-0.04445,-0.03315,3.89085,0.34096,0.02362,-12.17307,-12.17307,3.28473,278.09435,-0.04163,6.61897
"20","2015_Q1",103.071475409836,"Down",374735,-394411,-19675.9999999999,-4128674,-3230756,-897918,-4148350,54212,23083,31129,-4094138,-3309138,-3309138,-3309138,-3208875,-3208875,28352540,13858659,6730747,6730747,35392018,317513,2375304,2375304,2692817,38084835,3432636,501397,2931239,9234138,750000,9984138,180471935,-130707,-151640503,-225733,28474992,28100697,38084835,-3309138,446296,4417781,1554939,-8174597,-25000,14568262,7948604,7948604,-6583,7942021,250000,-0.0525099999999998,-11.07009,-8.56305,-0.11419,-0.08426,3.83274,0.3553,0.00656,-42.27566,-42.27566,4.93699,375.14677,-0.11084,6.77439
"21","2015_Q2",118.266031746032,"Up",105666,-105666,0,-4389733,-1906945,-2482788,-4389733,275089,5123,18959,-4114644,-4114644,-4114644,-4114644,-4162041,-4162041,14237253,14237253,922189,922189,15283323,244587,373010,373010,617597,15900920,3947622,321675,3625947,4047622,625000,4672622,180950603,-132371,-168917096,-315312,11585824,11228298,15900920,-4114644,155012,841264,-3118368,93111,-25355,-25355,-3050612,-3050612,-47869,-3098481,125000,0,-41.54348,-39.38865,-0.37067,-0.26175,3.77588,0.41615,0.00786,-47.66237,-47.66237,1.21005,132.67717,-0.34819,3.21483
"22","2015_Q3",100.460625,"Down",3182650,-3859574,-676924,-2586549,-3924905,1338356,-3263473,-367192,-60319,-240866,-3630665,-3630665,-3630665,-3630665,-3490405,-3490405,22733986,6238708,904595,904595,23638581,265886,875380,875380,1141266,24779847,3290880,405595,2885285,3505953,7e+05,4205953,180625738,-132016,-159292949,-182530,21018243,20573894,24779847,-3028818,183371,-1020890,-3866337,-3412,-26369,-21571.0000000019,-3891320,-3891320,-6610.99999999999,-3897931,2e+05,-0.21269,-1.02539000000001,-1.0967,-0.16965,-0.14086,6.74241,0.20443,0.00807,-39.93243,-39.93243,36.41152,240.46191,-0.1633,6.90491
"23","2015_Q4",55.04609375,"Down",328511,-379106,-50595,-3039330,-1956702,-1082628,-3089925,-239209,6793,-246002,-3329134,-3329134,-2191262,-2191262,-2185971,-2185971,19918906,19868906,988800,988800,20926697,262850,708754,708754,971604,21898301,2590751,141896,2448855,2690751,675000,3365751,180711242,-132016,-161478920,-167971,18932335,18532550,21898301,-2793109,1099142,-6072952,-7766919,21087045,-24585,-28733,13291393,13291393,-284734,13006659,175000,-0.15401,-9.40585,-6.65418,-0.11795,-0.09982,7.77727,0.18161,0.00799,-24.97071,-24.97071,3.75264,216.26722,-0.11322,6.38977
"24","2016_Q1",36.1762295081967,"Down",488597,-327057,161540,-3704969,-1782641,-1922328,-3543429,256333,16769,5132.00000000003,-3287096,-3287096,-3287096,-3287096,-3276135,-3276135,17410734,17335734,706860,706860,18221064,263898,385924,385924,649822,18870886,2859946,352827,2507119,2959946,650000,3609946,180805178,-132016,-164755055,-229915,15688192,15260940,18870886,-3287096,326704,537788,-2422604,-5357,-25000,-24999.9999999991,-2452961,-2452961,-80211.0000000001,-2533172,150000,0.33062,-7.25224999999999,-6.70519000000002,-0.21467,-0.17361,6.15588,0.23655,0.00795,-37.42512,-37.42512,5.58152,179.21497,-0.20462,4.8712
"25","2016_Q4",69.5668253968254,"Down",4922,-4922,0,-3441618,-1690062,-1751556,-3441618,-189920,1165,-188158,-3631538,-3631538,-1957538,-1957538,-1957198,-1957198,9463258,9413258,629394,629394,10107186,206580,295912,295912,502492,10609678,3169964,451446,2718518,3244964,6e+05,3844964,180953679,-135938,-173901826,-151201,6764714,6764714,10609678,-4308000,1240000,1276000,-1792000,74000,21000,-11926000,-13644000,-13644000,-67000,-13711000,75000,0,-699.23161,-397.64283,-0.28932,-0.18447,3.11473,0.56839,0.00707,-20.76529,-20.76529,0.05222,71.7716,-0.26307,2.72786
"26","2017_Q1",52.4903225806452,"Down",238000,-333000,-95000,-761000,-1144000,383000,-856000,-44000,18000,178000,-9e+05,591000,-385000,-385000,-340000,-340000,8446000,8421000,1252000,1252000,9746000,170000,157000,157000,327000,10073000,3645000,586000,3059000,4603000,23000,4626000,193240000,-263000,-187370000,-160000,5447000,5447000,10073000,-3983000,531000,598000,-2854000,3000,10000,94000,-2757000,-2757000,74000,-2683000,58000,-0.39916,-3.59663999999987,-1.42856999999998,-0.06242,-0.03375,2.11731,0.84927,0.00576,-3.71582,-3.71582,2.60107,59.52957,-0.06176,9.79907
"27","2017_Q2",31.5422222222222,"Down",195000,-217000,-22000,-2743000,-1641000,-1102000,-2765000,65000,3000,62000,-2700000,-2663000,-2663000,-2663000,-2663000,-2663000,11439000,11414000,1257000,1257000,12782000,146000,157000,157000,303000,13085000,1713000,183000,1530000,2985000,14000,2999000,200562000,-295000,-190043000,-138000,10086000,10086000,13085000,-2663000,27000,-1602000,-4238000,-12000,-41000,7180000,2930000,2930000,90000,3020000,50000,-0.11282,-14.17949,-13.65641,-0.26403,-0.20352,4.28208,0.29734,0.00382,-23.89857,-23.89857,1.74999,90.51483,-0.26273,4.11899
"28","2017_Q3",25.3574603174603,"Down",177000,-35000,142000,-3443000,-1601000,-1842000,-3301000,-57000,-1000,-56000,-3358000,-2130000,-2130000,-2130000,-2130000,-2130000,12537185,12512185,3293728,3293728,15830913,220180,320599,320599,540779,16371692,3024286,142781,2881505,6106464,641167,6747631,192638671,-174894,-182676542,-163174,9624061,9624061,16371692,-2577000,79000.0000000001,56000,-2442000,-50999.9999999999,-10000,7416000,4923000,4923000,-22000,4901000,74963,0.80226,-18.64972,-12.0339,-0.22132,-0.1301,2.59248,0.70112,0.00458,-10.30874,-10.30874,0.85664,46.57836,-0.20682,3.77529
"29","2017_Q4",24.7488888888889,"Down",221000,-363000,-142000,-2567000,-1617000,-950000,-2709000,-2000,24000,-26000,-2711000,-2815000,-2117000,-2117000,-2117000,-2117000,11135000,11110000,960000,960000,12095000,195000,131000,131000,326000,12421000,3310000,189000,3121000,4597000,32000,4629000,193006000,-260000,-184794000,-160000,7792000,7792000,12421000,-1670000,-645000,1443000,-872000,91000,-141000,-2638000,-3419000,-3419000,-123000,-3542000,66000,-0.64253,-12.25792,-9.57919,-0.27169,-0.17044,2.63106,0.59407,0.00531,-8.58878,-8.58878,0.89661,31.61254,-0.26941,4.08601
"30","2018_Q1",22.6888524590164,"Down",250000,-323000,-73000,-2839000,-1704000,-1135000,-2912000,6000.00000000001,2000,4000.00000000001,-2906000,-2576000,-2576000,-2576000,-2576000,-2576000,8446000,8421000,1252000,1252000,9746000,170000,157000,157000,327000,10073000,3645000,586000,3059000,4603000,23000,4626000,193240000,-263000,-187370000,-160000,5447000,5447000,10073000,-2576000,-64000,154000,-2486000,-15000,-11000,-11000.0000000009,-2512000,-2512000,12000,-2500000,58000,-0.292,-11.648,-10.304,-0.47292,-0.25573,2.11731,0.84927,0.00576,-8.96624,-8.96624,0.87017,18.95929,-0.46794,2.88049
