"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"31","2018_Q2",22.09578125,"Down",31000,-142000,-111000,-3201000,-2052000,-1149000,-3312000,-13000,13000,-26000,-3325000,-3240000,-3240000,-3240000,-3240000,-3240000,7669000,7644000,1152000,1152000,8923000,706000,155000,155000,861000,9784000,2205000,354000,1851000,2559000,145000,2704000,208314000,-3e+05,-200778000,-156000,7080000,7080000,9784000,-3240000,68000,-621000,-3793000,-30000,-9000,-9000,-3832000,-3832000,-31000,-3863000,14000,-3.58065,-106.83871,-104.51613,-0.45763,-0.33115,3.48691,0.38192,0.00143,-5.28174,-5.28174,0.05054,11.54158,-0.44758,2.31129
"32","2018_Q3",14.688253968254,"Down",258000,-51000,207000,-2267000,-1336000,-931000,-2060000,77000,-4000,81000,-1983000,-2e+06,-2e+06,-2e+06,-2e+06,-2e+06,16343000,16318000,1433000,1433000,17776000,177000,157000,157000,334000,18110000,1864000,324000,1540000,3105000,5000,3110000,208071000,-297000,-192621000,-153000,1.5e+07,1.5e+07,18110000,-3890000,81000,-12999.9999999999,-3822000,3000,-11000,57000.0000000005,-3762000,-3762000,-44000,-3806000,41000,0.80233,-7.98449999999998,-7.75193999999998,-0.13333,-0.11044,5.72496,0.20733,0.00226,-3.09958,-3.09958,0.39985,23.24685,-0.13297,7.91359
"33","2018_Q4",9.84873015873016,"Down",0,0,0,-2894000,-1576000,-1318000,-2894000,98000,42000,52000,-2796000,-2782000,-1663000,-1663000,-1663000,-1663000,14394000,14369000,1501000,1501000,15895000,657000,157000,157000,814000,16709000,1923000,234000,1689000,3145000,141000,3286000,208148000,-3e+05,-194284000,-141000,13423000,13423000,16709000,227000,-2000,-787000,-562000,-527000,-43000,14536000,13447000,13447000,218000,13665000,32000,2.04415556154366,32.177506482797,31.5018627842353,-0.12389,-0.09953,5.05405,0.2448,0.00192,-1.83246,-1.83246,0,14.79078,-0.12232,4.96268
"34","2019_Q1",6.05491803278689,"Down",222000,-570000,-348000,-2946000,-2024000,-922000,-3294000,0,32000,-32000,-3294000,-3254000,-3254000,-3254000,-3254000,-3254000,11524000,11499000,1560000,1560000,13255000,712000,154000,154000,866000,14121000,2551000,290000,2261000,3743000,142000,3885000,208234000,-3e+05,-197538000,-160000,10236000,10236000,14121000,-3254000,117000,618000,-2519000,-104000,-9000,-2000,-2625000,-2625000,-55000,-2680000,23000,-1.56757,-14.83784,-14.65766,-0.3179,-0.23044,3.54128,0.37954,0.00163,-3.60309,-3.60309,0.24582,11.33414,-0.31285,3.4915
"35","2019_Q2",2.53761904761905,"Down",202000,-367000,-165000,-2895000,-1697000,-1198000,-3060000,29000,42000,-13000,-3031000,-3025000,-3025000,-3025000,-3025000,-3025000,13332000,13332000,704000,704000,14107000,583000,1469000,1469000,2052000,16159000,1692000,98000,1594000,2078000,1253000,3331000,226105000,-302000,-212809000,-166000,12828000,12828000,16159000,-5690654.44523476,27568.3828603743,1214223.2500403,-4439415.30451791,181608.620083116,2042.59786524842,-13956651.204629,-18214330.4415655,-18214330.4415655,-215258.501280797,-18429588.9428463,0,-0.81683,-15.14851,-14.97525,-0.23581,-0.1872,6.78874,0.25967,0,-3.33262,-3.33262,0.22254,14.13253,-0.21483,4.35686
"36","2019_Q3",1.74546875,"Down",-30000,-413000,-443000,-3729000,-2205000,-1524000,-4172000,-63000,-21000,-42000,-4235000,-4105000,-4105000,-4105000,-4105000,-4105000,3851000,3851000,1545000,1545000,5863000,676000,155000,155000,831000,6694000,2505000,313000,2192000,2948000,147000,3095000,208733000,-301000,-204668000,-165000,3599000,3599000,6694000,-5187823.26083203,-161291.089012863,731578.53642979,-4601722.7957908,130477.525145152,-10241.6154730801,-14644281.7267756,-19115313.6787793,-19115313.6787793,-159176.178124624,-19274489.8569039,5000,14.76667,139.06667,136.83333,-1.14059,-0.61324,1.98881,0.85996,0.00075,-4.43221,-4.43221,-0.03239,3.88588,-1.09437,0.92186
"37","2019_Q4",1.2515625,"Down",268000,-4e+05,-132000,-3390000,-2007000,-1383000,-3522000,14000,2000,12000,-3508000,-3461000,-2611000,-2611000,-2611000,-2611000,2220000,2220000,1504000,1504000,3790000,632000,155000,155000,787000,4577000,2706000,173000,2533000,2981000,147000,3128000,209193000,-301000,-207279000,-164000,1449000,1449000,4577000,-3527000,-139000,233999.999999999,-3432000,12000.0000000001,-4999.99999999997,-287000,-3707000,-3707000,-52999.9999999999,-3760000,1000,-0.49254,-13.14179,-9.74254,-1.80193,-0.57046,1.27139,2.15873,0.00022,-2.72181,-2.72181,0.27937,1.5105,-1.63494,0.63004
"38","2020_Q1",0.685161290322581,"Down",192000,-123000,69000,-2586000,-1707000,-879000,-2517000,0,12000,-12000,-2517000,-2505000,-2505000,-2505000,-2505000,-2505000,16660000,16660000,896000,896000,17619000,592000,155000,155000,747000,18366000,2250000,312000,1938000,2444000,147000,2591000,226031000,-301000,-209784000,-171000,15775000,15775000,18366000,-2505000,140000,75000,-2290000,0,20000,16743000,14453000,14453000,-22000,14431000,0,0.359380000000002,-13.10938,-13.04688,-0.1588,-0.13639,7.20908,0.16425,-2.71050543121376e-20,-1.06426,-1.06426,0.08157,6.70206,-0.15733,6.61899
"39","2020_Q2",0.491269841269841,"Down",169000,-334000,-165000,-3239000,-1987000,-1252000,-3404000,19000,11000,8000,-3385000,-3385000,-3385000,-3385000,-3385000,-3385000,11065000,11065000,1520000,1520000,12606000,462000,1334000,1334000,1796000,14402000,2011000,228000,1783000,2730000,1555000,4285000,234108000,-302000,-223521000,-168000,10117000,10117000,14402000,-3025000,99000,-764000,-3605000,-28000,-18000,-19000,-3652000,-3652000,-20000,-3672000,0,-0.97633,-20.14201,-20.02959,-0.33459,-0.23504,4.61758,0.42354,0,-0.56039,-0.56039,0.02798,1.67487,-0.29001,3.25059
"40","2020_Q3",0.9565625,"Up",237000,-321000,-84000,-2802000,-1547000,-1255000,-2886000,51000,63000,-12000,-2835000,-2829000,-2829000,-2829000,-2829000,-2829000,10495000,10495000,1722000,1722000,13214000,559000,1485000,1485000,2044000,15258000,2107000,177000,1930000,3312000,1198000,4510000,227221000,-302000,-215998000,-173000,10748000,10748000,15258000,-3189000,240000,221000,-2813000,-13000,0,746000,-2080000,-2080000,15000,-2065000,0,-0.354429999999999,-12.17722,-11.93671,-0.26321,-0.18541,3.98973,0.41961,1.0842021724855e-19,-0.45194,-0.45194,0.03786,1.71703,-0.23682,3.63652
"41","2020_Q4",2.2490625,"Up",725000,-680000,45000,-2991000,-2095000,-896000,-2946000,27000,28000,-1000,-2919000,-2919000,-2919000,-2919000,-2919000,-2919000,9877000,9877000,1837000,1837000,11784000,536000,1436000,1436000,1972000,13756000,2326000,118000,2208000,2843000,1139000,3982000,229176000,-302000,-218917000,-183000,9774000,9774000,13756000,-2919000,148000,558000,-2213000,-20000,1000.00000000001,1626000,-607000.000000001,-607000.000000001,-10000,-617000,0,0.06207,-4.06345,-4.02621,-0.29865,-0.2122,4.14492,0.40741,0,-0.00015,-0.00015,4e-05,5e-04,-0.26748,3.35268
"42","2021_Q1",3.84622950819672,"Up",551000,-452000,99000,-2228000,-1287000,-941000,-2129000,15000,22000,-7000,-2114000,-2114000,-1219000,-1219000,-1219000,-1219000,10002000,10002000,1546000,1546000,11653000,499000,1386000,1386000,1885000,13538000,1573000,220000,1353000,1902000,1143000,3045000,231114000,-302000,-220136000,-183000,10493000,10493000,13538000,-1219000,56000,-943000,-1948000,-4000,1000,2094000,142000,142000,-17000,125000,-2.91038304567337e-11,0.17967,-3.86388,-2.21234,-0.11617,-0.09004,6.12671,0.29019,0,-0.16908,-0.16908,0.07642,1.45539,-0.10476,4.69798
"43","2021_Q2",2.47571428571429,"Down",202000,-367000,-165000,-2895000,-1697000,-1198000,-3060000,29000,42000,-13000,-3031000,-3025000,-3025000,-3025000,-3025000,-3025000,11065000,11065000,1520000,1520000,12606000,462000,1334000,1334000,1796000,14402000,2011000,228000,1783000,2730000,1555000,4285000,234108000,-302000,-223521000,-168000,10117000,10117000,14402000,-3385000,160000,451000,-2737000,-33361.7861005069,890000,3768000,1031000,1031000,32000,1063000,890000,-0.81683,-15.14851,-14.97525,-0.299,-0.21004,4.61758,0.42354,0.0618,-0.19295,-0.19295,0.01288,0.64533,-0.25066,3.32516
"44","2021_Q3",2.09421875,"Down",85000,-183000,-98000,-3248000,-2131000,-1117000,-3346000,-32000,-22000,23000,-3378000,-3384000,-3384000,-3384000,-3384000,-3384000,15244000,15244000,1610000,1610000,16854000,425000,1282000,1282000,1707000,18561000,2713000,148000,2565000,3462000,1449000,4911000,240672000,-302000,-226545000,-175000,13650000,13650000,18561000,-3024000,160000,-117000,-2945000,-65533.7696024726,350000,6807000,3862000,3862000,-5000,3857000,495000,-1.15294,-39.36471,-39.81176,-0.24791,-0.18232,4.86828,0.35978,0.02667,-0.16844,-0.16844,0.00423,0.67944,-0.22412,4.40795
"45","2021_Q4",1.94734375,"Down",317000,-698000,-381000,-2782000,-1763000,-1019000,-3163000,12000,25000,3000,-3151000,-3151000,-3151000,-3151000,-3151000,-3151000,79801000,79801000,1448000,1448000,81249000,417000,1227000,1227000,1644000,82893000,2589000,74000,2515000,3312000,1382000,4694000,310393000,-338000,-229696000,-2160000,78199000,78199000,82893000,-3151000,166000,109000,-2843000,-17000,-175000,67412000,64552000,64552000,5000,64557000,0,-1.20189,-9.97792,-9.94006,-0.04029,-0.03801,24.5317,0.06003,0,-0.09346,-0.09346,0.0094,2.31939,-0.03959,25.22953
"46","2022_Q1",1.27629032258065,"Down",602000,-1031000,-429000,-3594000,-2293735.2753063,-1282663.16276655,-4023000,47000,79000,2000,-3976000,-5200000,-5200000,-5200000,-5200000,-5200000,83028000,83028000,1061000,1061000,84439000,406000,1532000,1258000,1938000,86377000,2568000,687000,1881000,4694000,1215000,5909000,315872000,-338000,-234895000,-171000,80468000,80468000,86377000,-5200000,505000,1503000,-3149000,91000,-175000,6183000,3125000,3125000,102000,3227000,891000,-0.71262,-6.68272,-8.63787,-0.06462,-0.0602,17.98871,0.07343,0.01032,-0.22452,-0.22452,0.02599,3.47431,-0.06328,20.41685
"47","2022_Q2",0.966774193548387,"Down",272000,-423000,-151000,-4880000,-2909000,-1971000,-5031000,20000,20000,7043.63272183697,-5011000,-4120000,-3079000,-3079000,-3079000,-3079000,77720000,77720000,1195000,1195000,79361000,373000,1457000,1189000,1830000,81191000,2275000,454000,1821000,2652000,774000,3426000,316263000,-338000,-237975000,-185000,77765000,77765000,81191000,-3079000,-432000,-1822000,-5287000,-7000,736085.770555133,-62789284.7328135,-5294000,-5294000,-14000,-5308000,0,-0.55515,-18.49632,-11.31985,-0.03959,-0.03792,29.92496,0.04406,0,-0.05869,-0.05869,0.00519,1.48242,-0.0392,15.44822
"48","2022_Q3",0.937755102040816,"Down",247000,-3e+05,-53000,-5131000,-2049000,-3082000,-5184000,13000,18000,-5000,-5171000,-5171000,-5171000,-5171000,-5171000,-5171000,72630000,72630000,1269000,1269000,74079000,360000,1381000,1119000,1741000,75820000,1853000,277000,1576000,2357000,690000,3047000,316441000,-338000,-243191000,-139000,72773000,72773000,75820000,-5171000,232000,-185000,-5088000,-17000,3068257.3116654,21000,-5084000,-5084000,-6000,-5090000,0,-0.21457,-20.98785,-20.93522,-0.07106,-0.0682,31.42936,0.04187,0,-0.09857,-0.09857,0.00471,1.38726,-0.07039,14.01042
