"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",5.90873015873016,"Up",1.337e+09,-1396100000,-59100000,-59100000,-25600000,-26100000,5e+05,-84700000,-8.5e+07,15300000,-6e+05,-70300000,-70300000,5700000,-64600000,-71500000,5364478738.02159,5341140723.58225,5544231306.66422,5544231306.66422,320989934.938383,320989934.938287,11623458850.967,492100787.943517,3535449418.08348,3070936739.40389,38610857.9761693,425901820.703417,4027550206.02699,15651009056.994,10716908800.3409,16525697846.6534,-5808789046.31245,-1069180569.62012,9647728230.7209,2239281454.0389,800412208.631228,382698187.848109,417714020.783119,3039693662.67013,12687421893.391,2499764290.97293,248666762.193579,-394219800.108847,2562596682.74427,400990480.858669,2963587163.60293,15651009056.994,-70300000,37400000,-1.4e+07,-508600000,-555500000,-9400000,-2100000,1.3e+07,-6900000,-7800000,0,-1500000,-16200000,-558700000,-558700000,-7700000,-566400000,-21700000,0,-5.55e+08,-0.0442,-0.0442,-0.05348,0.397394539737013,0.0860880374997014,7.76224,1.24328914371696,4.3817391326908,0.0594867452832913,-0.15271,-0.14072,2.85562,2.74482827162725,-1.18539,0.01474,0.200029738971838,1.28143099065751,-0.0965,-30.2418042751799,-17.3812771375236
"2","2010_Q3",6.15984375,"Up",1611700000,-1433900000,177800000,177800000,-3.1e+07,-28900000,-2100000,146800000,146200000,-63300000,2e+05,83100000,83100000,-6e+05,82500000,105300000,1942400000,1929900000,3724500000,3724500000,282400000,282400000,7180800000,440400000,4083400000,3278300000,377200000,427900000,4523800000,11704600000,6449800000,4004800000,2.445e+09,285900000,6735700000,1.628e+09,863700000,477500000,386200000,2491700000,9227400000,2.51e+09,-306900000,-240800000,2169700000,307500000,2477200000,11704600000,83100000,36800000,68100000,165300000,353300000,-18900000,-799999.999999993,-22300000,-6900000,-1e+07,-265900000,-16900000,-299700000,31299999.9999999,31299999.9999999,-30200000,1100000,214600000,1913900000,424300000,0.11032,0.11032,0.06533,0.04251,0.009,4.02944,1.06608,3.72493,0.16352,0.19325,0.19325,2.95779,3.57533,0.77867,0.01266,0.02135,0.08075,0.06553,-0.13281,-0.16029
"3","2010_Q4",7.48609375,"Up",1553400000,-1451800000,101600000,101600000,-3.1e+07,-27900000,-3100000,70600000,69200000,-24400000,8e+05,45600000,45600000,-3e+05,45300000,42400000,1.939e+09,1927700000,3805400000,3805400000,2.42e+08,2.42e+08,7315800000,441100000,4193700000,3350400000,396500000,446800000,4634800000,11950600000,6517700000,3967800000,2549900000,355300000,6.873e+09,1588900000,887700000,498400000,389300000,2476600000,9349600000,2512100000,-261600000,-161800000,2296100000,304900000,2.601e+09,11950600000,45600000,37300000,8600000,-51100000,40400000,-21400000,3.2e+07,-74300000,-2900000,19500000,1e+06,-29400000,-11800000,-45700000,-45700000,43500000,-2200000,138900000,1944200000,90800000,0.0654,0.0654,0.02729,0.0163,0.00355,2.14151,1.06443,3.59462,0.16269,0.0893,0.07946,3.27169,4.36942,0.19124,0.00611,0.00833999999999999,0.01671,0.0684,0.0374399999999993,0.0511800000000003
"4","2011_Q1",8.33290322580645,"Up",2005200000,-1676800000,328400000,328400000,-10500000,-28100000,17600000,317900000,320200000,-98900000,1500000,222800000,222800000,-24900000,197900000,1.95e+08,2689400000,2675700000,4317600000,4317600000,229400000,229400000,8453500000,454300000,4.163e+09,3368500000,334200000,460300000,4617300000,13070800000,7587200000,6806700000,780500000,153700000,7740900000,1583300000,888500000,486100000,402400000,2471800000,10212700000,2504300000,-63700000,-1.19e+08,2.529e+09,329100000,2858100000,13070800000,222800000,36900000,74600000,644800000,979100000,-46600000,20600000,-24900000,-2900000,-201600000,-1e+06,-14500000,-2.2e+08,734200000,734200000,13800000,7.48e+08,365300000,1.737e+09,1062400000,0.16377,0.16377,0.09725,0.06823,0.01492,5.44821,1.09206,3.57325,0.13289,0.41018,0.41018,4.21792,4.85381,2.23475,0.0061,0.03609,0.19374,0.01487,-2.60717,-2.90012
"5","2011_Q2",8.32666666666667,"Down",1474800000,-1519300000,-44500000,-44500000,-29700000,-23600000,-6100000,-74200000,-7.5e+07,21500000,3e+05,-53200000,-53200000,8e+06,-45200000,-48100000,1854300000,1840200000,3995400000,3995400000,266600000,266600000,7474100000,445500000,4257600000,3407700000,398900000,4.51e+08,4703100000,12177200000,6744200000,4010600000,2733600000,568600000,7312800000,1165900000,879800000,4.77e+08,402800000,2045700000,9358500000,2483700000,-108900000,-73800000,2497900000,320800000,2818700000,12177200000,-53200000,35600000,-25500000,-758600000,-801700000,-16900000,-2e+05,-16800000,-31400000,-5800000,-2100000,-6100000,-45400000,-863900000,-863900000,28400000,-835500000,-8900000,1734500000,-805900000,-0.03017,-0.03017,-0.03261,-0.01706,-0.00395,16.75468,1.02206,3.32015,0.14244,-0.10156,-0.08873,3.11402,4.80659,-1.70165,0.0663,-0.00307000000000001,-0.14833,-0.65281,13.46067,2.69213
"6","2011_Q3",6.665625,"Down",1740700000,-1567500000,173200000,173200000,-18100000,-23400000,5300000,155100000,155900000,-47600000,6e+05,108900000,108900000,-4300000,104600000,101700000,1.824e+09,1809800000,4160900000,4160900000,260100000,260100000,7593700000,450800000,4257100000,3427100000,3.73e+08,4.57e+08,4707900000,12301600000,6914100000,4064700000,2849400000,598600000,7512700000,1167800000,853500000,451400000,402100000,2021300000,9.534e+09,2446100000,-4300000,-46600000,2463600000,3.04e+08,2767600000,12301600000,108900000,37700000,34300000,19100000,2e+08,-36200000,400000.000000007,-67700000,-31200000,2.9e+07,-125200000,-47900000,-175300000,-4.3e+07,-4.3e+07,12600000,-30400000.0000002,210900000,1766400000,241400000,0.0995,0.0995,0.05842,0.03675,0.00827,2.37365,1.01078,3.44486,0.14359,0.21497,0.18596,3.67935,4.73917,0.51025,0.06595,0.02467,0.04481,0.30678,-0.27312,-0.33256
"7","2011_Q4",6.42984126984127,"Down",1726500000,-1553300000,173200000,173200000,113900000,-23200000,137100000,287100000,287100000,-70400000,8e+05,217500000,217500000,-6500000,2.11e+08,208100000,1798800000,1.785e+09,3654400000,3654400000,250800000,250800000,7229300000,441500000,4155100000,3405400000,309200000,440500000,4596600000,11825900000,6558200000,5934200000,6.24e+08,558400000,7116600000,1166200000,871900000,447300000,424600000,2038100000,9154700000,2445600000,176200000,-181600000,2378600000,292600000,2671200000,11825900000,217500000,36200000,-56900000,-3.9e+07,157800000,-30200000,142500000,93600000,-30500000,-13500000,-129800000,-28200000,-2.02e+08,49400000,49400000,-74200000,-24800000,209400000,1724600000,210600000,0.10032,0.10032,0.12053,0.07791,0.0176,1.01201,1.01584,3.42719,0.14583,0.44782,0.38709,3.7153,4.64192,0.4532,0.06563,0.04529,0.03998,0.14656,-0.354350000000001,-0.42841
"8","2012_Q1",7.98354838709677,"Up",2072600000,-1686300000,386300000,386300000,-14900000,-28800000,13900000,371400000,370400000,-93700000,1600000,278300000,278300000,-16400000,261900000,2.59e+08,2315600000,2302700000,4425400000,4425400000,3.64e+08,3.64e+08,8352200000,459800000,4096700000,3444300000,181200000,471200000,4556500000,12908700000,7477200000,6647200000,8.3e+08,558300000,8035500000,1210900000,921600000,440300000,481300000,2132500000,1.0168e+10,2475700000,405100000,-225700000,2461700000,2.79e+08,2740700000,12908700000,278300000,41400000,81400000,316300000,717400000,-5.7e+07,-131600000,-67900000,-29600000,-6100000,-131700000,49100000,-118300000,531200000,531200000,-13500000,517700000,427700000,1769200000,780700000,0.18638,0.18638,0.12496,0.0945,0.02006,3.01429,1.03941,3.71,0.13705,0.55639,0.4791,4.45242,4.81246,1.67712,0.06359,0.05313,0.14374,0.11429,-1.27753,-1.41444
"9","2012_Q2",7.91634920634921,"Down",1506800000,-1546200000,-39400000,-39400000,-25900000,-24600000,-1300000,-65300000,-65300000,19200000,4e+05,-45700000,-45700000,2700000,-4.3e+07,-45900000,1586900000,1573100000,3732100000,3732100000,346200000,346200000,7112500000,451100000,4202300000,3.463e+09,254800000,484500000,4653400000,11765900000,6605800000,5929100000,676700000,381300000,6987100000,1239700000,887300000,4.2e+08,467300000,2.127e+09,9114100000,2485900000,335700000,-181800000,2393900000,257900000,2651800000,11765900000,-45700000,34600000,-19400000,-4.68e+08,-498500000,-22400000,3500000,-21300000,-29100000,-149500000,-47600000,-2800000,-2.29e+08,-748800000,-748800000,19200000,-729600000,-4800000,1.621e+09,-514400000,-0.02615,-0.02615,-0.03046,-0.01731,-0.0039,11.20697,1.01795,3.43695,0.13777,-0.10489,-0.10489,3.44333,4.96435,-1.1755,0.0665,-0.00326,-0.09969,-0.63399,-7.10417,-0.86548
"10","2012_Q3",7.99301587301587,"Up",1715700000,-1539300000,176400000,176400000,-21300000,-2.6e+07,4700000,155100000,155100000,-50100000,5e+05,105500000,105500000,-3600000,101900000,99000000.0000001,1514700000,1.502e+09,3741300000,3741300000,477200000,477200000,7237300000,4.47e+08,4167300000,3461700000,203200000,502400000,4614300000,11851600000,6620500000,6026600000,593900000,394700000,7015200000,1238700000,9.23e+08,420800000,502200000,2161700000,9176900000,2495600000,408200000,-168300000,2.424e+09,250700000,2674700000,11851600000,105500000,36800000,22600000,-7e+06,157900000,-35800000,-3600000,-76300000,-2.9e+07,24300000,-62800000,-44600000,-112100000,-30500000,-30500000,-40600000,-71100000,213200000,1633400000,220500000,0.10282,0.10282,0.0577,0.03701,0.00835,2.22727,1.03166,3.431,0.13782,0.22634,0.20548,3.9225,5.03544,0.50412,0.0663,0.02447,0.04215,0.29293,0.55675,0.6729
