"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2018_Q2",4.61078125,"Down",1503000,-5418000,-2010000,-3408000,-3915000,-430000,-4345000,2342000,-28000,2314000,2314000,2314000,1975000,17495000,17495000,13349000,13349000,1052000,1052000,31896000,1014000,24641000,56537000,3883000,1744000,2139000,2037000,7801000,25431000,108774000,-77668000,31106000,31106000,56537000,2314000,-6260000,-7155000,-10590000,26779000,15924000,15924000,15924000,4950000,-2.60479,1.31404,0.06349,0.03493,4.08871,0.81756,0.08755,0.54015,0.37266,0.41106,8.50737,0.03902,3.20434
"2","2018_Q3",3.03984126984127,"Down",608000,-6783000,-1771000,-5012000,-6175000,-299000,-6474000,-8870000,-1000,-8871000,-8871000,-8871000,-8871000,23921000,23921000,561000,561000,1021000,1021000,25503000,1034000,22256000,47759000,3824000,1449000,2375000,3150000,8794000,25406000,108892000,-86539000,22353000,22353000,47759000,-8871000,2557000,12490000,7102000,-198999.999999996,6426000,6426000,6426000,4516000,-10.15625,-14.59046,-0.39686,-0.18575,2.90005,1.13658,0.09456,-2.52504,-2.52504,0.17306,6.36255,-0.21751,3.14251
"3","2018_Q4",2.97555555555556,"Down",281000,-6055000,-1674000,-4381000,-5774000,-136000,-5910000,-6548000,0,-6548000,-6548000,-6548000,-6548000,17922000,17922000,256000,256000,989000,989000,19167000,1059000,21469000,40636000,2978000,1301000,1677000,3279000,8026000,24648000,109075000,-93087000,15988000,15988000,40636000,-6548000,863000,-615000,-5358000,-173000,-5999000,-5999000,-5999000,4090000,-20.54804,-23.30249,-0.40956,-0.16114,2.38811,1.54166,0.10065,-0.91693,-0.91693,0.03935,2.23884,-0.19047,2.39557
"4","2019_Q1",1.90540983606557,"Down",1767000,-5700000,-1226000,-4474000,-3933000,-164000,-4097000,-4822000,-80000,-4902000,-4902000,-4902000,-4902000,11506000,11506000,1796000,1796000,1343000,1343000,14645000,1066000,20582000,35227000,2480000,962000,1518000,3328000,7475000,23989000,109227000,-97989000,11238000,11238000,35227000,-4902000,664000,-2288000,-5702000,-195000,-6416000,-6416000,-6416000,3611000,-2.22581,-2.77419,-0.4362,-0.13915,1.9592,2.13463,0.10251,-0.44753,-0.52652,0.16132,1.02597,-0.16663,2.00737
"5","2019_Q2",0.837460317460317,"Down",5407000,-5855000,-2026000,-3829000,-448000,-97000,-545000,-1089000,-250000,-1339000,-1339000,-1339000,-1339000,8424000,8424000,5584000,5584000,1242000,1242000,15250000,1559000,21059000,36309000,2576000,849000,1727000,4307000,8550000,23733000,111931000,-99355000,12576000,12576000,36309000,-1339000,743000,-5157000,-4653000,-552000,-3082000,-3082000,-3082000,3229000,-0.08286,-0.24764,-0.10647,-0.03688,1.78363,1.88717,0.08893,-0.18339,-0.18339,0.74056,1.72246,-0.0455,11.59598
"6","2019_Q3",0.65265625,"Down",85000.0000000009,-5082000,-1375000,-3707000,-4997000,-111000,-5108000,-5624000,-13000,-5637000,-5637000,-5637000,-5637000,16258000,16258000,35000,35000,814000,814000,17107000,1517000,20143000,37250000,2095000,610000,1485000,3715000,7477000,21405000,120837000,-104992000,15845000,15845000,37250000,-5637000,725000,3598000,-317000,-159000,7834000,7834000,7834000,2842000,-58.78824,-66.31765,-0.35576,-0.15133,2.28795,1.3509,0.0763,-0.3851,-0.3851,0.00580999999999998,1.08247,-0.17929,2.68481
"7","2019_Q4",0.33109375,"Down",454000,-5168000,-1455000,-3713000,-4714000,-15000,-4729000,-5229000,-31000,-5260000,-5260000,-5260000,-5260000,19558000,19558000,559000,559000,1137000,1137000,21254000,1469000,21441000,42695000,2652000,1049000,1603000,4048000,9154000,23792000,129155000,-110252000,18903000,18903000,42695000,-5260000,675000,-5e+05,-4328000,-127000,3300000,3300000,3300000,2454000,-10.38326,-11.5859,-0.27826,-0.1232,2.32183,1.25864,0.05748,-0.32256,-0.32256,0.02784,1.15919,-0.14613,3.62834
"8","2020_Q1",1.27306451612903,"Up",3916000,-4622000,-1331000,-3291000,-706000,25000,-681000,-6213000,-196000,-6409000,-6409000,-6409000,-6409000,13526000,13526000,3619000,3619000,453000,453000,17598000,210000,19434000,37032000,5417000,852000,4565000,3757000,9174000,24080000,129613000,-116661000,12952000,12952000,37032000,-6409000,2016000,-140999.999999999,-3792000,-12000,-6032000,-6032000,-6032000,0,-0.180289999999999,-1.63662,-0.49483,-0.17307,1.91825,1.85917,-6.93889390390723e-18,-0.13343,-0.13343,0.08153,0.26965,-0.23006,19.15864
"9","2020_Q2",2.87285714285714,"Up",2902000,-3532000,-1990000,-1542000,-630000,41000,-589000,-1144000,-153000,-1297000,-1297000,-1297000,-1297000,29859000,29859000,2663000,2663000,1143000,1143000,33665000,191000,18899000,52564000,5073000,793000,4280000,2368000,7441000,21271000,149251000,-117958000,31293000,31293000,52564000,-1297000,587000,-3078000,-3208000,-1000,16333000,16333000,16333000,0,-0.21709,-0.44693,-0.04145,-0.02467,4.52426,0.67974,0,-0.02138,-0.02138,0.04783,0.51573,-0.02874,47.39524
"10","2020_Q3",8.90578125,"Up",523000,-9010000,-3896000,-5114000,-8487000,21000,-8466000,-8951000,-26000,-8977000,-8977000,-8977000,-8977000,44388000,44388000,227000,227000,1111000,1111000,45726000,345000,18464000,64190000,7544000,1166000,6378000,3954000,11498000,23955000,167170000,-126935000,40235000,40235000,64190000,-8977000,3306000,4537000,-521000,-9000,14529000,14529000,14529000,0,-16.22753,-17.16444,-0.22311,-0.13985,3.97687,0.59538,0,-0.12021,-0.12021,0.007,0.5388,-0.17037,5.23012
"11","2020_Q4",6.35921875,"Down",265000,-8806000,-4190000,-4616000,-8541000,-6000,-8547000,-8059000,-26000,-8085000,-8085000,-8085000,-8085000,133438000,133438000,250000,250000,1903000,1903000,135591000,662000,19119000,154710000,5595000,1871000,3724000,4707000,10302000,23032000,266698000,-135020000,131678000,131678000,154710000,-8085000,1379000,-3202000,-9255000,-308000,89050000,89050000,89050000,0,-32.23019,-30.50943,-0.0614,-0.05226,13.16162,0.17491,0,-0.07485,-0.07485,0.00245,1.21912,-0.05599,15.62323
"12","2021_Q1",7.69262295081967,"Up",356000,-13717000,-5126000,-8591000,-13361000,6000,-13355000,-13828000,-33000,-13861000,-13861000,-13861000,-13861000,126870000,126870000,334000,334000,1327000,1327000,128531000,1480000,24051000,152582000,6932000,2133000,4799000,4831000,11763000,29178000,272285000,-148881000,123404000,123404000,152582000,-13861000,960000,1271000,-10766000,-902000,-6568000,-6568000,-6568000,0,-37.5309,-38.93539,-0.11232,-0.09084,10.92672,0.23644,0,-0.12622,-0.12622,0.00324,1.12369,-0.09843,9.49555
"13","2021_Q2",6.9815873015873,"Down",506000,-16017000,-5944000,-10073000,-15511000,8000,-15503000,-15969000,-38000,-16007000,-16007000,-16007000,-16007000,170696000,157311000,7e+05,7e+05,4024000,4024000,175420000,2245000,30446000,205866000,7814000,4638000,3176000,3828000,11642000,29631000,341128000,-164888000,176235000,176235000,205866000,-16007000,1717000,-3298000,-16592000,-20559000,30441000,30441000,30441000,0,-30.65415,-31.63439,-0.09083,-0.07775,15.06786,0.16813,0,-0.13868,-0.13868,0.00438,1.52687,-0.08242,11.00484
"14","2021_Q3",8.23140625,"Up",112000,-15887000,-5150000,-10737000,-15775000,23000,-15752000,-16086000,-30000,-16116000,-16116000,-16116000,-16116000,184584000,165266000,107000,107000,4801000,4801000,189492000,4339000,39352000,228844000,7839000,3702000,4137000,4941000,12780000,29062000,380795000,-181004000,199782000,199782000,228844000,-16116000,2962000,-998000.000000001,-13159000,-15949000,7954999.99999999,7954999.99999999,7954999.99999999,-4.54747350886464e-13,-140.84821,-143.89286,-0.08067,-0.07042,14.82723,0.14547,-6.7762635780344e-21,-0.13963,-0.13963,0.00097,1.73087,-0.07459,11.70105
"15","2021_Q4",6.82828125,"Down",2e+05,-17451000,-5042000,-12409000,-17251000,26000,-17225000,-17562000,-21000,-17583000,-17583000,-17583000,-17583000,187669000,167231000,190000,190000,4441000,4441000,192300000,5427000,48836000,241136000,8132000,3745000,4387000,4463000,12595000,36188000,403538000,-198587000,204948000,204948000,241136000,-17583000,2467000,-172000,-14267000,-4412000,1965000,1965000,1965000,0,-86.255,-87.915,-0.08579,-0.07292,15.26796,0.17657,0,-0.14182,-0.14182,0.00161,1.65302,-0.07694,10.87873
"16","2022_Q1",5.065,"Down",74000,-21284000,-5754000,-15530000,-21210000,23000,-21187000,-20746000,-18000,-20764000,-20764000,-20764000,-20764000,166487000,143745000,71000,71000,2609000,2609000,169167000,6601000,52001000,221168000,8936000,3872000,5064000,1847000,10783000,33637000,406956000,-219351000,187531000,187531000,221168000,-20764000,2502000,1250000,-15814000,-8177000,-23486000,-23486000,-23486000,0,-286.62162,-280.59459,-0.11072,-0.09388,15.68831,0.17937,4.2351647362715e-22,-0.16747,-0.16747,6e-04,1.51254,-0.0987,7.84946
