"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",23.5885714285714,"Up",252963000,-106685000,146278000,-112231000,-28583000,-83648000,34047000,-16885000,-18988000,-2378000,4481000,17162000,17162000,-1305000,15857000,15857000,206000,16063000,16063000,-147650552.695215,-147650552.695215,19420752.0428754,19420752.0428754,54342457.351025,-17874995.3172674,17357007.0260105,169708213.285296,-91762338.6185818,2956124666.56768,4508320458.28439,-1552195791.71672,209189472.699594,739624135.934719,715426414.834469,3904938275.20199,3813175936.58341,275420803.873434,189647177.658969,84515101.2678667,839090.947538897,-233929786.674891,-233929786.674891,566539586.341017,679745824.723267,1376274804.09599,420277491.366165,-208496173.99805,2056020628.81925,2622560215.16027,694397271.229906,512124627.367042,-19653361.9531275,1186726246.96923,3889474.45390685,1190615721.42314,3813175936.58341,15857000,30435000,-22693000,76851000,100450000,-68363000,-215000,-70778000,-14475000,-28714000,-335000,-41223000,-11551000,-11551000,-11551000,64482000,0,74275000,0.57826,0.13459,0.0635,-0.132088212267671,-0.0441129990942759,4.62398,-0.813426454595976,2.15193598526833,0.316935375821712,0.33624,0.33545,5.2951,23.4438163923152,1.55475,0.303,-0.0432323432159747,-0.0133566676509534,0.90114,90.8643692698856,183.148658362069
"2","2010_Q3",24.4859375,"Up",241753000,-85977000,155776000,-119171000,-28726000,-90445000,36605000,-13997000,-17389000,380000,3012000,22608000,22608000,16629000,39237000,39237000,-28000,39209000,39209000,29488000,29488000,64216000,64216000,47436000,153724000,10340000,109693000,294864000,3016171000,4602289000,-1586118000,201650000,768102000,745461000,3985923000,4280787000,121352000,78075000,21456000,21821000,70323000,70323000,338975000,1288802000,1219170000,559862000,659308000,2507972000,2846947000,762903000,675601000,-8678000,1429809000,4031000,1433840000,4280787000,39237000,30588000,-250999.999999996,17191000,86765000,-94827000,16766000,-77881000,-14355000,-8600000,-29000.0000000009,-20832000,-11948000,-11948000,-11948000,67193000,1436102000,-27072000,0.64436,0.15141,0.16219,0.02735,0.00916,-0.690450000000001,0.86987,1.98554,0.33548,0.81875,0.81606,5.04819,29.85673,-0.56531,0.29976,0.0131,-0.00662,0.36611,20.93394,38.42683
"3","2010_Q4",25.69828125,"Up",309357000,-92632000,216725000,-127732000,-29137000,-98595000,88993000,-11754000,-18745000,3442000,3549000,77239000,77239000,-10114000,67125000,67125000,10000,67135000,67135000,185313000,185313000,69263000,69263000,45331000,167981000,9983000,89021000,467888000,3087179000,4689447000,-1602268000,202921000,816405000,794024000,4106505000,4574393000,107142000,80892000,-3.72529029846191e-09,26250000,144693000,144693000,382450000,1488205000,1182470000,582808000,599662000,2670675000,3053125000,796515000,728266000,-7517000,1517247000,4021000,1521268000,4574393000,67125000,30234000,-3694000,-58351000,35314000,-80848000,-3080000,-81908000,-14383000,186500000,-2485000,202419000,155825000,155825000,155825000,119227000,1618820000,-9858000,0.70057,0.28767,0.21701,0.04413,0.01468,-0.14684,1.2234,2.00696,0.35389,1.39614,1.39128,6.43341,31.55278,-0.20501,0.29911,0.01886,-0.00228,0.21424,12.02334,16.10809
"4","2011_Q1",26.541935483871,"Up",231956000,-69374000,162582000,-130416000,-29475000,-100941000,32166000,-23997000,-19992000,1564000,-5569000,8169000,24720000,-4479000,20241000,20241000,150000,20391000,20391000,228677000,228677000,62114000,62114000,45601000,127646000,11063000,93738000,464038000,3161382000,4775395000,-1614013000,206909000,843726000,821606000,4212017000,4676055000,127037000,103100000,0,23937000,132550000,132550000,449059000,1488287000,1202725000,566473000,372564000,2691012000,3140071000,807842000,733879000,-9568000,1532113000,3871000,1535984000,4676055000,20241000,30592000,7539000,24499000,82871000,-87806000,-2961000,-97767000,-14659000,62900000,-516000,58260000,43364000,43364000,43364000,62758000,1677759000,3930000,0.70092,0.13867,0.08791,0.01328,0.00436,0.19273,1.03336,2.04434,0.3588,0.41594,0.41467,4.73148,31.2523,0.08016,0.29902,0.00794,0.00089,0.7189,23.09,45.05012
"5","2011_Q2",27.5903174603175,"Up",251494000,-86302000,165192000,-115101000,-29464000,-85637000,50091000,-15715000,-18959000,-1294000,4538000,34376000,34376000,-4888000,29488000,29488000,252000,29740000,29740000,93941000,93941000,66634000,66634000,45871000,130367000,9197000,111633000,336813000,3232584000,4866093000,-1633509000,207754000,813097000,792301000,4253435000,4590248000,92527000,64569000,4146000,23812000,163048000,163048000,331342000,1487305000,1218025000,577591000,640434000,2705330000,3036672000,809974000,748764000,-8781000,1549957000,3619000,1553576000,4590248000,29488000,31592000,1915000,30224000,93219000,-99825000,121000,-100004000,-15147000,-113864000,749000,-127951000,-134736000,-134736000,-134736000,81683000,1563072000,16970000,0.65684,0.19917,0.11825,0.01914,0.00648,0.57061,1.01651,1.95463,0.34052,0.60337,0.60256,5.10233,31.44567,0.34429,0.3073,0.01036,0.00391,0.50931,17.98576,29.32924
"6","2011_Q3",27.206875,"Down",234983000,-71628000,163355000,-129056000,-29693000,-99363000,34299000,-16975000,-17569000,-4447000,5041000,17324000,17324000,3653000,20977000,20977000,-76000,20901000,20901000,58316000,58316000,61691000,61691000,45650000,160916000,10976000,142529000,326573000,3306992000,4960290000,-1653298000,203346000,805413000,784877000,4315751000,4642324000,132202000,87014000,22911000,22277000,139430000,139430000,339699000,1487387000,1248451000,586856000,661595000,2735838000,3075537000,816891000,754771000,-8541000,1563092000,3695000,1566787000,4642324000,20977000,29798000,-19555000,32455000,63675000,-82721000,663000,-82858000,-14815000,-7700000,63000.0000000002,-16442000,-35625000,-35625000,-35625000,64097000,1555454000,10178000,0.69518,0.14596,0.08895,0.01334,0.0045,0.48696,0.96136,1.96296,0.33506,0.42293,0.42211,4.75482,31.62873,0.20595,0.29978,0.00817,0.00233,0.70882,23.35738,43.64961
"7","2011_Q4",29.098253968254,"Up",309630000,-97147000,212483000,-141090000,-30115000,-110975000,71393000,-9352000,-17446000,2084000,6010000,62041000,62041000,45372000,107413000,107413000,-346000,107067000,107067000,31314000,31314000,75540000,75540000,46558000,155843000,11245000,140748000,309255000,3356046000,5025169000,-1669123000,197384000,964250000,943975000,4517680000,4826935000,122261000,90088000,8785000,23388000,79033000,79033000,254461000,1487468000,1424118000,750001000,674117000,2911586000,3166047000,820271000,846873000,-10268000,1656847000,4041000,1660888000,4826935000,107413000,31256000,-48116000,-12537000,78016000,-79282000,696000,-77486000,-14846000,-14900000,60000,-27532000,-27002000,-27002000,-27002000,102649000,1540635000,-34542000,0.68625,0.23058,0.34579,0.06446,0.02218,-0.32262,1.21533,1.90624,0.31917,2.16197,2.15752,6.25225,33.45611,-0.69749,0.29978,0.02636,-0.00747,0.13866,14.70371,21.1410200000001
"8","2012_Q1",30.0474193548387,"Up",230649000,-78298000,152351000,-152782000,-30517000,-122265000,-431000,-12999000,-17552000,15521000,-10968000,-13430000,12054000,218000,12272000,12272000,1000,12273000,12273000,27813000,27813000,66296000,66296000,46490000,170373000,12405000,141388000,310972000,3406590000,5084199000,-1677609000,205552000,1037495000,1017480000,4649637000,4960609000,143797000,81769000,505000,21797000,69186000,69186000,368247000,1387550000,1543118000,772047000,407862000,2930668000,3298915000,828389000,840916000,-11622000,1657654000,4040000,1661694000,4960609000,12272000,32013000,13395000,17653000,75333000,-69628000,263000,-72010000,-14860000,2700000,-1757000,-6823999.99999999,-3501000.00000001,-3501000.00000001,-3501000.00000001,31582000,1542814000,-20611000,0.66053,-0.00187000000000004,0.05321,0.00739,0.00247,-1.67938,0.84447,1.98527,0.31101,0.24746,0.24677,4.65065,33.42381,-0.41559,0.29963,0.00572,-0.00434,1.21079,47.97039,-3515.08353
"9","2012_Q2",29.2555555555556,"Down",241140000,-76036000,165104000,-125244000,-30542000,-94702000,39860000,-14325000,-17205000,1419000,1461000,25535000,33151000,-8333000,24818000,24818000,112000,24930000,24930000,8857000,8857000,68246000,68246000,48428000,197754000,11323000,148286000,323285000,3420605000,5117393000,-1696788000,201599000,1045132000,1026441000,4667336000,4990621000,97546000,71275000,2837000,23434000,122334000,122334000,283944000,1486568000,1545613000,806495000,403662000,3032181000,3316125000,831296000,849327000,-9995000,1670568000,3928000,1674496000,4990621000,24818000,31875000,-21680000,2637000,37650000,-48382000,-599000,-48981000,-16800000,7736000,1014000,-7625000,-18956000,-18956000,-18956000,71735000,1550632000,34323000,0.68468,0.1653,0.10338,0.01489,0.005,1.37677,1.13855,1.98037,0.31071,0.5,0.49955,4.83634,33.50517,0.68839,0.33694,0.00875,0.00719,0.67389,21.49265,38.6797499999998
"10","2012_Q3",31.41,"Up",254702000,-63254000,191448000,-134974000,-29879000,-105095000,56474000,-18301000,-17437000,-1928000,1064000,38173000,46006000,-10569000,35437000,35437000,-137000,35300000,35300000,14374000,14374000,62814000,62814000,48354000,232542000,13506000,171666000,358084000,3473025000,5149839000,-1676814000,203704000,1068190000,1049760000,4744919000,5103003000,119632000,92024000,5513000,22095000,111239000,111239000,296635000,1536514000,1573463000,832647000,398903000,3109977000,3406612000,834547000,868066000,-10266000,1692326000,4065000,1696391000,5103003000,35437000,31054000,3994000,-25098000,45387000,-72813000,-850000,-73663000,-16670000,51700000,-3589000,33793000,5517000,5517000,5517000,87528000,1602278000,186000,0.75165,0.22173,0.13859,0.02081,0.00692,0.00527000000000055,1.20715,2.00815,0.31399,0.70705,0.70623,5.10159,33.89669,0.0037299999999999,0.33389,0.01067,4e-05,0.47224,18.14167,28.11743
