"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"23","2016_Q2",11.22015625,"Up",6667000,-3929000,2738000,-2739000,-2379000,-360000,-1000,-35000,-35000,-36000,-36000,13000,-23000,-23000,-23000,-23000,2003701,2003701,4819104,4819104,1150185,1125259,7972990,13213779,1178952,1178952,14392731,22365721,2404564,1294976,1109588,4146166,2852745,7207849,11354015,30227058,-10081789,-9133563,11011706,11011706,22365721,-23000,530000,114000,-441000,180000,409000,-56000,353000,-813000,-405000,-1218000,-685000,-685000,-685000,529000,6096706,484000,0.41068,-0.00015,-0.00345,-0.00209,-0.00103,-21.04348,1.92298,1.03109,0.27259,-0.00424,-0.00424,1.22939,2.03056,0.08925,0.14992,0.03958,0.02425,-35.34783,7.73725,-4093.005
"24","2016_Q3",15.108125,"Up",9700000,-4491000,5209000,-2839000,-2489000,-350000,2370000,-35000,-35000,2335000,2335000,-702000,1633000,1633000,1633000,1633000,2279905,2279905,5460101,5460101,1241588,1241588,8981594,13259268,1301787,1301787,14561055,23542649,2984977,988507,1461183,4726579,3042122,6961825,11688404,30311106,-10081789,-8375072,11854245,11854245,23542649,1633000,542000,262000,-173000,2264000,-508000,-80000,-588000,-816000,-584000,-1400000,276000,276000,276000,2912000,5661305,2933000,0.53701,0.24433,0.16835,0.13776,0.06936,1.79608,1.90023,0.98601,0.24047,0.30002,0.29941,1.78211,2.17789,0.53886,0.14992,0.11913,0.14267,0.499690000000008,1.1612,1.42674999999917
"25","2016_Q4",18.3861904761905,"Up",11849000,-4744000,7105000,-3001000,-2652000,-349000,4104000,-34000,-34000,4070000,4070000,-1362000,2708000,2708000,2708000,2708000,4111808,4111808,6272108,6272108,1266409,1266409,11650325,12926146,1352084,1352084,14278230,25928555,3755922,1144236,1587584,5497524,3043911,6528214,12025738,30470616,-10081789,-6486010,13902817,13902817,25928555,2708000,554000,115000,251000,3628000,-472000,-69000,-541000,-819000,-436000,-1255000,1832000,1832000,1832000,4658000,5225905,5799000,0.59963,0.34636,0.22854,0.19478,0.10444,2.14143,2.11919,0.86499,0.20155,0.49599,0.49147,2.17023,2.5464,1.06213,0.15001,0.15907,0.26154,0.30244,0.23918,0.27147
"26","2017_Q1",18.1112903225806,"Down",10764000,-4366000,6398000,-2761000,-2405000,-356000,3637000,-30000,-30000,3607000,3607000,-1247000,2360000,2360000,2360000,2360000,3938000,3938000,5837000,5837000,1079000,1079000,10854000,13358000,820000,820000,14178000,25032000,3351000,1363000,1988000,4495000,2693000,4930000,9425000,30634000,-10082000,-4945000,15607000,15607000,25032000,2360000,668000,348000,-179000,3197000,-1441000,123000,-1318000,-819000,-1844000,-2053000,-174000,-174000,-174000,4305000,3381000,3932000,0.59439,0.33789,0.21925,0.15121,0.09428,1.6661,2.41468,0.6039,0.13507,0.43206,0.42808,1.97064,2.85727,0.71986,0.14994,0.14663,0.18136,0.347029999999999,-0.12938,-0.153150000000004
"27","2017_Q2",17.4961904761905,"Down",10209000,-4893000,5316000,-3048000,-2718000,-330000,2268000,-22000,-22000,2246000,2246000,-746000,1500000,1500000,1500000,1500000,6869000,6869000,3787000,3787000,1171000,1171000,11827000,13055000,813000,813000,13868000,25695000,3511000,622000,2889000,4655000,2638000,4589000,9244000,30797000,-10082000,-4264000,16451000,16451000,25695000,1500000,687000,108000,2107000,4402000,-153000,-213000,-366000,-819000,-286000,-1105000,2931000,2931000,2931000,2955000,3095000,5655000,0.52072,0.22216,0.14693,0.09118,0.05838,3.77,2.54071,0.56191,0.12045,0.27473,0.2711,1.86978,3.013,1.03571,0.15,0.10453,0.25491,0.546,-1.27716,-1.66402
"28","2017_Q3",18.441746031746,"Up",9684000,-5075000,4609000,-2899000,-2578000,-321000,1710000,-12000,-12000,1698000,1698000,-791000,907000,907000,907000,907000,2961000,2961000,5230000,5230000,1888000,1293000,10079000,12749000,8e+05,8e+05,13549000,23628000,2822000,397000,1993000,3364000,2780000,3843000,7207000,30753000,-10082000,-4179000,16421000,16421000,23628000,907000,694000,296000,-2869000,-972000.000000001,-190000,-183000,-373000,-821000,-1688000,-2509000,-3854000,-3854000,-3908000,2404000,1605000,135999.999999999,0.47594,0.17658,0.09366,0.05523,0.03839,0.14994,2.99614,0.43889,0.06793,0.1656,0.16369,1.76812,2.99817,0.0248299999999997,0.1499,0.08305,0.00653999999999996,0.90518,-0.56406,-0.792979999999999
"29","2017_Q4",15.6769841269841,"Down",10049000,-4928000,5121000,-2888000,-2534000,-354000,2233000,12000,12000,2245000,2245000,-881000,1364000,1364000,1364000,1364000,5604000,5604000,5421000,5421000,1351000,1351000,12376000,12258000,818000,818000,13076000,25452000,4008000,1103000,2905000,4550000,2742000,3670000,8220000,30916000,-10082000,-3639000,17232000,17232000,25452000,1364000,708000,91000,1524000,3687000,-68000,-139000,-207000,-824000,-102000,-926000,2554000,2554000,2643000,2941000,1470000,5278000,0.5096,0.22221,0.13573,0.07916,0.05359,3.8695,2.72,0.47702,0.05776,0.24841,0.24515,1.83009,3.13823,0.96121,0.15006,0.10203,0.24613,0.60411,-1.40564,-1.85132
"30","2018_Q1",17.6247540983607,"Up",9759000,-4983000,4776000,-2830000,-2478000,-352000,1946000,42000,42000,1988000,1988000,362000,2350000,2350000,2350000,2350000,8165000,8165000,4488000,4488000,1212000,1212000,13865000,11811000,832000,832000,12643000,26508000,3268000,398000,2870000,4225000,1243000,3663000,7888000,31053000,-10082000,-2113000,18620000,18620000,26508000,2350000,718000,-1363000,324000.000000001,2029000,-786000,486000,-3e+05,-825000,-169000,1084000,2813000,2813000,2561000,2664000,3377000,1840000,0.48939,0.19941,0.2408,0.12621,0.08865,0.78298,3.28166,0.42363,0.1274,0.4279,0.42557,1.77695,3.39039,0.33503,0.15022,0.13662,0.07917,0.35106,-1.7973,-2.46043
"31","2018_Q2",17.4065625,"Down",10935000,-5580000,5355000,-3449000,-3090000,-359000,1906000,32000,32000,1938000,1938000,-687000,1251000,1251000,1251000,1251000,8284000,8284000,6062000,6062000,1197000,1197000,15543000,11289000,897000,897000,12186000,27729000,4215000,327000,3888000,5172000,1205000,3386000,8558000,31188000,-10082000,-1685000,19171000,19171000,27729000,1251000,753000,97000,-695000,1406000,-144000,-74000,-218000,-824000,-239000,-1063000,125000,125000,119000,2659000,3138000,2507000,0.48971,0.1743,0.1144,0.06525,0.04512,2.004,3.00522,0.4464,0.11317,0.22779,0.22516,1.99108,3.49071,0.45648,0.15004,0.08825,0.10662,0.65867,-1.93531,-2.6999
"32","2018_Q3",17.2393650793651,"Down",10787000,-5615000,5172000,-3116000,-2758000,-358000,2056000,24000,24000,2080000,2080000,-903000,1177000,1177000,1177000,1177000,7721000,7721000,5195000,5195000,1465000,1465000,14381000,11129000,915000,915000,12044000,26425000,4131000,1117000,3014000,5088000,1138000,3080000,8168000,31239000,-10082000,-1497000,18257000,18257000,26425000,1177000,775000,76000,166000,2194000,-137000,-180000,-317000,-988000,-331000,-1319000,558000,558000,-563000,2831000,2899000,3763000,0.47947,0.1906,0.10911,0.06447,0.04454,3.19711,2.82645,0.44739,0.10971,0.21392,0.21192,1.96056,3.31825,0.68393,0.17957,0.09711,0.16879,0.83942,-1.70329,-2.34533
