"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.085873015873,"Up",151422000,-126134000,25288000,-23441000,-16107000,-7334000,1847000,-46000,-124000,78000,1801000,1801000,-718000,1083000,194000,194000,194000,-3137590587.53498,-3137590587.53498,2141873259.21576,2141873259.21576,201532370.67098,61418044.1680337,38167847.7350752,-732766913.480201,742879490.38348,2305581986.73072,1580071494.43652,1236268030.03039,43323673.4903519,3048461477.1142,2315694563.634,1908165609.81081,1337635337.15707,444840975.550854,966322.875455584,1909743276.90385,3284677.72700464,-110508927.90088,-110509150.461146,-107224250.173875,1802519026.72998,235381244.757616,49012477.586236,171186924.461195,57594890.0989754,513175536.904022,513175536.904022,2315694563.634,1083000,7352000,1751000,-1225000,8759000,-3727000,12609330.6562452,-3727000,-1132000,-14000,26000,26000,-201000,-1120000,3912000,3913000,8000,3921000,9199000,0,4965000,0.167,0.0122,0.00128,0.534072111316698,0.418482750372575,25.59278,-58.3453650948148,4.07956582289275,-0.0641686708799514,0.0052,0.00513,4.05522,15.7369642242388,0.13297,0.03032,0.495950966094204,0.531672993705877,5.83505,-63585.3146033891,-500.515422616849
"2","2010_Q3",14.70984375,"Down",199386000,-167626000,31760000,-26081000,-19046000,-7035000,5679000,1324000,-103000,1427000,7003000,7003000,-2619000,4384000,4313000,4313000,4313000,-1223391293.76749,-1223391293.76749,997377629.607881,997377629.607881,100603685.33549,33285022.0840169,20854923.8675376,-92124956.7401004,395562745.19174,1050044493.36536,698647247.21826,541362515.015196,27854336.745176,1445607238.5571,1353482281.817,905012304.905406,625414668.578536,226518987.775427,599661.437727792,905917638.451926,9168338.86350232,-39812463.9504398,-39812575.2305732,-30644125.0869374,875273513.364988,236179122.378808,17698738.793118,201161962.230598,23168945.0494877,478208768.452011,478208768.452011,1353482281.817,4384000,7052000,1592000,18612000,31481000,-3572000,3475110.21874838,-5072000,-1132000,-101000,338000,338000,-45000,-895000,25514000,25538000,22000,25560000,12731000,0,30390000,0.15929,0.02848,0.02163,0.269886055658349,0.210191375186288,7.04614,-23.8146025474074,1.97701791144638,-0.0150393354399757,0.11546,0.11388,5.33746,13.8328371121194,0.81352,0.0303,0.252135483047102,0.341981496852939,0.26246,-28373.5613516946,-256.859266308424
"3","2010_Q4",15.676875,"Up",225203000,-184799000,40404000,-24205000,-17566000,-6639000,16199000,891000,-106000,997000,17090000,17090000,-6661000,10429000,10281000,10281000,10281000,-198288097.922496,-198288097.922496,357712876.53596,357712876.53596,54264228.4451634,21016340.6946723,11666307.9558459,234705347.7533,207831248.397247,374567164.45512,224882082.406087,167458171.671732,19676778.9150587,582398412.852367,817103760.605667,347586434.968469,232423889.526179,100724995.925142,402220.479242597,348110546.150642,12388779.6211674,1619178.68318675,1619141.58980893,14007958.3043542,362118504.454996,237247707.459603,954912.93103933,211829987.410199,4952648.34982923,454985256.15067,454985256.15067,817103760.605667,10429000,6656000,5127000,1343000,23501000,-4088000,40000,-4048000,-1511000,-204000,-2038000,131000,11000,-3753000,15700000,15765000,-7000,15758000,22855000,0,26771000,0.17941,0.07193,0.04565,0.10527868521945,0.0811571250620959,2.60393,-4.79858418246913,0.816452637148793,0.0122735548533414,0.27525,0.27072,6.02937,12.6321190373731,0.71674,0.04045,0.100285161015701,0.179807165617646,0.14697,-8550.20128723152,-99.9919821028082
"4","2011_Q1",16.7806451612903,"Up",222303000,-182290000,40013000,-26441000,-19235000,-7206000,13572000,36000,-107000,143000,13608000,13608000,-5303000,8305000,8310000,8310000,8310000,187178000,187178000,87007000,87007000,45200000,19238000,8229000,338623000,135517000,117110000,44668000,25189000,16690000,252627000,591250000,114433000,70986000,43447000,327000,114790000,13643000,21385000,21385000,35028000,149818000,238458000,-5635000,210366000,-1757000,441432000,441432000,591250000,8305000,7223000,6331000,3547000,25391000,-2941000,3000,-2938000,-1500000,-4000,-2098000,7000,-430000,-3602000,18851000,18436000,4000,18440000,20795000,13970000,26704000,0.17999,0.06105,0.03738,0.01883,0.01405,3.21348,2.94993,0.33939,0.02363,0.22561,0.22436,6.03543,11.98469,0.725,0.04072,0.02058,0.05601,0.18051,-8.32931,-12.76216
"5","2011_Q2",16.4273015873016,"Down",159808000,-139655000,20153000,-27819000,-20294000,-7525000,-7666000,-21000,-121000,1e+05,-7687000,-7687000,2959000,-4728000,-4740000,-4740000,-4740000,182466000,182466000,49388000,49388000,56097000,22576000,8170000,310527000,134452000,115633000,43897000,25189000,16793000,250085000,560612000,84097000,53424000,30673000,327000,84424000,13628000,27084000,27084000,40712000,125136000,239681000,-6487000,203945000,-1663000,435476000,435476000,560612000,-4728000,7542000,-502000,-1630000,614000,-4124000,757000,-3367000,-1501000,-15000,-925000,579000,392000,-2441000,-5194000,-4734000,22000,-4712000,-124000,13955000,-8837000,0.12611,-0.04797,-0.02966,-0.01088,-0.00846,1.86435,3.67818,0.28735,0.02489,-0.12779,-0.12779,4.30842,11.74043,-0.23825,0.04047,-0.0068,-0.01855,-0.31667,1358.95968,21.98161
"6","2011_Q3",11.4890625,"Down",203112000,-175512000,27600000,-29885000,-22024000,-7861000,-2285000,228000,-110000,338000,-2057000,-2057000,668000,-1389000,-1389000,-1389000,-1389000,57727000,57727000,99286000,99286000,68567000,25330000,9190000,250910000,156375000,192791000,97404000,69785000,17710000,349166000,600076000,124167000,84183000,36480000,351000,124518000,13063000,26750000,26750000,39813000,164331000,240714000,-6085000,200894000,222000,435745000,435745000,600076000,-1389000,7878000,89000,-12597000,-6019000,-6772000,999.999999999884,-117616000,-1500000,-8000,469000,469000,0,-1039000,-124674000,-124674000,-65000,-124739000,5593000,13414000,-14444000,0.13589,-0.01125,-0.00684,-0.00319,-0.00231,10.39885,2.01505,0.37713,0.02235,-0.03745,-0.03745,5.4759,11.74768,-0.38941,0.04044,0.00023,-0.03035,-1.07991,-7.92294,19.393
"7","2011_Q4",12.3255555555556,"Up",252413000,-209667000,42746000,-28109000,-18912000,-9197000,14637000,-421000,-110000,-311000,14216000,14216000,-5200000,9016000,9016000,9016000,9016000,62420000,62420000,100829000,100829000,65296000,22126000,8916000,250671000,157118000,186544000,91081000,69611000,17340000,343662000,594333000,113188000,75586000,36856000,352000,113540000,12645000,27982000,27982000,40627000,154167000,241428000,-8845000,208388000,-805000,440166000,440166000,594333000,9016000,9215000,4835000,-7837000,15229000,-6073000,0,-6073000,-1499000,-310000,-2744000,41000,0,-4553000,4603000,4603000,90000,4693000,23852000,12997000,15142000,0.16935,0.05799,0.03572,0.02048,0.01517,1.67946,2.20778,0.35025,0.02187,0.24286,0.2315,6.799,11.85632,0.40787,0.04038,0.02185,0.03147,0.16626,-2.07207000000001,-3.37658
"8","2012_Q1",14.9827419354839,"Up",232961000,-187257000,45704000,-32113000,-22764000,-9349000,13591000,-749000,-108000,-641000,12842000,11043000,-4864000,6179000,6179000,6179000,6179000,89619000,89619000,81969000,81969000,55842000,17643000,6423000,245073000,158209000,181647000,87943000,69432000,16603000,339856000,584929000,104397000,66339000,38058000,352000,104749000,12535000,30419000,30419000,42954000,147703000,242361000,-14636000,213143000,-3642000,437226000,437226000,584929000,6167000,9297000,7259000,20329000,43120000,-8343000,32000,-8310999.99999999,-1479000,-7000,-6013000,-222000,226000,-6881000,27928000,27468000,-269000,27199000,22888000,12887000,39738000,0.19619,0.05834,0.02652,0.01413,0.01056,6.43114,2.33962,0.33782,0.02203,0.16828,0.16692,6.34443,11.90735,1.08222,0.04028,0.01594,0.0827,0.23936,-3.3525,-5.6458
"9","2012_Q2",15.2806349206349,"Up",161579000,-138042000,23537000,-34841000,-25152000,-9689000,-11304000,91000,-126000,217000,-11213000,-11213000,4465000,-6748000,-6748000,-6748000,-6748000,81722000,81722000,59847000,59847000,64150000,24275000,7448000,229994000,158960000,176952000,84836000,68398000,15985000,335912000,565906000,94590000,57211000,37379000,352000,94942000,12352000,31663000,31663000,44015000,138957000,242532000,-14708000,204601000,-5476000,426949000,426949000,565906000,-6748000,9706000,-1740000,855000,2073000,-8024000,0,-8024000,-1470000,-20000,-940000,344000,455905.01321603,-2430000,-8381000,-8381000,484000,-7897000,-1598000,12704000,-13232000,0.14567,-0.06996,-0.04176,-0.01581,-0.01192,1.96088,2.42247,0.32547,0.02245,-0.18464,-0.18464,4.42113,11.68219,-0.36205,0.04022,-0.0112,-0.02807,-0.21784,43.19024,6.10563
"10","2012_Q3",15.9380952380952,"Up",194444000,-171837000,22607000,-38686000,-29125000,-9561000,-16079000,-153000,-114000,-38999.9999999999,-16232000,-16232000,3947000,-12285000,-12285000,-12285000,-12285000,54145000,54145000,81622000,81622000,65384000,27648000,7117000,228799000,163809000,175432000,83086000,68701000,15405000,339241000,568040000,111690000,69294000,42396000,352000,112042000,11789000,28376000,28376000,40165000,152207000,243417000,-13636000,190854000,-4802000,415833000,415833000,568040000,-12285000,9579000,-2686000,-8471000,-13863000,-13287000,21000,-13266000,-1469000,-111000,1083000,1083000,568765.508589699,-497000,-27626000,-27626000,49000,-27577000,-6500000,12141000,-32205000,0.11626,-0.08269,-0.06318,-0.02954,-0.02163,2.62149,2.04208,0.36603,0.02137,-0.33596,-0.33596,5.31747,11.37181,-0.88071,0.04017,-0.0237,-0.07057,-0.11958,6.46215,2.61235
