"","YQ","p","d","revenue","other_revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",18.6022222222222,"Down",98350000,98350000,-51023000,-19538000,-3837000,-27648000,19128000,31000,-939000,970000,19159000,31652000,50811000,50808000,50808000,50808000,50808000,150998000,150998000,56711000,56711000,19689000,14793000,227398000,862425000,7374000,1933000,869799000,1097197000,105939000,105939000,75727000,74182000,181666000,43106000,43106000,80622000,262288000,1118083000,-283174000,834909000,834909000,1097197000,50808000,30817000,-28666000,11277000,64236000,-81556000,-81556000,0,-2912000,-2912000,-20232000,-20232000,-20232000,49945000,37516000,0.19449,0.5166,0.06085,0.04631,1.25174,0.31415,0.03419,1.89575,1.89575,3.66964,31.15216,0.0555,-2.27214,-5.93277
"2","2017_Q3",18.5409523809524,"Down",84851000,84851000,-56738000,-19354000,-3493000,-33891000,251000,109000,-946000,1055000,360000,23097000,23457000,23499000,23499000,23499000,23499000,148400000,148400000,57168000,57168000,34507000,12754000,240075000,883598000,9005000,1527000,892603000,1132678000,113019000,113019000,74163000,74163000,187182000,43656000,43656000,81335000,268517000,1123836000,-259675000,864161000,864161000,1132678000,23499000,32970000,-13302000,-3471000,39696000,-40828000,-40828000,0,-1467000,-1467000,-2599000,-2599000,-2599000,33221000,37679000,0.00295999999999999,0.27694,0.02719,0.02075,1.28258,0.31073,0.03327,0.68961,0.68835,2.49005,25.35981,0.02485,-3.33286,-441.11952
"3","2017_Q4",18.6280952380952,"Up",80892000,80892000,-54588000,-20292000,-3399000,-30897000,-4067000,-675000,-872000,197000,-4742000,-12200000,-16942000,-8485000,-8485000,-8485000,-8485000,141501645.539967,141501645.539967,65147202.6663696,65147202.6663696,32463281.492603,15856843.0884584,239112129.69894,907445556.942369,5058698.50651469,1323762.79305549,912504255.448883,1151616385.14782,133959390.147868,133959390.147868,66583325.9336761,62783665.0013718,200508437.069531,42833945.1655601,41097494.1908669,90815043.4930638,291323480.562595,1122365252.07707,-262072347.491846,860292904.585228,860292904.585228,1151616385.14782,-8485000,34428000,20138000,-2107000,43974000,-58826000,-58826000,0,-875000,-875000,-15727000,-15727000,-15727000,30361000,0,-0.05028,-0.10489,0.00313264526606948,0.00301114452458698,1.21267779548123,0.339715238984129,0.0424987812840706,-0.24745,-0.24745,2.35906,24.0759502746366,0.00336823742675206,-2.03829760197196,-270.485158639669
"4","2018_Q1",16.8854098360656,"Down",93206000,93206000,-68176000,-15949000,-3123000,-49104000,12410000,-783000,-1111000,328000,11627000,-30640000,-19013000,-18760000,-18760000,-18760000,-18760000,99143000,99143000,71277000,71277000,24677000,18119000,195097000,923240000,1290000,1290000,924530000,1119627000,139155000,139155000,59759000,49132000,198914000,43271000,39703000,80773000,279687000,1126860000,-286920000,839940000,839940000,1119627000,-18760000,33672000,25619000,-7258000,33273000,-64514000,-64514000,-1.86264514923096e-09,-2964000,-2964000,-34205000,-34205000,-34205000,46082000,37502000,0.13315,-0.20127,-0.02233,-0.01676,0.98081,0.33298,0.0335,-0.54218,-0.5296,2.69374,24.27502,-0.02038,-1.33764,-4.96704
"5","2018_Q2",14.98296875,"Down",87128000,87128000,-77182000,-14022000,-3153000,-60007000,-19467000,-75000,-948000,873000,-19542000,-21349000,-40891000,-40894000,-40894000,-40894000,-40894000,27013000,27013000,67992000,67992000,17694000,13453000,112699000,925934000,1343000,1343000,927277000,1039976000,118866000,118866000,61320000,41368000,180186000,46350000,41207000,46350000,226536000,1141254000,-327814000,813440000,813440000,1039976000,-40894000,31150000,30602000,9549000,30407000,-64572000,-64572000,-36304000,-1661000,-37965000,-72130000,-72130000,-72130000,11683000,0,-0.22343,-0.46936,-0.05027,-0.03932,0.62546,0.27849,0,-1.18276,-1.18276,2.51997,23.52683,-0.04756,-2.31216,1.38763
"6","2018_Q3",15.2968253968254,"Up",79462000,79462000,-51324000,-10343000,-3040000,-37941000,2964000,-434000,-651000,217000,2530000,-36649000,-34119000,-34074000,-34074000,-34074000,-34074000,30125000,30125000,58992000,58992000,5848000,2266000,94965000,931016000,1274000,1274000,932290000,1027255000,120550000,120550000,76978000,41695000,197528000,49471000,40829000,49471000,246999000,1142144000,-361888000,780256000,780256000,1027255000,-34074000,34001000,23986000,1797000,25710000,-17193000,-17193000,7.45058059692383e-09,-5715000,-5715000.00000001,2802000,2802000,2802000,36965000,0,0.0373000000000001,-0.42881,-0.04367,-0.03317,0.48077,0.31656,0,-0.97307,-0.97307,2.26924,22.28221,-0.04107,-0.81496,-10.16363
"7","2018_Q4",9.66984126984127,"Down",97660000,97660000,-44836000,-9251000,-3036000,-32549000,23759000,-745000,-627000,-118000,23014000,-11329000,11685000,11715000,11715000,11715000,11715000,32562000,32562000,54493000,54493000,4558000,2262000,91613000,939529000,1181000,1181000,940710000,1032323000,112980000,112980000,76953000,40048000,189933000,49855000,43064000,49855000,239788000,1142708000,-350173000,792535000,792535000,1032323000,11715000,36126000,149000,5061000,53051000,-50557000,-50557000,0,0,0,2494000,2494000,2494000,59885000,0,0.24328,0.11996,0.01478,0.01135,0.48234,0.30256,0,0.33179,0.33159,2.76595,22.44633,0.01391,-0.54374,-1.37051
"8","2019_Q1",8.1844262295082,"Down",85145000,85145000,-70772000,-7003000,-2753000,-61016000,10239000,1332000,-561000,1893000,11571000,42608000,54179000,54178000,54178000,54178000,54178000,17660000,17660000,45503000,45503000,10164000,2250000,73327000,949949000,1062000,1062000,951011000,1024338000,111797000,111797000,25393000,25393000,137190000,39427000,39427000,39427000,176617000,1143716000,-295995000,847721000,847721000,1024338000,54178000,37986000,-48121000,-7697000,36346000,-51131000,-51131000,0,-44000,-44000.0000000009,-14829000,-14829000,-14829000,48225000,0,0.12025,0.6363,0.06391,0.05289,0.53449,0.20834,0,1.53357,1.53453,2.41013,23.99573,0.06107,-0.3662,-1.72478
"9","2019_Q2",7.6715873015873,"Down",73236000,73236000,-54509000,-9939000,-2943000,-41627000,-4052000,-1016000,-585000,-431000,-5068000,-209000,-5277000,-5277000,-5277000,-5277000,-5277000,7354000,7354000,51053000,51053000,5360000,2232000,63767000,986957000,820000,820000,987777000,1051544000,119436000,119436000,25384000,25384000,164820000,43264000,43264000,43264000,208084000,1144789000,-301329000,843460000,843460000,1051544000,-5277000,39408000,6437000,-8998000,31570000,-61587000,-61587000,2e+07,-293000,19707000,-10310000,-10310000,-10310000,35356000,2e+07,-0.05533,-0.07205,-0.00626,-0.00502,0.38689,0.2467,0.01902,-0.1494,-0.1494,2.07338,23.87917,-0.00582,0.35768,-3.12093
"10","2019_Q3",5.72828125,"Down",75388000,75388000,-62868000,-10084000,-2986000,-49798000,-12556000,-728000,-702000,-26000,-13284000,7.45058059692383e-09,-13284000,-13284000,-13284000,-13284000,-13284000,7808000,7808000,51025000,51025000,5155000,2228000,63988000,981325000,1500000,1500000,982825000,1046813000,95734000,95734000,16175000,16175000,111909000,50763000,50763000,102763000,214672000,1146754000,-314613000,832141000,832141000,1046813000,-13284000,42405000,2186000,-404000,30903000,-61001000,-61001000,3.2e+07,-1448000,30552000,454000,454000,454000,29849000,5.2e+07,-0.16655,-0.17621,-0.01596,-0.01269,0.57179,0.25798,0.04967,-0.37572,-0.37572,2.13225,23.53606,-0.01421,1.48052,-3.51959
