"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",46.5611111111111,"Up",1799100000,-581400000,1217700000,-771300000,-667800000,-9e+07,-13500000,446400000,-6e+05,-6e+05,445800000,445800000,-124100000,321700000,321700000,321700000,321700000,3937600000,1202500000,2735100000,1120600000,1120600000,9.61e+08,856200000,239400000,6875400000,9.25e+08,2.298e+09,951200000,666300000,425800000,3.223e+09,10098400000,706200000,230700000,1.66e+08,59500000,2.5e+08,27600000,1404800000,996200000,1026600000,1026600000,2022800000,3427600000,965100000,5553700000,1.52e+08,6670800000,6670800000,10098400000,321700000,321700000,40800000,85600000,-173300000,274800000,-31100000,-516900000,-57400000,-605400000,-59700000,1006300000,61200000,8.98e+08,567400000,567400000,-23600000,543800000,487200000,1023800000,406900000,0.67684,0.24812,0.17881,0.04823,0.03186,1.26484,4.89422,0.51382,0.10138,0.80992,0.80405,4.52946,16.79456,1.02442,0.1503,1.2308022253838,0.04373,0.04666,0.18558,-5.98071,-6.52733
"2","2010_Q3",40.86921875,"Down",1758200000,-539300000,1218900000,-770800000,-661800000,-94600000,-14400000,448100000,-5500000,-5500000,442600000,442600000,-123600000,3.19e+08,3.19e+08,3.19e+08,3.19e+08,4028500000,785200000,3243300000,1108200000,1108200000,968200000,794900000,195400000,6899800000,898700000,2261600000,932300000,654600000,427500000,3160300000,10060100000,602500000,212800000,46300000,59600000,283800000,18900000,1295100000,996300000,1023200000,1023200000,2019500000,3314600000,984200000,5813100000,-51799999.9999999,6745500000,6745500000,10060100000,3.19e+08,3.19e+08,39100000,82100000,-113500000,326700000,-37200000,-655400000,-4e+06,-696600000,-59500000,-7300000.00000012,50600000,-15100000,-3.85e+08,-3.85e+08,-32300000,-417300000,487200000,1015200000,460100000,0.69327,0.25486,0.18144,0.04729,0.03171,1.44232,5.32762,0.49138,0.10091,0.80393,0.7989,4.43095,16.99975,1.15953,0.14995,3.85642785353803,0.04309,0.05238,0.18652,-6.18493,-6.72462
"3","2010_Q4",44.14125,"Up",1767700000,-541300000,1226400000,-755900000,-643400000,-98400000,-14100000,470500000,-8900000,-8900000,461600000,461600000,-124300000,337300000,337300000,337300000,337300000,4514600000,925600000,3.589e+09,1158600000,1158600000,1035300000,835200000,2.18e+08,7543700000,931600000,2296600000,9.51e+08,653500000,441400000,3228200000,10771900000,712800000,247800000,60200000,59600000,345200000,19100000,1.406e+09,996400000,1063500000,1063500000,2059900000,3465900000,1.005e+09,6091200000,209800000,7.306e+09,7.306e+09,10771900000,337300000,337300000,40100000,49300000,1800000,428500000,-4700000,-190700000,-6e+05,-1.96e+08,-59800000,-1e+06,-63800000,-123900000,108600000,108600000,31900000,140500000,510600000,1015500000,6.32e+08,0.69378,0.26617,0.19081,0.04617,0.03131,1.8737,5.36536,0.47439,0.09427,0.84962,0.84749,4.45264,18.40302,1.59194,0.15063,4.94616044507676,0.04231,0.06734,0.17729,-6.85292,-7.43698
"4","2011_Q1",51.4579032258065,"Up",1.995e+09,-6.24e+08,1.371e+09,-8.61e+08,-7.34e+08,-1.11e+08,-1.6e+07,5.1e+08,-7e+06,-7e+06,5.03e+08,3.79e+08,-8.4e+07,2.95e+08,2.95e+08,2.95e+08,2.95e+08,4.38e+09,1.758e+09,2.622e+09,1.252e+09,1.252e+09,1.057e+09,9.43e+08,2.9e+08,7.632e+09,7.98e+08,2.465e+09,1.072e+09,7.03e+08,4.42e+08,3.263e+09,1.0895e+10,8.27e+08,2.92e+08,4.7e+07,7e+07,4.18e+08,2.5e+07,1.605e+09,9.96e+08,1.12e+09,1.12e+09,2.116e+09,3.721e+09,1.003e+09,6.017e+09,1.54e+08,7.174e+09,7.174e+09,1.0895e+10,2.95e+08,2.95e+08,4.5e+07,-6.3e+07,2.4e+08,5.17e+08,-4.8e+07,9.54e+08,-2.03e+08,7.03e+08,-5.9e+07,1.7e+07,1.1e+07,-3.49e+08,8.71e+08,8.71e+08,-3.9e+07,8.32e+08,5.55e+08,1.021e+09,8.31e+08,0.68722,0.25564,0.14787,0.04112,0.02708,2.81695,4.75514,0.51868,0.09371,0.74759,0.7364,5.05575,18.18044,2.10593,0.14952,5,0.038,0.08921,0.2,-6.05225,-6.58627
"5","2011_Q2",51.7547619047619,"Up",2.015e+09,-6.89e+08,1.326e+09,-9.03e+08,-7.65e+08,-1.11e+08,-2.7e+07,4.23e+08,-1.2e+07,-1.2e+07,4.11e+08,4.11e+08,-1.04e+08,3.07e+08,3.07e+08,3.07e+08,3.07e+08,2885900000,735100000,2150800000,1310300000,1310300000,1220500000,1084500000,343500000,6501200000,8.45e+08,3884800000,1853500000,1.312e+09,4.68e+08,4729800000,1.1231e+10,786300000,2.92e+08,139500000,69900000,284900000,28200000,1586800000,996600000,1195200000,1195200000,2191800000,3778600000,1021300000,6014800000,416300000,7452400000,7452400000,1.1231e+10,3.07e+08,3.07e+08,4e+07,1.5e+08,-2.93e+08,2.04e+08,5e+06,5.72e+08,-1.455e+09,-8.78e+08,-7.1e+07,2e+06,-7e+07,-3.89e+08,-1.063e+09,-1.063e+09,4e+07,-1.023e+09,4.63e+08,1024800000,2.79e+08,0.65806,0.20993,0.15236,0.04119,0.02734,0.90879,4.09705,0.50703,0.09125,0.78718,0.77879,5.16667,19.10872,0.71538,0.18205,4.51794651830775,0.03908,0.02884,0.23127,-4.01965,-4.39976
"6","2011_Q3",44.1165625,"Down",2.046e+09,-7.13e+08,1.333e+09,-9.32e+08,-7.86e+08,-1.14e+08,-3.2e+07,4.01e+08,1e+07,1e+07,4.11e+08,4.11e+08,-1.01e+08,3.1e+08,3.1e+08,3.1e+08,3.1e+08,2.675e+09,497100000,2177900000,1348200000,1348200000,1284400000,1195100000,416500000,6502700000,8.86e+08,4207700000,2027500000,1398200000,481600000,5093700000,11596400000,742600000,3.07e+08,28400000,69900000,337300000,24400000,1603500000,996700000,1218200000,1218200000,2214900000,3818400000,1039600000,6254100000,484300000,7.778e+09,7.778e+09,11596400000,3.1e+08,3.1e+08,3.9e+07,1.55e+08,-3.47e+08,1.57e+08,-4.4e+07,-1.3e+07,-3.23e+08,-3.8e+08,-6.9e+07,-2e+07,6.8e+07,-2.1e+07,-2.44e+08,-2.44e+08,6000000.00000001,-2.38e+08,4.4e+08,1021100000,1.5e+08,0.65152,0.19599,0.15152,0.03986,0.02673,0.48387,4.05532,0.49092,0.08805,0.79856,0.79082,5.27048,20.03606,0.3864,0.17774,4,0.03783,0.01497,0.22258,-3.75886,-4.12444
"7","2011_Q4",41.8620634920635,"Down",2.031e+09,-6.69e+08,1.362e+09,-9.18e+08,-7.65e+08,-1.22e+08,-3.1e+07,4.44e+08,-1.3e+07,-1.3e+07,4.31e+08,4.31e+08,-1.04e+08,3.27e+08,3.27e+08,3.27e+08,3.27e+08,3.213e+09,8.1e+08,2.403e+09,1.319e+09,1.319e+09,1.297e+09,1.102e+09,3.27e+08,6.931e+09,8.88e+08,4.264e+09,2.042e+09,1.454e+09,4.81e+08,5.152e+09,1.2083e+10,7.94e+08,2.82e+08,5.9e+07,6.9e+07,3.84e+08,2.5e+07,1.562e+09,1.755e+09,1.209e+09,1.209e+09,2.964e+09,4.526e+09,1.045e+09,6.24e+09,2.72e+08,7.557e+09,7.557e+09,1.2083e+10,3.27e+08,3.27e+08,4e+07,1.21e+08,-4.2e+07,4.46e+08,-5.6e+07,-2.97e+08,-1.44e+08,-4.97e+08,-7e+07,7.65e+08,-1.8e+07,3.88e+08,3.37e+08,3.37e+08,-2.4e+07,3.13e+08,4.84e+08,1.78e+09,4.9e+08,0.67061,0.21861,0.161,0.04327,0.02706,1.49847,4.43726,0.59891,0.14731,0.84715,0.84213,5.26166,19.57772,1.26943,0.18135,4,0.03764,0.04646,0.21407,-2.96074,-3.22748
"8","2012_Q1",46.8017741935484,"Up",2.215e+09,-7.4e+08,1.475e+09,-9.81e+08,-8.34e+08,-1.15e+08,-3.2e+07,4.94e+08,1.5e+07,1.5e+07,5.09e+08,4.33e+08,-3.2e+07,4.01e+08,4.01e+08,4.01e+08,4.01e+08,3.418e+09,9.05e+08,2.513e+09,1.417e+09,1.417e+09,1.283e+09,1.089e+09,3.12e+08,7.207e+09,8.88e+08,4.051e+09,2.072e+09,1.442e+09,5.37e+08,4.939e+09,1.2146e+10,1.025e+09,3.45e+08,1.55e+08,8.1e+07,4.44e+08,1.7e+07,1.84e+09,1.751e+09,8.72e+08,8.72e+08,2.623e+09,4.463e+09,1.06e+09,6.479e+09,1.44e+08,7.683e+09,7.683e+09,1.2146e+10,4.01e+08,4.01e+08,4.1e+07,-1.74e+08,3.59e+08,6.27e+08,-6.4e+07,-1.72e+08,-1.44e+08,-3.8e+08,-6.9e+07,-1e+07,2.3e+07,-1.39e+08,1.08e+08,1.08e+08,-1.3e+07,9.5e+07,5.35e+08,1.768e+09,8.62e+08,0.66591,0.22302,0.18104,0.05219,0.03301,2.14963,3.91685,0.58089,0.14556,1.05029,1.04563,5.80147,20.1231,2.25773,0.18072,5,0.04553,0.0835,0.17207,-3.08411,-3.34008
"9","2012_Q2",46.5333333333333,"Down",2.161e+09,-7.09e+08,1.452e+09,-9.62e+08,-8.19e+08,-1.12e+08,-3.1e+07,4.9e+08,-8e+06,-8e+06,4.82e+08,4.68e+08,-1.18e+08,3.5e+08,3.5e+08,3.5e+08,3.5e+08,3.297e+09,6.9e+08,2.607e+09,1.472e+09,1.472e+09,1.318e+09,1.142e+09,3.36e+08,7.229e+09,9.09e+08,4.321e+09,2.082e+09,1.425e+09,4.81e+08,5.23e+09,1.2459e+10,7.67e+08,3.11e+08,8.5e+07,8.1e+07,2.9e+08,2.3e+07,1.549e+09,1.751e+09,1.137e+09,1.137e+09,2.888e+09,4.437e+09,1.086e+09,6.701e+09,2.35e+08,8.022e+09,8.022e+09,1.2459e+10,3.5e+08,3.5e+08,3.9e+07,7.8e+07,-4.32e+08,3.5e+07,-5.2e+07,-6.2e+07,-9e+06,-1.23e+08,-8.1e+07,6e+06,-3e+06,-1.28e+08,-2.16e+08,-2.16e+08,1e+06,-2.15e+08,5.29e+08,1.774e+09,1.63e+08,0.67191,0.22675,0.16196,0.04363,0.02809,0.46571,4.66688,0.5531,0.14239,0.91864,0.91193,5.67192,21.05512,0.42782,0.2126,6,0.03942,0.01491,0.23143,-2.87902,-3.10816
"10","2012_Q3",47.1449206349206,"Up",2.106e+09,-6.72e+08,1.434e+09,-9.7e+08,-8.23e+08,-1.16e+08,-3.1e+07,4.64e+08,-1e+07,-1e+07,4.54e+08,4.35e+08,-1.1e+08,3.25e+08,3.25e+08,3.25e+08,3.25e+08,3.46e+09,1.393e+09,2.067e+09,1.368e+09,1.368e+09,1.289e+09,1.081e+09,2.9e+08,7.198e+09,8.98e+08,4.166e+09,2.028e+09,1.349e+09,4.77e+08,5.064e+09,1.2262e+10,7.06e+08,2.95e+08,49901448.3658445,8.1e+07,3.3e+08,1.6e+07,1.489e+09,1.75e+09,1.071e+09,1.071e+09,2.821e+09,4.31e+09,1.104e+09,6.908e+09,-6e+07,7.952e+09,7.952e+09,1.2262e+10,3.25e+08,3.25e+08,3.8e+07,7.1e+07,23000000.0000001,4.57e+08,-5.1e+07,4.36e+08,-1000000.00000001,3.84e+08,-8.1e+07,-5e+06,-2.3e+07,-1.48e+08,6.93e+08,6.93e+08,1e+07,7.03e+08,5.02e+08,1.766e+09,5.84e+08,0.68091,0.22032,0.15432,0.04087,0.0265,1.79692,4.83412,0.542,0.14402,0.85302,0.84812,5.52756,20.87139,1.53281,0.2126,6,0.03763,0.05413,0.24923,-3.3745,-3.65086
