"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.8768253968254,"Down",840851000,840640000,-280062000,560789000,-137828000,-21971000,-115857000,422961000,3161000,-465000,3626000,426122000,426122000,-55396000,370726000,370726000,370726000,370726000,2938864480.09011,2938864480.09011,38934024.0328093,38934024.0328093,322977662.376784,-44234433.7518216,-697755896.007577,3300776166.4997,-686873319.139657,1582579126.55566,-2269452445.69532,85646188.9967555,85646188.9967555,-601227130.1429,2699549036.3568,875391089.228839,235025492.50879,491512518.209622,-12604099.9479459,-12604099.9479459,887461329.81886,-5619977359.46367,144001990.112697,299220423.097741,-155218432.985044,-5475975369.35097,-4588514039.53211,1541174970.4252,6443780336.84398,-38307145.7091787,8100105303.51515,7288063075.88891,2699549036.3568,370726000,115857000,6082000,8100000,-444000,11269000,11269000,503934000,-284288000,-284288000,-284288000,15488756344.6908,2443000,-107429000,112217000,112217000,112217000,538818000,0,321195000,0.66693,0.50302,0.44089,0.0977163577998336,0.0831999390223957,0.86639,7.9089877578177,-0.631507500527055,-0.446105525353448,1.45313,1.4469,3.29588,31.9921728830579,1.25899,0.00205710231238652,0.226534359366324,-36.5867251725398,-97.8321291421894
"2","2010_Q3",23.7165625,"Down",709922000,709319000,-291340000,418582000,-150035000,-23808000,-126227000,268547000,496000,-510000.000000001,1006000,269043000,269043000,-51118000,217925000,217925000,217925000,217925000,1083112000,1083112000,471348000,471348000,132036000,132036000,-277256811.204041,1686496000,6935973000,9292013000,-2356040000,281033000,281033000,7217006000,8903502000,355957000,199850000,156107000,80870000,80870000,436827000,751028000,447275000,288389000,158886000,1198303000,1635130000,1128137000,6445722000,-63003000,7268372000,7268372000,8903502000,217925000,126227000,-1639000,8185000,-11398000,167977000,167977000,510490000,-264961000,-264961000,-264961000,5802295781.5636,1268000,-10127000,235402000,235402000,235402000,394774000,751028000,348908000,0.58962,0.37828,0.30697,0.02998,0.02448,1.60105,3.86079,0.22497,0.08435,0.85723,0.85454,2.79255,28.59087,1.37246,0.02708,0.04121,-0.8412,-1.2366
"3","2010_Q4",25.331875,"Up",612618000,611983000,-335497000,277121000,-168764000,-25482000,-143282000,108357000,-1583000,-4144000,2561000,106774000,106774000,-20287000,86487000,86487000,86020000,86020000,367242000,367242000,487029000,487029000,133786000,133786000,-31899179.2015154,988057000,9679534000,12148401000,-2468867000,338833000,338833000,10018367000,11006424000,440741000,277944000,162797000,96051000,96051000,589442000,2670701000,545191000,270645000,274546000,3215892000,3805334000,979060000,6531742000,-60994000,7075995000,7201090000,11006424000,86487000,143282000,-7123000,10621000,-17744000,48627000,48627000,271273000,-332631000,-332631000,-1962275000,1238074000,38951000,975132000,-715870000,-715870000,-715870000,251639000,2723351000,-12078000,0.45236,0.17688,0.14041,0.01195,0.00782,-0.14041,1.67626,0.52844,0.24743,0.34069,0.33979,2.42631,28.02485,-0.04784,0.02451,-0.00114999999999998,9.36305,21.74395
"4","2011_Q1",29.4895161290323,"Up",643785000,642902000,-352371000,291414000,-175199000,-20736000,-154463000,116215000,-1645000,-4338000,2693000,114570000,114570000,-16276000,98294000,98294000,98758000,98758000,337871000,337871000,387414000,387414000,186509000,105443000,81066000,911794000,10048087000,12643866000,-2595779000,342506000,342506000,10390593000,11302387000,637185000,374814000,222111000,84049000,84049000,801447000,2686484000,526822000,258822000,2.68e+08,3213306000,4014753000,956690000,6630500000,-50220000,7163003000,7287634000,11302387000,98294000,154463000,-3799000,8024000,-11823000,102247000,102247000,351205000,-384945000,-384945000,-384945000,4e+07,-2020000,4369000.00000024,-29371000,-29371000,-29371000,270678000,2766697000,4256000.00000003,0.45266,0.18052,0.1534,0.01355,0.00874,0.0431000000000004,1.13768,0.5509,0.24479,0.39399,0.39291,2.56836,28.57657,0.0169800000000002,0.0125,4e-04,8.97312,20.89942
"5","2011_Q2",29.6057142857143,"Up",578888000,578443000,-331989000,246899000,-181837000,-23715000,-158122000,65062000,-16449000,-19041000,2592000,48613000,69815000,-15359000,54456000,54456000,54495000,54495000,508681000,508681000,445875000,445875000,170434000,170434000,104387726.400505,1124990000,10439729000,13166956000,-2727227000,365166000,365166000,10804895000,11929885000,515787000,395131000,93113000,90201000,90201000,605988000,3167646000,479685000,261641000,218044000,3647331000,4253319000,932378000,6684995000,-46731000,7190975000,7676566000,11929885000,54456000,158122000,-10112000,8271000,2819000,-115692000,-115692000,86774000,-614795000,-614795000,-596153000,354339000,366470000,680189000,170810000,170810000,170810000,223184000,3167646000,-491944000,0.42651,0.11239,0.09414,0.0071,0.00457,-9.02732,1.85646,0.55407,0.26552,0.21709,0.21642,2.30609,28.64634,-1.95973,0.0079,-0.04344,11.91378,40.86817
"6","2011_Q3",24.48984375,"Down",627997000,627684000,-364201000,263796000,-184751000,-21632000,-163119000,79045000,-15363000,-14829000,-534000,63682000,63682000,-9508000,54174000,54174000,54083000,54083000,230877000,230877000,510019000,510019000,236600000,155785000,80815000,977496000,11062570000,13926052000,-2863482000,398172000,398172000,11460742000,12438238000,546730000,303902000,184500000,79826000,79826000,626556000,3521770000,469544000,257069000,212475000,3991314000,4617870000,908294000,6739078000,-42316000,7221712000,7820368000,12438238000,54174000,163119000,3545000,8117000,-4572000,-74844000,-74844000,145994000,-852920000,-852920000,-852920000,4.25e+08,45020000.0000001,429122000,-277804000,-277804000,-277804000,242164000,3521770000,-676092000,0.42006,0.12587,0.08612,0.00692,0.00435,-12.50101,1.56011,0.59049,0.28314,0.21515,0.21456,2.4983,28.72941,-2.68963,0.00773,-0.05724,13.58952,41.63316
"7","2011_Q4",24.1766666666667,"Down",737902000,737894000,-380571000,357331000,-193749000,-27536000,-166213000,163582000,-10413000,-11530000,1117000,153169000,153169000,-17614000,135555000,135555000,135317000,135317000,197015000,197015000,601161000,601161000,203268000,145933000,57335000,1001444000,11421032000,14420267000,-2999235000,529057000,529057000,11950089000,12951533000,556199000,320053000,214017000,93651000,93651000,649850000,3811866000,518148000,299625000,218523000,4330014000,4979864000,845077000,6549441000,-56212000,7327775000,7971669000,12951533000,135555000,166213000,-22327000,10469000,-32796000,-53179000,-53179000,226262000,-553639000,-553639000,-553639000,2.9e+08,46661000,293515000,-33862000,-33862000,-33862000,329795000,3811866000,-259409000,0.48425,0.22169,0.18338,0.01697,0.01045,-1.91705,1.54104,0.6247,0.29432,0.53786,0.53691,2.93301,29.12644,-1.0311,0.01444,-0.02109,10.9609,22.0981
"8","2012_Q1",26.6190322580645,"Up",751045000,750936000,-399763000,351282000,-189680000,-18494000,-171186000,161602000,-12018000,-10327000,-1691000,149584000,149584000,-30144000,119440000,119440000,127003000,127003000,239196000,239196000,587163000,587163000,233253000,157969000,75284000,1059612000,12130345000,15441346000,-3311001000,305202000,305202000,12435547000,13495159000,703252000,436006000,212827000,123928000,123928000,827180000,4071964000,498163000,242791000,255372000,4570127000,5397307000,814951000,6676444000,-74321000,7406521000,8097852000,13495159000,119440000,171186000,-42729000,5047000,-47776000,33313000,33313000,281210000,-518834000,-518834000,-518834000,2.6e+08,55906000,279805000,42180999.9999999,42180999.9999999,42180999.9999999,332788000,4071964000,-122589000,0.46772,0.21517,0.1691,0.01568,0.00941,-0.965239999999998,1.28099,0.66651,0.30174,0.5047,0.50387,2.98461,29.43312,-0.48716,0.01287,-0.00968,11.51715,23.71733
"9","2012_Q2",24.6614285714286,"Down",797690000,797459000,-459844000,337846000,-194203000,-23126000,-171077000,143643000,-8711000,-10496000,1785000,134932000,134932000,-21589000,113343000,113343000,120175000,120175000,208840000,208840000,738835000,738835000,306998000,211690000,95308000,1254673000,12089312000,15371823000,-3282511000,551216000,551216000,12640528000,13895201000,572246000,335276000,208430000,108911000,108911000,681157000,4444161000,546516000,240341000,306175000,4990677000,5671834000,789813000,6796619000,-70560000,7498868000,8223367000,13895201000,113343000,171077000,4678000,8753000,-4075000,-188472000,-188472000,100626000,-492276000,-492276000,-492276000,361636000,42479000,361294000,-30356000,-30356000,-30356000,314720000,4444161000,-344439000,0.42353,0.18007,0.15065,0.01461,0.00865,-2.86615,1.84197,0.68972,0.31983,0.47694,0.47601,3.1658,29.76084,-1.36698,0.01185,-0.02607,13.45743,29.48505
"10","2012_Q3",26.6085714285714,"Up",898923000,898912000,-460319000,438604000,-209019000,-25404000,-183615000,229585000,-19464000,-20652000,1188000,210121000,225031000,-46356000,178675000,178675000,159818000,159818000,275293000,275293000,693533000,693533000,318904000,221004000,97900000,1287730000,12422636000,16055168000,-3632532000,325650000,325650000,12748286000,14036016000,698399000,277647000,214865000,108714000,108714000,807113000,4444294000,544442000,238045000,306397000,4988736000,5795849000,770359000,6823758000,-75461000,7498338000,8240167000,14036016000,178675000,183615000,23742000,9087000,-3690000,49288000,49288000,435320000,-331998000,-331998000,-331998000,0,1972000,-36868999.9999999,66453000,66453000,66453000,413200000,4444294000,176846000,0.48792,0.2554,0.17779,0.01939,0.01139,1.10655,1.59548,0.70337,0.31664,0.63323,0.63233,3.56169,29.70968,0.70069,0.01477,0.01337,10.08955,18.15886
