"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",4.3521875,"Up",24027000,-19951000,4076000,-2899000,-2899000,1177000,278000,278000,1455000,1455000,-455000,1e+06,1e+06,1e+06,1e+06,56509939.2493211,34371769.2674165,-4598974.70737181,-4598974.70737181,27823997.4259854,2647327.96182177,1304861.6766794,82382289.9297565,12553720.7020101,7365503.49623281,3308000,465000,2997996.56769921,594506.928533596,36145117.6132611,118527407.543018,31543416.21918,20174926.7582112,11368489.4609688,31543416.21918,3979625.37745676,3564400.5732694,3564400.5732694,415224.804187365,3979625.37745676,35523041.5966368,4683897.33512755,78677503.9452365,-357035.333983212,83004365.9463808,83004365.9463808,118527407.543018,1e+06,260000,668000,1777000,3705000,-12000,-3613000,0,0,92000,92000,92000,1437000,0,3657000,0.16964,0.04899,0.04162,-0.055072775366433,-0.0482961440136648,3.657,2.47231512413007,0.407374959766228,0,0.02763,0.02732,0.66393,2.30779434756804,0.10105,0,-0.0505321664363869,0.0996827547983372,0,-78.4121673122894,-127.040096850752
"2","2011_Q1",4.76645161290323,"Up",20814000,-17219000,3595000,-3181000,-3181000,414000,296000,296000,710000,710000,-242000,468000,468000,468000,468000,22361000,9535000,1178000,1178000,21882000,2852000,1451000,48273000,12416000,12113000,3308000,465000,3243000,5097000,54536000,102809000,10500000,1884000,8616000,10500000,6004000,5581000,5581000,423000,6004000,16504000,4079000,83222000,-996000,86305000,86305000,102809000,468000,254000,736000,-2690000,-1232000,-70000,1675000,0,38999.9999999999,482000,482000,482000,668000,0,-1850000,0.17272,0.01989,0.02248,0.00542,0.00455,-3.95299,4.59743,0.19123,0,0.01293,0.01273,0.57502,2.38431,-0.05111,3.46944695195361e-18,0.00507,-0.02004,0,-33.47455,-54.01208
"3","2011_Q2",4.49888888888889,"Down",27148000,-22688000,4460000,-3856000,-3856000,604000,236000,236000,840000,840000,-174000,666000,666000,666000,666000,12747603.5835596,1693660.2441945,3161908.2357906,3161908.2357906,20125084.1913382,2661807.34605941,1430962.7744402,38696403.3567478,12204926.4326633,12992665.5012557,3308000,465000,3250667.81076693,5968997.6904888,62408127.4622463,101104530.818994,6958694.59360666,-1296475.58607039,8255170.17967706,6958694.59360666,6363541.54084775,5940533.14224353,5940533.14224353,423008.398604212,6363541.54084775,13322236.1344544,4047367.55495748,84801582.0182545,-1066654.88867226,87782294.6845397,87782294.6845397,101104530.818994,666000,249000,302000,2640000,3857000,-33000,-6977000,-447000,-368000,-3488000,-3488000,-3488000,853000,0,3634000,0.16428,0.02225,0.02453,0.0210659251221443,0.0180445480045549,5.45646,4.52672579195665,0.153339180077924,0,0.01835,0.01807,0.74815,2.41653521747732,0.10015,0.01232,0.0194357221454623,-0.0333692515994457,0.67117,-14.6102567292369,-21.287747716416
"4","2011_Q3",3.373125,"Down",29098000,-24191000,4907000,-3688000,-3688000,1219000,272000,272000,1491000,1491000,-262000,1229000,1229000,1229000,1229000,16620000,3450000,2930000,2930000,21034000,2339000,1338000,42923000,11989000,12035000,3308000,465000,3146000,5116000,63974000,106897000,12410000,3371000,9039000,12410000,5926000,5504000,5504000,422000,5926000,18336000,4345000,85117000,-901000,88561000,88561000,106897000,1229000,231000,183000,-1058000,585000,-20000,-3234000,0,52000,-2597000,-2597000,-2597000,1450000,0,634000,0.16864,0.04189,0.04224,0.01388,0.0115,0.515869999999999,3.45874,0.20704,0,0.03377,0.03336,0.79955,2.43346,0.01742,-1.73472347597681e-18,0.01301,0.00671,0,-11.46207,-13.63413
"5","2011_Q4",3.33587301587302,"Down",22254000,-17620000,4634000,-3140000,-3140000,1494000,233000,233000,1727000,1727000,-527000,1200000,1200000,1200000,1200000,20204000,5453000,2090000,2090000,23140000,2197000,1323000,47631000,11862000,11859000,3308000,465000,3143000,4943000,64513000,112144000,16245000,7046000,9199000,16245000,5797000,5368000,5368000,429000,5797000,22042000,4717000,86317000,-932000,90102000,90102000,112144000,1200000,216000,512000,218000,2146000,-89000,-143000,0,0,2003000,2003000,2003000,1710000,0,2366000,0.20823,0.06713,0.05392,0.01332,0.0107,1.97167,2.93204,0.24463,0,0.03296,0.03274,0.61127,2.47492,0.06499,0,0.01251,0.02467,0,-11.8152,-13.52343
"6","2012_Q1",3.97870967741935,"Up",27937000,-22432000,5505000,-3446000,-3446000,2059000,2281000,256000,4340000,4340000,-704000,3636000,3636000,3636000,3636000,13358000,956000,2209000,2209000,24907000,2481000,1460000,42955000,11884000,14299000,3308000,465000,3337000,7189000,67882000,110837000,10654000,2992000,7662000,10654000,6765000,6315000,6315000,450000,6765000,17419000,4923000,89953000,-1458000,93418000,93418000,110837000,3636000,193000,-1879000,-5242000,-3292000,-215000,-1205000,-2.91038304567337e-11,0,-4497000,-4497000,-4497000,2252000,0,-2501000,0.19705,0.0737,0.13015,0.03892,0.0328,-0.687839999999999,4.03182,0.18646,0,0.09988,0.09935,0.76746,2.56629,-0.06871,8.67361737988404e-19,0.03629,-0.02496,0,-5.93162,-6.48762
"7","2012_Q2",3.83634920634921,"Down",37849000,-30853000,6996000,-4943000,-4943000,2053000,239000,239000,2292000,2292000,-660000,1632000,1632000,1632000,1632000,18650000,6782000,3312000,3312000,25789000,2575000,1199000,50326000,11770000,13305000,3308000,465000,2873000,6659000,66325000,116651000,15893000,6112000,9781000,15893000,6356000,5904000,5904000,452000,6356000,22249000,4971000,90830000,-1399000,94402000,94402000,116651000,1632000,196000,587000,3413000,5828000,-82000,977000,-1206000,-979000,5826000,5826000,5826000,2249000,0,6240000,0.18484,0.05424,0.04312,0.01729,0.01399,3.82353,3.16655,0.23568,0,0.04455,0.04432,1.03331,2.57725,0.17036,0.03292,0.02817,0.06193,0.73897,-8.29257,-9.08427
"8","2012_Q3",3.86698412698413,"Up",38454000,-31159000,7295000,-4535000,-4535000,2760000,253000,253000,3013000,3013000,-840000,2173000,2173000,2173000,2173000,9190000,3010000,3166000,3166000,29026000,2428000,1362000,43810000,11677000,13373000,3308000,465000,3017000,6583000,74570000,118380000,16196000,5906000,10290000,16196000,6273000,5814000,5814000,459000,6273000,22469000,5054000,92248000,-1391000,95911000,95911000,118380000,2173000,196000,163000,-2565000,-32999.9999999991,-103000,-2688000,-1060000,-1051000,-3772000,-3772000,-3772000,2956000,0,1128000,0.18971,0.07177,0.05651,0.02266,0.01836,0.519100000000001,2.70499,0.23427,0,0.05926,0.05909,1.04868,2.61559,0.03076,0.02891,0.03164,0.01104,0.4878,-3.10893,-3.32971
"9","2012_Q4",4.04677419354839,"Up",38494000,-31120000,7374000,-4601000,-4601000,2773000,196000,196000,2969000,2969000,-859000,2110000,2110000,2110000,2110000,13890000,6575000,3196000,3196000,28396000,2623000,1552000,48105000,11575000,13590000,3308000,465000,3139000,6678000,73714000,121819000,17628000,7045000,10583000,17628000,6417000,5959000,5959000,458000,6417000,24045000,5489000,93604000,-1319000,97774000,97774000,121819000,2110000,190000,205000,1914000,4419000,-88000,-156000,-706000,-698000,3565000,3565000,3565000,2963000,0,5648000,0.19156,0.07204,0.05481,0.02158,0.01732,2.67678,2.7289,0.24592,0,0.05758,0.05736,1.05043,2.66807,0.15412,0.01927,0.02703,0.05421,0.3346,-4.68782,-5.00902
"10","2013_Q1",4.949,"Up",34153000,-28614000,5539000,-4364000,-4364000,1175000,272000,272000,1447000,1447000,-383000,1064000,1064000,1064000,1064000,2798000,1648000,1794000,1794000,28159000,3284000,1607000,36035000,11470000,14037000,3308000,465000,3531000,6733000,61280000,97315000,13246000,4246000,9e+06,13246000,6322000,6232000,6232000,90000,6322000,19568000,6199000,73120000,-1572000,77747000,77747000,97315000,1064000,186000,-337000,-2945000,-2032000,-81000,18678000,-21800000,-21573000,-4927000,-4927000,-4927000,1361000,0,-1282000,0.16218,0.0344,0.03115,0.01369,0.01093,-1.20489,2.72044,0.25169,0,0.02901,0.02888,0.93111,2.1196,-0.03495,0.59433,0.27197,-0.01525,20.48872,-2.05584,-2.38128
