"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",33.1237704918033,"Up",90597000,-5242000,85355000,-85323000,-76260000,-8317000,-746000,32000,240000,272000,272000,1995000,2267000,2267000,2267000,2615000,137709000,87709000,5e+07,12577000,12577000,6918000,157204000,16563000,2827000,825000,2002000,19390000,176594000,37496000,23908000,5470000,5470000,42966000,6603000,6603000,6603000,49569000,185296000,-58499000,228000,127025000,127025000,176594000,2267000,1125000,4955000,-1198000,7149000,-910000,1e+07,-728000,8362000,110000,110000,2128000,46620000,62131000,62131000,2000,62133000,1157000,0,-2946000,0.94214,0.00035,0.02886,0.02059,0.01481,-1.12658,3.6588,0.39023,0,0.04683,0.04313,1.62258,2.275,-0.05276,0.01957,-0.02205,-119.02247,-4303.40625
"2","2018_Q2",33.66625,"Up",98701000,-5569000,93132000,-89210000,-79379000,-9098000,-733000,3922000,282000,4204000,4204000,-552999.999999993,3651000,3651000,3650999.99999999,3651000,142003000,62003000,8e+07,12197000,12197000,7303000,161503000,16175000,4860000,2835000,2025000,21035000,182538000,32938000,23266000,8281000,8281000,41219000,6524000,6524000,6524000,47743000,189343000,-54848000,3e+05,134795000,134795000,182538000,3651000,1237000,2238000,-752000,6374000,-434000,3e+07,-60581000,-31015000,79999.9999999995,79999.9999999995,-1142000,-1062000,-25703000,-25703000,24000,-25679000,5159000,0,4526000,0.94358,0.03974,0.0369900000000001,0.02709,0.02,1.23966,3.91817,0.35419,0,0.06539,0.06021,1.76772,2.41416,0.0810599999999999,0.0258399999999999,0.03203,-27.5253,-36.2067800000004
"3","2018_Q3",46.2215873015873,"Up",110325000,-5959000,104366000,-102922000,-90474000,-11844000,-604000,1444000,703000,2147000,2147000,29118000,31265000,31265000,31265000,31265000,141762000,31762000,1.1e+08,11432000,11432000,11090000,164284000,16221000,32796000,29049000,3747000,49017000,213301000,41766000,30476000,8783000,8783000,50549000,6361000,6361000,6361000,56910000,179826000,-23583000,148000,156391000,156391000,213301000,31265000,1220000,-20336000,5325000,17474000,-547000,4e+07,-70144000,-30691000,2305000,2305000,-17488000,-15183000,-28400000,-28400000,-107000,-28507000,2664000,0,-21676000,0.94599,0.01309,0.28339,0.19992,0.14658,-0.6933,3.25,0.3639,0,0.29023,0.27615,1.02413,1.45175,-0.20121,0.1921,-0.13318,-53.21396,-98.17313
"4","2018_Q4",40.0850793650794,"Down",119042000,-6412000,112630000,-108995000,-95497000,-12771000,-727000,3635000,601000,4236000,4236000,7899000,12135000,12135000,12135000,12135000,147642000,77642000,7e+07,12565000,12565000,15428000,175635000,17632000,40777000,36985000,3792000,58409000,234044000,46418000,34046000,9011000,9011000,55429000,8187000,8187000,8187000,63616000,181740000,-11448000,136000,170428000,170428000,234044000,12135000,1308000,-1923000,-769000,10751000,-892000,4e+07,-253000,38855000,676000,676000,-4379000,-3703000,45903000,45903000,29000,45932000,4943000,5.82076609134674e-11,-4617000,0.94614,0.03054,0.10194,0.0712,0.05185,-0.38047,3.16865,0.37327,-1.0842021724855e-19,0.11067,0.1068,1.08566,1.5543,-0.04211,0.06794,-0.02585,-29.86891,-40.61678
"5","2019_Q1",39.1329508196721,"Down",126018000,-6871000,119147000,-104957000,-90064000,-14153000,-740000,14190000,707000,14897000,14897000,3222000,18119000,18119000,18119000,18119000,157687000,34887000,122800000,13614000,13614000,23557000,194858000,24269000,49163000,38886000,10277000,73432000,268290000,52999000,34345000,10504000,8811000,63503000,1281000,1281000,10676000,74179000,184327000,9713000,71000,194111000,194111000,268290000,18119000,1264000,6954000,-9213000,17124000,-4083000,-1.1e+08,56656000,-57427000,571000,571000,-4018000,-3447000,-43750000,-43750000,10000,-43740000,15454000,9395000,-1064000,0.94548,0.1126,0.14378,0.09334,0.06754,-0.05872,3.06848,0.38215,0.03502,0.16437,0.15977,1.14322,1.76096,-0.00965,0.08848,-0.0052,-9.5957,-10.45046
"6","2019_Q2",37.5614285714286,"Down",135270000,-7720000,127550000,-120115000,-103076000,-15972000,-1067000,7435000,1646000,9081000,9081000,3503000,12584000,12584000,12584000,12584000,138439000,29939000,108500000,15111000,15111000,25856000,179406000,26550000,125971000,42714000,62998000,152521000,331927000,49046000,35253000,16428000,8942000,65474000,2488000,1486000,55444000,120918000,189065000,22297000,-353000,211009000,211009000,331927000,12584000,1627000,5006000,-9532000,9685000,-5700000,4e+07,-26511000,-11350000,697000,697000,-3960000,-3263000,-4927999.99999999,-4927999.99999999,-23000,-4951000,9062000,52956000,-9673000,0.94293,0.05496,0.09303,0.05964,0.03791,-0.76867,2.74011,0.57305,0.15954,0.11357,0.11096,1.22085,1.90441,-0.0873,0.04723,-0.0363,-9.43313,-11.49738
"7","2019_Q3",34.06921875,"Down",145031000,-8628000,136403000,-132855000,-114329000,-17346000,-1180000,3548000,849000,4397000,4397000,1610000,6007000,6007000,6007000,6007000,147169000,27842000,119327000,17081000,17081000,24591000,188841000,28638000,128682000,44483000,64433000,157320000,346161000,54175000,39370000,16217000,8479000,70392000,1889000,1608000,53383000,123775000,194079000,28304000,3000,222386000,222386000,346161000,6007000,1914000,9469000,-1346000,16044000,-2884000,6e+07,-71543000,-14427000,391000,391000,-4643000,-4252000,-2635000,-2635000,40000,-2595000,5462000,51494000,-378000,0.94051,0.02446,0.04142,0.02701,0.01735,-0.06293,2.68271,0.55658,0.14876,0.05397,0.05298,1.30304,1.99804,-0.0034,0.02178,-0.00137,-17.51648,-26.9659
"8","2019_Q4",35.35546875,"Up",150462000,-9392000,141070000,-131366000,-112455000,-17745000,-1166000,9704000,1010000,10714000,10714000,-330000,10384000,10384000,10384000,10384000,164322000,29514000,134808000,17892000,17892000,23968000,206182000,27568000,135633000,44200000,72623000,163201000,369383000,56774000,42752000,15604000,7781000,72378000,59903000,59614000,59903000,132281000,199340000,38688000,-926000,237102000,237102000,369383000,10384000,2118000,11455000,-135000,23822000,-2181000,22800000,-38828000,-18209000,368000,368000,-4201000,-3833000,1780000,1780000,-114000,1666000,11822000,-7.45058059692383e-09,9836000,0.93758,0.06449,0.06901,0.0438,0.02811,0.94723,2.84868,0.55791,0,0.09299,0.09159,1.34738,2.12324,0.08808,0.03496,0.03312,-13.89968,-16.93343
"9","2020_Q1",28.6324193548387,"Down",158153000,-10560000,147593000,-133958000,-114418000,-18399000,-1141000,13635000,878000,14513000,14513000,-1342000,13171000,13171000,13171000,13171000,171612000,59920000,111692000,22124000,22124000,25218000,218954000,27950000,146719000,42713000,84879000,174669000,393623000,54993000,36731000,18765000,9984000,73758000,63010000,62726000,63010000,136768000,205346000,51859000,-350000,256855000,256855000,393623000,13171000,2158000,13454000,-8218000,20565000,-440000,-111692000,133861000,21729000,351000,351000,-3666000,-3345000,38949000,38949000,96000,39045000,15793000,0,8477000,0.93323,0.08621,0.08328,0.05128,0.03346,0.64361,2.96855,0.53247,0,0.11757,0.11598,1.4117,2.29273,0.07567,0.04118,0.0265,-10.86633,-12.58614
"10","2020_Q2",23.29,"Down",157689000,-11610000,146079000,-134060000,-109455000,-23084000,-1521000,12019000,728000,12747000,12747000,-51000,12696000,12696000,12696000,12696000,155732000,74451000,81281000,17536000,17536000,36971000,210239000,27904000,168295000,36459000,93532000,196199000,406438000,43812000,29839000,14519000,5042000,58331000,70139000,69810000,70139000,128470000,214256000,64555000,-843000,277968000,277968000,406438000,12696000,2990000,21006000,-26551000,10141000,-1214000,30411000,-666000,7527000,514000,514000,-3397000,-2892000,14776000,14776000,-28000,14748000,15009000,0,-12705000,0.92637,0.07622,0.08051,0.04567,0.03124,-1.00071,3.60424,0.46218,0,0.113,0.11187,1.40349,2.47401,-0.11308,0.03647,-0.0365,-10.37591,-12.95715
