"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.33539682539683,"Up",58967000,-15941000,43026000,-31725000,-23622000,-8103000,11301000,-154000,257000,-165000,-246000,11147000,11098000,-2553000,8545000,8545000,8545000,8545000,152891328.074657,17729167.6209568,135162160.4537,23269336.0217692,23269336.0217692,-703524.336197071,8885443.75221396,7023452.15857787,184342583.512443,30522165.4665986,23284217.2129091,150322304.451421,26396684.6540017,79194104.939699,8034716.0290898,36696798.8286302,204128687.130928,388471270.643372,33228650.8186132,10457791.7848779,-10970456.767235,33741315.8009704,-7184785.64633586,-7184785.6653906,26043865.1722774,5926615.24573429,5926615.24574635,5926615.24573429,31970480.4180117,107993133.573652,340777297.483815,-92269640.8321065,356500790.22536,356500790.22536,388471270.643372,8545000,2380000,350000,-1564000,9711000,-1081000,-6804000,-7570000,-1983000,120000,120000,-1909000,232000,232000,-5399000,-5167000,13681000,0,13589000,0.72966,0.19165,0.14491,0.0453489890487994,0.0413616564339818,1.59029,5.61478036983707,0.103800891981122,0,0.05385,0.05383,0.37164,2.11424617368957,0.08564,0.0125,0.0572399532099472,-0.0101558359062137,0.23207,-5.44480645998959,-5.98968644276523
"2","2010_Q3",4.505,"Up",71811000,-18717000,53094000,-33814000,-25738000,-8076000,19280000,144000,308000,-8000,-156000,19424000,19385000,-4458000,14927000,14927000,14927000,14927000,135292000,37942000,97350000,41197000,41197000,20100000,31576000,23828000,228165000,27981000,64549000,133774000,25721000,81720000,16204000,10129000,226304000,454469000,39065000,7026000,7732000,24307000,15609000,15609000,54674000,4908000,4908000,4908000,59582000,70063000,347566000,-22742000,394887000,394887000,454469000,14927000,2364000,1211000,-6936000,11566000,-1150000,-74310000,-75460000,-2382000,275000,275000,-2220000,-66114000,-66114000,-10608000,-76722000,21644000,0,18016000,0.73936,0.26848,0.20787,0.0378,0.03284,1.20694,4.17319,0.15088,0,0.09404,0.09379,0.4524,2.48776,0.1135,0.01501,0.04329,0.04506,0.15958,-6.25079,-7.01722
"3","2010_Q4",6.38515625,"Up",74993000,-18913000,56080000,-33818000,-25857000,-7961000,22262000,357000,384000,102000,-129000,22619000,22632000,-4487000,18145000,18145000,18145000,18145000,151729000,38213000,113516000,47202000,47202000,23867000,34591000,26640000,257389000,28316000,88590000,125443000,24480000,82313000,17149000,1501000,242349000,499738000,43127000,6336000,10299000,26492000,16234000,16234000,59361000,4954000,4954000,4954000,64315000,78427000,363329000,-6333000,435423000,435423000,499738000,18145000,2485000,2002000,2839000,25471000,-1076000,-38290000,-39366000,-2382000,6929000,6929000,4704000,-9191000,-9191000,9462000,271000,24747000,0,30997000,0.7478,0.29685,0.24196,0.04167,0.03631,1.70829,4.336,0.14771,0,0.11418,0.11368,0.4719,2.73996,0.19505,0.01499,0.04661,0.07039,0.13128,-6.13121,-6.81561
"4","2011_Q1",6.53693548387097,"Up",84920000,-24017000,60903000,-37958000,-29018000,-8940000,22945000,43000,472000,-257000,-172000,22988000,22988000,-3224000,19764000,19764000,19764000,19764000,181026000,33203000,147823000,45901000,45901000,22717000,29361000,23059000,279005000,29596000,102055000,122448000,23130000,82204000,15555000,1559000,254099000,533104000,44270000,7153000,7771000,29346000,10162000,10162000,54432000,5361000,5361000,5361000,59793000,102702000,379826000,-9217000,473311000,473311000,533104000,19764000,2580000,708000,6533000,29585000,-2545000,-51535000,-54080000,-3267000,21060000,21060000,19653000,-4842000.00000001,-4842000.00000001,-168000,-5010000.00000001,25525000,0,32737000,0.71718,0.2702,0.23274,0.04176,0.03707,1.6564,5.12575,0.12633,0,0.12165,0.11817,0.52269,2.91326,0.2015,0.02011,0.04811,0.06839,0.1653,-7.09211,-7.88956
"5","2011_Q2",7.28809523809524,"Up",74394000,-18383000,56011000,-38643000,-29161000,-9482000,17368000,341000,605000,-59000,-205000,17709000,17709000,-4073000,13636000,13636000,13636000,13636000,207356000,37014000,170342000,42124000,42124000,27262000,26881000,20569000,303623000,30063000,109069000,121895000,22084000,82524000,15720000,1567000,261027000,564650000,42123000,8078000,10107000,23938000,11573000,11573000,53696000,5528000,5528000,5528000,59224000,115451000,390146000,-171000,505426000,505426000,564650000,13636000,2375000,2939000,1838000,20788000,-1577000,-24179000,-25756000,-3316000,9517000,9517000,7081000,2113000,2113000,1698000,3811000,19743000,0,24077000,0.7529,0.23346,0.18329,0.02698,0.02415,1.76569,5.65448,0.11718,0,0.08247,0.08062,0.44993,3.05681,0.14562,0.02006,0.03318,0.04712,0.24318,-10.50276,-11.93897
"6","2011_Q3",7.264375,"Down",83393000,-19379000,64014000,-39972000,-29466000,-10506000,24042000,759000,697000,210000,-148000,24801000,24801000,-5704000,19097000,19097000,19097000,19097000,244688000,42676000,202012000,42480000,42480000,27004000,28129000,21810000,342301000,30590000,108700000,121066000,21047000,82654000,15707000,1658000,260356000,602657000,43589000,6922000,8726000,27941000,13089000,13089000,56678000,5694000,5694000,5694000,62372000,130255000,405463000,4567000,540285000,540285000,602657000,19097000,2424000,1927000,3829000,27277000,-2048000,-29169000,-31217000,-3780000,11302000,11302000,9067000,5127000,5127000,535000,5662000,26466000,0,33951000,0.76762,0.2883,0.229,0.03535,0.03169,1.77782,6.0394,0.11544,0,0.11412,0.11161,0.49833,3.22859,0.20288,0.02259,0.0419,0.06218,0.19794,-9.24537,-10.17752
"7","2011_Q4",7.55063492063492,"Up",80085000,-18953000,61132000,-38743000,-28135000,-10608000,22389000,530000,917000,-231000,-156000,22919000,22919000,-4882000,18037000,18037000,18037000,18037000,172584000,30175000,142409000,45827000,45827000,28595000,27333000,20835000,274339000,30869000,173521000,119778000,19969000,82277000,15814000,1718000,324168000,598507000,39690000,7388000,2006000,30296000,13165000,13165000,52855000,4291000,4291000,4291000,57146000,129929000,419699000,-8267000,541361000,541361000,598507000,18037000,2464000,1981000,-8210000,14272000,-1920000,-17169000,-19089000,-3801000,-2982000,7018000,-5584000,-10401000,-10401000,-2100000,-12501000,24853000,0,19605000,0.76334,0.27957,0.22522,0.03332,0.03014,1.08693,5.19041,0.10556,0,0.10705,0.10491,0.4753,3.21298,0.11636,0.02256,0.04002,0.03593,0.21073,-6.94419,-7.70843
"8","2012_Q1",9.50854838709677,"Up",84042000,-21204000,62838000,-41282000,-30932000,-10350000,21556000,132000,683000,-424000,-127000,21688000,21688000,-2589000,19099000,19099000,19099000,19099000,182534000,38103000,144431000,48206000,48206000,28098000,26508000,19628000,285346000,31744000,174906000,119885000,18910000,82029000,15919000,3027000,326535000,611881000,40647000,7098000,1259000,32290000,13458000,13458000,54105000,4796000,4796000,4796000,58901000,135752000,434581000,-17353000,552980000,552980000,611881000,19099000,2493000,3740000,-1394000,23938000,-2275000,-11872000,-14147000,-4217000,3026000,3026000,-770000,9021000.00000001,9021000.00000001,-1093000,7927999.99999999,24049000,0,22969000,0.7477,0.25649,0.22726,0.03454,0.03121,1.20263,5.27393,0.10652,0,0.1133,0.11104,0.49858,3.28053,0.13626,0.02502,0.0418,0.04118,0.2208,-7.59009,-8.4679
"9","2012_Q2",8.26,"Down",77709000,-19058000,58651000,-40910000,-30549000,-10361000,17741000,337000,972000,-638000,3000,18078000,18078000,-3796000,14282000,14282000,14282000,14282000,200768000,41559000,159209000,45595000,45595000,27807000,28740000,22033000,302910000,32720000,183965000,118386000,17873000,82181000,15632000,2700000,335071000,637981000,31784000,7341000,1012000,23431000,12473000,12473000,44257000,4931000,4931000,4931000,49188000,155008000,444592000,-10807000,588793000,588793000,637981000,14282000,2594000,2217000,-6239000,12854000,-2487000,-19533000,-22020000,-4271000,13104000,13104000,11671000,2505000,2505000,951000,3456000,20335000,0,15405000,0.75475,0.2283,0.18379,0.02426,0.02239,1.07863,6.84434,0.08354,0,0.08387,0.08191,0.45636,3.45779,0.09047,0.02508,0.03125,0.02595,0.29905,-9.87303,-11.31661
"10","2012_Q3",7.87777777777778,"Down",84326000,-20549000,63777000,-40427000,-30127000,-10300000,23350000,1672000,1801000,-30000,-99000,25022000,25022000,-5255000,19767000,19767000,19767000,19767000,265935000,205992000,59943000,48385000,48385000,25113000,30442000,23698000,369875000,33663000,124748000,118460000,16820000,81820000,17049000,2771000,276871000,646746000,38334000,6535000,3779000,28020000,11753000,11753000,50087000,5066000,5066000,5066000,55153000,157953000,459645000,-26005000,591593000,591593000,646746000,19767000,2672000,2628000,2251000,27318000,-2817000,153381000,150564000,-4714000,824999.999999996,825000,-3758000,174124000,174124000,-9691000,164433000,26022000,0,30711000,0.75631,0.2769,0.23441,0.03341,0.03056,1.55365,7.38465,0.09323,0,0.11533,0.11332,0.49198,3.45153,0.17918,0.0275,0.04103,0.05147,0.23848,-10.21962,-11.38908
"11","2012_Q4",8.20338709677419,"Up",80076000,-19506000,60570000,-38767000,-28765000,-10002000,21803000,283000,823000,-409000,-131000,22086000,22086000,-4281000,17805000,17805000,17805000,17805000,156028000,54158000,101870000,44761000,44761000,24995000,24442000,17657000,250226000,34344000,259910000,117635000,15783000,81689000,17378000,2785000,411889000,662115000,40068000,7567000,3583000,28918000,11755000,11755000,51823000,4890000,4890000,4890000,56713000,161382000,472729000,-28709000,605402000,605402000,662115000,17805000,2835000,2002000,11995000,34637000,-2317000,-180118000,-182435000,-4721000,1650000,1650000,-2784000,-150582000,-150582000,-1252000,-151834000,24638000,0,38597000,0.75641,0.27228,0.22235,0.02941,0.02689,2.16776,4.82847,0.09368,0,0.10373,0.10202,0.46652,3.52708,0.22487,0.0275,0.03691,0.06324,0.26515,-6.33282,-7.15626
"12","2013_Q1",9.52783333333333,"Up",82168000,-20382000,61786000,-41273000,-30387000,-10886000,20513000,931000,874000,197000,-140000,21444000,21444000,-5200000,16244000,16244000,16244000,16244000,150265000,45160000,105105000,42387000,42387000,26182000,20763000,14394000,239597000,34820000,238255000,114933000,14770000,81689000,15647000,2827000,388008000,627605000,37414000,6815000,1009000,29590000,12690000,12690000,50104000,5216000,5216000,5216000,55320000,165334000,436466000,-29515000,572285000,572285000,627605000,16244000,2757000,2189000,5132000,26322000,-2257000,17294000.0000001,15037000,-52507000,1889000,1889000,-50280000,-8921000.00000006,-8921000.00000006,-77000,-8997999.99999988,23270000,0,31345000,0.75195,0.24965,0.19769,0.02838,0.02588,1.92964,4.78199,0.09667,0,0.09444,0.09287,0.47771,3.32716,0.18223,0.30527,0.11905,0.05428,3.23239,-6.45746,-7.32535
