"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q3",20.17828125,"Down",74344000,-35928000,-11284000,-24644000,38416000,-27527000,-15775000,-11752000,10889000,10889000,-3866000,7023000,7023000,7023000,7023000,445038000,445038000,68862000,68862000,513900000,2814926000,2876962000,-62036000,424673000,421412000,3239599000,3753499000,28986000,28986000,15205000,15205000,44191000,1383570000,199390000,-6227658.55736558,199390000,1582960000,1627151000,0,2168189000,-41841000,2126348000,2126348000,3753499000,7023000,24644000,21303000,-4670000,48300000,-744407000,-759263000,68867000,-11733000,925688000,214725000,214725000,214725000,63060000,1383570000,-682151000,0.51673,0.09447,0.0033,0.00187,-97.131,11.62906,0.76523,0.36861,0.07702,0.07692,0.81535,23.32007,-7.48128,0.00189,-0.1839,14.88316,24.43076
"2","2011_Q4",19.7122222222222,"Down",92125000,-42169000,-11512000,-30657000,49956000,-21615000,-13301000,-8314000,28341000,28341000,-10070000,18271000,18271000,18271000,18271000,279647000,279647000,74819000,74819000,382532000,3340615000,3433308000,-92693000,523870000,523870000,3864485000,4247017000,44139000,44139000,17317000,17317000,61456000,1802648000,239625000,6809000,232816000,2042273000,2103729000,0,2166858000,-23570000,2143288000,2143288000,4247017000,18271000,30657000,20692000,9545000,79165000,-638404000,-680685000,454348000,-17030000,436129000,-165391000,-165391000,-165391000,80613000,1802648000,-538176000,0.54226,0.19833,0.00852,0.0043,-29.4552,6.22449,0.98154,0.42445,0.18097,0.18086,0.91248,21.22889,-5.33054,0.00437,-0.12858,18.89275,30.48685
"3","2012_Q1",22.2167741935484,"Up",115057000,-50774000,-11898000,-38876000,64283000,-25596000,-17228000,-8368000,38687000,38687000,-13925000,24762000,24762000,24762000,24762000,281805000,281805000,96157000,96157000,377962000,4237416000,4368985000,-131569000,549215000,549215000,4786631000,5164593000,54648000,54648000,26017000,26017000,80665000,2602799000,304846000,20692000,284154000,2907645000,2988310000,0,2175091000,1192000,2176283000,2176283000,5164593000,24762000,38876000,24760000,12571000,100969000,-905390000,-925148000,853667000,-27195000,826337000,2158000,2158000,2158000,103159000,2602799000,-775735000,0.55871,0.21522,0.01138,0.00479,-31.32764,4.68558,1.37313,0.50397,0.24557,0.23849,1.14102,21.58225,-7.69298,0.00487,-0.15259,22.49919,36.10588
"4","2012_Q2",19.7630158730159,"Down",132553000,-57945000,-13609000,-44336000,74608000,-32998000,-24781000,-8217000,41610000,41610000,-14683000,26927000,26927000,26927000,26927000,803266000,803266000,112377000,112377000,915643000,4757380000,4933285000,-175905000,613605000,613605000,5370985000,6286628000,52139000,52139000,30642000,30642000,82781000,3657632000,334788000,35371000,299417000,3992420000,4075201000,-1.61558713389263e-27,2183308000,28119000,2211427000,2211427000,6286628000,26927000,44336000,25763000,4496000,101522000,-562716000,-597829000,1068719000,-50951000,1017768000,521461000,521461000,521461000,118944000,3657632000,-424593000,0.56285,0.20314,0.01218,0.00428,-15.7683,11.06103,1.84279,0.58181,0.26735,0.25065,1.31609,21.95677,-4.21569,0.00434,-0.06844,23.99756,38.25818
"5","2012_Q3",18.3669841269841,"Down",158173000,-66845000,-14308000,-52537000,91328000,-47444000,-38237000,-9207000,43884000,43884000,-15712000,28172000,28172000,28172000,28172000,388587000,388587000,113009000,113009000,501596000,5653252000,5881694000,-228442000,653489000,653489000,6306741000,6808337000,81994000,81994000,36718000,36718000,118712000,4046786000,401989000,51083000,350906000,4448775000,4567487000,0,2184559000,56291000,2240850000,2240850000,6808337000,28172000,52537000,29010000,28979000,138698000,-944929000,-965059000,430347000,-18735000,411682000,-414679000,-414679000,-414679000,143865000,4046786000,-756373000,0.57739,0.17811,0.01257,0.00414,-26.8484,4.22532,2.03828,0.59439,0.27962,0.26228,1.56996,22.24171,-7.50743,0.00421,-0.11307,25.428,40.05561
"6","2012_Q4",19.3717741935484,"Up",174925000,-70765000,-12833000,-57932000,104160000,-46967000,-39843000,-7124000,57193000,57193000,-20182000,37011000,37011000,37011000,37011000,439681000,439681000,111784000,111784000,551465000,5872388000,6158762000,-286374000,741625000,741625000,6614013000,7165478000,95240000,95240000,36953000,36953000,132193000,4296076000,451537000,71265000,380272000,4747613000,4879806000,2.58493941422821e-26,2192370000,93302000,2285672000,2285672000,7165478000,37011000,57932000,31901000,5432000,132276000,-329559000,-345800000,279379000,-14734000,264618000,51094000,51094000,51094000,162092000,4296076000,-141853000,0.59546,0.21158,0.01619,0.00517,-3.83273,4.17167,2.13495,0.59955,0.36555,0.34309,1.7277,22.57513,-1.40105,0.00526,-0.02017,23.7914,37.02376
"7","2013_Q1",23.1608333333333,"Up",190095000,-77117000,-15703000,-61414000,112978000,-51692000,-44552000,-7140000,61286000,61286000,-21477000,39809000,39809000,39809000,39809000,230089000,230089000,106307000,106307000,336396000,6251863000,6598898000,-347035000,765365000,765365000,7017228000,7353624000,90169000,90169000,41137000,41137000,131306000,4384732000,504965000,92742000,412223000,4889697000,5021003000,0,2199510000,133111000,2332621000,2332621000,7353624000,39809000,61414000,30174000,-12864000,118533000,-432815000,-436236000,109574000,-1463000,108111000,-209592000,-209592000,-209592000,174392000,4384732000,-249810000,0.59432,0.20942,0.01707,0.00541,-6.27521,2.56192,2.15252,0.59627,0.39316,0.3689,1.87743,23.03756,-2.46719,0.00551,-0.03459,23.82359,36.77391
"8","2013_Q2",25.17109375,"Up",191997000,-78110000,-14247000,-63863000,113887000,-52215000,-45440000,-6775000,61672000,61672000,-21676000,39996000,39996000,39996000,39996000,217623000,217623000,110558000,110558000,328181000,6571077000,6981975000,-410898000,1056417000,1056417000,7627494000,7955675000,104045000,104045000,46971000,46971000,151016000,4861201000,568340000,114418000,453922000,5429541000,5580557000,0,2204543000,170575000,2375118000,2375118000,7955675000,39996000,63863000,32586000,24696000,161141000,-622460000,-659168000,516410000,-28317000,485561000,-12466000,-12466000,-12466000,177750000,4861201000,-398338000,0.59317,0.20832,0.01684,0.00503,-9.95945,2.17315,2.34959,0.61104,0.39498,0.36915,1.89607,23.4555,-3.93379,0.00545,-0.05104,26.12421,40.77356
"9","2013_Q3",24.62171875,"Down",207872000,-85431000,-16648000,-68783000,122441000,-56130000,-48817000,-7313000,66311000,66311000,-23321000,42990000,42990000,42990000,42990000,234299000,234299000,77975000,77975000,312274000,6983312000,7462993000,-479681000,1144085000,1144085000,8127397000,8439671000,112675000,112675000,49724000,49724000,162399000,5226342000,639903000,137739000,502164000,5866245000,6028644000,0,2199995000,211032000,2411027000,2411027000,8439671000,42990000,68783000,34989000,-23000,146739000,-542481000,-558569000,414013000,14493000,428506000,16676000,16676000,16676000,191224000,5226342000,-327959000,0.58902,0.20681,0.01783,0.00509,-7.62873,1.92288,2.50045,0.61926,0.42447,0.39446,2.05245,23.80555,-3.23814,0.00519,-0.03962,26.10573,40.77101
"10","2013_Q4",27.45625,"Up",215905000,-89308000,-17497000,-71811000,126597000,-51709000,-47958000,-3751000,74888000,74888000,-26310000,48578000,48578000,48578000,48578000,221680000,221680000,85516000,85516000,307196000,7240088000,7791520000,-551432000,1261017000,1261017000,8501105000,8808301000,123604000,123604000,53589000,53589000,177193000,5466278000,704024000,164049000,539975000,6170302000,6347495000,3.30872245021211e-24,2203740000,257066000,2460806000,2460806000,8808301000,48578000,71811000,35291000,29226000,184906000,-367835000,-449834000,284084000,-29242000,252309000,-12619000,-12619000,-12619000,198408000,5466278000,-113891000,0.58636,0.225,0.01974,0.00552,-2.3445,1.73368,2.57944,0.62058,0.47728,0.44558,2.12128,24.17759,-1.11899,0.00592,-0.0132,26.4334,41.42751
