"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_compensation","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.7434920634921,"Up",203320000,-151145000,52175000,-27429000,-27429000,24746000,99000,99000,24845000,24159000,-9559000,14600000,12628000,12628000,12628000,-355399685.007937,-355399685.007937,1348159454.93641,1348159454.93641,-58713210.2228254,41403178.4675351,934046559.705645,68200320.6089768,106991776.434288,9233914.10567868,63959131.2933646,3392069.46626151,175192097.043265,1109238656.74891,540785461.967967,-47197829.3927307,587983291.360698,23938684.0076267,6345536.19810575,4697748.86951423,564746858.509451,31112314.3182806,-58256077.2173967,42897314.4046644,23739130.969392,22731879.4420025,41217537.37463,605964395.884081,339203468.500968,309286253.739947,-28034563.9270618,503274254.627302,503274260.864829,1109238656.74891,14600000,4540000,-8893000,38640000,55021000,-3938000,-2424000,-6362000,-2118000,-1367904.54804101,-7657000,-8661000,135000,-9640000,39019000,39019000,106000,39125000,29286000,0,73547000,0.25662,0.12171,0.06211,0.307789971417798,0.175472872096708,5.82412,-0.0284573477128021,1.54815155165165,0.0150513948672777,0.17943,0.17501,2.88889,7.36592622460995,1.045,0.03009,0.326302930154053,-3.65213067569682,0.16772,25.2411015099585,33.5037079178687
"2","2010_Q3",13.0596875,"Down",204386000,-153835000,50551000,-28787000,-28787000,21764000,186000,186000,21950000,27987000,-9996000,17991000,18743000,18743000,18743000,-80638842.5039685,-80638842.5039685,671832727.468204,671832727.468204,5804394.88858728,33471589.2337676,596998279.852823,57711660.3044884,113982388.217144,8609457.05283934,67208065.6466823,10068034.7331308,171694048.521632,768692328.374455,292321730.983984,-17033914.6963654,309355645.680349,54586342.0038133,40160768.0990529,7977874.43475712,346919429.254726,23918657.1591403,-20602538.6086983,20783157.2023322,13296065.484696,10441939.7210013,28989268.687315,375908697.942041,341146734.250484,310810626.869974,-7469781.96353088,392783627.313651,392783630.432415,768692328.374455,17991000,4478000,8440000,-9036000,14734000,-2093000,-1511000,-14277000,-2083000,-7000,-5239000,-5850000,975000,-6354000,-5897000,-5897000,319000,-5577999.99999999,26242000,-1.16415321826935e-10,25109000,0.24733,0.10648,0.0917,0.183624985708899,0.107411436048354,1.33965,1.0258913261436,1.03102577582583,0.00789069743363887,0.26917,0.26061,2.93523,5.70882311230497,0.3606,0.02991,0.191841465077027,-1.52961533784841,0.11113,9.16131575497925,12.6234239589344
"3","2010_Q4",14.17703125,"Up",211527000,-154514000,57013000,-31658000,-31658000,25355000,442000,442000,25797000,25797000,-9672000,16125000,17325000,17325000,17325000,79520719.1653438,79520719.1653438,294937575.822735,294937575.822735,44725131.6295291,28434863.0779225,419183426.617608,51605553.4348295,119169462.739048,8154485.68427978,69614688.5488941,14492678.2443769,170775016.173877,589958442.791485,154247576.994661,-119638.232121788,154367215.226783,67221114.0012711,55548589.366351,9100624.81158571,221472476.418242,21784552.3863801,659820.463767217,8801052.40077739,8109021.828232,4214646.57366709,24179422.8957717,245651899.314014,345994911.416828,318569875.623325,6302739.34548971,344306542.437884,344306543.477472,589958442.791485,16125000,4630000,2879000,25955000,48442000,-4352000,-1899000,-6251000,-2094000,333000,-9622000,-8007000,2993000,-8390000,33801000,33801000,-2104000,31697000,29985000,0,61260000,0.26953,0.11987,0.0819,0.105688328569633,0.0643604786827847,3.53593,1.7340837753812,0.717355258608609,0.00408023247787962,0.24859,0.24057,3.03508,4.98959103743499,0.87899,0.03005,0.108717155025675,-0.37375844594947,0.12087,-0.141238081673585,0.505024652978121
"4","2011_Q1",16.1108064516129,"Up",212516000,-151422000,61094000,-30904000,-30904000,30190000,189000,189000,30379000,30379000,-9698000,20681000,21713000,21713000,21713000,155321000,155321000,136260000,136260000,64568000,25702000,356149000,48873000,122719000,7778000,71251000,17131000,171592000,527741000,97127000,7120000,90007000,67561000,58070000,8857000,164688000,22853000,9893000,4083000,6739000,2138000,24264000,188952000,352696000,330929000,14530000,338789000,338789000,527741000,20681000,4692000,4998000,-9749000,20244000,-3553000,-2365000,-5505000,-2080000,2e+05,-17699000,-17699000,1561000,-18018000,-3279000,-3279000,5541000,2262000,34882000,1411000,31278000,0.28748,0.14206,0.10217,0.06409,0.04114,1.44052,2.16257,0.55773,0.00267,0.31509,0.30433,3.08396,4.9164,0.4539,0.03018,0.06554,0.08615,0.0958,-4.4123,-5.09805
"5","2011_Q2",18.125873015873,"Up",214114000,-158155000,55959000,-28667000,-28667000,27292000,491000,491000,27783000,27783000,-10196000,17587000,17482000,17482000,17482000,177004000,177004000,114586000,114586000,71852000,24682000,363442000,48505000,124797000,7389000,72189000,18448000,173302000,536744000,91524000,8260000,83264000,61324000,53286000,8038000,152848000,25267000,11459000,3761000,7747000,2300000,26719000,179567000,360198000,346253000,18459000,357177000,357177000,536744000,17587000,5232000,1493000,6069000,29642000,-2407000,-2298000,-4705000,-2067000,281679.551597401,-8370000,-8370000,5360000,-5077000,19860000,19860000,1823000,21683000,32524000,1452000,46382000,0.26135,0.12746,0.08165,0.04894,0.03257,2.65313,2.3778,0.50274,0.00271,0.25439,0.24678,3.11565,5.19742,0.67492,0.03008,0.05092,0.12082,0.11824,-5.39761,-6.43236
"6","2011_Q3",17.05953125,"Down",227116000,-164050000,63066000,-33572000,-33572000,29494000,919000,919000,30413000,30413000,-11375000,19038000,18219000,18219000,18219000,183155000,183155000,138153000,138153000,75537000,24386000,396845000,49359000,126414000,6963000,72832000,19186000,175773000,572618000,106329000,7835000,98494000,54957000,47112000,7845000,161286000,26940000,10543000,4854000,9183000,2360000,28742000,190028000,367739000,361755000,20918000,382590000,382590000,572618000,19038000,5551000,6169000,-24753000,5793000,-4057000,-1574000,-5631000,-2576000,3e+05,-88999.9999999991,-89000,6471000,4106000,4268000,4268000,1883000,6151000,35045000,1802000,17610000,0.27768,0.12986,0.08022,0.04762,0.03182,0.96657,2.4605,0.49669,0.00315,0.26464,0.25607,3.29899,5.55735,0.2558,0.03742,0.05056,0.04281,0.14139,-5.17486,-6.14881
"7","2011_Q4",18.0571428571429,"Up",238296000,-171897000,66399000,-35259000,-35259000,31140000,961000,961000,32101000,31740000,-11780000,19960000,19892000,19892000,19892000,204016000,204016000,125747000,125747000,82142000,24223000,411905000,50426000,127736000,6409000,73252000,19810000,178162000,590067000,112106000,9420000,102686000,54178000,45109000,9069000,166284000,26015000,11507000,4494000,9608000,406000,27809000,194093000,374267000,375800000,23154000,395974000,395974000,590067000,19960000,5696000,505000,7938000,33964000,-4499000,-1756000,-6255000,-2598000,4000,-8515000,-8515000,2446000,-8663000,19046000,19046000,1815000,20861000,36836000,1794000,52055000,0.27864,0.13068,0.08348,0.05024,0.03371,2.61688,2.47712,0.49017,0.00304,0.28656,0.2778,3.43287,5.70436,0.7499,0.03743,0.05307,0.12283,0.13061,-5.48979,-6.49396
"8","2012_Q1",19.6633870967742,"Up",250107000,-181880000,68227000,-34560000,-34560000,33667000,1124000,1124000,34791000,35960000,-10403000,25557000,25575000,25575000,25575000,172950000,172950000,146900000,146900000,71426000,27202000,391276000,51740000,122263000,5651000,71323000,17941000,174003000,565279000,108322000,5104000,103218000,55529000,47902000,7627000,163893000,25275000,8883000,2575000,13429000,388000,26929000,190822000,377579000,401248000,12480000,374457000,374457000,565279000,25557000,6366000,13144000,-17967000,27461000,-7543000,-1743000,-9286000,-3086000,0,-27070000,-39566000,-11818000,-41974000,-23799000,-23799000,-7267000,-31066000,40033000,1696000,24926000,0.27279,0.13461,0.10226,0.0683,0.04524,0.97462,2.38739,0.5096,0.003,0.37416,0.36198,3.659,5.4782,0.36466,0.04515,0.0714,0.06209,0.12066,-4.27782,-5.0867
"9","2012_Q2",20.3846031746032,"Up",239603000,-179756000,59847000,-32756000,-32756000,27091000,1104000,1104000,28195000,28009000,-10351000,17658000,17704000,17704000,17704000,191048000,191048000,149936000,149936000,70772000,26605000,411756000,50235000,122420000,5427000,72020000,17751000,172655000,584411000,101426000,4409000,97017000,62325000,56030000,6295000,163837000,27020000,10320000,2274000,14034000,392000,28652000,192489000,385101000,415761000,16711000,391922000,391922000,584411000,17658000,6111000,-45000,3832000,27556000,-2554000,-572000,-886000,-3023000,35002.6342182066,-6933000,-9749000,-1348000,-11304000,15366000,15366000,2732000,18098000,33202000,1718000,44831000,0.24978,0.11307,0.07389,0.04517,0.03029,2.53225,2.51321,0.49114,0.00294,0.26296,0.25616,3.55885,5.82126,0.66588,0.0449,0.04927,0.10657,0.17075,-5.70237,-6.98867
"10","2012_Q3",24.5761904761905,"Up",243452000,-178686000,64766000,-37959000,-37959000,26807000,824000,824000,27631000,28222000,-14011000,14211000,14273000,14273000,14273000,229537000,229537000,140664000,140664000,71381000,29406000,441582000,50722000,123530000,5246000,72705000,18070000,174252000,615834000,113184000,5497000,107687000,63647000,59265000,4382000,176963000,26523000,9895000,3553000,12674000,401000,28148000,205111000,389477000,426828000,20069000,410723000,410723000,615834000,14211000,5434000,3e+05,21537000,41482000,-4022000,-988000,-5010000,-3038000,19060.2747344662,1959000,-3.72529029846191e-09,770000,-309000,36163000,36163000,2326000,38489000,32241000,1757000,63767000,0.26603,0.11011,0.05863,0.03475,0.02318,4.46767,2.49534,0.49939,0.00285,0.21121,0.2055,3.60264,6.07794,0.94363,0.04496,0.03943,0.14525,0.21285,-7.06492,-8.49703
