"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",6.875,"Up",10335000,-7284000,-2014000,-3280000,-1990000,3051000,-1024000,-4334000,3310000,2027000,1000,2028000,2028000,2028000,2028000,-1028000,1e+06,13427873.7668835,13427873.7668835,3173926.94686655,3173926.94686655,16601801.8441959,295926345.97365,337312148.013504,-41385802.0398542,25275866.7751405,4040647.54854411,21235219.2265964,321202212.74879,337804014.592986,670016.932585801,670016.932585801,6364469.46774988,6364469.46774988,7034486.40033568,250879768.408684,3180131.38052,3180131.38052,254059899.789204,261094386.189539,4081578.51768834,132473990.363217,-59845940.4774585,76709628.4034471,76709628.4034471,337804014.592986,2028000,3280000,-228000,1722000,6802000,-173000,9629000,9456000,-4239000,-13672000,1763000,1763000,-192000,-16340000,-82000,-82000,-82000,6331000,0,0.29521,0.09676,0.00900421518669543,0.00322001898106028,2.31413370025381,3.10942212103731,0.730689088909461,0.11678,0.11659,1.20694,5.99540267364984,0.49504,0.0174615614379574,4.239,27.1651866259971,44.4613873554366
"2","2011_Q1",6.99629032258064,"Up",10227000,-5255000,-571000,-3272000,-1412000,4972000,-3999000,-4158000,159000,973000,-166000,807000,807000,807000,807000,-1039000,-232000,7062000,7062000,2288000,2288000,9350000,357358000,401017000,-43659000,43901000,26747000,17154000,401259000,410609000,2683000,2683000,4617000,4617000,7300000,286595000,5339000,5339000,291934000,299234000,2000,174270000,-62897000,111375000,111375000,410609000,807000,3272000,-366000,540000,4253000,-464000.000000001,-1169000,-1633000,-4280000,4046000,2334000,2334000,-882000,1218000,3838000,3838000,3838000,8244000,286595000,0.48616,-0.02269,-0.00208,-0.00057,1.28082,2.68673,0.69798,-0.02705,-0.02697,1.19247,12.98613,0.49905,0.01004,-18.44828,33.90745,56.22144
"3","2011_Q2",6.98888888888889,"Down",10519000,-5075000,-454000,-3370000,-1251000,5444000,-4102000,-4146000,44000,1342000,138000,1480000,1480000,1480000,1480000,-1038000,442000,3563125.41103882,3563125.41103882,2121441.01771115,2121441.01771115,5684566.0519347,375528968.008783,421574783.995499,-46045815.9867153,51117461.0749532,33938200.817152,17179260.2578012,426646429.083737,432330995.135671,2727411.0224714,2727411.0224714,4313676.84408337,4313676.84408337,7041087.86655477,288356827.197105,6123872.87316,6123872.87316,294480700.070265,301521787.93682,-1357859.50589611,197977003.212261,-65809936.5075138,130809207.198851,130809207.198851,432330995.135671,1480000,3370000,-218000,109000,4741000,-521000,-527000,-1048000,-4523000,-7390000,15543000,15543000,-62000,3568000,7261000,7261000,7261000,8814000,0,0.51754,0.04202,-0.00238807172889848,-0.000755006327020092,0.801695433248731,2.3209951263209,0.66705613703018,0.04774,0.04748,1.1362,15.0949299421167,0.48855,0.0094203128540142,10.23303,33.5203527913343,55.0844233815211
"4","2011_Q3",6.521875,"Down",10815000,-5125000,-358000,-3475000,-1292000,5690000,-4190000,-4191000,1000,1500000,-130000,1370000,1370000,1370000,1370000,-1040000,330000,2315000,2315000,2358000,2358000,4673000,371183000,419720000,-48537000,52160000,32804000,19356000,423343000,428016000,1873000,1873000,4777000,4777000,6650000,275324000,6182000,6182000,281506000,288156000,2000,208675000,-68817000,139860000,139860000,428016000,1370000,3475000,-237000,211000,4819000,-15257000,-106000,-15363000,-4779000,-17530000,21060000,21060000,-215000,-1464000,-12008000,-12008000,-12008000,9165000,275324000,0.52612,0.03051,0.00236,0.00077,0.70271,2.06032,0.64326,0.03373,0.03356,1.10556,14.29695,0.48853,0.01212,14.48182,29.78822,47.98049
"5","2011_Q4",6.72190476190476,"Up",11174000,-4982000,-381000,-3628000,-973000,6192000,-4242000,-4270000,28000,1950000,-202000,1748000,1748000,1748000,1748000,-1038000,710000,2410000,2410000,2568000,2568000,4978000,369122000,420241000,-51119000,52993000,31791000,21202000,422115000,427093000,1268000,1268000,5102000,5102000,6370000,275108000,6323000,6323000,281431000,287801000,2000,211519000,-72229000,139292000,139292000,427093000,1748000,3628000,-231000,-301000,4844000,-555000,-1397000,-1952000,-5165000,-435000,3054000,3054000,-251000,-2797000,95000,95000,95000,9820000,275108000,0.55414,0.06354,0.0051,0.00166,0.78148,2.06617,0.64414,0.06492,0.06462,1.02177,12.73692,0.4723,0.01396,7.27465,27.76965,44.04037
"6","2012_Q1",7.35693548387097,"Up",11468000,-5388000,-304000,-3676000,-1408000,6080000,-4458000,-4469000,11000,1622000,-506000,1116000,1116000,1116000,1116000,-1040000,76000.0000000001,3329000,3329000,2473000,2473000,5802000,388737000,442521000,-53784000,58608000,37670000,20938000,447345000,453147000,1956000,1956000,4687000,4687000,6643000,304050000,7140000,7140000,311190000,317833000,2000,211564000,-76252000,135314000,135314000,453147000,1116000,3676000,-161000,621000,5252000,-26348000,-1290000,-27638000,-5143000,28926000,49999.9999999963,50000.0000000019,-528000,23305000,919000,919000,919000,9756000,304050000,0.53017,0.00662999999999999,0.00056,0.00017,0.8734,2.34886,0.67097,0.00693,0.00689,1.04529,12.33346,0.46878,0.01169,67.67105,30.82421,49.46069
"7","2012_Q2",6.99333333333333,"Down",12100000,-5637000,-383000,-3904000,-1350000,6463000,-4545000,-4572000,27000,1918000,-617000,1301000,1301000,1301000,1301000,-1042000,259000,5689000,5689000,3054000,3054000,8743000,395589000,452161000,-56572000,63642000,39878000,23764000,459231000,467974000,3305000,3305000,5511000,5511000,8816000,282065000,6922000,6922000,288987000,297803000,38502000,211766000,-80097000,170171000,170171000,467974000,1301000,3904000,-1247000,1669000,5627000,-10775000,-1790000,-12565000,-5147000,16465000,234000,234000,-2254000,9298000,2360000,2360000,2360000,10367000,282065000,0.53413,0.0214,0.00152,0.00055,0.99172,1.75002,0.60274,0.02366,0.02353,1.10549,12.02964,0.47024,0.01177,19.87259,26.65921,42.7628
"8","2012_Q3",7.58888888888889,"Up",12407000,-5499000,-404000,-3992000,-1103000,6908000,-4840000,-4886000,46000,2068000,-1214000,854000,854000,854000,854000,-1046000,-192000,4273000,4273000,2889000,2889000,7162000,418977000,478410000,-59433000,71196000,45926000,25270000,490173000,497335000,4295000,4295000,4881000,4881000,9176000,314769000,7252000,7252000,322021000,331197000,38502000,212025000,-84389000,166138000,166138000,497335000,854000,3992000,-113000,407000,5140000,-31790000,-1941000,-33731000,-5146000,32664000,288000,288000,-631000,27175000,-1416000,-1416000,-1416000,10900000,314769000,0.55678,-0.01548,-0.00116,-0.00039,0.78051,1.99351,0.63291,-0.01754,-0.01754,1.13354,11.66118,0.47015,0.01015,-26.80208,28.48587,44.94731
"9","2012_Q4",7.90725806451613,"Up",12971000,-5983000,-343000,-4276000,-1364000,6988000,-5193000,-5229000,36000,1795000,-803000,992000,992000,992000,992000,-1053000,-61000,14782000,14782000,3115000,3115000,17897000,432119000,494578000,-62459000,75628000,48348000,27280000,507747000,525644000,4920000,4920000,5416000,5416000,10336000,343431000,9370000,9370000,352801000,363137000,38502000,212553000,-88548000,162507000,162507000,525644000,992000,4276000,-628000,3223000,7863000,-4742000,-4548000,-9290000,-5150000,16969000,581000,581000,-464000,11936000,10509000,10509000,10509000,11264000,343431000,0.53874,-0.0047,-0.00038,-0.00012,1.73152,2.23459,0.65335,-0.00557,-0.00557,1.18507,11.32944,0.47052,0.00988,-84.42623,29.17694,47.03048
"10","2013_Q1",8.44083333333333,"Up",13792000,-6827000,-464000,-4659000,-1704000,6965000,-5521000,-5539000,18000,1444000,-830000,614000,614000,614000,614000,-1065000,-451000,5546000,5546000,2935000,2935000,8481000,468023000,533753000,-65730000,88275000,57254000,31021000,556298000,564779000,4715000,4715000,5880000,5880000,10595000,384185000,9134000,9134000,393319000,403914000,38502000,215481000,-93118000,160865000,160865000,564779000,614000,4659000,-987000,488999.999999999,4775000,-34932000,-1466000,-36398000,-5170000,25584000,3088000,3088000,-1115000,22387000,-9236000,-9236000,-9236000,11624000,384185000,0.505,-0.0327,-0.0028,-8e-04,0.80047,2.51089,0.68024,-0.04109,-0.04132,1.25643,11.14705,0.47098,0.00852,-11.46341,32.5739,54.3631
