"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"1","2010_Q4",5.65875,"Up",54474000,-58339000,-8952000,-49387000,-3865000,-4471000,-4093000,-378000,-8336000,-8675000,-8603000,-8603000,-8603000,-8603000,-8603000,2403000,7886000,-45513000,-43827000,-639000,-14553000,-15192000,50000,50000,-2842000,-61861000,-61861000,-61861000,-1462000,0,-0.07095,-0.15793,-0.07938,-0.07938,0.50265
"2","2011_Q1",9.9708064516129,"Up",40776000,-47965000,-5662000,-42303000,-7189000,-4155000,-3962000,-193000,-11344000,-17865000,-17865000,-17865000,-17865000,-17865000,-17865000,2267000,7568000,29284000,21254000,-344000,6338000,6394000.00000001,2640000,2640000,-25550000,2097999.99999997,2097999.99999997,2097999.99999997,-4922000,215445000,-0.1763,-0.43813,-0.16395,-0.16395,0.3742
"3","2011_Q2",10.6953968253968,"Up",35893000,-54856000,-9165000,-45691000,-18963000,-3760000,-3943000,183000,-22723000,-27490000,-27490000,-27490000,-27490000,-27490000,-27490000,1929000,6081000,-23796000,-43276000,-405000,-33297000,-31502000,183141000,183141000,179389000,104611000,104611000,104611000,-17034000,0,-0.52832,-0.76589,-0.25331,-0.25331,0.33074
"4","2011_Q3",7.28203125,"Down",32163000,-51685000,-8783000,-42902000,-19522000,-2966000,-4164000,1198000,-22488000,-20974000,-20974000,-20974000,-20974000,-20974000,-20974000,2e+06,6462000,-31004000,-43516000,-163000,-89732000,-89895000,4848999.99999994,4848999.99999994,6640000,-126771000,-126771000,-126771000,-17522000,217868000,-0.60697,-0.65212,-0.16993,-0.15969,0.26059
"5","2011_Q4",4.95111111111111,"Down",128272000,-45636000,-8171000,-37465000,82636000,-4044000,-4142000,98000,78592000,77865000,77865000,77865000,77865000,77865000,77865000,1106000,4572000,-126810000,-43267000,-144000,29693000,32559000,4079000,4079000,1639000,-9069000,-9069000,-9069000,83742000,217626000,0.64422,0.60703,0.59283,0.59283,0.97661
"6","2012_Q1",5.45838709677419,"Up",93308000,-37788000,-7010000,-30778000,55520000,-4027000,-4010000,-16999.9999999999,51493000,47591000,46296000,46296000,46296000,46296000,46296000,1787000,6017000,-83274000,-29174000,1247000,36128000,37375000,1476000,1476000,-155000.000000007,8046000,8046000,8046000,57307000,191010000,0.59502,0.49616,0.34602,0.34602,0.6974
"7","2012_Q2",4.88920634920635,"Down",18510000,-41001000,-7905000,-33096000,-22491000,-3844000,-4004000,160000,-26335000,-26140000,-26151000,-26151000,-26151000,-26151000,-26151000,1233000,5634000,4318000,-14966000,775000,-53053000,-52278000,65099000,65099000,63453000,-3791000,-3791000,-3791000,-21258000,190544000,-1.21507,-1.4128,-0.18424,-0.18424,0.13041
"8","2012_Q3",5.2247619047619,"Up",7813000,-39370000,-6760000,-32610000,-31557000,-3752000,-4092000,340000,-35309000,-36475000,-36487000,-36487000,-36487000,-36487000,-36487000,1407000,5352000,-5663000,-35391000,-425000,33936000,33643000,1070000,1070000,-577999.99999997,-2326000,-2326000,-2326000,-30150000,190197000,-4.03904,-4.67004,-0.24545,-0.24545,0.05256
"9","2012_Q4",4.78903225806452,"Down",13313000,-38023000,-7343000,-30680000,-24710000,-7361000,-7679000,318000,-32071000,-32804000,-32814000,-32814000,-32814000,-32814000,-32814000,1431000,7169000,-9839000,-34053000,-1001000,-104084000,-141206000,139039000,139039000,415924000,240665000,240665000,240665000,-23279000,341749000,-1.85608,-2.46481,-0.19725,-0.19725,0.08003
"10","2013_Q1",4.691,"Down",7814000,-42321000,-9829000,-32492000,-34507000,-10145000,-11313000,1168000,-44652000,-52119000,-52193000,-52193000,-52193000,-52193000,-52193000,1646000,9265000,2546000,-38736000,-123000,-99509000,-99629000,417000,417000,-371000,-138736000,-138736000,-138736000,-32861000,349873000,-4.41605,-6.67942,-0.28427,-0.28427,0.04256
"11","2013_Q2",4.73953125,"Up",9669000,-43280000,-10545000,-32735000,-33891000,-10719000,-11057000,338000,-44610000,-44729000,-44729000,-44729000,-44729000,-44729000,-44729000,842000,10726000,-21254000,-54415000,-729000,60939000,66353000,16000,16000,-10775000,1163000,1163000,1163000,-33049000,343621000,-3.50512,-4.62602,-0.24343,-0.24343,0.05262
"12","2013_Q3",5.17515625,"Up",11856000,-62257000,-13180000,-49077000,-50686000,-10866000,-11239000,373000,-61552000,-62161000,-62161000,-62161000,-62161000,-62161000,-62161000,786000,11314000,10027000,-40034000,-673000,1199000,466999.999999955,9e+05,9e+05,108999.999999985,-39458000,-39458000,-39458000,-49900000,347816000,-4.27513,-5.243,-0.33787,-0.33787,0.06444
"13","2013_Q4",5.50921875,"Up",5466000,-60952000,-13598000,-47354000,-55776000,-11211000,-11430000,219000,-66987000,-67124000,-67124000,-67124000,-67124000,-67124000,-67124000,754000,11151000,-1776000,-56995000,-637000,12564000,18026000,3000,3000,-789000,-39758000,-39758000,-39758000,-55022000,351717000,-10.20417,-12.28028,-0.36451,-0.36451,0.02968
"14","2014_Q1",6.8072131147541,"Up",20459000,5774000,5486000,287999.999999993,27088000,7694000,6638000,1056000,34782000,26476000,26369000,26369000,26369000,26369000,26369000,3131000,-5567000,4365000,28298000,1265000,-297412000,-344316000,204706000,204706000,489883000,173865000,173865000,173865000,30219000,356284000,1.32401,1.28887,0.14302,0.14302,0.11096
"15","2014_Q2",3.45269841269841,"Down",9669000,-43280000,-10545000,-32735000,-33891000,-10719000,-11057000,338000,-44610000,-44729000,-44729000,-44729000,-44729000,-44729000,-44729000,842000,10726000,-21254000,-54415000,-729000,60939000,66353000,16000,16000,-10775000,1163000,1163000,1163000,-33049000,0,-3.50512,-4.62602,-0.23333,-0.23333,0.05044
"16","2014_Q3",3.2096875,"Down",11856000,-62257000,-13180000,-49077000,-50686000,-10866000,-11239000,373000,-61552000,-62161000,-62161000,-62161000,-62161000,-62161000,-62161000,786000,11314000,10027000,-40034000,-673000,1199000,467000,9e+05,9e+05,109000,-39458000,-39458000,-39458000,-49900000,0,-4.27513,-5.243,-0.31889,-0.31889,0.06082
"17","2014_Q4",1.558125,"Down",5466000,-60952000,-13598000,-47354000,-55776000,-11211000,-11430000,219000,-66987000,-67124000,-67124000,-67124000,-67124000,-67124000,-67124000,754000,11151000,-1776000,-56995000,-637000,12564000,18026000,3000,3000,-789000,-39758000,-39758000,-39758000,-55022000,0,-10.20417,-12.28028,-0.344,-0.344,0.02801
"18","2015_Q1",2.32081967213115,"Up",-1880000,-73441000,-13506000,-59935000,-76509000,-4225000,-7636000,3411000,-80734000,-87465000,-87283000,-87283000,-87283000,-87283000,-87283000,9000,587000,2726000,-83961000,1957000,58661000,61484000,76282000,76282000,76947000,54470000,54470000,54470000,-76500000,356284000,40.69628,46.42713,-0.44659,-0.44659,-0.00962
"19","2015_Q2",3.25142857142857,"Up",9388000,-31813000,-9531000,-22282000,-23191000,-12410000,-12403000,-7000,-35601000,-35170000,-35170000,-35170000,-35170000,-35170000,-35170000,297000,10426000,-20639000,-45086000,608000,41128000,49895000,0,0,-217000,4592000,4592000,4592000,-22894000,350952000,-2.47028,-3.74627,-0.17953,-0.17953,0.04792
"20","2015_Q3",5.4409375,"Up",7992000,-37295000,-12789000,-24506000,-29989000,-12082000,-11959000,-123000,-42071000,-43362000,-43362000,-43362000,-43362000,-43362000,-43362000,387000,9406000,6736000,-26833000,593000,7093000,7685000,274000,274000,-3890000,-23038000,-23038000,-23038000,-29602000,355717000,-3.75238000000001,-5.42568,-0.22101,-0.22101,0.04073
"21","2015_Q4",5.5953125,"Up",9854000,-43933000,-17842000,-26091000,-35499000,-5863000,-6139000,276000,-41362000,-41644000,-41644000,-41644000,-41644000,-41644000,-41644000,379000,13544000,-6512000,-34233000,-15000,-37572000,-31512000,149438000,149438000,149438000,83693000,83693000,83693000,-35120000,360736000,-3.6025,-4.2261,-0.19139,-0.19139,0.04529
"22","2016_Q1",4.23245901639344,"Down",9938000,-40615000,-17143000,-23472000,-31700000,-9913000,-10179000,266000,-41613000,-41513000,-41568000,-41568000,-41568000,-41568000,-41568000,343000,11756000,-5429999.99999999,-34899000,-287000,24295000,24009000,7416000.00000003,7416000.00000003,6882000.00000003,-4007999.99999999,-4007999.99999999,-4007999.99999999,-31357000,417937000,-3.18978,-4.18273,-0.18294,-0.18294,0.04374
"23","2016_Q2",5.76203125,"Up",15427000,-63783000,-34857000,-28926000,-49041000,-10088000,-10290000,202000,-59129000,-59223000,-59223000,-59223000,-59223000,-59223000,-59223000,229000,16722000,199082000,156810000,-575000,-19110000,-19685000,37000,37000,-1877000,135248000,135248000,135248000,-48812000,389172000,-3.17891,-3.83892,-0.2594,-0.2594,0.06757
"24","2016_Q3",10.81328125,"Up",36252000,-58807000,-35823000,-22984000,-24115000,-9702000,-10451000,749000,-33817000,-34838000,-34838000,-34838000,-34838000,-34838000,-34838000,227000,9261000,-384000,-25734000,-396000,-121929000,-123825000,2649000,2649000,2504000,-147055000,-147055000,-147055000,-23888000,396055000,-0.6652,-0.960999999999999,-0.15193,-0.15193,0.15809
"25","2016_Q4",14.4265079365079,"Up",62194000,-52719000,-32463000,-20256000,7020000,-4775000,-7834000,3059000,2245000,-11284000,-11284000,-11284000,-11284000,-11284000,-11284000,298000,19208000,-14003000,-5781000,-53000,-14569000,-12128000,7089000,7089000,-699000,-18608000,-18608000,-18608000,7318000,190858000,0.11287,-0.18143,-0.04402,-0.04402,0.24264
"26","2017_Q1",20.3359677419355,"Up",77581000,-36803000,-13002000,-23801000,38926000,-17533000,-4485000,-13048000,21393000,35123000,35123000,35123000,35123000,35123000,35123000,248000,7166000,42572000,85109000,-582000,-62094000,-61176000,17739000,17739000,18034000,41967000,41967000,41967000,39174000,189122000,0.50175,0.45273,0.12187,0.12187,0.2692
