"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",12.65375,"Up",73876000,-59832000,14044000,-9497000,-9156000,-341000,4547000,588000,244000,344000,5135000,5135000,-1466000,3669000,3669000,3669000,3669000,78749619.6244454,86256170.8473874,-20269711.4791075,-20269711.4791075,-9046427.52814761,-8419592.45532497,49433480.6171902,13163573.9824288,65270760.8410398,47820000,10626365.7485921,76122790.2365291,125556270.853719,-14072133.4849368,3072837.4493069,-22673746.6997106,19219694.4782429,19219694.4782429,5147111.15786441,24928418.6938084,17617540.6100745,28956317.3531989,34103428.5110633,15340650.7571869,73307206.6317721,-617778.499292177,91452842.342656,91452842.342656,125556270.853719,3669000,341000,-109000,54000,3955000,-404000,-247000,-372000,-1023000,-810000,104262.46520238,-1311000,4000,6000,-2115000,817000,817000,817000,4888000,0,6004000,0.1901,0.06155,0.04966,0.183257262996704,0.0919982328897632,1.63641,2.14916300204578,0.456593046623705,0.0242192362813852,0.35914,0.35795,7.2314,8.72361737661554,0.58771,0.07929,0.139944943435213,0.668687086112888,0.22077,-72.6732118707479,-66.4743357568097
"2","2011_Q1",12.181935483871,"Down",73555000,-59956000,13599000,-9986000,-9642000,-344000,3613000,758000,204000,554000,4371000,4371000,-1243000,3128000,3128000,3128000,3128000,55435000,30924000,37596000,37596000,4154000,1798000,97185000,15037000,60930000,47820000,7009000,90699000,187884000,38931000,964000,37967000,19792000,19792000,58723000,31110000,23269000,33796000,92519000,25266000,70164000,-65000,95365000,95365000,187884000,3128000,344000,184000,8751000,12407000,-448000,1112000,494000,1158000,-918000,0,12999.9999999998,13000,3000,-902000,12663000,12663000,12663000,3957000,2686000,13503000,0.18488,0.04912,0.04253,0.0328,0.01665,4.31682,1.65497,0.97016,0.0143,0.30655,0.30493,7.20845,9.34584,1.3233,0.08996,0.03133,0.10454,0.29348,-13.33055,-14.59978
"3","2011_Q2",12.3174603174603,"Up",68769000,-63171000,5598000,-9162000,-8827000,-335000,-3564000,454000,355000,99000,-3110000,6890000,-1344000,5546000,5546000,5546000,5546000,52599293.4585182,16255526.3842042,59812570.4930358,59812570.4930358,6987142.50938254,4081114.15177499,119399006.460937,15288808.6725237,59886829.7196534,47820000,6274711.41713596,95332819.921157,214731826.382094,60313377.8283123,365304.183564367,60862665.5665702,19763185.173919,19763185.173919,80076712.9473785,32808777.1020639,24868819.7966418,35223227.5489337,115299940.496312,27431283.0809377,73076514.456076,65009.4997640592,99431885.8857813,99431885.8857813,214731826.382094,5546000,335000,216000,5026000,11123000,-199000,-12904000,-190000,-13293000,-919000,-52131.2326011902,-50000,5000,13000,-956000,-3126000,-3126000,-3126000,-3229000,0,2942000,0.0814,-0.05183,0.08065,0.00390757900109865,0.00140225570341224,0.53047,1.49486066598474,1.14593815112543,0.0113669212395383,0.54367,0.54118,6.7414,9.83660837446149,0.2884,0.09009,0.0102633521882622,-0.0515756953709628,0.16571,-2.41951520975071,-5.06400558106343
"4","2011_Q3",11.7853125,"Down",76013000,-62732000,13281000,-9202000,-8871000,-331000,4079000,266000,273000,-7000,4345000,4345000,-896000,3449000,3449000,3449000,3449000,60179000,25472000,59738000,59738000,4782000,2426000,124699000,14819000,60530000,47820000,6900000,94786000,219485000,62353000,694000,61161000,19907000,19907000,82260000,32738000,24897000,35380000,117640000,24553000,77322000,-29999.9999999999,101845000,101845000,219485000,3449000,331000,107000,-2508000,1379000,-246000,-1244000,-429000,-1919000,-918000,-52131.2326011902,-868000,3.63797880709171e-12,-7.27595761418343e-12,-1786000,-2326000,-2326000,-2326000,4410000,2642000,2552000,0.17472,0.05366,0.04537,0.03387,0.01571,0.73992,1.51591,1.15509,0.01204,0.3383,0.33668,7.45591,9.9897,0.25032,0.09004,0.03182,0.0186,0.26616,-13.04694,-14.10566
"5","2011_Q4",13.998253968254,"Up",85384000,-69231000,16153000,-10213000,-9879000,-334000,5940000,332000,340000,-8000,6272000,6272000,-858000,5414000,5414000,5414000,5414000,68155000,42217000,50870000,50870000,4164000,1808000,123189000,14878000,60536000,47820000,6843000,94908000,218097000,56114000,1306000,53291000,21459000,21459000,77573000,34400000,26559000,37036000,114609000,21789000,81825000,-126000,103488000,103488000,218097000,5414000,334000,-16000,6541000,12273000,-391000,8993000,-315000,8287000,-911000,0,-2904000,0,0,-3815000,16745000,16745000,16745000,6274000,2636000,13282000,0.18918,0.06957,0.06341,0.05232,0.02482,2.45327,1.58804,1.10746,0.01209,0.53817,0.53593,8.48748,10.28708,1.32028,0.09056,0.04501,0.09452,0.16827,-10.44294,-11.03013
"6","2012_Q1",15.4861290322581,"Up",84708000,-76288000,8420000,-10941000,-10597000,-344000,-2521000,169000,231000,-37000,-2352000,-2352000,2261000,-91000,-91000,-91000,-91000,66449000,49571000,46520000,46520000,10030000,5897000,122999000,16249000,58531000,47820000,4753000,100098000,223097000,54279000,1639000,52640000,25039000,25039000,79318000,40245000,32093000,42124000,121442000,21042000,80647000,-34000,101655000,101655000,223097000,-91000,344000,418000,5910000,6581000,-411000,3398000,-239000,2748000,-1087000,0,-902000,49000.0000000001,14000.0000000001,-1975000,7354000,7354000,7354000,-2177000,1879000,1061000,0.0994,-0.02976,-0.00106999999999999,-0.000899999999999998,-0.000410000000000001,-11.65934,1.55071,1.19465,0.00842,-0.00921000000000005,-0.00909000000000004,8.57716,10.29313,0.10743,0.11006,0.00693,0.00737999999999998,-11.94505,29.66008,25.61285
"7","2012_Q2",16.8161904761905,"Up",82422000,-75865000,6557000,-10110000,-9762000,-348000,-3553000,215000,222000,-7000,-3338000,-3338000,1125000,-2213000,-2213000,-2213000,-2213000,54089000,38217000,53175000,53175000,8542000,4509000,115806000,15380000,61022000,47820000,5744000,100116000,215922000,71638000,1982000,69656000,25606000,25606000,97244000,41930000,33778000,43803000,141047000,70000,39998000,7000,74875000,74875000,215922000,-2213000,348000,-1365000,14718000,11488000,-720000,2588000,38000,1906000,-1098000,-5.82076609134674e-11,-23875000,1557000,225000,-24748000,-11354000,-11354000,-11354000,-3205000,1873000,9668000,0.07955,-0.04311,-0.02685,-0.02956,-0.01025,-4.36873,1.19088,1.88377,0.00867,-0.2241,-0.2241,8.34665,4.05829,0.97905,0.11119,-0.0094,0.08146,-0.49616,16.29204,14.69631
"8","2012_Q3",20.74,"Up",95500000,-79159000,16341000,-10907000,-10551000,-356000,5434000,197000,219000,-9000,5631000,5631000,-1888000,3743000,3743000,3743000,3743000,50598000,36358000,63433000,63433000,6346000,2914000,120377000,15832000,58387000,47820000,4636000,101590000,221967000,70841000,1913000,68735000,27211000,27211000,98052000,44885000,36733000,45749000,143801000,386000,42971000,9000,78166000,78166000,221967000,3743000,356000,1642000,-4170000.00000001,1571000,-807000,-1977000,-46999.9999999999,-2831000,-770000,0,132000.000000004,132000,39000.0000000019,-598999.999999996,-1859000,-1859000,-1859000,5790000,864000,2701000,0.17111,0.0569,0.03919,0.04789,0.01686,0.721609999999999,1.22769,1.83969,0.00389,0.53509,0.52367,13.65248,6.19951,0.38613,0.11008,0.03642,0.0218,0.205719999999999,-8.58964,-9.15237
"9","2012_Q4",26.8704838709677,"Up",111069000,-89505000,21564000,-13117000,-12745000,-372000,8447000,156000,172000,-6000,8603000,8603000,-2791000,5812000,5812000,5812000,5812000,37756000,22181000,71018000,71018000,4968000,1536000,113742000,16601000,58471000,47820000,4708000,98030000,211772000,82992000,2135000,77888000,29517000,29517000,112509000,49738000,41586000,50596000,163105000,665000,48012000,-10000,48667000,48667000,211772000,5812000,372000,150000,13054000,19388000,-1139000,3106000,-35000,1932000,-771000,0,79000,79000,-34805000,-35497000,-14177000,-14177000,-14177000,8819000,858000,23525000,0.19415,0.07605,0.05233,0.11942,0.02744,4.04766,1.01096,3.35145,0.00405,0.82945,0.80897,15.85098,6.94541,3.35732,0.11003,0.06632,0.237,0.13266,-4.18392,-4.36818
"10","2013_Q1",37.0635,"Up",113661000,-91409000,22252000,-13793000,-13392000,-401000,8459000,104000,163000,-6000,8563000,8563000,-2774000,5789000,5789000,5789000,5789000,62495000,45747000,63921000,63921000,4854000,4854000,131270000,18489000,59477000,47820000,3509000,97591000,228861000,72141000,1995000,69874000,38915000,38915000,111276000,58416000,47809000,63689000,174965000,983000,52890000,23000,53896000,53896000,228861000,5789000,401000,148000,6872000,13210000,-1046000,1934000,241000,1129000,-911000,10025000,76999.9999999991,77000.0000000001,36000,9227000,23566000,23566000,23566000,8860000,5493000,17460000,0.19578,0.07442,0.05093,0.10741,0.02529,3.01606,1.17968,3.24634,0.024,0.82523,0.79903,16.20257,7.68297,2.48895,0.12986,0.05687,0.14821,0.15737,-6.43363,-6.73862
