"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2019_Q1",31.6950819672131,"Up",908836000,-268345000,640491000,-433583000,-292409000,-211774000,-80635000,-141174000,206908000,-371000,-260000,-37273000,-111000,206537000,206537000,48766000,255303000,255303000,255303000,255303000,6209401000,1894444000,4314957000,788700000,788700000,112935000,112935000,7111036000,885078000,2166458000,45025000,1227269000,85705000,3051536000,10162572000,550937000,145186000,405751000,1516311000,109745000,109745000,1840667000,3356978000,8324978000,4000,8324974000,-1454073000,-65311000,6805594000,6805594000,10162572000,255303000,110723000,51249000,-85276000,-166260000,21057000,59927000,331999000,-69078000,-74021000,-284323000,999136000,-1283459000,-5e+06,-356226000,69504000,13115000,13115000,-93734000,-11115000,-35342000,-35342000,915000,-34427000,317631000,2696296000,114511000,0.70474,0.22766,0.28091,0.03751,0.02512,0.44853,4.68969,0.49327,0.26532,0.33561,0.32886,1.19471,8.94627,0.15053,0.02656,0.01191,-11.06033,-16.97907
"22","2019_Q2",36.6892063492064,"Up",786890000,-264011000,522879000,-429221000,-282975000,-205799000,-77176000,-146246000,93658000,2845000,3281000,-37260000,-436000,96503000,96503000,94301000.0000001,190804000,190804000,190804000,190804000,6459892000,2247661000,4212231000,684220000,684220000,111673000,111673000,7255785000,913096000,2976350000,40239000,1228644000,788647000,3889446000,11145231000,530264000,172169000,358095000,1621679000,683038000,683038000,2434733000,4056412000,8408753000,4000,8408749000,-1263269000,-56665000,7088819000,7088819000,11145231000,190804000,113474000,43818000,3597000,103633000,-12879000,-87157000,351693000,-81070000,-83026000,110516000,1745658000,-1635142000,7123656.55411002,29446000,-19719000,95000,95000,-9476999.99999997,-29101000,352038000,352038000,-145999.999999999,351892000,207132000,2719693000,35358000,0.66449,0.11902,0.24248,0.02692,0.01712,0.18531,4.47424,0.57223,0.24402,0.24956,0.24535,1.02922,9.27188,0.04625,0.01819,0.00337000000000002,-18.05708,-39.93465
"23","2019_Q3",40.8578125,"Up",841381000,-277965000,563416000,-487730000,-328488000,-240249000,-88239000,-159242000,75686000,12093000,4570000,-38317000,7523000,87779000,87779000,1031781000,1119560000,1119560000,1119560000,1119560000,6686538000,2183111000,4503427000,719904000,719904000,106341000,106341000,7512783000,982513000,4026311000,50722000,1246883000,773898000,5008824000,12521607000,634578000,206282000,428296000,1733738000,669963000,669963000,2443055000,4176793000,8535467000,4000,8535463000,-143709000,-46944000,8344814000,8344814000,12521607000,1119560000,115616000,-894495000,-1708000,-36396000,8139000,26549000,338973000,-134694000,-135795000,-270200000,1086579000,-1356779000,11368000,-413828000,-18214000,25623000,25623000,-3461000,3948000,-70907000,-70907000,7148000,-63759000,191302000,2742333000,-976881000,0.66963,0.08995,1.33062,0.13416,0.08941,-0.87256,4.33329,0.50053,0.21901,1.45631,1.42607,1.09446,10.85482,-1.27071,0.09522,-0.08309,-20.61769,-52.11274
"24","2019_Q4",32.8953125,"Down",823717000,-281057000,542660000,-498515000,-319962000,-226204000,-93758000,-178553000,44145000,3618000,4122000,-36226000,-503999.999999999,47763000,47763000,-11241000,36521999.9999998,36521999.9999998,36521999.9999998,36521999.9999998,5816384000,1869444000,3946940000,684186000,684186000,123881000,123881000,6624451000,994266000,3982208000,46915000,1243472000,795481000,4976474000,11600925000,596461000,150785000,445676000,762627000,627771000,627771000,2422656000,3185283000,8638738000,4000,8638734000,-107187000,-115909000,8415642000,8415642000,11600925000,36521999.9999998,119986000,174935000,4076000,26695000,-7859000,-14760000,335519000,-169019000,-170252000,544189000,1492950000,-948761000,-9087000,314920000,-950694000,244000.000000007,244000,-3757000,-954207000,-303768000,-303768000,-8792000,-312560000,164131000,1828832000,10429000,0.65879,0.05359,0.04434,0.00434000000000001,0.00315000000000001,0.28555,8.68636,0.3785,0.15765,0.0472600000000001,0.0462,1.06583,10.88923,0.0134899999999998,0.00335999999999999,0.000959999999999975,-24.29494,-90.32851
"25","2020_Q1",32.3493548387097,"Down",1007341000,-314008000,693333000,-540449000,-342209000,-241561000,-100648000,-198240000,152884000,5210000,7550000,-26377000,-2340000,158094000,158094000,-39321000,118773000,118773000,118773000,118773000,6639052000,1799082000,4839970000,850184000,850184000,130839000,130839000,7620075000,1031781000,4051533000,55106000,1256699000,831642000,5083314000,12703389000,662041000,161148000,500893000,832476000,657727000,657727000,3166527000,3999003000,8763334000,4000,8763330000,11586000,-70534000,8704386000,8704386000,12703389000,118773000,116473000,29198000,12735000,-160932000,15545000,158122000,277179000,-149747000,-151615000,-938566000,970026000,-1908592000,0,-1046512000,753627000,17204000,17204000,-77646000,693185000,-76148000,-76148000,6366000,-69782000,269357000,2532276000,171666000,0.68828,0.15177,0.11791,0.01365,0.00935,1.44533,9.15351,0.45942,0.19934,0.15291,0.15058,1.29685,11.20603,0.221,0.00999,0.01443,-15.24659,-26.86204
"26","2020_Q2",30.1485714285714,"Down",807637000,-284037000,523600000,-531043000,-330655000,-221287000,-109368000,-200388000,-7443000,-8092000,-373000,-33270000,-7719000,-15535000,-15535000,7139000,-8396000,-8396000,-8396000,-8396000,7670664000,3463349000,4207315000,656377000,656377000,140538000,140538000,8467579000,1081371000,3991775000,64565000,1269633000,801284000,5073146000,13540725000,554177000,183921000,370256000,710020000,636800000,636800000,4035078000,4745098000,8952063000,4000,8952059000,1561000,-157997000,8795627000,8795627000,13540725000,-8396000,120649000,126028000,8486000.00000001,168932000,-14480000,-145966000,246767000,-121044000,-122667000,613018000,1847887000,-1234869000,-11050000,466144000,990034000,305000,304999.999999996,-26355000,963984000,1676895000,1676895000,-11948000,1664947000,113206000,3412166000,-6491000,0.64831,-0.00922000000000001,-0.0104,-0.000950000000000001,-0.000619999999999999,0.77311,11.92583,0.53948,0.25199,-0.01075,-0.01075,1.03452,11.26651,-0.00831000000000001,-0.000649999999999996,-0.000510000000000002,-37.61725,572.14806
"27","2020_Q3",38.374375,"Up",683438000,-288039000,395399000,-669329000,-453523000,-207286000,-246237000,-215806000,-273930000,-15176000,-14815000,-39828000,-361000,-289106000,-289106000,-1088899000,-1378005000,-1378005000,-1378005000,-1378005000,7766014000,3112454000,4653560000,600777000,600777000,128496000,128496000,8495287000,1142601000,2909699000,64347000,1284325000,774737000,4052300000,12547587000,696141000,162160000,533981000,841107000,621069000,621069000,4048425000,4889532000,9127499000,4000,9127495000,-1376444000,-9.3e+07,7658055000,7658055000,12547587000,-1378005000,123837000,1248961000,206223000,65349000,-11754000,152628000,201016000,-162134000,-164416000,-397318000,1491916000,-1889234000,0,-578957000,9966000,34513000,34513000,-19381000,25098000,-352843000,-352843000,-3830000,-356673000,-150093000,3434604000,982895000,0.57854,-0.40081,-2.01628,-0.17994,-0.10982,-0.71327,10.10013,0.63848,0.27373,-1.75337,-1.75337,0.8696,9.74409,1.25063,-0.11764,0.08391,28.85817,15.81211
"28","2020_Q4",47.72828125,"Up",936233000,-361388000,574845000,-518738000,-309861000,-215285000,-94576000,-208877000,56107000.0000001,-26424000,-22447000,-39614000,-3977000,29682999.9999999,29683000,-1024000,28659000,28659000,28659000,28659000,7681047000,2201073000,5479974000,747548000,747548000,160984000,160984000,8589579000,1392720000,3106493000,58923000,1289147000,966061000,4499213000,13088792000,864987000,241102000,623885000,1935103000,790174000,790174000,3341601000,5276704000,9249960000,4000,9249956000,-1347785000,-90087000,7812088000,7812088000,13088792000,28659000,121983000,133431000,-69286000,-136469000,20512000,46670999.9999999,214787000,-288836000,-290746000,-831240000,1152479000,-1983719000,0,-1120076000,-5.96046447753906e-08,31000,31000,-7843000,-7812000,-913101000,-913101000,924000,-912177000,178090000,3460035000,-179008000,0.614,0.05993,0.0306099999999994,0.00367000000000001,0.00219,-6.24614,4.43882,0.67545,0.26435,0.03624,0.03624,1.18397,9.87924,-0.22638,0.00237999999999999,-0.01484,-23.70157,-75.23147
"29","2021_Q1",61.1186885245902,"Up",1289041000,-432924000,856117000,-604193000,-356253000,-244002000,-112251000,-247940000,251924000,-27905000,-27065000,-40166000,-840000,224019000,224019000,-1903000,222116000,222116000,222116000,222116000,7472302000,1988429000,5483873000,1041743000,1041743000,123063000,123063000,8637108000,1493794000,3248188000,58338000,1312346000,1081178000,4741982000,13379090000,857813000,194281000,663532000,1952826000,887310000,887310000,3456182000,5409008000,9167142000,4000,9167138000,-1125669000,-66094000,7970082000,7970082000,13379090000,222116000,128708000,149494000,-170018000,-285851000,23954000,91879000,330300000,-292170000,-295525000,-21775000,1154710000,-1176485000,9.31322574615479e-10,-327676000,0,-219228000,26064000,-6732000,-225960000,-223336000,-223336000,10849000,-212487000,380632000,3486738000,-79653000,0.66415,0.19544,0.17231,0.02787,0.0166,-0.35861,4.42288,0.67866,0.26061,0.27971,0.27971,1.62331,10.03688,-0.10031,0.01799,-0.00645,-10.47091,-15.8205
"30","2021_Q2",61.3053968253968,"Up",1036018000,-381008000,655010000,-602828000,-352119000,-234592000,-117527000,-250709000,52182000.0000001,-2178000,-2184000,-13185000,5999.99999999814,50004000,50004000,18001000,68005000,68005000,68005000,68005000,8806287000,4248702000,4557585000,850075000,850075000,207380000,207380000,9863742000,1620001000,3500332000,62718000,1316461000,1187908000,5120333000,14984075000,904596000,219899000,684697000,2036693000,964707000,964707000,5210732000,7247425000,8551767000,4000,8551763000,-712888000,-96932000,7736650000,7736650000,14984075000,68005000,131052000,90334000,100793000,189297000,-24808000,-63696000,390184000,-179346000,-181181000,887367000,2289064000,-1401697000,-19285000,680358000,1598644000,-159594000,1958000,-241372000,1197678000,2268220000,2268220000,-8018000,2260202000,183234000,5199071000,86680000,0.63224,0.05037,0.06564,0.00879,0.00454,1.27461,4.84302,0.93677,0.34697,0.08547,0.07797,1.30213,9.72389,0.10894,0.00489,0.00624,-19.68639,-69.12759
"31","2021_Q3",65.66796875,"Up",1190427000,-416932000,773495000,-743243000,-443384000,-301902000,-141482000,-299859000,30252000,51048000,-4691000,-13893000,55739000,81300000,81300000,-15651000,65649000,65649000,65649000,65649000,8607063000,4125595000,4481468000,954265000,954265000,166813000,166813000,9728141000,1884790000,3710294000,57513000,1325200000,1391460000,5595084000,15323225000,1100548000,325446000,775102000,2257919000,1100840000,1100840000,5349178000,7607097000,8457721000,4000,8457717000,-647239000,-89056000,7716128000,7716128000,15323225000,65649000,134812000,125688000,55818000,-100328000,27626000,128520000,381967000,-276193000,-279195000,92771000,888267000,-795496000,-11800000,-209781000,0,-294253000,39559000,-4928000,-299181000,-126995000,-126995000,4019000,-122976000,165064000,5201903000,-39660000,0.64976,0.02541,0.05515,0.00851,0.00428,-0.60412,4.30845,0.98587,0.33948,0.08251,0.07527,1.4962,9.6981,-0.04985,0.00468,-0.00283,-20.62933,-112.55983
"32","2021_Q4",51.94828125,"Down",1283817000,-484479000,799338000,-776185000,-451933000,-301078000,-150855000,-324252000,23153000,15466000,-5159000,-13284000,20625000,38619000,-727082000,190325000,-536757000,-536757000,-536757000,-536757000,7411312000,3473865000,3937447000,1014208000,1014208000,223714000,194914000,8649234000,2053480000,3886631000,46702000,1293826000,1412287000,5940111000,14589345000,1896680000,207912000,1688768000,2114981000,1051055000,1051055000,5301733000,7416714000,8468712000,4000,8468708000,-1183996000,-106794000,7172631000,7172631000,14589345000,-536757000,133448000,-58280000,850569000,-69139000,17883000,901825000,388980000,-409151000,-411227000,531527000,1152537000,-621010000,-29300000,93076000,-9.54e+08,-169406000,50999.9999999851,-6215000,-1129621000,-647565000,-647565000,-4392000,-651957000,156601000,4250678000,407694000,0.62263,0.01803,-0.41809,-0.07483,-0.03679,-0.75955,4.08951,1.03403,0.29135,-0.67148,-0.62051,1.60604,8.97285,0.51002,-0.04303,0.03268,-20.18272,-136.51078
"33","2022_Q1",36.5383870967742,"Down",1567220000,-515091000,1052129000,-884754000,-512870000,-338398000,-174472000,-371884000,167375000,17290000,-3469000,-10824000,20759000,184665000,184665000,-2971000,181694000,181694000,181694000,181694000,6393682000,2186549000,4207133000,1217404000,1217404000,307284000,266484000,7918370000,2082160000,4058986000,69324000,1301520000,1539569000,6141146000,14059516000,1121521000,203171000,918350000,1343867000,1155431000,1155431000,5408450000,6752317000,8432116000,4000,8432112000,-1002302000,-117320000,7307199000,7307199000,14059516000,181694000,145536000,146475000,-1002147000,-209776000,168000,-792539000,-528442000,-138394000,-139943000,-303691000,654526000,-958217000,-59180000,-511030000,0,-236429000,29280000,-5270000,-241699000,-1281171000,-1281171000,-4689000,-1285860000,312911000,4253019000,-824659000,0.67133,0.1068,0.11593,0.02487,0.01292,-4.53872,5.89223,0.92406,0.3025,0.2273,0.21004,1.96057,9.1412,-1.03164,0.01429,-0.06485,-6.84112,-12.78962
"34","2022_Q2",42.9006451612903,"Up",1200984000,-507450000,693534000,-821367000,-449672000,-299809000,-149863000,-371695000,-127833000,-13988000,-7482000,-15444000,-6506000,-141821000,828653000,-315367000,513286000,513286000,513286000,513286000,6261953000,2283308000,3978645000,948142000,948142000,265973000,265973000,7476068000,2150581000,3924308000,59725000,1298462000,1624238000,6074889000,13550957000,928302000,189524000,738778000,1136707000,1265153000,1265153000,6509334000,7646041000,6677298000,4000,6677294000,-616860000,-155522000,5904916000,5904916000,13550957000,513286000,160283000,-597221000,49743000,190737000,-35610000,-105384000,126091000,889308000,-163174000,182093000,1287944000,-1105851000,-6500000,1064901000,1e+09,-2077693000,66000.0000000075,-15460000,-1093153000,97839000,97839000,-814000,97025000,32450000,5244181000,1286868000,0.57747,-0.10644,0.42739,0.08693,0.03788,2.50712,6.57695,1.29486,0.387,0.64211,0.59337,1.50241,7.38696,1.60985,0.04135,0.10366,-31.36431,7.96173
"35","2022_Q3",40.4115,"Down",1176660000,-540676000,635984000,-979746000,-524887000,-308301000,-216586000,-454859000,-343762000,7869000,-9747000,-23342000,17616000,-335893000,-335904000,65897000,-270007000,-270007000,-270007000,-270007000,6120743000,2680596000,3440147000,972591000,972591000,180247000,180247000,7273581000,2175290000,4130416000,52643000,1303438000,1776435000,6305706000,13579287000,829281000,153092000,676189000,1017263000,1382694000,1382694000,6629543000,7646806000,7096603000,4000,7096599000,-963666000,-200456000,5932481000,5932481000,13579287000,-270007000,173288000,195392000,-68977000,37842000,-52595000,-54224000,29696000,-153646000,-154496000,524329000,1068944000,-544615000,-2.4e+07,337304000,0,49658000,49658000,-8951000,40707000,407707000,407707000,-10838000,396869000,-170474000,5246849000,-458994000,0.5405,-0.29215,-0.22947,-0.04551,-0.01988,1.69993,7.15015,1.28897,0.38639,-0.3521,-0.3521,1.53443,7.7363,-0.59855,-0.02149,-0.03654,5.12626,2.54215
