"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q3",18.8175,"Up",601958000,-202966000,398992000,-485368000,-306857000,-236619000,-70238000,-178511000,-86376000,-18200000,-24934000,-24934000,6734000,-104576000,-104576000,-2641000,-107217000,-107217000,-107217000,-107217000,3588158000,947710000,2640448000,556781000,556781000,237100000,237100000,4382039000,758837000,1475938000,127770000,1186303000,161865000,2234775000,6616814000,368603000,91415000,277188000,449638000,113883000,113883000,1610323000,2059961000,6881781000,3000,6881778000,-2280425000,-44503000,4556853000,4556853000,6616814000,-107217000,93283000,187618000,40872000,20457000,-52000,20467000,214556000,-39087000,-39087000,-92087000,657790000,-749877000,-595000,-284913000,-23823000,19088000,19088000,-4869000,-9604000,-79961000,-79961000,10000,-79951000,6907000,1577475000,11333000,0.66282,-0.14349,-0.17811,-0.02353,-0.0162,-0.1057,9.7457,0.45206,0.2384,-0.15353,-0.15353,0.862,6.5254,0.01623,-0.01716,0.00181,-291.10801,23.27826
"12","2016_Q4",18.3387301587302,"Down",615934000,-225159000,390775000,-468864000,-291815000,-224436000,-67379000,-177049000,-78089000,-18220000,-24860000,-24860000,6640000,-96309000,-96309000,-6562000,-102871000,-102871000,-102871000,-102871000,3664183000,1011957000,2652226000,590108000,590108000,224122000,224122000,4478413000,803305000,1461228000,111983000,1184401000,164844000,2264533000,6742946000,388436000,104296000,284140000,470598000,125343000,125343000,1643016000,2113614000,7058937000,4000,7058933000,-2383296000,-46309000,4629332000,4629332000,6742946000,-102871000,100878000,180976000,10209000,-35022000,10794000,34437000,189192000,-72317000,-72317000,-14172000,932609000,-946781000,-7116000,-97104999.9999999,-25157000,862000.000000004,862000,-3556000,-27851000,64236000,64236000,10999.9999999991,64246999.9999999,22789000,1599835000,-32757000,0.63444,-0.12678,-0.16702,-0.02222,-0.01526,0.31843,9.51643,0.45657,0.23726,-0.14605,-0.14605,0.87446,6.5724,-0.04651,-0.01619,-0.00515,-90.58528,26.43584
"13","2017_Q1",16.2340322580645,"Down",717206000,-305710000,411496000,-555123000,-352995000,-260603000,-92392000,-202128000,-143627000,-18619000,-1004000,-25281000,-17615000,-162246000,-162246000,-4808000,-167054000,-167054000,-167054000,-167054000,3774579000,988598000,2785981000,650650000,650650000,226967000,226967000,4652196000,783901000,1434268000,95334000,1185315000,153619000,2218169000,6870365000,503173000,122236000,380937000,584021000,142442000,142442000,1681409000,2265430000,7224538000,4000,7224534000,-2550350000,-69253000,4604935000,4604935000,6870365000,-167054000,119390000,190747000,53460000,-74160000,19179000,108441000,196543000,-48105000,-48105000,-136373000,494511000,-630884000,6606000,-182812000,-26661000,9290000,9290000,-5070000,-22441000,-8710000,-8710000,-9698000,-18408000,-24237000,1619815000,-14074000,0.57375,-0.20026,-0.23292,-0.03628,-0.02432,0.08425,7.9658,0.49196,0.23577,-0.23387,-0.23387,1.00408,6.44686,-0.0197,-0.02624,-0.00221,88.90391,15.0025
"14","2017_Q2",17.0361904761905,"Up",548251000,-220339000,327912000,-368190000,-239462000,-169594000,-69868000,-128728000,-40278000,-18087000,-16889000,-25409000,-1198000,-58365000,-58365000,-3194000,-61559000,-61559000,-61559000,-61559000,3943677000,1191566000,2752111000,501153000,501153000,250502000,250502000,4695332000,782421000,1414989000,79393000,1183685000,151911000,2197410000,6892742000,408743000,86176000,322567000,488992000,153044000,153044000,1713374000,2202366000,7376960000,4000,7376956000,-2625225000,-61359000,4690376000,4690376000,6892742000,-61559000,102792000,127790000,34425000,153348000,-36950000,-81973000,203448000,-4881000,-39881000,32284000,734248000,-701964000,-10006000,17397000,-27084000,6522000,6522000,-3090000,-23652000,197193000,197193000,4184000,201377000,62514000,1640579000,95252000,0.59811,-0.07347,-0.11228,-0.01312,-0.00893,-1.54733,9.60206,0.46955,0.23802,-0.08526,-0.08526,0.7593,6.49593,0.13192,-0.00949,0.01469,-36.84132,57.18005
"15","2017_Q3",17.4587301587302,"Up",573855000,-212908000,360947000,-399306000,-256135000,-185296000,-70839000,-143171000,-38359000,-74716000,-15910000,-26396000,-58806000,-113075000,-113075000,-3413000,-116488000,-116488000,-116488000,-116488000,4079912000,1288323000,2791589000,524064000,524064000,236126000,236126000,4840102000,781272000,1341724000,65291000,1186189000,90244000,2122996000,6963098000,414445000,107398000,307047000,494578000,157156000,157156000,1739624000,2234202000,7517437000,4000,7517433000,-2741713000,-46828000,4728896000,4728896000,6963098000,-116488000,103063000,192625000,10507000,-20322000,23334000,7495000,189707000,-43336000,-44626000,-39825000,836256000,-876081000,-525000,-83686000,-28066000,14828000,14828000,-1933000,-15171000,90850000,90850000,4256000,95106000,64704000,1662601000,35288000,0.62899,-0.06684,-0.20299,-0.02463,-0.01673,-0.30293,9.78633,0.47246,0.23877,-0.15956,-0.15956,0.78603,6.47733,0.04834,-0.01779,0.00539,-37.35953,63.01809
"16","2017_Q4",20.5398412698413,"Up",589633000,-210016000,379617000,-372338000,-236223000,-172957000,-63266000,-136115000,7279000,-24810000,-14704000,-26732000,-10106000,-17531000,-17531000,-3564000,-21095000,-21095000,-21095000,-21095000,4258096000,1586558000,2671538000,509854000,509854000,234472000,234472000,5002422000,753317000,1320050000,54560000,1187880000,77610000,2073367000,7075789000,399264000,103112000,296152000,481202000,160249000,160249000,1765181000,2246383000,7628970000,4000,7628966000,-2762808000,-36756000,4829406000,4829406000,7075789000,-21095000,97492000,130425000,33125000,22572000,-842000,11395000,239947000,-34583000,-36076000,120022000,562092000,-442070000,-396000.000000002,85043000,-25535000,541000,541000,-2026000,-27020000,297970000,297970000,358000,298328000,104771000,1686870000,106877000,0.64382,0.01234,-0.03578,-0.00437,-0.00298,-5.06646,10.39568,0.46515,0.2384,-0.02864,-0.02864,0.80057,6.5571,0.14511,-0.00316,0.01601,-24.54139,-353.23891
"17","2018_Q1",29.3137704918033,"Up",731560000,-217979000,513581000,-403483000,-269487000,-189572000,-79915000,-133996000,110098000,-16545000,-13351000,-26700000,-3194000,93553000,93553000,-2474000,91079000,91079000,91079000,91079000,4403102000,1638413000,2764689000,664268000,664268000,254514000,254514000,5321884000,773715000,1316878000,49654000,1188935000,67834000,2090593000,7412477000,498302000,170969000,327333000,583278000,154521000,154521000,1781981000,2365259000,7750526000,4000,7750522000,-2671729000,-31579000,5047218000,5047218000,7412477000,91079000,92520000,124804000,-110296000,-152930000,22829000,19805000,198107000,-40159000,-40159000,-95122000,571977000,-667099000,826000,-135280000,-22090000,11473000,11473000,-1913000,-12530000,50297000,50297000,1116000,51413000,202618000,1712436000,54637000,0.70204,0.1505,0.1245,0.01805,0.01229,0.59989,9.1241,0.46863,0.23102,0.12272,0.12272,0.9857,6.80057,0.07362,0.01317,0.0079,-13.2795,-24.43883
"18","2018_Q2",35.094375,"Up",664871000,-222823000,442048000,-367123000,-243777000,-178059000,-65718000,-123346000,74925000,-11043000,-10834000,-27015000,-209000,63882000,63882000,-2885000,60997000,60997000,60997000,60997000,4528831000,1601028000,2927803000,611840000,611840000,268564000,268564000,5409235000,801912000,1328294000,44794000,1190932000,92568000,2130206000,7539441000,442083000,137968000,304115000,528654000,150287000,150287000,1800351000,2329005000,7831433000,4000,7831429000,-2598672000,-22325000,5210436000,5210436000,7539441000,60997000,96846000,93670000,-8840000.00000003,61166000,-26948000,-43058000,242673000,-91328000,-93091000,-166314000,665568000,-831882000,-1350000,-258992000,-24247000.0000001,2768000,2768000,-7557000,-29036000,-45355000,-45355000,1950000,-43405000,171771000,1736635000,74488000,0.66486,0.11269,0.09174,0.01171,0.00809,1.22117,10.23209,0.44699,0.23034,0.08158,0.07965,0.88923,6.96865,0.09962,0.00859,0.0105,-16.25534,-37.26655
"19","2018_Q3",35.4011111111111,"Up",710541000,-230185000,480356000,-400732000,-262158000,-188032000,-74126000,-138574000,79624000,-13757000,-8022000,-29982000,-5735000,65867000,65867000,34250000,100117000,100117000,100117000,100117000,5661115000,2544641000,3116474000,614944000,614944000,264445000,264445000,6540504000,914795000,1405931000,49190000,1228993000,127748000,2320726000,8861230000,512361000,161300000,351061000,594419000,134964000,134964000,2695907000,3290326000,8125893000,4000,8125889000,-2498555000,-56434000,5570904000,5570904000,8861230000,100117000,105982000,60752000,54289000,-14198000,10120000,58367000,321140000,-193757000,-196450000,-186445000,972541000,-1158986000,-825000,-413531000,1045775000,16666000,16666000,-13533000,1048908000,956517000,956517000,-14464000,942053000,185606000,2643001000,11888000,0.67604,0.11206,0.1409,0.01797,0.0113,0.11874,11.00319,0.59063,0.29827,0.13307,0.12959,0.94443,7.40466,0.0158,0.01199,0.00142,-16.26086,-37.90458
"20","2018_Q4",31.3573015873016,"Down",758111000,-243644000,514467000,-422599000,-271835000,-193496000,-78339000,-150764000,91868000,-4610000,-2269000,-38336000,-2341000,87258000,87258000,701921000,789179000,789179000,789179000,789179000,5956543000,1928929000,4027614000,621943000,621943000,141274000,141274000,6719760000,904027000,2122405000,44810000,1227939000,83948000,3026432000,9746192000,497252000,116685000,380567000,1457646000,125909000,125909000,1835974000,3293620000,8225041000,4000,8225037000,-1709376000,-63093000,6452572000,6452572000,9746192000,789179000,111947000,-586376000,129149000,-11579000,-5762000,146490000,443899000,-116701000,-120372000,-908995000,1154449000,-2063444000,2175000,-1026764000,-22221999.9999999,154000,153999.999999998,-8573000,-30641000.0000002,-613506000,-613506000,-2697000,-616203000,203815000,2670459000,-485658000,0.67862,0.12118,1.04098,0.1223,0.08097,-0.6154,4.61001,0.51044,0.274,1.04315,1.01698,1.00208,8.52909,-0.64195,0.08533,-0.05251,-16.12288,-35.76963
