"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",16.898253968254,"Down",307397000,-226470000,80927000,-73613000,-69077000,-4536000,7314000,-544000,-544000,6770000,6770000,-2836000,3934000,3934000,3934000,3934000,482712153.497486,482712153.497486,64128003.2524948,-302676391.713062,-302676614.14836,244163765.036919,132847100.835969,16673093.0114896,-5826898.5196286,12515807.9048253,149520193.847459,393683958.884378,9952013.19640476,-515324502.614998,610610480.569709,57.2580847034351,9951996.08143164,42860724.4845501,106769853.759097,-357026308.25262,149630578.243648,159582574.325079,37689883.8805654,211698342.571544,-15286733.0463053,234101384.559299,234101384.559299,393683958.884378,3934000,4536000,-2868000,-918000,4684000,-2456000,-321000,-2777000,-2793000,-28000,157000,-2551000,-644000,-644000,-644000,11850000,0,11312000,0.26327,0.02379,0.0128,0.664768389584052,0.36904283737857,2.87544,3.54388830672289,0.682926676296987,0.110249036961326,0.29994,0.2006,23.43679,21.1000929564496,0.86246,0.21295,0.658851902633575,2.11538941772597,0.70996,10.5097564843577,29.4991857369936
"2","2011_Q3",16.1825,"Down",329917000,-241276000,88641000,-76688000,-72106000,-4582000,11953000,-562000,-562000,11391000,11391000,-4775000,6616000,6616000,6616000,6616000,259441576.748743,259441576.748743,48243501.6262474,-120761195.856531,-120761307.07418,186923882.51846,154980050.417985,41327046.5057448,3841050.7401857,20498903.9524127,196307096.92373,383230979.442189,64246506.5982024,-228748251.307499,322686740.284855,28.6290423517175,64246498.0407158,43452362.2422751,61562926.8795487,-170335154.12631,105015289.121824,169261787.16254,33684441.9402827,193598671.285772,-13313866.5231526,213969192.27965,213969192.27965,383230979.442189,6616000,4582000,9828000,5612000,26638000,-5378000,-327000,-5705000,-14005000,-691000,358000.000000001,-14240000,6693000,6693000,6693000,16535000,0,21544000,0.26868,0.03623,0.02005,0.316209194792026,0.174821418689285,3.25635,2.30655915336144,0.799098338148494,0.113929518480663,0.49936,0.33531,24.90128,17.7653964782248,1.62608,1.05706,0.307730951316788,1.03486470886299,2.11684,3.47358324217887,11.4254428684968
"3","2011_Q4",17.8604761904762,"Up",316594000,-230176000,86418000,-83043000,-78397000,-4646000,3375000,-508000,-508000,2867000,2867000,-1199000,1668000,1668000,1668000,1668000,138530192.249581,138530192.249581,40529500.5420825,-19777398.6188436,-19777435.6913934,159282294.17282,168180016.805995,54352682.1685816,8834350.24672857,24671967.9841376,222532698.974577,381814993.147396,94952168.8660675,-62185083.7691664,154314246.761618,9.54301411723918,94952166.0135719,43460454.0807584,36794975.6265162,-54846384.7087699,80255429.7072746,175207595.720847,31845813.9800942,186693890.428591,-11932288.8410509,206607397.42655,206607397.42655,381814993.147396,1668000,4646000,-1374000,8999000,13939000,-1915000,-325000,-2240000,-1143000,-15000,-1988000,-2676000,9023000,9023000,9023000,8021000,0,16304000,0.27296,0.01066,0.00527,0.122849731597342,0.0673104728964283,9.77458,1.64775971778715,0.850686112716165,0.113923172826888,0.1259,0.08454,23.89569,16.1278888260749,1.23058,0.08627,0.114456983772263,0.407814902954329,0.68525,-0.544488919273708,1.28547428949894
"4","2012_Q1",19.9596774193548,"Up",345020000,-250847000,94173000,-78499000,-73642000,-4857000,15674000,-459000,-459000,15215000,15215000,-6451000,8764000,8764000,8764000,8764000,91362000,91362000,38547000,22425000,22425000,152334000,174530000,59326000,10605000,26260000,233856000,386190000,107886000,15017000,74990000,0,107886000,43147000,2.7e+07,5487000,70147000,178033000,31613000,187686000,-11142000,208157000,208157000,386190000,8764000,4857000,-3970000,9232000,18883000,-3597000,-335000,-10527000,-1145000,-15000,29000,-1109000,7247000,7247000,7247000,20531000,43147000,32617000,0.27295,0.04543,0.0254,0.0421,0.02269,3.7217,1.41199,0.85528,0.11172,0.66148,0.44417,26.04121,15.71115,2.46185,0.0864199999999999,0.0356,0.1172,0.13065,-2.3484,-3.07611
"5","2012_Q2",18.221746031746,"Down",342737000,-249861000,92876000,-80674000,-75901000,-4773000,12202000,-559000,-559000,11643000,11643000,-4907000,6736000,6736000,6736000,6736000,89321000,89321000,39857000,27996000,27996000,157174000,176113000,59823000,10605000,26488000,235936000,393110000,108865000,33510000,54211000,0,108865000,42774000,26712000,26712000,69486000,178351000,32425000,193277000,-10943000,214759000,214759000,393110000,6736000,4773000,-3165000,-2555000,5789000,-6257000,-344000,-6601000,-1145000,-1e+05,11000,-1229000,-2041000,-2041000,-2041000,16975000,42774000,13070000,0.27098,0.0356,0.01965,0.03137,0.01714,1.94032,1.44375,0.83047,0.10881,0.50306,0.33982,25.59649,16.03876,0.9761,0.08551,0.02773,0.04598,0.16998,-2.74209,-3.8147
"6","2012_Q3",22.9787301587302,"Up",362638000,-263134000,99504000,-83234000,-78375000,-4859000,16270000,-449000,-449000,15821000,15821000,-6674000,9147000,9147000,9147000,9147000,98767000,98767000,41849000,21041000,21041000,161657000,175154000,60048000,10605000,26713000,235202000,396859000,102746000,28092000,56011000,0,102746000,42714000,29053000,29053000,71767000,174513000,33532000,199558000,-10744000,222346000,222346000,396859000,9147000,4859000,9388000,-6578000,16816000,-3802000,-350000,-4152000,-2866000,-682000,294000,-3218000,9446000,9446000,9446000,21129000,42714000,17423000,0.27439,0.04487,0.02522,0.04114,0.02305,1.90478,1.57337,0.78487,0.10763,0.68312,0.46099,27.08275,16.60538,1.30119,0.21404,0.04084,0.05924,0.31333,-2.65289,-3.44518
"7","2012_Q4",23.1616129032258,"Up",347009000,-251761000,95248000,-83641000,-78659000,-4982000,11607000,-426000,-426000,11181000,11181000,-4638000,6543000,6543000,6543000,6543000,91084000,91084000,42084000,23710000,23710000,156878000,173736000,63577000,12057000,28160000,237313000,394191000,95346000,29415000,49887000,-1.77635683940025e-15,95346000,43229000,28557000,28557000,71786000,167132000,34373000,203231000,-10545000,227059000,227059000,394191000,6543000,4982000,-2511000,-6342000,2672000,-2948000,-353000,-7424000,-2870000,-99000,22000,-2931000,-7683000,-7683000,-7683000,16589000,43229000,11937000,0.27448,0.03345,0.01886,0.02882,0.0166,1.82439,1.64535,0.73607,0.10967,0.48799,0.32937,25.88074,16.93459,0.89029,0.21405,0.0315,0.03994,0.43864,-2.88474,-4.12294
"8","2013_Q1",22.3675,"Down",369859000,-268660000,101199000,-85726000,-80581000,-5145000,15473000,-410000,-410000,15063000,15063000,-6044000,9019000,9019000,9019000,9019000,103103000,103103000,40599000,27876000,27876000,171578000,172420000,65540000,12057000,30077000,237960000,409538000,99906000,16056000,68716000,84.6942502904977,99906000,43149000,36172000,6409000,79321000,179227000,36412000,209373000,-15474000,230311000,230311000,409538000,9019000,5145000,-598000.000000002,4589000,18155000,-3722000,-359000,-4081000,-2877000,-413000,1017000,-2055000,12019000,12019000,12019000,20618000,43149000,27529000,0.27362,0.04183,0.02438,0.03916,0.02202,3.05233,1.71739,0.7782,0.10536,0.67186,0.45461,27.55207,17.15666,2.05073,0.21432,0.03842,0.08891,0.31899,-2.90785,-3.87475
"9","2013_Q2",23.97171875,"Up",358151000,-262514000,95637000,-85165000,-80256000,-4909000,10472000,-392000,-392000,10080000,10080000,-4225000,5855000,5855000,5855000,5855000,101999000,101999000,38374000,34443000,34443000,174816000,173411000,68324000,12057000,31912000,241735000,416551000,101917000,24840000,56155000,0,101917000,43070000,37081000,37081000,80151000,182068000,37405000,212238000,-15160000,234483000,234483000,416551000,5855000,4909000,-4679000,1938000,8023000,-5792000,-369000,-6161000,-2990000,-159000,131000,-2966000,-1104000,-1104000,-1104000,15381000,43070000,15752000,0.26703,0.02924,0.01635,0.02497,0.01406,2.69035,1.71528,0.77647,0.1034,0.43493,0.30019,26.60459,17.41814,1.17011,0.22211,0.02811,0.05006,0.51067,-3.83129,-5.62729
"10","2013_Q3",25.0396875,"Up",382175000,-279254000,102921000,-88473000,-83440000,-5033000,14448000,-186000,-186000,14262000,15712000,-6608000,9104000,9104000,9104000,9104000,106575000,106575000,42059000,27165000,27165000,175799000,172771000,69616000,12057000,33204000,242387000,418186000,106932000,26962000,58717000,0,106932000,42951000,37954000,37954000,80905000,187837000,38864000,206332000,-14847000,230349000,230349000,418186000,9104000,5033000,7782000,814000,22733000,-4285000,1604000,-2681000,-15010000,-1122000,467000,-15476000,4576000,4576000,4576000,19481000,42951000,22618000,0.2693,0.0378,0.02382,0.03952,0.02177,2.4844,1.64403,0.81545,0.10271,0.67527,0.48747,28.34706,17.08567,1.67764,1.11334,0.07747,0.07267,1.64873,-3.26595,-4.40365
