"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share"
"1","2010_Q4",8.66859375,"Up",170848000,-164381000,6467000,-10673000,-10673000,2067950.82521252,-4206000,-985000,-1023000,38000,-5191000,-1926000,-12000,-1938000,-1938000,-1938000,-1938000,203180437.337499,203180437.337499,-109153039.926858,-109153039.926858,18729193.2751425,-7048493.85923633,-6960073.99021632,105708096.826548,99489177.6780387,23967101.0307283,19102243.9242823,9214642.40999807,123456278.708767,229164375.535315,-150941197.471227,-142251572.577997,-8689624.89322929,-57834.4926258067,-150999031.963852,269706868.203681,-405463.830659482,-395194.221033569,269301404.373022,118302372.409169,598449761.993796,-25267446.9801826,-462318892.215758,110862003.126146,110862003.126146,229164375.535315,-1938000,4139000,-2551000,-16787000,-17137000,881000,241000,23526000,-6000,0,-6000,0,23520000,6624000,6624000,6624000,-67000,0,-15961000,0.03785,-0.02462,-0.01134,8.23581,3.46906965352055,1.12504421554697,0.748666547325272,-0.0389,-0.0389,3.42937,3.36584162768379,-0.32038
"2","2011_Q1",10.0541935483871,"Up",241550000,-224259000,17291000,-11555000,-8600000,-2955000,5736000,-1027000,-1092000,65000,4709000,4709000,150000,4859000,4859000,4859000,4859000,21200000,21200000,37853000,37853000,110850000,2155000,2155000,172058000,98834000,31942000,22863000,9079000,130776000,302834000,110041000,71145000,38896000,590000,110631000,58964000,4214000,4214000,63178000,173809000,599374000,-26019000,-444330000,129025000,129025000,302834000,4859000,3993000,1450000,-5711000,4591000,-621000,-72569000,3700000,72083000,72147000,-64000,0,75783000,7805000,7805000,7805000,9729000,59554000,3247000,0.07158,0.02375,0.02012,0.668239999999999,1.55524,1.3471,0.19666,0.09753,0.0975300000000001,4.84855,2.58988,0.0651800000000001
"3","2011_Q2",8.74730158730159,"Down",221984000,-205483000,16501000,-12492000,-12492000,-4508275.41260626,4009000,-770000,-926000,156000,3239000,3239000,-42000,3197000,3197000,3197000,3197000,-20008479.1124998,-20008479.1124998,83261013.3089525,83261013.3089525,167211352.241619,4163164.61974544,4133691.33007211,234627051.057817,97268190.7739871,33993632.9897572,23607585.3585726,8936119.19666731,131261823.763744,365888874.821562,202839232.490409,152252690.859332,50586541.6310764,2324694.83087527,205163927.321284,19650377.2654397,5416321.27688649,5412898.07367786,25066698.5423262,230230625.86361,600163246.002068,-26388767.6732725,-438116702.594747,135658248.957951,135658248.957951,365888874.821562,3197000,3945000,848000,-10833000,-2843000,-293000,-293000,-7633000,-196000,285000,-481000,-860113.667687665,-7829000,-10965000,-10965000,-10965000,7954000,0,-3130000,0.07433,0.01806,0.0144,-0.97904,1.08835511549315,1.69285776148434,0.0725203175582425,0.06417,0.06417,4.45581,2.1655686241054,-0.06283
"4","2011_Q3",5.69359375,"Down",287095000,-270855000,16240000,-11123000,-11123000,-3844175.41260626,5117000,-1136000,-1147000,11000,3981000,3313000,-11000,3302000,3302000,3302000,3302000,13498000,13498000,70024000,70024000,195443000,2298000,2298000,281263000,95403000,30038000,21336000,8702000,125441000,406704000,194856000,151404000,43452000,3974000,198830000,66783000,4729000,4729000,71512000,270342000,600717000,-26524000,-437831000,136362000,136362000,406704000,3302000,3924000,1364000,-21554000,-12964000,-1158000,-1158000,18541000,125000,149000,-24000,-1281000,17385000,3263000,3263000,3263000,9041000,70757000,-13660000,0.05657,0.01782,0.0115,-4.13689,1.41459,1.98253,0.17398,0.04852,0.04822,4.21901,2.00391,-0.20074
"5","2011_Q4",6.0647619047619,"Up",336433000,-323113000,13320000,-11050000,-8835000,-2215000,2270000,-1084000,-1108000,24000,1186000,1186000,-94000,1092000,1092000,1092000,1092000,47993000,47993000,45892000,45892000,199986000,662000,662000,294533000,95114000,28858000,20577000,8281000,123972000,418505000,161314000,119988000,41326000,4058000,165372000,110826000,4084000,4084000,114910000,280282000,601486000,-26524000,-436739000,138223000,138223000,418505000,1092000,3885000,403000,-11936000,-6556000,-1955000,-1955000,43616000,32000,32000,0,-642000,43006000,34495000,34495000,34495000,6155000,114884000,-7642000,0.03959,0.00675,0.00325,-6.99817,1.78103,2.02775,0.27451,0.01603,0.01595,4.93905,2.0292,-0.11219
"6","2012_Q1",8.59548387096774,"Up",341732000,-321073000,20659000,-12265000,-11525000,-740000,8394000,-919000,-955000,36000,7475000,7475000,-23999.9999999999,7451000,7451000,7451000,7451000,19976000,19976000,52219000,52219000,189533000,2317000,2317000,264045000,96591000,27414000,19821000,7593000,124005000,388050000,167009000,107985000,59024000,1507000,168516000,68314000,4874000,4874000,73188000,241704000,602186000,-26552000,-429288000,146346000,146346000,388050000,7451000,3837000,1442000,8466000,21196000,-3841000,-3841000,-45195000,-111000,-83000,-28000,-66000,-45372000,-28017000,-28017000,-28017000,12231000,69821000,16880000,0.06045,0.02456,0.0218,2.26547,1.56688,1.65159,0.17993,0.10936,0.10916,5.01581,2.14801,0.24776
"7","2012_Q2",6.72761904761905,"Down",277682000,-257953000,19729000,-12602000,-11864000,-738000,7127000,-737000,-733000,-4000,6390000,4712000,352000,5064000,5064000,5064000,5064000,6146000,6146000,62955000,62955000,215374000,2411000,2411000,286886000,95491000,27278000,19069000,8209000,122769000,409655000,172460000,130790000,41670000,862000,173322000,80946000,3616000,3616000,84562000,257884000,603111000,-27116000,-424224000,151771000,151771000,409655000,5064000,3769000,1397000,-34282000,-24052000,-967000,-967000,11590000,-401000,163000,-564000,0,11189000,-13830000,-13830000,-13830000,10896000,81808000,-24705000,0.07105,0.02567,0.01824,-4.87855,1.65522,1.69917,0.1997,0.0742,0.0738,4.0689,2.22391,-0.362
"8","2012_Q3",5.94142857142857,"Down",362408000,-322727000,39681000,-18889000,-15435000,-3454000,20792000,-5497000,-5441000,-56000,15295000,3071000,-1129000,1942000,1942000,1942000,1942000,31601000,31601000,102997000,102997000,250163000,7965000,7924000,392726000,126920000,341893000,177705000,12696000,468813000,861539000,235248000,152961000,82287000,3883000,239131000,442292000,4293000,3620000,446585000,685716000,625115000,-27116000,-422282000,175823000,175823000,861539000,1942000,7063000,2204000,1366000.00000001,12575000,-2622000,-366634000,384517000,23000,23000,1.16415321826935e-10,-5026000,379514000,25455000,25455000,25455000,27855000,446175000,27728000,0.10949,0.05737,0.00536,14.27806,1.6423,3.90004,0.51788,0.02842,0.02834,5.30433,2.57341,0.40584
"9","2012_Q4",6.84193548387097,"Up",405917000,-355843000,50074000,-22666000,-19683000,-2983000,27408000,-7549000,-7760000,211000,19859000,19687000,-1246000,18441000,18441000,18441000,18441000,39307000,39307000,98726000,98726000,231875000,6347000,6305000,376255000,129387000,337405000,175411000,12054000,466792000,843047000,219919000,141896000,78023000,4017000,223936000,417827000,5594000,3928000,423421000,647357000,626334000,-27116000,-403841000,195690000,195690000,843047000,18441000,7003000,3541000,10025000,39010000,-5424000,-5424000,-25995000,154000,154000,0,-39000,-25880000,7706000,7706000,7706000,34411000,421844000,40258000,0.12336,0.06752,0.04543,2.18307,1.68019,3.30807,0.50038,0.26977,0.26915,5.93819,2.86276,0.58894
"10","2013_Q1",8.812,"Up",415847000,-361508000,54339000,-24773000,-21358000,-3415000,29566000,-8038000,-7790000,-248000,21528000,21193000,58991000,80184000,80184000,80184000,80184000,81449000,81449000,96590000,96590000,189487000,50569000,8239000,418095000,132146000,352385000,171990000,12057000,484531000,902626000,192172000,87299000,104873000,4521000,196693000,420630000,16576000,15511000,437206000,633899000,619252000,-27116000,-323657000,268727000,268727000,902626000,80184000,7730000,-56101000,16671000,48484000,-5296000,-7795999.99999994,1508999.99999994,14000,14000,-1.45519152283669e-11,-69000.0000000005,1453999.99999994,42142000,42142000,42142000,37296000,425151000,-10320000,0.13067,0.0711,0.19282,-0.128699999999998,2.12562,2.3589,0.47102,1.17271,1.16891,6.08186,3.93019,-0.15093
