"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","accounts_notes_receivable","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",9.02921875,"Down",31572000,-2306000,-29829179.503702,-2306000,33878000,2126000,31752000,31572000,-30687000,-10733000,-19954000,885000,885000,885000,-321000,564000,564000,564000,-7219000,474422659.285415,305730460.817009,27186785.5510653,1531481.51157658,-8052602.42506353,23518516.4141108,20598758.014695,880373697.170543,149980423.167983,89820598.199438,228240359.190097,917559203.551159,-260247276.591015,-4941156.90719579,652138242.231626,652133337.980446,880373697.170543,564000,436000,-99000,871000,1772000,-49000,-9314000,-9363000,-128610000,-136201000,-136201000,-136201000,1321000,0,2464000,0.02803,-0.22865,0.0989328277018543,0.0666805310579128,-0.34132,0.355221616069623,0.167004969187146,-0.12778,-0.12778,0.55886,11.5532688779601,0.04362,0.0666805191450597,0.0385161281426509,2584.70200760355,469.151758851305
"2","2011_Q1",8.85758064516129,"Down",31595000,5925000,8154000,-2229000,25670000,-5532000,31207000,31595000,-30804000,-3612000,-27192000,791000,791000,791000,235000.000000001,1026000,1026000,1026000,1026000,649439000,148965000,24009000,2021000,3e+06,23988000,71505000,939641000,138350000,148236000,286586000,918611000,-270826000,5270000,653055000,653055000,939641000,1026000,439000,364000.000000001,5499000,7328000,-120000,-1120000,-1240000,0,6088000,6088000,6088000,1230000,138350000,6374000,0.02504,0.03247,0.00157,0.00109,6.21248,0.43884,0.14724,0.01816,0.01816,0.55928,11.56013,0.11283,0.00109,0.00678,-415.51951,-646.13021
"3","2011_Q2",8.64825396825397,"Down",32481000,-2176000,25686857.7022212,-2176000,34657000,2100000,32557000,32481000,-30294000,-11985000,-18309000,2187000,2187000,2187000,-777000,1410000,1410000,1410000,1410000,683672696.904862,118636263.060997,24862321.4829782,2220756.16280781,5165700.80835451,24144494.5286297,82144580.6617683,957888934.276486,136198192.277339,170091300.600187,310143046.936634,918953432.149614,-278465657.802995,7178968.96906526,647744252.589458,647745887.339851,957888934.276486,1410000,432000,884000,991000,3717000,-186000,3746000,3560000,46656651.9911204,7277000,7277000,7277000,2619000,0,4201000,0.06733,0.04341,-0.0295034425672848,-0.0199001770193043,2.97943,0.476799461310126,0.142748343604285,0.02496,0.02496,0.57493,11.46282954068,0.07436,-0.0199001730483532,-0.00852787604755029,-835.014135867851,-567.046632950435
"4","2011_Q3",7.33890625,"Down",34287000,-2245000,28315943.6029616,-2245000,36532000,2241000,34291000,34287000,-54736000,-11597000,-43139000,-20449000,-20449000,-20449000,7216000,-13233000,-13233000,-13233000,-13233000,639160000,159234000,27186000,2173000,3e+06,23988000,70546000,947452000,138350000,167649000,305999000,918645000,-282649000,5457000,641453000,641453000,947452000,-13233000,426000,-7103000,16282000,-3628000,-56000,-13872000,-13928000,41011915.2408423,-17556000,-17556000,-17556000,-20023000,138350000,-11013000,-0.59641,-0.38595,-0.02063,-0.01397,0.832239999999998,0.47704,0.14602,-0.23422,-0.23422,0.60687,11.35355,-0.19493,-0.01397,-0.01162,25.01174,24.49068
"5","2011_Q4",7.26365079365079,"Down",38382000,-2241000,21587807.7022212,-2241000,40623000,3923000,36700000,38382000,-39447000,-11441000,-28006000,-1065000,-1065000,-1065000,1313000,248000,248000,248000,248000,584117000,212635000,27815000,2154000,3e+06,23988000,58629000,934001000,138350000,153048000,291398000,918662000,-282401000,6342000,642603000,642603000,934001000,248000,429000,-1097000,-3644000,-4064000,-32000,-50947000,-50979000,13136220.8701431,-55043000,-55043000,-55043000,-636000,138350000,-5625000,-0.02775,0.00646,0.00039,0.00027,-22.68145,0.45347,0.14813,0.00439,0.00439,0.67934,11.37371,-0.09956,0.00027,-0.00602,700.89151,418.56056
"6","2012_Q1",7.71193548387097,"Up",38564000,8726000,11049000,-2323000,29838000,-7447000,37285000,38564000,-30777000,-5173000,-25604000,7787000,7787000,7787000,-2743000,5044000,5044000,5044000,5044000,578520000,224200000,24390000,2128000,9074000,23988000,63125000,925425000,131450000,138592000,270042000,918757000,-277357000,13983000,655383000,655383000,925425000,5044000,427000,2569000,-7387000,653000,-22000,672000,650000,-6900000,-5596999.99999999,-5596999.99999999,-5596999.99999999,8214000,131450000,3548000,0.20192,0.1308,0.0077,0.00545,0.703410000000002,0.41204,0.14204,0.08927,0.08927,0.68251,11.59908,0.06279,0.00545,0.00383,-54.4278100000002,-57.41235
"7","2012_Q2",8.50587301587302,"Up",38103000,1216000,3355000,-2139000,36887000,-21385783.7276455,36887000,38103000,-37557000,-10901000,-26656000,546000,546000,546000,-203000,343000,343000,343000,343000,579639000,219521000,26675000,2139000,3e+06,23988000,53572000,924310000,131450000,141563000,273013000,917729000,-277014000,10582000,651297000,651297000,924310000,343000,339000,174000,1698000,2554000,-62000,-211000,-273000,-1162000,1119000,1119000,1119000,885000,131450000,2724000,0.01433,0.009,0.00053,0.00037,7.94169,0.41918,0.14221,0.00607,0.00606,0.6744,11.52758,0.04821,0.00037,0.00295,-506.42825,-820.85897
"8","2012_Q3",10.0349206349206,"Up",39281000,1256000,3387000,-2131000,38025000,-24344836.7777805,38025000,39281000,-55233000,-10842000,-44391000,-15952000,-15952000,-15952000,5243000,-10709000,-10709000,-10709000,-10709000,576412000,215874000,28363000,2115000,3e+06,23988000,50556000,922098000,131450000,151922000,283372000,917863000,-287723000,8586000,638726000,638726000,922098000,-10709000,351000,-5214000,11446000,-4126000,-31000,930000,898999.999999998,0,-3227000,-3227000,-3227000,-15601000,131450000,-9429000,-0.4061,-0.27263,-0.01677,-0.01161,0.88047,0.44365,0.14256,-0.19,-0.19,0.69694,11.33256,-0.16729,-0.01161,-0.01023,28.52138,27.89381
"9","2012_Q4",12.2595161290323,"Up",40830000,1247000,3387000,-2140000,39583000,-4369221.43902528,39583000,40830000,-46792000,-10121000,-36671000,-5962000,-5962000,-5962000,1914000,-4048000,-4048000,-4048000,-4048000,574168000,215818000,27871000,366000,3e+06,23988000,50096000,915511000,131450000,143256000,274706000,9.18e+08,-291771000,14576000,640805000,640805000,915511000,-4048000,335000,-1914000,-6168000,-11795000,-68000,9619000,9551000,0,-2244000,-2244000,-2244000,-5627000,131450000,-13777000,-0.14602,-0.09914,-0.00632,-0.00442,3.40341,0.42869,0.14358,-0.07182,-0.07182,0.72441,11.36925,-0.24443,-0.00442,-0.01505,78.67745,74.25663
"10","2013_Q1",12.168,"Down",134860000,25123000,28909000,-3786000,109737000,50496000,48003000,131060000,-115935000,-11794000,-104141000,15125000,15125000,15125000,-5809000,9316000,9316000,8822000,8563000,722039000,1081066000,170179000,111381000,77738000,253770000,315777000,7286865000,141539000,315063000,6140315000,1305283000,-282949000,8094000,1144496000,1146550000,7286865000,9316000,-3558000,416000,118612000,128586000,-15874000,-157786000,2692000.00000001,21014000,152292000,152292000,152292000,11567000,1124791000,120114000,0.11215,0.0635,0.00747,0.00118,14.02709,5.35547,0.15436,0.13015,0.13026,2.04979,15.6619,1.82566,0.00118,0.01648,34.81905,26.62823
