"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",18.1098412698413,"Down",7.525e+09,-2.541e+09,4.984e+09,-2.801e+09,-2.705e+09,-9.6e+07,2.183e+09,-4e+06,-2.5e+07,-8.5e+07,6e+07,1.36e+08,-1.15e+08,2.179e+09,2.179e+09,-5.53e+08,1.626e+09,1.626e+09,-1.2e+07,1.614e+09,1.614e+09,8.722e+09,5.684e+09,3.038e+09,3.777e+09,3.777e+09,2.327e+09,2.382e+09,2.382e+09,1.7208e+10,9.036e+09,5.19e+08,2.064e+10,6.261e+09,3.905e+09,2.149e+09,2.095e+09,3.0195e+10,4.7403e+10,6.367e+09,5.963e+09,4.04e+08,7.216e+09,6.67e+09,5.46e+08,1.3583e+10,4.419e+09,4.244e+09,1.481e+09,2.763e+09,8.663e+09,2.2246e+10,9.526e+09,8.8e+08,8.646e+09,-2.5345e+10,4.2136e+10,-1.445e+09,2.4872e+10,2.85e+08,2.5157e+10,4.7403e+10,1.626e+09,1.626e+09,2.95e+08,1.92e+08,5.3e+07,3.4e+07,1.05e+08,-7.87e+08,1.326e+09,-3.77e+08,1.6e+07,1.6e+07,-3.93e+08,-3.93e+08,0,1.4e+07,-9.91e+08,-1.368e+09,-1.015e+09,-1.49e+08,1.19e+08,1.21e+08,-2e+06,2e+06,-1.043e+09,-1.085e+09,-1.085e+09,-2.52e+08,-1.337e+09,2.478e+09,1.1635e+10,1.867e+09,0.66233,0.2901,0.21449,0.06416,0.03405,1.15675,1.26688,0.88429,0.24545,0.35026,0.3468,1.63303,5.39757,0.40516,0.22027,14.9933714116481,0.06407,0.0455,0.62887,1.17554,1.3344
"2","2010_Q3",19.2471875,"Up",8.674e+09,-2.955e+09,5.719e+09,-2.956e+09,-2.878e+09,-7.8e+07,2.763e+09,3.6e+08,-1.4e+07,-8.1e+07,6.7e+07,3.56e+08,1.8e+07,3.123e+09,3.123e+09,-7.41e+08,2.382e+09,2.382e+09,-1.3e+07,2.369e+09,2.369e+09,1.0099e+10,7.735e+09,2.364e+09,4.068e+09,4.068e+09,2.363e+09,2.044e+09,2.044e+09,1.8574e+10,8.931e+09,5.39e+08,2.04e+10,6.218e+09,3.81e+09,2.081e+09,2.092e+09,2.987e+10,4.8444e+10,6.652e+09,6.202e+09,4.5e+08,7.282e+09,6.738e+09,5.44e+08,1.3934e+10,4.427e+09,4.275e+09,1.556e+09,2.719e+09,8.702e+09,2.2636e+10,9.631e+09,8.8e+08,8.751e+09,-2.5305e+10,4.349e+10,-2.298e+09,2.5518e+10,2.9e+08,2.5808e+10,4.8444e+10,2.382e+09,2.382e+09,3.16e+08,-6.3e+07,6.1e+07,-1000000.00000003,-1.23e+08,3.49e+08,2.984e+09,-4.51e+08,4.9e+07,4.9e+07,-5e+08,-5e+08,1.021e+09,1.187e+09,-5.4e+08,3e+07,-1.015e+09,9.9e+07,82999999.9999998,8.3e+07,0,1e+06,-8.32e+08,2.182e+09,2.182e+09,-1.31e+08,2.051e+09,3.079e+09,1.1709e+10,3.718e+09,0.65933,0.31854,0.27312,0.09179,0.0489,1.56944,1.333,0.87709,0.2417,0.51366,0.50946,1.88075,5.53296,0.80616,0.22008,9.19646475287897,0.08097,0.08896,0.42845,0.522900000000001,0.5827
"3","2010_Q4",21.88734375,"Up",8.426e+09,-2.918e+09,5.508e+09,-3.164e+09,-3.064e+09,-1e+08,2.344e+09,3.56e+08,1.3e+07,-8e+07,9.3e+07,3.55e+08,-1.2e+07,2.7e+09,2.7e+09,-6.33e+08,2.067e+09,2.067e+09,-1.2e+07,2.055e+09,2.055e+09,1.3153e+10,1.0509e+10,2.644e+09,3.832e+09,3.832e+09,2.259e+09,3.861e+09,3.248e+09,2.3105e+10,9.145e+09,6.1e+08,2.1229e+10,6.403e+09,3.882e+09,1.974e+09,2.1e+09,3.0984e+10,5.4089e+10,8.12e+09,7.691e+09,4.29e+08,8.937e+09,8.39e+09,5.47e+08,1.7271e+10,4.456e+09,4.161e+09,1.384e+09,2.777e+09,8.617e+09,2.5888e+10,9.893e+09,8.8e+08,9.013e+09,-2.5147e+10,4.4541e+10,-1.381e+09,2.7906e+10,2.95e+08,2.8201e+10,5.4089e+10,2.067e+09,2.067e+09,3.23e+08,-2.06e+08,7.1e+07,1.3e+07,-2.9e+08,7.3e+08,2.914e+09,-4.13e+08,2.9e+07,2.9e+07,-4.42e+08,-4.42e+08,9.08e+08,2.591e+09,-1.87e+09,-1.375e+09,-1.004e+09,1.678e+09,3.3e+08,3.31e+08,-1e+06,-1.4e+07,9.9e+08,2.529e+09,2.529e+09,2.45e+08,2.774e+09,2.667e+09,1.3393e+10,3.617e+09,0.65369,0.27819,0.24389,0.07287,0.03799,1.7601,1.33779,0.91798,0.24761,0.44481,0.43985,1.82381,6.04026,0.7829,0.21732,5.69867428232961,0.06686,0.07905,0.48856,0.08999,0.10239
"4","2011_Q1",22.3614516129032,"Up",1.0494e+10,-4.279e+09,6.215e+09,-5.092e+09,-4.547e+09,-5.45e+08,1.123e+09,5.082e+09,-3.9e+08,-4.87e+08,9.7e+07,1.78e+08,5.294e+09,6.205e+09,6.205e+09,-4.43e+08,5.762e+09,5.762e+09,-1.3e+07,5.749e+09,5.749e+09,1.1199e+10,8.517e+09,2.682e+09,4.568e+09,4.568e+09,2.65e+09,3.162e+09,3.162e+09,2.1579e+10,1.4727e+10,6.31e+08,3.5984e+10,1.3867e+10,1.1665e+10,1.377e+09,2.121e+09,5.1342e+10,7.2921e+10,9.132e+09,8.859e+09,2.73e+08,9.376e+09,8.1e+09,1.276e+09,1.8508e+10,1.4041e+10,9.055e+09,4.261e+09,4.794e+09,2.3096e+10,4.1604e+10,1.0937e+10,8.8e+08,1.0057e+10,-2.7762e+10,4.9278e+10,-1.45e+09,3.1003e+10,3.14e+08,3.1317e+10,7.2921e+10,5.762e+09,5.762e+09,5.09e+08,-4.041e+09,1.95e+08,5.58e+08,-4.794e+09,7.8e+07,2.308e+09,-8.4e+08,4e+07,4e+07,-8.8e+08,-8.8e+08,4.32e+08,1.212e+09,-1.284e+09,-1.692e+09,-1.034e+09,2.2e+08,-1.827e+09,1.131e+09,-2.958e+09,6.1e+07,-2.58e+09,-1.964e+09,-1.964e+09,-28000000.0000001,-1.992e+09,1.632e+09,2.3417e+10,1.313e+09,0.59224,0.10701,0.54784,0.18357,0.07884,0.22839,1.16593,1.32848,0.32113,1.2433,1.22528,2.26946,6.7048,0.28395,0.22362,4,0.10633,0.02058,0.17986,7.48652,10.87979
"5","2011_Q2",23.6174603174603,"Up",1.0517e+10,-3.948e+09,6.569e+09,-4.285e+09,-4.076e+09,-2.09e+08,2.284e+09,2.32e+08,-1.9e+07,-1.13e+08,9.4e+07,1.34e+08,1.17e+08,2.516e+09,2.516e+09,-6e+08,1.916e+09,1.916e+09,-1.3e+07,1.903e+09,1.903e+09,1.2124e+10,9.075e+09,3.049e+09,4.686e+09,4.686e+09,3.033e+09,3.699e+09,3.699e+09,2.3542e+10,1.4834e+10,6.48e+08,3.7034e+10,1.4087e+10,1.1949e+10,1.318e+09,2.74e+09,5.2516e+10,7.6058e+10,8.524e+09,8.291e+09,2.33e+08,1.3399e+10,1.1985e+10,1.414e+09,2.1923e+10,1.2681e+10,8.858e+09,4.421e+09,4.437e+09,2.1539e+10,4.3462e+10,1.1267e+10,8.8e+08,1.0387e+10,-2.855e+10,5.0097e+10,-5.35e+08,3.2279e+10,3.17e+08,3.2596e+10,7.6058e+10,1.916e+09,1.916e+09,4.86e+08,1.14e+08,7.6e+07,-2.4e+07,6.2e+07,-2.058e+09,4.58e+08,-5.66e+08,2.3e+07,2.3e+07,-5.89e+08,-5.89e+08,1.245e+09,1.445e+09,-1.726e+09,-1.047e+09,-1.065e+09,2.718e+09,-6.89e+08,4.4e+08,-1.129e+09,2.2e+07,9.86e+08,3.97e+08,3.97e+08,1.61e+08,5.58e+08,2.77e+09,2.608e+10,7.46e+08,0.62461,0.21717,0.18095,0.05838,0.02502,0.39201,1.07385,1.33335,0.3429,0.41514,0.40819,2.29428,7.04167,0.16274,0.23233,3.60044190589013,0.04395,0.01105,0.55964,5.03827,6.11033
"6","2011_Q3",24.389375,"Up",1.2737e+10,-4.989e+09,7.748e+09,-4.569e+09,-4.417e+09,-1.52e+08,3.179e+09,6.2e+08,3.7e+07,-83999999.9999999,1.21e+08,2.21e+08,3.62e+08,3.799e+09,3.799e+09,-9.92e+08,2.807e+09,2.807e+09,-7e+06,2.8e+09,2.8e+09,1.3871e+10,1.0166e+10,3.705e+09,5.776e+09,5.776e+09,3.237e+09,3.655e+09,3.655e+09,2.6539e+10,1.4933e+10,1.387e+09,3.7231e+10,1.4169e+10,1.2004e+10,1.288e+09,2.701e+09,5.3551e+10,8.009e+10,9.382e+09,8.986e+09,3.96e+08,1.4812e+10,1.2326e+10,2.486e+09,2.4194e+10,1.1373e+10,9.099e+09,4.706e+09,4.393e+09,2.0472e+10,4.4666e+10,1.1543e+10,8.8e+08,1.0663e+10,-2.8504e+10,5.1816e+10,2.87e+08,3.5142e+10,2.82e+08,3.5424e+10,8.009e+10,2.807e+09,2.807e+09,4.71e+08,19999999.9999995,1.05e+08,2.06e+08,-2.91e+08,-1.14e+08,3.184e+09,-5.78e+08,2.3e+07,2.3e+07,-6.01e+08,-6.01e+08,1.791e+09,1.858e+09,-2.494e+09,-1.281e+09,-1.078e+09,18000000.000001,1.2e+08,3.62e+08,-2.42e+08,-1.6e+07,-955999999.999999,9.47e+08,9.47e+08,1.44e+08,1.091e+09,3.65e+09,2.6185e+10,3.95e+09,0.60831,0.24959,0.21983,0.07904,0.03496,1.41071,1.09692,1.2609,0.32694,0.61135,0.60112,2.781,7.67293,0.86245,0.23537,4,0.05485,0.05586,0.385,3.3737,3.87355
"7","2011_Q4",24.1339682539683,"Down",1.2248e+10,-4.875e+09,7.373e+09,-4.619e+09,-4.523e+09,-9.6e+07,2.754e+09,1.73e+08,2.5e+07,-1.16e+08,1.41e+08,1.8e+08,-3.2e+07,2.927e+09,2.927e+09,-6.81e+08,2.246e+09,2.246e+09,-2.2e+07,2.224e+09,2.224e+09,1.6366e+10,1.2682e+10,3.684e+09,5.262e+09,5.262e+09,3.172e+09,3.391e+09,3.391e+09,2.8191e+10,1.4522e+10,1.264e+09,3.7776e+10,1.4217e+10,1.2073e+10,1.194e+09,3.219e+09,5.3562e+10,8.1753e+10,1.0101e+10,9.837e+09,2.64e+08,1.548e+10,1.3398e+10,2.082e+09,2.5581e+10,1.3708e+10,8.965e+09,4.561e+09,4.404e+09,2.2673e+10,4.8254e+10,1.1936e+10,8.8e+08,1.1056e+10,-3.0518e+10,5.2965e+10,-1.174e+09,3.3209e+10,2.9e+08,3.3499e+10,8.1753e+10,2.246e+09,2.246e+09,4.66e+08,-5e+07,8.7e+07,1.7e+07,-1.54e+08,4.96e+08,3.158e+09,-7.05e+08,2e+07,2e+07,-7.25e+08,-7.25e+08,-4.63e+08,1.91e+08,8.2e+07,-1.086e+09,-1.6e+07,2.792e+09,-1.657e+09,5.8e+08,-2.237e+09,2.7e+07,1.146e+09,3.218e+09,3.218e+09,-7.02e+08,2.516e+09,3.22e+09,2.9188e+10,3.692e+09,0.60198,0.22485,0.18158,0.06639,0.0272,1.66007,1.10203,1.44046,0.35703,0.48655,0.47797,2.6795,7.26515,0.8077,0.0035,5,0.03126,0.05153,0.00719,3.98199,4.65577
"8","2012_Q1",24.9690322580645,"Up",1.104e+10,-4.403e+09,6.637e+09,-4.681e+09,-4.406e+09,-2.75e+08,1.956e+09,2.6e+08,2.3e+07,-1.04e+08,1.27e+08,1.55e+08,8.2e+07,2.216e+09,2.216e+09,-5.39e+08,1.677e+09,1.677e+09,-2e+07,1.657e+09,1.657e+09,1.3891e+10,1.2803e+10,1.088e+09,5.064e+09,5.064e+09,3.092e+09,3.45e+09,3.45e+09,2.5497e+10,1.4939e+10,1.141e+09,3.8397e+10,1.42e+10,1.2219e+10,1.25e+09,3.495e+09,5.4477e+10,7.9974e+10,9.371e+09,9.009e+09,3.62e+08,1.4912e+10,1.2871e+10,2.041e+09,2.4283e+10,1.3656e+10,1.0114e+10,4.694e+09,5.42e+09,2.377e+10,4.8053e+10,1.2092e+10,1.76e+09,1.0332e+10,-3.1304e+10,5.3621e+10,-2.774e+09,3.1635e+10,2.86e+08,3.1921e+10,7.9974e+10,1.677e+09,1.677e+09,5.31e+08,6.83e+08,8.6e+07,8.36e+08,-2.39e+08,-2.17e+08,2.674e+09,-9.7e+08,3.5e+07,3.5e+07,-1.005e+09,-1.005e+09,-2.133e+09,2.715e+09,3.993e+09,8.9e+08,-2.141e+09,-5.63e+08,-7.18e+08,1.87e+08,-9.05e+08,1.2e+07,-3.41e+09,1.54e+08,1.54e+08,-3.3e+07,1.21e+08,2.487e+09,2.8568e+10,1.839e+09,0.60118,0.17717,0.15009,0.05191,0.02072,1.10984,1.04999,1.50537,0.35722,0.36522,0.35936,2.43333,6.97267,0.40533,0.4719,6,0.05379,0.02605,1.29209,5.90149,7.50358
"9","2012_Q2",27.255873015873,"Up",1.1137e+10,-4.348e+09,6.789e+09,-4.28e+09,-4.181e+09,-9.9e+07,2.509e+09,2.16e+08,2.7e+07,-8.8e+07,1.15e+08,1.4e+08,4.9e+07,2.725e+09,2.725e+09,-6.58e+08,2.067e+09,2.067e+09,-1.3e+07,2.054e+09,2.054e+09,1.314e+10,1.0664e+10,2.476e+09,7.453e+09,7.453e+09,3.442e+09,3.988e+09,3.988e+09,2.8023e+10,1.53e+10,1.317e+09,3.9257e+10,1.4327e+10,1.2344e+10,1.222e+09,3.77e+09,5.5874e+10,8.3897e+10,1.0082e+10,9.717e+09,3.65e+08,1.4764e+10,1.3375e+10,1.389e+09,2.4846e+10,1.6351e+10,9.482e+09,4.819e+09,4.663e+09,2.5833e+10,5.0679e+10,1.2437e+10,8.8e+08,1.1557e+10,-3.2364e+10,5.452e+10,-1.775e+09,3.2818e+10,4e+08,3.3218e+10,8.3897e+10,2.067e+09,2.067e+09,4.47e+08,-1.75e+08,7.7e+07,-1.03e+08,-1.49e+08,-1.846e+09,4.93e+08,-5.65e+08,2.7e+07,2.7e+07,-5.92e+08,-5.92e+08,4.47e+08,5.67e+08,-4.765e+09,-4.883e+09,0,2.523e+09,-6.43e+08,4.36e+08,-1.079e+09,4.2e+07,1.922e+09,-2.468e+09,-2.468e+09,3.29e+08,-2.139e+09,2.956e+09,3.1115e+10,1.203e+09,0.60959,0.22529,0.18443,0.06183,0.02448,0.58569,1.12787,1.52565,0.37087,0.45392,0.44642,2.46122,7.2526,0.26586,0,4,0.02783,0.0163,0,6.08085,7.16421
"10","2012_Q3",28.3425396825397,"Up",1.3085e+10,-5.224e+09,7.861e+09,-4.567e+09,-4.497e+09,-7e+07,3.294e+09,3.29e+08,0,-1.12e+08,1.12e+08,2.45e+08,8.4e+07,3.623e+09,3.623e+09,-8.23e+08,2.8e+09,2.8e+09,-1.2e+07,2.788e+09,2.788e+09,1.4144e+10,9.337e+09,4.807e+09,8.219e+09,8.219e+09,3.587e+09,3.375e+09,3.375e+09,2.9325e+10,1.5174e+10,1.398e+09,3.9252e+10,1.4211e+10,1.2357e+10,1.183e+09,3.663e+09,5.5824e+10,8.5149e+10,1.039e+10,9.775e+09,6.15e+08,1.6092e+10,1.5964e+10,1.28e+08,2.6482e+10,1.639e+10,9.648e+09,4.99e+09,4.658e+09,2.6038e+10,5.252e+10,1.2787e+10,8.8e+08,1.1907e+10,-3.3308e+10,5.6159e+10,-3.369e+09,3.2269e+10,3.6e+08,3.2629e+10,8.5149e+10,2.8e+09,2.8e+09,5.08e+08,1.94e+08,8.9e+07,1.56e+08,-5.1e+07,1.83e+08,3.685e+09,-6.83e+08,3e+07,3e+07,-7.13e+08,-7.13e+08,8.47e+08,1.482e+09,-3.841e+09,-3.677e+09,-1.155e+09,1.34e+09,-9.72e+08,5.59e+08,-1.531e+09,1.3e+07,-773999999.999999,-7.66e+08,-7.66e+08,-5.61e+08,-1.327e+09,3.802e+09,3.2482e+10,4.125e+09,0.60076,0.25174,0.21307,0.08545,0.03274,1.47956,1.10736,1.60961,0.38147,0.61804,0.60728,2.90069,7.1534,0.91443,0.25604,5,0.05274,0.05518,0.41428,4.82325,5.56709
