"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",40.4714285714286,"Up",431050000,-378772000,52278000,-60258000,-56514000,-3744000,-7980000,-7548000,-7315000,-233000,-15528000,-14723000,-16000,-14739000,-14739000,-14739000,-14739000,13379000,13379000,183942000,198799000,18888000,18888000,415008000,135934000,220942000,-85008000,38806000,38806000,174740000,589748000,91119000,85938000,5181000,23058000,23058000,151362000,366334000,34785000,34785000,401119000,552481000,145817000,-100901000,-7649000,37267000,37267000,589748000,-46593000,149000,-409000,-260000,33633000,-2858000,30775000,-16078000,-16078000,-16078000,403519000,0.12128,-0.01851,-0.03419,-0.3955,-0.02499,2.74182,14.82494,0.68422,-4.80285,-4.80285,140.46207,12.14383,4,-0.03099,-48.88972
"2","2010_Q3",33.4703125,"Down",540781000,-476662000,64119000,-60523000,-57089000,-3434000,3596000,-8223000,-8205000,-18000.0000000001,-4627000,-3371000,-36000,-3407000,-3407000,-3407000,-3407000,18821000,18821000,201569000,226158000,22442000,22442000,468990000,132890000,221065000,-88175000,42167000,42167000,175057000,644047000,109706000,103478000,6228000,19625000,19625000,203466000,373333000,32880000,32880000,406213000,609679000,146743000,-104308000,-8067000,34368000,34368000,644047000,-34281000,507000,-854000,-347000,43878000,-3808000,40070000,5442000,5442000,5442000,447468000,0.11857,0.00665000000000001,-0.0063,-0.0991300000000004,-0.00529,2.305,17.73973,0.69478,-1.11021,-1.11021,176.21904,11.19917,2,-0.00662,119.20106
"3","2010_Q4",35.621875,"Up",464690000,-414748000,49942000,-57232000,-54121000,-3111000,-7290000,-9313000,-9121000,-192000,-16603000,-15630000,778000,-14852000,-14852000,-14852000,-14852000,12921000,12921000,166641000,195569000,22755000,22755000,397886000,131401000,222143000,-90742000,49466000,49466000,180867000,578753000,85889000,80689000,5200000,22471000,22471000,146722000,379976000,30677000,30677000,410653000,557375000,147654000,-119160000,-7116000,21378000,21378000,578753000,32960000,33000,-1426000,-1393000,-29221000,-8246000,-37467000,-5900000,-5900000,-5900000,418338000,0.10747,-0.01569,-0.03196,-0.69473,-0.02566,2.71184,26.07236,0.72283,-4.83968,-4.83968,151.42401,6.96624,4,-0.03157,-55.61276
"4","2011_Q1",37.4483870967742,"Up",367897000,-323563000,44334000,-56537000,-53461000,-3076000,-12203000,-9291000,-9147000,-144000,-21494000,-20108000,-137000,-20245000,-20245000,-20245000,-20245000,14297000,14297000,119202000,188250000,22911000,22768000,344660000,129631000,222148000,-92517000,50728000,50728000,180359000,525019000,67421000,62827000,4594000,16792000,16792000,108492000,381679000,33857000,33665000,415536000,524028000,147754000,-139405000,-7358000,991000,991000,525019000,18053000,22000,-1451000,-1429000,-12445000,-2803000,-15248000,1376000,1376000,1376000,405958000,0.12051,-0.03317,-0.05503,-20.42886,-0.03856,3.17682,528.78708,0.77323,-6.59704,-6.59704,119.88302,0.32293,4,-0.04593,-32.09547
"5","2011_Q2",33.4650793650794,"Down",390604000,-344335000,46269000,-51384000,-48446000,-2938000,-5115000,-9076000,-9061000,-15000,-14191000,-12440000,114000,-12326000,-12326000,-12326000,-12326000,6151000,6151000,169924000,220312000,18712000,18653000,415099000,128127000,222446000,-94319000,56393000,56393000,184520000,599619000,99411000,94910000,4501000,13899000,13899000,150941000,424178000,34508000,34401000,458686000,609627000,148556000,-151737000,-6827000,-10008000,-10008000,599619000,-62808000,8763000,-3695000,5068000,55779000,-6185000,49594000,-8146000,-8146000,-8146000,461809000,0.11846,-0.0131,-0.03156,1.23161,-0.02056,2.75007,-60.91397,0.77017,-3.99627,-3.99627,126.63967,-3.24474,2,-0.02535,-89.0827
"6","2011_Q3",19.25,"Down",500810000,-443165000,57645000,-59404000,-56781000,-2623000,-1759000,-7864000,-7730000,-134000,-9623000,-9623000,-158000,-9781000,-9781000,-9781000,-9781000,6109000,6109000,205735000,212654000,62961000,62902000,487459000,129196000,225181000,-95985000,18613000,18613000,147809000,635268000,100724000,95322000,5402000,14938000,14938000,295967000,323072000,35621000,35514000,358693000,654660000,148899000,-161518000,-6773000,-19392000,-19392000,635268000,-38417000,208000,-1646000,-1438000,41443000,-1630000,39813000,-42000,-42000,-42000,503377000,0.1151,-0.00351,-0.01953,0.504379999999998,-0.0154,1.647,-33.7592799999999,0.79239,-3.14878,-3.14878,161.22503,-6.24284,1,-0.01882,-282.69926
"7","2011_Q4",15.1663492063492,"Down",472899000,-414621000,58278000,-57092000,-54533000,-2559000,1186000,-7299000,-6963000,-336000,-6113000,-6113000,-95000,-6208000,-6208000,-6208000,-6208000,5890000,5890000,184737000,203777000,24758000,24699000,419162000,127751000,225965000,-98214000,24390000,24390000,152141000,571303000,93841000,89468000,4373000,21115000,21115000,181307000,329351000,27885000,27845000,357236000,538543000,207856000,-167720000,-7376000,32760000,32760000,571303000,17412000,23000,-426000,-403000,-108702000,91474000,-17228000,-219000,-219000,-219000,395702000,0.12324,0.00251,-0.01313,-0.1895,-0.01087,2.31189,16.43904,0.69263,-1.21291,-1.21291,92.39422,6.40059,6,-0.0136,328.67791
"8","2012_Q1",21.6056451612903,"Up",391118000,-343161000,47957000,-50539000,-48097000,-2442000,-2582000,-6772000,-6756000,-16000,-9354000,-9429000,-823000,-10252000,-10252000,-10252000,-10252000,4898000,4898000,138872000,185577000,27141000,27141000,356488000,123128000,221463000,-98335000,24299000,23941000,147427000,503915000,74724000,70228000,4496000,16940000,16558000,123074000,328695000,43772000,43772000,372467000,495541000,208246000,-177972000,-21900000,8374000,8374000,503915000,33481000,9361000,-766000,8595000,-35813000,-7255000,-43068000,-992000,-992000,-992000,360105000,0.12262,-0.0066,-0.02621,-1.22427,-0.02034,2.89653,59.17614,0.71461,-1.36499,-1.36499,52.07496,1.11495,6,-0.02487,-137.57049
"9","2012_Q2",24.7857142857143,"Up",453708000,-399476000,54232000,-58326000,-56066000,-2260000,-4094000,-6720000,-6782000,62000,-10814000,-10814000,-205000,-11019000,-11019000,-11019000,-11019000,5864000,5864000,197950000,250560000,21441000,21441000,475815000,121535000,221891000,-100356000,27025000,26643000,148560000,624375000,120967000,115526000,5441000,12597000,12215000,204325000,378014000,44370000,44370000,422384000,626709000,208425000,-188994000,-21765000,-2334000,-2334000,624375000,-88502000,1439000,-1278000,161000,88033000,1274000,89307000,966000,966000,966000,448775000,0.11953,-0.00902,-0.02429,4.72108,-0.01765,2.32872,-268.51285,0.71876,-1.68568,-1.68568,69.408,-0.35705,4,-0.02245,-108.18539
"10","2012_Q3",22.6095238095238,"Down",517026000,-453838000,63188000,-59323000,-57136000,-2187000,3865000,-7374000,-7325000,-49000,-3509000,-3509000,-197000,-3706000,-3706000,-3706000,-3706000,5151000,5151000,202114000,235630000,27397000,27397000,470292000,112160000,214427000,-102267000,28204000,27822000,140364000,610656000,85360000,78850000,6510000,12753000,12371000,189311000,381672000,45152000,45152000,426824000,616135000,209094000,-192700000,-21873000,-5479000,-5479000,610656000,-21604000,475999.999999998,-862000,-386000,23984000,-2707000,21277000,-713000,-713000,-713000,472870000,0.12221,0.00748,-0.00717,0.676400000000001,-0.00607,2.48423,-112.45391,0.77436,-0.56605,-0.56605,78.96969,-0.83685,4,-0.00723,121.01397
