"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.2647619047619,"Down",24564000,-35870000,-11170000,-24700000,-11306000,579000,590000,590000,-11000,-10727000,-12305000,-12323000,-12323000,-12323000,-12323000,333819786.754628,190997554.045694,142822232.708934,9110958.00499813,9110958.00499813,51354571.4974879,8632831.44744188,394285316.257114,20160280.2217997,95410043.8356296,489695360.092743,31499359.9112719,35501896.1472059,-3626662.32194485,90359104.7267694,88445912.6399407,1913192.05246441,121858464.638041,180848417.415128,179294635.817235,1553781.59789378,180848417.415191,302706882.053233,487525204.280956,-300851967.316324,315241.074878816,186988478.039511,186988478.039511,489695360.092743,-12323000,1161000,6907000,-11346000,-15601000,-1097000,-6365000,-7462000,542000,542000,542000,-22521000,-22521000,-22521000,-10145000,0,-0.46027,-0.50167,-0.0400058373173451,-0.012592377897872,3.38372164369169,1.61314105506063,4.48993989738313e-14,-0.29313,-0.29313,0.5843,4.47967970024116,-0.0145131480992296,-20.7213786468018,-11.1487751607482
"2","2010_Q3",14.56609375,"Down",26617000,-38243000,-10107000,-28136000,-11626000,684000,641000,641000,43000,-10942000,-14861000,-14632000,-14632000,-14632000,-14632000,259194000,66182000,193012000,6358000,6358000,7958000,6021000,273510000,18554000,166670000,440180000,18095000,10398000,7425000,83938000,83100000,838000,102033000,172669000,169958000,2711000,172669000,274702000,490979000,-326787000,1286000,165478000,165478000,440180000,-14632000,1223000,8896000,-19801000,-24314000,-1430000,-25533000,-26963000,2541000,2541000,2541000,-48736000,-48736000,-48765000,-10403000,0,-0.43679,-0.54972,-0.08842,-0.03324,2.6806,1.66005,0,-0.34805,-0.34805,0.63314,3.9362,-0.04327,24.91531,22.29434
"3","2010_Q4",11.324375,"Down",27668000,-36396000,-8928000,-27468000,-8728000,622000,602000,602000,20000,-8106000,-9332000,-9630000,-9630000,-9630000,-9630000,231367000,46881000,184486000,4881000,4881000,8375000,6432000,244623000,18399000,167983000,412606000,17678000,6561000,10880000,81755000,81270000,485000,99433000,152530000,149666000,2864000,152530000,251963000,495772000,-336417000,1288000,160643000,160643000,412606000,-9630000,1266000,6095000,-21769000,-24038000,-1067000,5751000,4684000,53000,53000,53000,-19301000,-19301000,-19301000,-7462000,0,-0.31545,-0.34806,-0.05995,-0.02334,2.46018,1.56847,0,-0.22907,-0.22907,0.65814,3.82119,-0.03075,31.00603,26.50859
"4","2011_Q1",10.2348387096774,"Down",21192000,-33602000,-7522000,-26080000,-12410000,2402000,472000,472000,1930000,-10008000,-6503000,-6930000,-6930000,-6930000,-6930000,233131000,74599000,158532000,3450000,3450000,17558000,6889000,254139000,18289000,139126000,393265000,20428000,9312000,11116000,81618000,81134000,484000,102046000,132986000,129974000,3012000,132986000,235032000,500866000,-343347000,714000,158233000,158233000,393265000,-6930000,1291000,11895000,-26644000,-20388000,-1138000,48717000,47579000,527000,527000,527000,27718000,27718000,27718000,-11119000,-6.7762635780344e-21,-0.5856,-0.32701,-0.0438,-0.01762,2.49044,1.48535,0,-0.16484,-0.16484,0.50409,3.76387,-0.0238,20.9669,18.78574
"5","2011_Q2",9.65396825396825,"Down",20897000,-36573000,-10224000,-26349000,-15676000,463000,382000,382000,81000,-15213000,-16285000,-16285000,-16285000,-16285000,-16285000,244640000,90590000,154050000,1150000,1150000,4919000,4919000,250709000,17021000,118343000,369052000,17850000,5800000,12050000,81494000,81010000,484000,99344000,124141000,120200000,3941000,124141000,223485000,505217000,-359632000,-18000,145567000,145567000,369052000,-16285000,1339000,5332000,3309000,-6305000,-28000,22315000,22287000,9000,9000,9000,15991000,15991000,15991000,-14337000,0,-0.75016,-0.7793,-0.11187,-0.04413,2.52365,1.53527,1.26217744835362e-29,-0.38458,-0.38458,0.49349,3.43764,-0.06038,17.06354,15.60602
"6","2011_Q3",7.8675,"Down",20614000,-33732000,-8429000,-25303000,-13118000,306000,322000,322000,-16000,-12812000,-13824000,-13824000,-13824000,-13824000,-13824000,217949000,67110000,150839000,1308000,1308000,5077000,5077000,224334000,16252000,116494000,340828000,19329000,7949000,11380000,81205000,80721000,484000,100534000,103743000,100122000,3621000,103743000,204277000,510253000,-373456000,-246000,136551000,136551000,340828000,-13824000,1287000,5362000,-19404000,-26579000,-474000,3111000,2637000,462000,462000,462000,-23480000,-23480000,-23480000,-11831000,0,-0.63636,-0.67061,-0.10124,-0.04056,2.23142,1.49598,0,-0.3262,-0.3262,0.48642,3.22214,-0.05753,18.42186,16.6145
"7","2011_Q4",7.32920634920635,"Down",20791000,-33229000,-8955000,-24274000,-12438000,-332000,265000,265000,-597000,-12770000,-13237000,-13237000,-13237000,-13237000,-13237000,173021000,74336000,98685000,2027000,2027000,4909000,4909000,179957000,15309000,130266000,310223000,17716000,5486000,12230000,76211000,75727000,484000,93927000,88423000,84810000,3613000,88423000,182350000,514717000,-386693000,-151000,127873000,127873000,310223000,-13237000,1262000,5439000,-22489000,-29025000,-265000,36516000,36251000,0,0,0,7226000,7226000,7226000,-11176000,0,-0.59824,-0.63667,-0.10352,-0.04267,1.91592,1.42602,-2.01948391736579e-28,-0.31033,-0.31033,0.48743,2.99791,-0.0612,15.48148,13.91068
"8","2012_Q1",11.5033870967742,"Up",20455000,-34041000,-10672000,-23369000,-13586000,237000,236000,236000,1000,-13349000,-14303000,-14303000,-14303000,-14303000,-14303000,146402000,70228000,76174000,1468000,1468000,4158000,4158000,152028000,14643000,129889000,281917000,18140000,5800000,12340000,62850000,62366000,484000,80990000,82930000,78487000,4443000,82930000,163920000,519158000,-400996000,-165000,117997000,117997000,281917000,-14303000,1237000,5251000,-17344000,-25159000,-524000,21308000,20784000,267000.000000004,267000.000000004,266999.999999996,-4108000,-4108000,-4108000,-12349000,-8.67361737988404e-19,-0.66419,-0.69924,-0.12121,-0.05073,1.87712,1.38919,0,-0.33844,-0.33844,0.484,2.79204,-0.07119,11.85537,10.77595
"9","2012_Q2",10.7761904761905,"Down",20587000,-31480000,-10406000,-21074000,-10893000,414000,223000,223000,191000,-10479000,-11368000,-11368000,-11368000,-11368000,-11368000,199095000,61739000,137356000,2192000,2192000,7252000,7252000,208539000,13703000,131756000,340295000,17345000,4339000,13006000,49293000,48410000,883000,66638000,76279000,72374000,3905000,76279000,142917000,609779000,-412364000,-37000,197378000,197378000,340295000,-11368000,2121000,3966000,-24934000,-30215000,-263000,-65168000,-65593000,87647000,87647000,87319000,-8489000,-8489000,-8489000,-8772000,0,-0.52912,-0.55219,-0.0576,-0.03341,3.12943,0.72408,0,-0.24601,-0.24601,0.44551,4.27133,-0.04154,22.69665,18.27733
"10","2012_Q3",17.7830158730159,"Up",20884000,-32951000,-11228000,-21723000,-12067000,250000,271000,271000,-21000,-11817000,-12956000,-12956000,-12956000,-12956000,-12956000,229024000,48274000,180750000,4385000,4385000,6933000,6933000,240342000,14206000,78135000,318477000,19747000,5519000,14228000,37317000,35345000,1972000,57064000,73126000,68108000,5018000,73126000,130190000,613669000,-425320000,-62000,188287000,188287000,318477000,-12956000,2605000,4347000,-15690000,-21694000,-1670000,9271000,7601000,627999.999999985,627999.999999985,628000.000000015,-13465000,-13465000,-13465000,-9462000,1.38777878078145e-17,-0.57781,-0.62038,-0.06881,-0.04068,4.2118,0.69144,0,-0.25265,-0.25265,0.40725,3.67174,-0.04956,24.20461,18.97937
