"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",10.8378125,"Up",46920000,-32428000,14492000,-6381000,-6381000,8111000,123000,8234000,6922000,-1902000,5020000,5020000,5020000,5020000,244206800.430017,25079865.3640147,219126935.066002,38889282.336076,38889282.336076,15937570.6902975,-3556839.53549633,-3556839.53549613,295476813.920894,41912442.8081287,16202617.3334949,4915312.5833207,11287304.7501743,58115060.1416236,353591874.062518,32499656.4635715,23270246.2814021,-1455381.35602283,10684791.5381923,32499557.1964916,5755608.89205722,2131396.82062738,3624212.07142985,5649159.69295122,38148716.8894428,153139377.057475,-1707.54988865985,161223912.200567,1081575.46492184,315443157.173075,315443157.173075,353591874.062518,5020000,1723000,981000,6976000,14700000,-732000,11779000,11047000,-2064000,427000,-1674000,24073000,24073000,23821000,9834000,0,17980000,0.30887,0.17287,0.10699,0.0162793008258567,0.014417919008242,3.58167,7.57895445435798,0.118778153640731,-0.000289242370365702,0.24324,0.24283,2.27348,15.2974629877544,0.87121,0.10001,0.180060552479735,0.0942095270024174,0.41116,-17.9558285866306,-15.3569604222828
"2","2011_Q1",12.2198387096774,"Up",51201000,-34272000,16929000,-6536000,-6536000,10393000,228000,10621000,10621000,-2336000,8285000,8285000,8285000,8285000,250444000,112195000,138249000,29822000,29822000,12888000,3805000,3805000,296959000,41292000,15557000,6568000,8989000,56849000,353808000,25253000,9944000,5812000,9497000,25253000,3247000,1460000,1787000,3247000,28500000,156531000,-1000,166795000,1983000,325308000,325308000,353808000,8285000,1560000,2401000,-3588000,8658000,-220000,217000,-3000,-22722000,1698000,-20926000,-12271000,-12271000,-12102000,11953000,0,10481000,0.33064,0.20298,0.16181,0.02547,0.02342,1.26506,11.75936,0.08761,0,0.40059,0.39876,2.47563,15.72904,0.50677,1.09864,0.09437,0.0319,2.74255,-20.9524,-24.09737
"3","2011_Q2",11.7569841269841,"Down",51817000,-35848000,15969000,-7550000,-7550000,8419000,221000,8640000,8640000,-1398000,7242000,7242000,7242000,7242000,254492816.523328,147612878.211995,106879938.311333,27238155.8879746,27238155.8879746,13014393.1032342,5833613.17849878,5833613.17849871,300578978.693035,41190935.7306238,16087960.888835,7349645.80555977,8738315.08327523,57278896.6194588,357857875.312494,22619947.8454762,6576834.57286598,6809627.11867428,9233486.1539359,22619980.9345028,2684380.36931426,1335701.05979087,1348679.30952338,2719863.43568293,25339844.3701857,157711624.314175,-764.150037113383,172451695.933144,2355474.84502605,332518030.942308,332518030.942308,357857875.312494,7242000,1429000,571000,964000,10206000,-1503000,47014000,44411000,-2072000,109000,-1961000,52656000,52656000,52677000,9848000,0,10707000,0.30818,0.16248,0.13976,0.0265993997247144,0.024674860330586,1.47846,13.3564918485473,0.0763647821197564,9.64141234552341e-05,0.34947,0.34784,2.50046,16.0489115040819,0.51667,0.09999,0.0481081491734217,0.0107959909991942,0.28611,-24.3170154711231,-29.3125698592391
"4","2011_Q3",9.90734375,"Down",50449000,-35913000,14536000,-6902000,-6902000,7634000,1794000,9428000,9428000,-1758000,7670000,7670000,7670000,7670000,257670000,149772000,107898000,2.8e+07,2.8e+07,14808000,4819000,4819000,305297000,41105000,16977000,7576000,9401000,58082000,363379000,22676000,8602000,4618000,9456000,22676000,3008000,1460000,1548000,3008000,25684000,157748000,-1000,177562000,2386000,337695000,337695000,363379000,7670000,1427000,610000,-4987000,4720000,-1143000,-17303000,-18446000,-2073000,642000,-1381000,-15107000,-15107000,-15100000,9061000,3.63797880709171e-12,4689000,0.28813,0.15132,0.15203,0.02271,0.02111,0.61134,13.46344,0.07606,0,0.3698,0.36918,2.43233,16.28152,0.22607,0.0999500000000001,0.0286,0.01376,0.27027,-28.43726,-33.75295
"5","2011_Q4",10.4474603174603,"Up",47312000,-34316000,12996000,-6991000,-6991000,6005000,188000,6193000,6193000,-814000,5379000,5379000,5379000,5379000,262083000,137649000,124434000,27666000,27666000,16183000,3287000,3287000,309219000,40430000,17086000,7576000,9510000,57516000,366735000,22853000,10652000,2771000,9430000,22853000,2881000,1460000,1421000,2881000,25734000,157909000,-1000,180866000,2227000,341001000,341001000,366735000,5379000,1437000,440000,576000,7832000,-802000,-16939000,-17741000,-2075000,0,-2075000,-11984000,-11984000,-12123000,7442000,0,8030000,0.27469,0.12692,0.11369,0.01577,0.01467,1.49284,13.53078,0.07547,0,0.25918,0.25915,2.27966,16.43062,0.38691,0.09998,0.02168,0.02335,0.38576,-35.21674,-43.64413
"6","2012_Q1",11.7264516129032,"Up",43676000,-32435000,11241000,-6804000,-6804000,4437000,-1395000,3042000,3390000,-239000,3151000,3151000,3151000,3151000,268785000,129503000,139282000,23533000,23533000,15823000,3449000,3449000,311590000,38695000,15703000,7661000,8042000,54398000,365988000,21441000,8427000,4198000,8816000,21441000,1336000,1062000,274000,1336000,22777000,159194000,-1000,181941000,2077000,343211000,343211000,365988000,3151000,1598000,1894000,2033000,8676000,-546000,-15247000,-15793000,-2076000,1059000,-978000,-8095000,-8095000,-8146000,6035000,0,7761000,0.25737,0.10159,0.07214,0.00918,0.00861,2.46303,14.53244,0.06636,0,0.15174,0.15137,2.10325,16.52755,0.37374,0.09997,0.01517,0.02253,0.65884,-44.5377,-60.57809
"7","2012_Q2",10.3538095238095,"Down",46046000,-33070000,12976000,-7056000,-7056000,5920000,198000,6118000,6107000,-1174000,4933000,4933000,4933000,4933000,268444000,128588000,139856000,27511000,27511000,18404000,3544000,3544000,317903000,37956000,16008000,7661000,8347000,53964000,371867000,23944000,9255000,4701000,9988000,23944000,1336000,1062000,274000,1336000,25280000,159420000,-1000,184794000,2374000,346587000,346587000,371867000,4933000,1100000,5e+05,-4153000,2380000,-388000,-867000,-1255000,-2080000,32000,-2048000,-923000,-923000,-915000,7020000,0,3653000,0.28181,0.12857,0.10713,0.01423,0.01327,0.74052,13.27694,0.07294,0,0.23721,0.23661,2.21418,16.66604,0.17566,0.10002,0.02016,0.0105,0.42165,-38.23989,-45.34527
"8","2012_Q3",10.7239682539683,"Up",46430000,-33231000,13199000,-6591000,-6591000,6608000,179000,6787000,4262000,-1016000,3246000,3246000,3246000,3246000,268785000,129503000,139282000,23533000,23533000,15823000,3449000,3449000,311590000,38695000,15703000,7661000,8042000,54398000,365988000,21441000,8427000,4198000,8816000,21441000,1336000,1062000,274000,1336000,22777000,159194000,-1000,181941000,2077000,343211000,343211000,365988000,3246000,1070000,2745000,-3130000,3931000,-231000,-1835000,-2066000,-2079000,127000,-1952000,-87000,-87000,-225000.000000002,7678000,0,5333000,0.28428,0.14232,0.06991,0.00946,0.00887,1.64295,14.53244,0.06636,0,0.15606,0.15592,2.23221,16.50053,0.25639,0.09995,0.01546,0.01548,0.64048,-35.00716,-40.6757
"9","2012_Q4",9.77951612903226,"Down",41265000,-28725000,12540000,-6365000,-6365000,6175000,143000,6318000,5759000,-1049000,4710000,4710000,4710000,4710000,273510000,152943000,120567000,25057000,25057000,15899000,3706000,3706000,318172000,32995000,18251000,9776000,8475000,51246000,369418000,18676000,6331000,1448000,10897000,18676000,1285000,1011000,274000,1285000,19961000,159997000,-94000,188590000,964000,349457000,349457000,369418000,4710000,1034000,693000,510000,6947000,-571000,20275000,19704000,-2080000,-93000,-2173000,24478000,24478000,24580000,7209000,0,8197000,0.30389,0.14964,0.11414,0.01348,0.01275,1.74034,17.03641,0.05712,0,0.22643,0.22641,1.9838,16.80001,0.39407,0.1,0.01936,0.02337,0.44161,-37.94007,-44.29312
"10","2013_Q1",11.0771666666667,"Up",42675000,-30840000,11835000,-6583000,-6583000,5252000,113000,5365000,4757000,-685000,4072000,4072000,4072000,4072000,275216000,186117000,89099000,25878000,25878000,12918000,6662000,6662000,320674000,32187000,16797000,9854000,6943000,48984000,369658000,16678000,6485000,4177000,6016000,16678000,1058000,812000,246000,53058000,69736000,160873000,-94000,138514000,629000,299922000,299922000,369658000,4072000,1065000,1633000,-694000,6076000,-257000,31021000,28564000,-54149000,601000,-1601000,33039000,33039000,33174000,6317000,5.2e+07,6051000,0.27733,0.12307,0.09542,0.01358,0.01102,1.486,19.22737,0.23251,0.14067,0.1957,0.19557,2.05099,14.41448,0.29082,2.60244,0.16494,0.01714,13.29789,-35.33576,-42.50114
