"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",3.46375,"Up",139932000,-86044000,53888000,-36953000,-14375000,-7320000,-15258000,16935000,-6582000,-6394000,-188000,10353000,10353000,-419000,9934000,9934000,9934000,9934000,62637501.5463438,62637501.5463438,7858812.4327776,4318926.96478599,-8449700.71198642,7277486.20844888,66365540.231921,131305745.745794,131305745.745794,9496277.54441708,50206136.010692,31153312.9907701,30905818.1591066,140802023.290211,207167563.522132,8485790.57287723,8485790.57287723,83946229.3395839,83946229.3395839,99319554.5133901,268623965.382522,78678756.7323229,42688990.6690376,347302722.114844,446622276.628235,540304890.541799,-774559945.892342,-9695422.5156669,-239454713.106103,-239454713.106103,207167563.522132,9934000,7320000,-658000,4305000,20901000,-6892000,7055000,163000,-954000,3000,3000,0,-1152000,-2103000,18961000,18961000,18961000,24255000,0,22087000,0.3851,0.12102,0.07099,16.8407516173272,-0.441774195842203,2.22337,0.678840406351629,48.7581690639936,1.1106982813668,0.09976,0.09772,1.40522,-2.4714761229203,0.2218,-0.568361603716444,0.813020908050895,0.421735416976547,-5.93865694518114
"2","2011_Q1",3.9241935483871,"Up",135885000,-87384000,48501000,-34375000,-15059000,-7653000,-11663000,14126000,-11022000,-6486000,-4536000,3104000,3104000,-371000,2733000,2733000,2733000,2733000,29074000,29074000,17280000,4037000,12095000,10162000,62486000,129518000,129518000,119202000,52054000,31308000,35840000,248720000,311206000,25957000,25957000,57685000,57685000,90334000,253131000,71453000,58114000,324584000,414918000,549491000,-630114000,-19199000,-103712000,-103712000,311206000,2733000,7653000,2667000,-6391000,6662000,-14179000,9033000,-5146000,-4772000,-3202000,687999.999999999,-3890000,-5106000,-13080000,-11564000,-11564000,-11564000,21779000,259823000,1580000,0.35693,0.10396,0.02011,-0.02635,0.00878,0.57812,0.69172,-4.00067,0.83489,0.02742,0.02685,1.36335,-1.04055,0.01585,0.01201,0.00694,10.59502,16.33506
"3","2011_Q2",3.97650793650794,"Up",135805000,-88256000,47549000,-36584000,-14139000,-7188000,-15257000,10965000,-7171000,-5693000,-1478000,3794000,4323000,-199000,4124000,4124000,4124000,4124000,14991166.1512187,14991166.1512187,18719645.8557408,3813607.67840467,15073816.9039955,10730004.5971837,52598236.5893597,127884418.084735,127884418.084735,139289740.818528,51863037.996436,31320562.33641,37008810.6136311,267174158.903263,319772395.492623,28439903.1423743,28439903.1423743,50140923.553472,50140923.553472,85388398.4955366,242390094.872493,69176831.0892257,60021003.1103208,311566925.961718,396955324.457255,554159703.152734,-598586768.035886,-20963359.1614444,-77182928.9646325,-77182928.9646325,319772395.492623,4124000,7188000,2609000,672000,14593000,-5770000,2688000,-3082000,-11038000,-3475000,4104000,-7579000,-6901000,-21414000,-9903000,-9903000,-9903000,18153000,0,13254000,0.35013,0.08074,0.03037,-3.30601303910906,0.105354731947401,3.21387,0.610731531216124,-13.2602780213312,0.788234739544401,0.04166,0.04069,1.37204,-0.765994625693234,0.13391,0.137062201238815,-0.131885302683632,12.9285806943412,21.3103323150604
"4","2011_Q3",3.74453125,"Down",135853000,-85910000,49943000,-36655000,-14092000,-7234000,-15329000,13288000,-5169000,-4901000,-268000,8119000,8538000,-408000,8130000,8130000,8130000,8130000,12937000,12937000,15920000,3644000,10794000,10123000,43295000,125399000,125399000,117968000,50747000,31218000,36003000,243367000,286662000,23327000,23327000,52941000,52941000,83237000,233930000,69018000,55645000,302948000,386185000,556001000,-617860000,-19199000,-99523000,-99523000,286662000,8130000,7234000,1556000,-6578000,10342000,-3084000,1655000,-1429000,-11046000,-6184000,517000,-6701000,2083000,-15147000,-6234000,-6234000,-6234000,20522000,240899000,11268000,0.36763,0.09781,0.05984,-0.081690000000001,0.02836,1.38598,0.52014,-3.88036,0.84036,0.08261,0.08082,1.38034,-1.01121,0.11449,0.03864,0.05356,11.10818,17.15548
"5","2011_Q4",3.53920634920635,"Down",136682000,-84783000,51899000,-36141000,-13335000,-6955000,-15851000,15758000,-5576000,-4796000,-780000,10182000,8391000,-406000,7985000,7985000,7985000,7985000,14947000,14947000,13523000,3520000,12359000,9979000,44349000,120652000,120652000,115635000,50092000,31023000,34520000,236287000,280636000,20280000,20280000,57040000,57040000,84457000,224292000,67366000,53970000,291658000,376115000,556878000,-609875000,-19199000,-95479000,-95479000,280636000,7985000,6955000,3643000,3089000,21672000,-4073000,1399000,-2674000,-11128000,-4718000,172000,-4890000,-1142000,-16988000,2010000,2010000,2010000,22713000,231429000,22135000,0.37971,0.11529,0.05842,-0.08363,0.02845,2.77207,0.52511,-3.93924,0.82466,0.08232,0.08094,1.40915,-0.98436,0.22821,0.03927,0.10887,9.53119,13.73791
"6","2012_Q1",4.18822580645161,"Up",130194000,-82161000,48033000,-37070000,-13786000,-6602000,-16682000,10963000,-4731000,-4650000,-81000,6232000,7075000,84973000,92048000,92048000,92048000,92048000,13740000,13740000,14971000,3438000,29144000,11274000,61293000,112772000,112772000,176436000,50921000,30764000,34115000,289208000,350501000,25935000,25935000,54289000,54289000,87195000,211334000,61648000,61648000,272982000,360177000,558423000,-517827000,-24813000,-9676000.00000001,-9676000.00000001,350501000,92048000,6602000,-82856000,-2892000,12902000,-3162000,2650000,-512000,-13041000,-2342000,57000.0000000001,-2399000,1786000,-13597000,-1207000,-1207000,-1207000,17565000,218305000,-73462000,0.36893,0.08421,0.70701,-9.51302,0.26262,-0.79808,0.70294,-37.22375,0.62284,0.95696,0.94173,1.35354,-0.10059,-0.76373,0.34057,-0.2718,11.64617,18.65958
"7","2012_Q2",4.13190476190476,"Down",126738000,-78372000,48366000,-34453000,-15663000,-6060000,-12730000,13913000,-4161000,-4456000,295000,9752000,9752000,-3887000,5865000,5865000,5865000,5865000,13540000,13540000,12377000,3339000,29576000,8237000,58832000,106833000,106833000,170577000,50364000,30573000,34270000,277410000,336242000,17903000,17903000,50177000,50177000,75101000,203358000,60428000,60428000,263786000,338887000,559321000,-511962000,-24545000,-2645000,-2645000,336242000,5865000,6060000,4357000,-7796000,8486000,-1836000,4312000,2476000,-9137000,334000,334000,0,-2359000,-11162000,-2e+05,-2e+05,-2e+05,19973000,210379000,14228000,0.38162,0.10978,0.04628,-2.21739,0.01744,2.42592,0.78337,-128.12363,0.62568,0.06105,0.05992,1.31916,-0.02753,0.14809,0.02187,0.05306,9.85525,14.14785
"8","2012_Q3",4.7368253968254,"Up",124731000,-76927000,47804000,-28805000,-14785000,-5827000,-8193000,18999000,-11191000,-2993000,-8198000,7808000,7808000,-3207000,4601000,4601000,4601000,4601000,20997000,20997000,13781000,2967000,26334000,5524000,64079000,102626000,102626000,162175000,49804000,30476000,32758000,264801000,328880000,17035000,17035000,50971000,50971000,84428000,187996000,59228000,59228000,247224000,331652000,560190000,-507361000,-24277000,-2772000,-2772000,328880000,4601000,5827000,8317000,-1003000,17742000,-2443000,8983000,6540000,-8270000,-5155000,315000,-5470000,-3400000,-16825000,7457000,7457000,7457000,24826000,204418000,24587000,0.38326,0.15232,0.0368899999999999,-1.65981,0.01399,5.34384,0.75898,-119.64358,0.62156,0.04811,0.0472299999999999,1.30421,-0.02898,0.25709,0.01764,0.09425,7.38826,9.65424
"9","2012_Q4",4.75741935483871,"Up",120945000,-73716000,47229000,-35539000,-14702000,-5287000,-15550000,11690000,-3126000,-3088000,-38000,8564000,8564000,-3201000,5363000,5363000,5363000,5363000,24148000,24148000,13614000,2846000,27625000,7337000,68233000,103235000,103235000,154386000,49208000,30402000,26833000,257621000,325854000,17604000,17604000,53673000,53673000,85322000,182489000,57480000,57480000,239969000,325291000,562702000,-501998000,-24009000,563000,563000,325854000,5363000,5287000,7332000,-187000,17795000,-3567000,863000,-2704000,-8183000,-3498000,1474000,-4972000,-259000,-11940000,3151000,3151000,3151000,16977000,196534000,16424000,0.3905,0.09666,0.04434,9.52575,0.01646,3.06247,0.79971,577.78153,0.60314,0.05663,0.0557,1.27708,0.00594,0.17342,0.02107,0.06451,10.15409,14.74645
"10","2013_Q1",5.45933333333333,"Up",115949000,-70841000,45108000,-33321000,-15157000,-5130000,-13034000,11787000,-2817000,-2832000,15000,8970000,8970000,-2490000,6480000,6480000,6480000,6480000,13565000,13565000,19947000,2890000,28208000,8401000,64610000,107004000,107004000,153271000,48920000,31430000,27145000,260275000,324885000,24461000,24461000,54682000,54682000,91824000,177453000,60068000,60068000,237521000,329345000,563695000,-495518000,-24999000,-4460000,-4460000,324885000,6480000,5130000,3997000,-426000,15181000,-6318000,-3495000,-9813000,-7151000,-11119000,56999.9999999998,-11176000,2319000,-15951000,-10583000,-10583000,-10583000,16917000,190134000,12663000,0.38903,0.10166,0.05589,-1.45291,0.01995,1.95417,0.70363,-73.84417,0.58523,0.06939,0.0679,1.24169,-0.04776,0.13561,0.02637,0.05153,10.43737,14.97998
