"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q2",49.38546875,"Up",-54875000,-10837000,-44038000,-23594000,396000,396000,-23198000,-23198000,-23198000,-23198000,-23198000,-23198000,312894000,39035000,273859000,16004000,9190000,329469000,22950000,42860000,838000,838000,66648000,396117000,25993000,13746000,12247000,19062000,45055000,18689000,16740000,18689000,63744000,640162000,-307878000,89000,332373000,332373000,396117000,-23198000,-23198000,1246000,9233000,-6290000,-19009000,-2533000,-12295000,-14828000,1108000,1108000,1108000,-32729000,-32729000,-32729000,-22348000,0,-0.0698,-0.05856,7.3126,0.19178,0,-0.61267,-0.61267,8.77805,-0.06608,14.00098,13.26159
"12","2016_Q3",43.54875,"Down",-63448000,-12644000,-50804000,-56470000,517000,517000,-55953000,-55953000,-55953000,-55953000,-55953000,-55953000,465369000,234048000,231321000,16776000,8923000,484159000,25134000,46926000,1382000,1382000,73442000,557601000,32862000,18448000,14414000,34402000,67264000,201259000,17719000,201259000,268523000,652612000,-363831000,297000,289078000,289078000,557601000,-55953000,-55953000,1304000,11200000,201273000,157824000,-2734000,38474000,35740000,1448999.99999999,1448999.99999999,1449000,195013000,195013000,195013000,-55166000,0,-0.19356,-0.10035,7.19789,0.92889,0,-1.47414,-1.47414,7.61606,-0.11411,8.43579,8.241
"13","2016_Q4",52.4720634920635,"Up",-72497000,-11854000,-60643000,-63512000,678000,678000,-62834000,-62834000,-62834000,-62834000,-62834000,-62834000,579097000,285502000,293595000,18459000,10277000,600943000,26261000,43499000,1339000,1339000,71099000,672042000,38232000,15424000,22808000,39771000,78003000,192590000,18649000,192590000,270593000,828085000,-426665000,29000,401449000,401449000,672042000,-62834000,-62834000,1436000,12347000,21000,-49030000,-3426000,-59318000,-62744000,163352000,163352000,163228000,51454000,51454000,51454000,-62076000,0,-0.15652,-0.0935,7.7041,0.67404,0,-1.63001,-1.63001,10.41422,-0.10577,9.32884,9.11791
"14","2017_Q1",47.9351612903226,"Down",-80057000,-15379000,-64678000,-57409000,923000,923000,-56486000,-56486000,-56486000,-56486000,-56486000,-56486000,541314000,160754000,380560000,15150000,10264000,559892000,25337000,32250000,1615000,1615000,59202000,619094000,49108000,17106000,32002000,39325000,88433000,172070000,17773000,172070000,260503000,842055000,-483151000,-313000,358591000,358591000,619094000,-56486000,-56486000,1722000,10079000,-6538000,-51223000,-1222000,-76296000,-77518000,4099000,4099000,3993000.00000003,-124748000,-124748000,-124748000,-55687000,0,-0.15752,-0.09124,6.33126,0.72646,0,-1.34053,-1.34053,8.51013,-0.10644,9.72065,9.42908
"15","2017_Q2",51.1234920634921,"Up",-77555000,-14823000,-62732000,-67047000,881000,881000,-66166000,-66166000,-66166000,-66166000,-66166000,-66166000,479758000,200278000,279480000,23656000,12391000,506866000,24139000,23423000,2888000,2888000,50450000,557316000,41266000,16152000,25114000,41163000,82429000,167507000,16911000,167507000,249936000,857149000,-549557000,-212000,307380000,307380000,557316000,-66166000,-66166000,1591000,10937000,-20436000,-74074000,-293000,109845000,109552000,4146000,4146000,4046000,39524000,39524000,39524000,-65456000,0,-0.21526,-0.11872,6.14912,0.81312,0,-1.56493,-1.56493,7.27001,-0.13933,7.32947,7.15555
"16","2017_Q3",60.0652380952381,"Up",-95946000,-16130000,-79816000,-84600000,1518000,1518000,-83082000,-83082000,-83082000,-83082000,-83082000,-83082000,586042000,138717000,447325000,17860000,13018000,604681000,24771000,129899000,1249000,1249000,155919000,760600000,53050000,23409000,29641000,40598000,93648000,157960000,16003000,157960000,251608000,1142281000,-632639000,-650000,508992000,508992000,760600000,-83082000,-83082000,1573000,12118000,10402000,-58989000,-1035000,-274690000,-275725000,272949000,272949000,273153000,-61561000,-61561000,-61561000,-83027000,0,-0.16323,-0.10923,6.45696,0.49433,0,-1.77732,-1.77732,10.88852,-0.12457,7.05845,6.92721
"17","2017_Q4",62.9219047619048,"Up",-90375000,-17458000,-72917000,-79017000,1880000,1880000,-77137000,-77137000,-77137000,-77137000,-77137000,-77137000,507928000,132741000,375187000,19520000,15316000,528307000,24019000,133804000,1070000,1070000,158893000,687200000,48659000,17899000,30760000,39453000,88112000,149282000,15080000,149282000,237394000,1160097000,-709776000,-515000,449806000,449806000,687200000,-77137000,-77137000,1614000,12138000,-14330000,-77715000,-2019000,68436000,66417000,5515000,5515000,5322000,-5976000,-5976000,-5976000,-77403000,0,-0.17149,-0.11225,5.99586,0.52777,0,-1.59179,-1.59179,9.28212,-0.12876,6.56212,6.42809
"18","2018_Q1",77.2929508196721,"Up",-99929000,-22713000,-77216000,-90130000,1845000,1845000,-88285000,-88285000,-88285000,-88285000,-88285000,-88285000,423936000,102724000,321212000,21325000,17655000,445261000,24431000,143814000,891000,891000,169136000,614397000,56798000,22767000,34031000,38143000,94941000,143953000,18155000,143953000,238894000,1174953000,-798061000,-1389000,375503000,375503000,614397000,-88285000,-88285000,1654000,12645000,-468000,-74454000,-1280000,43128000,41848000,1862000,1862000,2589000,-30017000,-30017000,-30017000,-88476000,0,-0.23511,-0.14369,4.68987,0.6362,0,-1.80672,-1.80672,7.68453,-0.16996,4.79154,4.70361
"19","2018_Q2",87.204375,"Up",-102774000,-24550000,-78224000,-94012000,3187000,3187000,-90825000,-90825000,-90825000,-90825000,-90825000,-90825000,782450000,364469000,417981000,20543000,15614000,802993000,23732000,212297000,1104000,1104000,237133000,1040126000,34937000,17932000,17005000,39762000,74699000,99833000,18002000,99833000,174532000,1717667000,-849430000,-2643000,865594000,865594000,1040126000,-90825000,-90825000,1725000,14116000,-24016000,-9.9e+07,-1432000,-166100000,-167532000,528465000,528465000,528277000,261745000,261745000,261745000,-92287000,0,-0.10493,-0.08732,10.74972,0.20163,0,-1.63077,-1.63077,15.54179,-0.09408,8.47844,8.32287
"20","2018_Q3",80.4452380952381,"Down",-113363000,-26633000,-86730000,-72949000,4204000,4204000,-68745000,-68745000,-68745000,-68745000,-68745000,-68745000,716905000,210323000,506582000,36877000,15538000,753782000,24134000,219724000,595000,595000,244453000,998235000,43113000,17320000,25793000,41757000,84870000,90223000,17815000,90223000,175093000,1743715000,-918175000,-2398000,823142000,823142000,998235000,-68745000,-68745000,1739000,15550000,-15939000,-67395000,-1361000,-94898000,-96259000,9710999.99999988,9711000,9508000,-154146000,-154146000,-154146000,-71210000,0,-0.08352,-0.06887,8.88161,0.21271,0,-1.19097,-1.19097,14.26051,-0.07527,10.06748,9.82748
