"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"19","2020_Q2",55.0692063492063,"Up",211136000,-31425000,-2114000,-3672000,-25639000,42590000,1161000,1161000,43751000,43751000,2349000,46100000,46100000,46100000,46100000,545652000,422164000,51565000,51565000,53933000,36751000,651150000,42876000,1004657000,192302000,1047533000,1698683000,264291000,37233000,227058000,222402000,28570000,193832000,486693000,2350000,2350000,2350000,489043000,848826000,400995000,-40181000,1209640000,1209640000,1698683000,46100000,3672000,27497000,-192509000,-115240000,-3494000,-3494000,-3494000,9229000,-26247000,-17531000,145282000,39271000,39271000,2520000,41791000,46262000,0,-152090000,0.20172,0.21834,0.03811,0.02714,-3.29913,1.33791,0.40429,0,0.72388,0.69013,3.31535,18.99428,-2.38818,0.41214,0.05969,-0.12549,0.56935,-11.79482,-12.81174
"20","2020_Q3",54.4590625,"Down",275736000,-31612000,-964000,-3670000,-26978000,66875000,196000,196000,67071000,67071000,-18281000,48790000,48790000,48790000,48790000,600252000,421967000,73916000,73916000,62665000,40945000,736833000,43642000,1055068000,193410000,1098710000,1835543000,335496000,42006000,293490000,245419000,29660000,215759000,580915000,4016000,4016000,4016000,584931000,880440000,427621000,-34738000,1250612000,1250612000,1835543000,48790000,3670000,26173000,35277000,113910000,-3052000,-3052000,-3052000,-70408000,-22166000,73000,-45492000,-1990000,-1990000,1793000,-197000,70545000,0,121051000,0.24253,0.17694,0.03901,0.02658,2.48106,1.2684,0.46772,0,0.73034,0.7007,4.12749,18.72039,1.81201,0.3318,0.05656,0.0964800000000001,0.45431,-8.50878,-8.97573
"21","2020_Q4",61.9340625,"Up",537876000,-39717000,-1338000,-3949000,-34430000,158416000,187000,187000,158603000,158603000,-40088000,118515000,118515000,118515000,118515000,868235000,633659000,78969000,78969000,63011000,53447000,1010215000,46167000,1063417000,196979000,1109584000,2119799000,512331000,55035000,457296000,253167000,37008000,216159000,765498000,35000,35000,35000,765533000,851513000,523454000,-20701000,1354266000,1354266000,2119799000,118515000,3949000,12371000,173679000,308514000,-4456000,-4456000,-4456000,-60888000,-21889000,-19000,-42609000,205017000,205017000,6675000,211692000,162365000,0,371676000,0.29452,0.22034,0.08751,0.05591,3.13611,1.31968,0.56528,0,1.78078,1.70868,8.082,20.34889,5.58472,0.3289,0.10367,0.27444,0.18469,-5.34743,-5.48073
"22","2021_Q1",64.8062295081967,"Up",500704000,-43346000,-2111000,-3937000,-37298000,140276000,-473000,-473000,139803000,139803000,-40437000,99366000,99366000,99366000,99366000,1055469000,846851000,108409000,108409000,146820000,118488000,1310698000,46370000,1068999000,202778000,1115369000,2426067000,785024000,67468000,717556000,257430000,27868000,229562000,1042454000,51999.9999999995,52000.0000000005,51999.9999999995,1042506000,803641000,600096000,-20176000,1383561000,1383561000,2426067000,99366000,3937000,5568000,163782000,272653000,-3146000,-3146000,-3146000,22319000,-21704000,-1.86264514923096e-09,-84004000,210968000,210968000,2224000,213192000,144213000,0,345286000,0.28016,0.19845,0.07182,0.04096,3.47489,1.25732,0.75349,0,1.51287,1.44856,7.62333,21.06501,5.25705,0.33045,0.0875,0.24955,0.21842,-7.31882,-7.52423
"23","2021_Q2",69.8998412698413,"Up",372722000,-32742000,-1687000,-4171000,-26884000,107676000,101000,101000,107777000,107777000,-21817000,85960000,85960000,85960000,85960000,830050000,782194000,90795000,90795000,121455000,88128000,1042300000,45073000,1061706000,195663000,1106779000,2149079000,520680000,70259000,450421000,243780000,29845000,213935000,764460000,21000,21000,21000,764481000,745774000,657375000,-18551000,1384598000,1384598000,2149079000,85960000,4171000,35869000,-216093000,-90093000,-1403000,-1403000,-1403000,158972000,-31205000,-34946000,-133718000,-64839000,-64839000,182000,-64657000,111847000,0,-83832000,0.28889,0.23063,0.06208,0.04,-0.97524,1.36345,0.55213,0,1.30876,1.25313,5.67477,21.0808,-1.27636,0.4751,0.08462,-0.06055,0.36302,-7.4213,-7.70877
"24","2021_Q3",85.05359375,"Up",537272000,-46579000,-4687000,-4344000,-37548000,157319000,-853000,-853000,156466000,156466000,-43583000,112883000,112883000,112883000,112883000,963434000,923009000,127274000,127274000,152506000,116105000,1243214000,43295000,1070320000,186356000,1113615000,2356829000,663222000,60273000,602949000,255825000,26923000,228902000,919047000,45000,45000,45000,919092000,720647000,741678000,-24588000,1437737000,1437737000,2356829000,112883000,4344000,26394000,66590000,210211000,-1097000,-58123.3621786532,-58123.3621786532,5842000,-28299000,1000,-73784000,142269000,142269000,-1454000,140815000,161663000,0,270739000,0.29281,0.2101,0.07851,0.0479,2.3984,1.35272,0.63926,0,1.73248,1.64634,8.24581,22.06574,4.15518,0.43432,0.09819,0.1883,0.25069,-5.95952,-6.12408
"25","2021_Q4",104.0875,"Up",888798000,-90162000,-11090000,-20074000,-58998000,249260000,-253000,-253000,249007000,249007000,-74699000,174308000,174308000,173735000,173735000,1098432000,1058603000,195912000,195912000,126452000,86877000,1420796000,51750000,1573216000,226789000,1624966000,3045762000,1167594000,123395000,1044199000,347593000,27319000,320274000,1515187000,1159000,1159000,1159000,1516346000,668833000,886995000,-26412000,1529416000,1529416000,3045762000,174308000,20074000,28123000,329512000,552017000,-5054000,355968.850428462,355968.850428462,-311166000,-27855000,-4195000,-102474000,138377000,138377000,-2783000,135594000,269334000,0,668491000,0.28045,0.19547,0.1136,0.05704,3.84776,0.9377,0.99145,0,2.66641,2.53383,13.64087,23.47279,10.2597,0.42751,0.13171,0.43676,0.16033,-4.07833,-4.40677
"26","2022_Q1",100.792580645161,"Down",471166000,-78977000,-5001000,-19948000,-54028000,98609000,-7921000,-7921000,90688000,90688000,-25515000,65173000,65173000,65173000,65173000,942840000,833697000,144029000,144029000,105124000,105124000,1191993000,52176000,1642641000,229588000,1694817000,2886810000,1141599000,126190000,954143000,28753000,28753000,367880592.546312,1170352000,272753000,789000,272753000,1443105000,564829000,922223000,-43347000,1443705000,1443705000,2886810000,65173000,19948000,-23021000,2369000.00000006,64469000.0000001,-1126000,-879923.362178653,-879923.362178653,-127562000,-27447000,-41000.0000000037,-149084000,-212177000,-212177000,-12729000,-224906000,118557000,0,145315000,0.20929,0.13832,0.04514,0.02258,2.22968,1.01849,0.99958,0,1.00312,0.95478,7.25202,22.221,2.23664,0.42245,0.05396,0.08466,0.42114,-7.95263,-9.5614
"27","2022_Q2",82.2566129032258,"Down",418644000,-75339000,-11050000,-19143000,-45146000,77570000,-1749000,-1749000,75821000,75821000,-5039000,70782000,70782000,70782000,70782000,524536000,488949000,132039000,132039000,210932000,108977000,867507000,52955000,1515402000,222050000,1568357000,2435864000,741062000,98644000,642418000,276556000,35803000,240753000,1017618000,683000,683000,683000,1018301000,527735000,955484000,-65656000,1417563000,1417563000,2435864000,70782000,19143000,43299000,-411244000,-278020000,-4485000,-4485000,-4485000,68202000,-40490000,-42455000,-123671000,-333489000,-333489000,-11259000,-344748000,96713000,0,-313977000,0.18529,0.16907,0.04993,0.02906,-4.43583,0.85249,0.71835,0,1.11859,1.02839,6.61599,22.40229,-4.9619,0.63988,0.07846,-0.22138,0.57204,-5.42363,-6.7621
"28","2022_Q3",80.22796875,"Down",489537000,-90307000,-12370000,-19475000,-58462000,89371000,-5104000,-5104000,84267000,84267000,-23537000,60730000,60730000,60730000,60730000,539548000,503806000,135191000,135191000,156308000,156308000,831047000,62206000,1616946000,238962000,1679152000,2510199000,788125000,98182000,686074000,35482000,35482000,-183978777.638937,823607000,239924000,538000,239924000,1063531000,559674000,981204000,-94210000,1446668000,1446668000,2510199000,60730000,19475000,50285000,-45387000,85103000,-13311000,-11178461.0630356,-11178461.0630356,-14737000,-33322000,-1244000,-45266000,25100000,25100000,-10243000,14857000,108846000,0,73685000,0.18256,0.12406,0.04198,0.02419,1.21332,1.00903,0.73516,0,0.95754,0.87006,7.71864,22.80994,1.16181,0.5254,0.05576,0.0436899999999999,0.54869,-4.95699,-6.03717
