"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",42.0404838709677,"Up",4.332e+09,-1.803e+09,2.529e+09,-1.502e+09,-1.501e+09,1.027e+09,-4e+06,-4e+06,1.023e+09,1.023e+09,-3.26e+08,6.97e+08,6.97e+08,-4.3e+07,6.54e+08,6.54e+08,9.09e+08,9.09e+08,1.857e+09,1.857e+09,1.384e+09,6.11e+08,4.761e+09,3.685e+09,4.978e+09,2.634e+09,1.322e+09,8.2e+07,9.4e+08,8.663e+09,1.3424e+10,1.469e+09,1.181e+09,2.88e+08,3.03e+08,5.3e+07,2.5e+08,3.7e+09,4.943e+09,2.084e+09,3.27e+08,1.757e+09,7.027e+09,1.0727e+10,2.177e+09,7.33e+08,1.444e+09,-1.383e+10,1.6654e+10,-2.494e+09,2.507e+09,1.9e+08,2.697e+09,1.3424e+10,6.97e+08,1.06e+08,9.8e+07,5e+07,5.7e+07,-9e+06,3.9e+07,-4.7e+07,-2e+06,8.8e+07,9.4e+08,-1.28e+08,-1.28e+08,-2.33e+08,4.9e+07,-2.82e+08,5.8e+07,-3.03e+08,-3.58e+08,-1.19e+08,-1.19e+08,-4.5e+08,-4.5e+08,1.99e+08,-7.28e+08,-9.1e+07,-9.1e+07,5e+06,-8.6e+07,1.133e+09,5.246e+09,1.37e+09,0.5838,0.23707,0.15097,0.24249,0.04872,2.0948,1.28676,3.97738,0.39079,0.68871,0.68246,4.56192,2.64006,1.44271,0.377,6,0.10093,0.13663,0.5474,3.82789,4.22298
"12","2013_Q1",44.1275,"Up",4.286e+09,-1.781e+09,2.505e+09,-1.563e+09,-1.487e+09,9.42e+08,5e+06,5e+06,9.47e+08,9.47e+08,-3.11e+08,6.36e+08,6.36e+08,-3.8e+07,5.98e+08,5.98e+08,8.84e+08,8.84e+08,1.668e+09,1.668e+09,1.365e+09,6.39e+08,4.556e+09,3.842e+09,4.996e+09,2.5e+09,1.499e+09,9.2e+07,9.05e+08,8.838e+09,1.3394e+10,1.544e+09,1.29e+09,2.54e+08,3.04e+08,5.4e+07,2.5e+08,3.736e+09,4.926e+09,2.342e+09,2.93e+08,2.049e+09,7.268e+09,1.1004e+10,2.284e+09,1.466e+09,8.18e+08,-1.4386e+10,1.6953e+10,-2.662e+09,2.189e+09,2.01e+08,2.39e+09,1.3394e+10,6.36e+08,1.08e+08,8.4e+07,2.2e+07,-8e+06,7e+07,2.35e+08,1.85e+08,2.7e+07,2.3e+07,1.063e+09,-2.48e+08,-2.48e+08,-1.7e+07,2.7e+07,-4.4e+07,2.4e+07,-2.41e+08,-3.26e+08,-6e+06,-5999999.99999994,-5.99e+08,-5.99e+08,8.8e+07,-8.43e+08,-2.1e+07,-2.1e+07,-4e+06,-2.5e+07,1.05e+09,5.23e+09,1.348e+09,0.58446,0.21979,0.13952,0.25021,0.04465,2.25418,1.21949,4.60418,0.39047,0.63347,0.62809,4.54025,2.31886,1.42797,0.34534,6,0.09275,0.13531,0.54515,4.13905,4.61359
"13","2013_Q2",47.34984375,"Up",4.315e+09,-1.8e+09,2.515e+09,-1.773e+09,-1.536e+09,7.42e+08,3e+06,3e+06,7.45e+08,7.45e+08,-2.39e+08,5.06e+08,5.06e+08,-4.6e+07,4.6e+08,4.6e+08,9.32e+08,9.32e+08,1.808e+09,1.808e+09,1.371e+09,7.17e+08,4.828e+09,3.82e+09,4.885e+09,2.451e+09,1.465e+09,8.6e+07,8.83e+08,8.705e+09,1.3533e+10,1.561e+09,1.237e+09,3.24e+08,2.62e+08,1.2e+07,2.5e+08,4.091e+09,5.095e+09,2.328e+09,2.86e+08,2.042e+09,7.423e+09,1.1514e+10,2.296e+09,7.33e+08,1.563e+09,-1.4636e+10,1.6805e+10,-2.693e+09,1.772e+09,2.47e+08,2.019e+09,1.3533e+10,5.06e+08,1.1e+08,2.17e+08,3.2e+07,-1.7e+07,2.02e+08,-5.6e+07,-1.75e+08,-1.5e+07,1.34e+08,7.77e+08,-9.4e+07,-9.4e+07,-1.45e+08,5.4e+07,-1.99e+08,7e+06,-2.32e+08,-2.9e+08,1.17e+08,1.17e+08,-3.85e+08,-3.85e+08,9.6e+07,-4.62e+08,8.3e+07,8.3e+07,-3.5e+07,4.8e+07,8.52e+08,5.357e+09,9.41e+08,0.58285,0.17196,0.1066,0.22784,0.03399,2.04565,1.18015,5.70282,0.39585,0.49114,0.48677,4.60709,1.89195,1.0047,0.30963,5,0.07729,0.09697,0.63043,5.19366,5.96361
"14","2013_Q3",47.5390625,"Up",4.346e+09,-1.812e+09,2.534e+09,-1.628e+09,-1.526e+09,9.06e+08,5e+06,5e+06,9.11e+08,9.11e+08,-3.07e+08,6.04e+08,6.04e+08,-4.3e+07,5.61e+08,5.61e+08,8.84e+08,8.84e+08,1.778e+09,1.778e+09,1.44e+09,7.65e+08,4.867e+09,3.776e+09,4.844e+09,2.419e+09,1.464e+09,8.9e+07,8.72e+08,8.62e+09,1.3487e+10,1.557e+09,1.279e+09,2.78e+08,5.96e+08,2.1e+07,5.75e+08,4.444e+09,5.032e+09,2.207e+09,2.52e+08,1.955e+09,7.239e+09,1.1683e+10,2.33e+09,1.466e+09,8.64e+08,-1.4988e+10,1.7052e+10,-2.863e+09,1.531e+09,2.73e+08,1.804e+09,1.3487e+10,6.04e+08,1.11e+08,-3.6e+07,2e+07,-3.1e+07,-2.5e+07,-1.31e+08,-19000000.0000001,-1.03e+08,-9e+06,5.48e+08,-1.49e+08,-1.49e+08,-9e+06,3.8e+07,-4.7e+07,-8e+06,-1.66e+08,-3.35e+08,2.61e+08,2.61e+08,-3.86e+08,-3.86e+08,7.6e+07,-3.84e+08,-2e+06,-2e+06,-4.6e+07,-4.8e+07,1.017e+09,5.628e+09,1.044e+09,0.58306,0.20847,0.12908,0.31098,0.0416,1.86096,1.09518,6.47616,0.41729,0.60129,0.59541,4.65809,1.64094,1.11897,0.35906,6,0.09296,0.10831,0.59715,4.6647,5.2362
"15","2013_Q4",51.6378125,"Up",4.398e+09,-1.813e+09,2.585e+09,-1.569e+09,-1.549e+09,1.016e+09,0,0,1.016e+09,1.016e+09,-3.17e+08,6.99e+08,6.99e+08,-4.3e+07,6.56e+08,6.56e+08,7.21e+08,7.21e+08,1.737e+09,1.737e+09,1.441e+09,7.01e+08,4.6e+09,3.858e+09,4.981e+09,2.471e+09,1.487e+09,9.1e+07,9.32e+08,8.839e+09,1.3439e+10,1.517e+09,1.234e+09,2.83e+08,6.07e+08,1.9e+07,5.88e+08,4.491e+09,4.677e+09,2.264e+09,3.12e+08,1.952e+09,6.941e+09,1.1432e+10,2.378e+09,1.466e+09,9.12e+08,-1.5236e+10,1.7393e+10,-2.751e+09,1.784e+09,2.23e+08,2.007e+09,1.3439e+10,6.99e+08,1.08e+08,1.12e+08,5.3e+07,8.3e+07,-2.4e+07,1.21e+08,5.7e+07,1.1e+07,5.3e+07,1.04e+09,-1.76e+08,-1.76e+08,-5.9e+07,1.03e+08,-1.62e+08,5e+06,-2.3e+08,-4.05e+08,-3.19e+08,-3.19e+08,-3.44e+08,-3.44e+08,1.04e+08,-9.64e+08,-1.54e+08,-1.54e+08,-9e+06,-1.63e+08,1.124e+09,5.284e+09,1.386e+09,0.58777,0.23101,0.14916,0.32686,0.04881,2.1128,1.02427,5.69606,0.39318,0.70682,0.70018,4.73871,1.92221,1.49337,0.43638,7,0.11104,0.14505,0.61738,4.05961,4.49114
"16","2014_Q1",51.1070491803279,"Down",4.361e+09,-1.794e+09,2.567e+09,-1.675e+09,-1.612e+09,8.92e+08,1e+06,999999.999999999,8.93e+08,8.93e+08,-2.92e+08,6.01e+08,6.01e+08,-3.7e+07,5.64e+08,5.64e+08,9.62e+08,9.62e+08,1.636e+09,1.636e+09,1.425e+09,9.08e+08,4.931e+09,4.083e+09,4.971e+09,2.474e+09,1.496e+09,7.7e+07,9.24e+08,9.054e+09,1.3985e+10,1.582e+09,1.343e+09,2.39e+08,9.08e+08,1.3e+07,8.95e+08,4.579e+09,4.749e+09,2.121e+09,4.44e+08,1.677e+09,6.87e+09,1.1449e+10,2.47e+09,1.466e+09,1.004e+09,-1.5633e+10,1.7952e+10,-2.484e+09,2.305e+09,2.31e+08,2.536e+09,1.3985e+10,6.01e+08,1.1e+08,1.59e+08,2.3e+07,3.6e+07,1e+08,-3.1e+07,1e+08,1e+07,-1.41e+08,8.39e+08,-2.51e+08,-2.51e+08,-2.5e+07,7.2e+07,-9.7e+07,1.7e+07,-2.62e+08,-3.52e+08,3.63e+08,3.63e+08,-4.06e+08,-4.06e+08,6.3e+07,-3.32e+08,2.45e+08,2.45e+08,-4e+06,2.41e+08,1.002e+09,5.657e+09,1.012e+09,0.58863,0.20454,0.12933,0.2224,0.04033,1.79433,1.07687,4.51459,0.4045,0.6094,0.60289,4.71205,2.49055,1.09346,0.38033,6,0.08881,0.09812,0.62411,4.68563,5.26345
"17","2014_Q2",54.6544444444444,"Up",4.325e+09,-1.801e+09,2.524e+09,-1.89e+09,-1.544e+09,6.34e+08,-7e+06,-7e+06,6.27e+08,6.27e+08,-1.95e+08,4.32e+08,4.32e+08,-4.4e+07,3.88e+08,3.88e+08,1.795e+09,1.795e+09,1.67e+09,1.67e+09,1.478e+09,7.34e+08,5.677e+09,4.037e+09,4.718e+09,2.485e+09,1.5e+09,7.5e+07,6.58e+08,8.755e+09,1.4432e+10,1.517e+09,1.264e+09,2.53e+08,9.2e+08,2.4e+07,8.96e+08,4.702e+09,5.739e+09,2.091e+09,3.93e+08,1.698e+09,7.83e+09,1.2532e+10,2.476e+09,1.466e+09,1.01e+09,-1.5981e+10,1.7698e+10,-2.563e+09,1.63e+09,2.7e+08,1.9e+09,1.4432e+10,4.32e+08,1.08e+08,3.24e+08,3.4e+07,-2.1e+07,3.11e+08,-4.4e+07,-7.7e+07,-6.7e+07,1e+08,8.2e+08,-1.68e+08,-1.68e+08,-7.7e+07,7.4e+07,-1.51e+08,2.1e+07,-2.49e+08,-3.16e+08,1.022e+09,1.022e+09,-4.53e+08,-4.53e+08,5e+07,3.03e+08,8.74e+08,8.74e+08,-4.1e+07,8.33e+08,7.42e+08,6.659e+09,7.25e+08,0.58358,0.14659,0.08971,0.20421,0.02688,1.86856,1.20736,6.59579,0.46141,0.42197,0.41783,4.70364,1.7727,0.78847,0.34367,6,0.0661,0.06808,0.81443,6.55526,7.67192
"18","2014_Q3",54.06828125,"Down",4.352e+09,-1.8e+09,2.552e+09,-1.572e+09,-1.507e+09,9.8e+08,-9e+06,-9e+06,9.71e+08,9.71e+08,-3.1e+08,6.61e+08,6.61e+08,-3.9e+07,6.22e+08,6.22e+08,1.161e+09,1.161e+09,1.803e+09,1.803e+09,1.508e+09,7.02e+08,5.174e+09,4.077e+09,4.737e+09,2.489e+09,1.486e+09,7.4e+07,6.88e+08,8.814e+09,1.3988e+10,1.495e+09,1.251e+09,2.44e+08,3.2e+08,2e+07,3e+08,4.061e+09,5.741e+09,2.115e+09,3.93e+08,1.722e+09,7.856e+09,1.1917e+10,2.522e+09,1.466e+09,1.056e+09,-1.6208e+10,1.7991e+10,-2.526e+09,1.779e+09,2.92e+08,2.071e+09,1.3988e+10,6.61e+08,1.07e+08,2.7e+07,2e+07,-1.6e+07,2.3e+07,-2.26e+08,-1.21e+08,-2.3e+07,-8.2e+07,5.69e+08,-1.46e+08,-1.46e+08,8.9e+07,1.03e+08,-1.4e+07,-8e+06,-6.5e+07,-3.46e+08,-5.97e+08,-5.97e+08,-2.93e+08,-2.93e+08,1.03e+08,-1.133e+09,-6.29e+08,-6.29e+08,-5e+06,-6.34e+08,1.087e+09,6.061e+09,1.025e+09,0.5864,0.22518,0.14292,0.30034,0.04447,1.64791,1.27407,5.75423,0.4333,0.67897,0.67178,4.75057,1.94193,1.11887,0.37769,6,0.09447,0.10003,0.55627,4.50782,5
"19","2014_Q4",55.68296875,"Up",4.379e+09,-1.821e+09,2.558e+09,-1.61e+09,-1.497e+09,9.48e+08,-4e+06,-4e+06,9.44e+08,9.44e+08,-3.64e+08,5.8e+08,5.8e+08,-3.8e+07,5.42e+08,5.42e+08,1.355e+09,1.355e+09,1.747e+09,1.747e+09,1.422e+09,6.57e+08,5.181e+09,4.038e+09,4.466e+09,2.355e+09,1.424e+09,3.1e+07,6.56e+08,8.504e+09,1.3685e+10,1.509e+09,1.215e+09,2.94e+08,6.14e+08,1.4e+07,6e+08,4.412e+09,5.441e+09,2.086e+09,3.55e+08,1.731e+09,7.527e+09,1.1939e+10,2.592e+09,1.466e+09,1.126e+09,-1.6477e+10,1.821e+10,-2.905e+09,1.42e+09,3.26e+08,1.746e+09,1.3685e+10,5.8e+08,1.14e+08,1.83e+08,5.5e+07,2e+06,1.26e+08,1.26e+08,-2.4e+07,3.9e+07,1.11e+08,1.003e+09,-1.79e+08,-1.79e+08,3.3e+07,1e+08,-6.7e+07,5e+06,-1.41e+08,-3.28e+08,-4.8e+07,-4.8e+07,-3.73e+08,-3.73e+08,1.42e+08,-6.07e+08,2.55e+08,2.55e+08,-6.1e+07,1.94e+08,1.062e+09,6.055e+09,1.373e+09,0.58415,0.21649,0.12377,0.31042,0.03961,2.53321,1.1743,6.83792,0.44246,0.59313,0.58734,4.79208,1.55395,1.50252,0.35894,5,0.08799,0.13887,0.60517,4.42561,4.95781
"20","2015_Q1",57.2777049180328,"Up",4.221e+09,-1.746e+09,2.475e+09,-1.48e+09,-1.434e+09,9.95e+08,-4e+06,-4e+06,9.91e+08,9.91e+08,-3.25e+08,6.66e+08,6.66e+08,-3.8e+07,6.28e+08,6.28e+08,1.089e+09,1.089e+09,1.552e+09,1.552e+09,1.382e+09,8.4e+08,4.863e+09,4.08e+09,4.516e+09,2.307e+09,1.413e+09,7.6e+07,7.2e+08,8.596e+09,1.3459e+10,1.525e+09,1.231e+09,2.94e+08,5.04e+08,1.6e+07,4.88e+08,3.946e+09,5.644e+09,2.484e+09,2.61e+08,2.223e+09,8.128e+09,1.2074e+10,2.702e+09,1.466e+09,1.236e+09,-1.6862e+10,1.8832e+10,-3.527e+09,1.145e+09,2.4e+08,1.385e+09,1.3459e+10,6.66e+08,1.13e+08,7e+07,2.2e+07,5.3e+07,-4999999.99999997,5.7e+07,1.13e+08,-9e+06,-4.7e+07,9.06e+08,-2.64e+08,-2.64e+08,-1.02e+08,5999999.99999999,-1.08e+08,2.4e+07,-4.04e+08,-4.56e+08,57999999.9999999,5.8e+07,-4.11e+08,-4.11e+08,7.6e+07,-7.33e+08,-2.31e+08,-2.31e+08,-3.5e+07,-2.66e+08,1.108e+09,6.148e+09,1.226e+09,0.58635,0.23573,0.14878,0.45343,0.04666,1.95223,1.23239,8.71769,0.45679,0.68935,0.68268,4.63337,1.25686,1.34577,0.50055,6,0.10822,0.12239,0.72611,4.56588,5.08442
"21","2015_Q2",56.5174603174603,"Down",4.07e+09,-1.678e+09,2.392e+09,-1.532e+09,-1.45e+09,8.6e+08,-8e+06,-8e+06,8.52e+08,8.52e+08,-2.69e+08,5.83e+08,5.83e+08,-4.1e+07,5.42e+08,5.42e+08,8.59e+08,8.59e+08,1.611e+09,1.611e+09,1.35e+09,8.8e+08,4.7e+09,3.968e+09,4.488e+09,2.186e+09,1.356e+09,7.9e+07,8.67e+08,8.456e+09,1.3156e+10,1.584e+09,1.167e+09,4.17e+08,5.06e+08,1.8e+07,4.88e+08,4.323e+09,5.622e+09,2.472e+09,2.33e+08,2.239e+09,8.094e+09,1.2417e+10,2.738e+09,1.466e+09,1.272e+09,-1.7122e+10,1.8704e+10,-3.86e+09,4.6e+08,2.79e+08,7.39e+08,1.3156e+10,5.83e+08,1.14e+08,6.7e+07,3.2e+07,-2.2e+07,5.7e+07,-3.7e+07,-1.5e+08,-2.3e+07,1.36e+08,7.27e+08,-1.22e+08,-1.22e+08,-1.42e+08,1.1e+08,-2.52e+08,7e+06,-2.57e+08,-3.29e+08,-6.6e+07,-6.6e+07,-3.74e+08,-3.74e+08,1.28e+08,-6.41e+08,-1.71e+08,-1.71e+08,-5.9e+07,-2.3e+08,9.74e+08,6.128e+09,1.084e+09,0.58771,0.2113,0.13317,0.73342,0.0412,2,1.08721,16.80244,0.4658,0.59711,0.59151,4.48386,0.50678,1.19423,0.36245,6,0.09326,0.11607,0.60701,5.40965,6.12674
"22","2015_Q3",54.73484375,"Down",4.066e+09,-1.699e+09,2.367e+09,-1.435e+09,-1.381e+09,9.32e+08,-6e+06,-6e+06,9.26e+08,9.26e+08,-3.1e+08,6.16e+08,6.16e+08,-4.2e+07,5.74e+08,5.74e+08,1.059e+09,1.059e+09,1.691e+09,1.691e+09,1.324e+09,9.14e+08,4.988e+09,4.039e+09,4.633e+09,2.241e+09,1.371e+09,1.44e+08,8.77e+08,8.672e+09,1.366e+10,1.466e+09,1.169e+09,2.97e+08,4.97e+08,9e+06,4.88e+08,4.206e+09,6.186e+09,2.511e+09,2.61e+08,2.25e+09,8.697e+09,1.2903e+10,2.776e+09,1.466e+09,1.31e+09,-1.7473e+10,1.8936e+10,-3.785e+09,4.54e+08,3.03e+08,7.57e+08,1.366e+10,6.16e+08,1.11e+08,-1e+06,1.9e+07,-3.8e+07,1.8e+07,-2.3e+08,-7.2e+07,3.1e+07,-1.89e+08,4.96e+08,-1.58e+08,-1.58e+08,-2.8e+07,8.5e+07,-1.13e+08,5e+06,-1.81e+08,-3.6e+08,5.74e+08,5.74e+08,-3.93e+08,-3.93e+08,6.4e+07,-1.15e+08,2e+08,2e+08,0,2e+08,1.043e+09,6.683e+09,9.65e+08,0.58214,0.22922,0.14117,0.75826,0.04202,1.68118,1.18592,17.04491,0.48924,0.63453,0.62911,4.4948,0.50188,1.06677,0.39797,3,0.09386,0.09698,0.62718,5.39214,6.03433
"23","2015_Q4",56.05046875,"Up",3.999e+09,-1.652e+09,2.347e+09,-1.211e+09,-1.347e+09,1.136e+09,-5e+06,-5e+06,1.131e+09,1.131e+09,-3.61e+08,7.7e+08,7.7e+08,-4.4e+07,7.26e+08,7.26e+08,1.445e+09,1.445e+09,1.561e+09,1.561e+09,1.277e+09,8.06e+08,5.089e+09,3.959e+09,4.515e+09,2.139e+09,1.367e+09,1.37e+08,8.72e+08,8.474e+09,1.3563e+10,1.449e+09,1.109e+09,3.4e+08,2.36e+08,1e+07,2.26e+08,3.937e+09,6.554e+09,2.482e+09,2.34e+08,2.248e+09,9.036e+09,1.2973e+10,2.817e+09,1.466e+09,1.351e+09,-1.7792e+10,1.9323e+10,-4.093e+09,2.55e+08,3.35e+08,5.9e+08,1.3563e+10,7.7e+08,1.12e+08,-8.9e+07,5.3e+07,1.8e+07,-1.6e+08,9.2e+07,5e+07,-7e+06,4.9e+07,8.85e+08,-1.79e+08,-1.79e+08,6.9e+07,2.03e+08,-1.34e+08,-4e+06,9.4e+07,-3.44e+08,9.4e+07,9.4e+07,-4.29e+08,-4.29e+08,1.09e+08,-5.7e+08,4.09e+08,4.09e+08,-2.3e+07,3.86e+08,1.248e+09,6.79e+09,1.522e+09,0.5869,0.28407,0.18155,1.23051,0.05353,2.09642,1.29261,21.98814,0.50063,0.80658,0.80053,4.44284,0.2833,1.69092,0.38218,7,0.1085,0.15433,0.47383,4.28285,4.70511
"24","2016_Q1",56.3990163934426,"Up",3.899e+09,-1.606e+09,2.293e+09,-1.348e+09,-1.286e+09,9.45e+08,-7e+06,-7e+06,9.38e+08,-1.46e+08,-2.75e+08,-4.21e+08,-4.21e+08,-3.7e+07,-4.58e+08,-4.58e+08,9.7e+08,9.7e+08,1.427e+09,1.427e+09,1.18e+09,8.07e+08,4.384e+09,3.796e+09,3.755e+09,2.103e+09,1.346e+09,6.7e+07,2.39e+08,7.551e+09,1.1935e+10,1.387e+09,1.11e+09,2.77e+08,3.02e+08,4e+06,2.98e+08,3.534e+09,6.246e+09,2.199e+09,2.33e+08,1.966e+09,8.445e+09,1.1979e+10,2.904e+09,1.466e+09,1.438e+09,-1.8102e+10,1.8861e+10,-3.962e+09,-2.99e+08,2.55e+08,-4.4e+07,1.1935e+10,-4.21e+08,1.12e+08,1.097e+09,2.1e+07,-9e+06,1.085e+09,5.3e+07,9.7e+07,-1.4e+07,-30000000.0000001,8.41e+08,-2.32e+08,-2.32e+08,-4.2e+07,2.01e+08,-2.43e+08,-6.7e+07,-3.41e+08,-4.6e+08,-1.81e+08,-1.81e+08,-3.55e+08,-3.55e+08,4.6e+07,-9.5e+08,-4.5e+08,-4.5e+08,-2.5e+07,-4.75e+08,1.057e+09,6.548e+09,1.153e+09,0.5881,0.24237,-0.11747,10.40909,-0.03837,-2.51747,1.24052,-272.25,0.54864,-0.51093,-0.50709,4.34962,-0.33356,1.28626,0.51316,5,0.000229999999999994,0.13248,-1.00437,5.2772,5.90265
"25","2016_Q2",60.69484375,"Up",3.762e+09,-1.514e+09,2.248e+09,-1.381e+09,-1.354e+09,8.67e+08,-2.8e+07,-2.8e+07,8.39e+08,8.39e+08,-2.65e+08,5.74e+08,5.74e+08,-4.1e+07,5.33e+08,5.33e+08,1.014e+09,1.014e+09,1.546e+09,1.546e+09,1.234e+09,6.96e+08,4.49e+09,3.82e+09,4.138e+09,2.17e+09,1.361e+09,3.49e+08,2.58e+08,7.958e+09,1.2448e+10,1.478e+09,1.108e+09,3.7e+08,7.03e+08,5e+06,6.98e+08,4.463e+09,5.877e+09,2.181e+09,2.49e+08,1.932e+09,8.058e+09,1.2521e+10,2.961e+09,1.466e+09,1.495e+09,-1.8204e+10,1.8705e+10,-3.832e+09,-3.7e+08,2.97e+08,-7.3e+07,1.2448e+10,5.74e+08,1.06e+08,-4.9e+07,3.1e+07,-3.6e+07,-4.4e+07,-1.7e+07,-9.5e+07,-3.2e+07,1.1e+08,6.14e+08,-1.14e+08,-1.14e+08,-3e+07,5e+07,-8e+07,0,-1.44e+08,-3.4e+08,-1.8e+07,-1.8e+07,-2.29e+08,-2.29e+08,1.46e+08,-4.41e+08,2.9e+07,2.9e+07,1.5e+07,4.4e+07,9.73e+08,6.58e+09,1.107e+09,0.59755,0.23046,0.14168,-7.30137,0.04282,2.07692,1.00605,-171.52055,0.5286,0.5964,0.59209,4.20947,-0.41401,1.23867,0.38044,6,0.10048,0.12742,0.6379,5.72045,6.41984
"26","2016_Q3",63.35265625,"Up",3.845e+09,-1.541e+09,2.304e+09,-1.36e+09,-1.32e+09,9.44e+08,-2.5e+07,-2.5e+07,9.19e+08,9.19e+08,-2.81e+08,6.38e+08,6.38e+08,-3.8e+07,6e+08,6e+08,1.085e+09,1.085e+09,1.575e+09,1.575e+09,1.232e+09,7.22e+08,4.614e+09,3.825e+09,4.076e+09,2.17e+09,1.347e+09,3.11e+08,2.48e+08,7.901e+09,1.2515e+10,1.446e+09,1.082e+09,3.64e+08,9.53e+08,3e+06,9.5e+08,4.671e+09,5.619e+09,2.191e+09,2.58e+08,1.933e+09,7.81e+09,1.2481e+10,3.008e+09,1.466e+09,1.542e+09,-1.8396e+10,1.8955e+10,-3.848e+09,-2.81e+08,3.15e+08,3.4e+07,1.2515e+10,6.38e+08,1.09e+08,13999999.9999999,1.7e+07,-5e+06,2e+06,-5.5e+07,-3.7e+07,-3e+06,-1.5e+07,7.06e+08,-1.34e+08,-1.34e+08,-6.6e+07,3.7e+07,-1.03e+08,4e+06,-1.96e+08,-3.64e+08,6.3e+07,6.3e+07,-2.53e+08,-2.53e+08,1.28e+08,-4.26e+08,84000000.0000001,84000000.0000001,-1.3e+07,7.1e+07,1.053e+09,6.572e+09,1.145e+09,0.59922,0.24551,0.15605,17.64706,0.04794,1.90833,0.9878,367.08824,0.52513,0.67122,0.66585,4.30138,-0.31435,1.2809,0.4072,7,0.10958,0.13016,0.60667,5.21083,5.8125
"27","2016_Q4",59.0714285714286,"Down",3.867e+09,-1.543e+09,2.324e+09,-1.253e+09,-1.322e+09,1.071e+09,-2.5e+07,-2.5e+07,1.046e+09,1.046e+09,-3e+08,7.46e+08,7.46e+08,-4.4e+07,7.02e+08,7.02e+08,1.298e+09,1.298e+09,1.56e+09,1.56e+09,1.193e+09,7.13e+08,4.764e+09,3.837e+09,4.022e+09,2.181e+09,1.346e+09,2.61e+08,2.34e+08,7.859e+09,1.2623e+10,1.426e+09,1.076e+09,3.5e+08,9.07e+08,3e+06,9.04e+08,4.655e+09,5.616e+09,2.124e+09,2.7e+08,1.854e+09,7.74e+09,1.2395e+10,3.12e+09,1.466e+09,1.654e+09,-1.8731e+10,1.931e+10,-3.832e+09,-1.33e+08,3.61e+08,2.28e+08,1.2623e+10,7.46e+08,1.14e+08,3.6e+07,5.4e+07,9.1e+07,-1.09e+08,1.01e+08,6e+06,3.9e+07,5.6e+07,9.97e+08,-8.4e+07,-1.44e+08,-1.7e+07,7.1e+07,-8.8e+07,-4e+06,-1.05e+08,-3.49e+08,-4.4e+07,-4.4e+07,-4.31e+08,-4.31e+08,1.44e+08,-6.8e+08,2.12e+08,2.12e+08,1e+06,2.13e+08,1.185e+09,6.523e+09,1.502e+09,0.60098,0.27696,0.18154,3.07895,0.05561,2.1396,1.02342,54.36404,0.51676,0.78708,0.78069,4.33569,-0.14912,1.68405,0.3913,8,0.11842,0.16924,0.49715,4.40928,4.87862
