"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2013_Q1",17.9925,"Up",214756000,-81360000,133396000,-142942000,-64105000,-37345000,-41492000,-9546000,8904000,-7717000,16042000,579000,-642000,-642000,-5094000,-5736000,-5736000,12077000,6341000,6341000,422556000,422556000,48550000,6998000,6998000,478104000,2717956000,366130000,188624000,105336000,27798000,3272710000,3750814000,186255000,25154000,161101000,186255000,1168278000,115902000,47153000,68749000,1284180000,1470435000,912376000,1112336000,1168043000,2280379000,3750814000,-5736000,37345000,15169000,-50853000,-4075000,-234172000,-234172000,-234172000,-348241000,71890000,155623000,87878000,727378000,375062000,375062000,375062000,27799000,1168278000,-252132000,0.62115,-0.04445,0.02953,0.00278,0.00169,-39.76218,2.56693,0.64482,0.31147,0.02897,0.02897,0.98107,5.08148,-1.15181,-0.32841,-0.01839,-0.07073,-11.33733,26.8255,-78.11879
"2","2013_Q2",20.19734375,"Up",225766000,-83083000,142683000,-83893000,-8929000,-32440000,-42524000,58790000,-2891000,-7586000,3968000,727000,55899000,55899000,-4166000,51733000,51733000,-19361000,32372000,32372000,91464000.0000001,91464000.0000001,28488000,9086000,9086000,129038000,2988213000,369940000,187740000,105336000,27245000,3545893000,3674931000,203290000,37297000,165993000,203290000,1553319000,72844000,1747999.99999999,71096000,1626163000,1829453000,682752000,682752000,1162726000,1845478000,3674931000,51733000,32440000,11726000,41477000,137376000,-166463000,-166463000,-166463000,-831633000,-7852000,382138000,-11121000,363165000,-331092000,-331092000,-331092000,91230000,1553319000,-29589999.9999999,0.632,0.2604,0.14339,0.01754,0.00881,-0.914060000000006,0.63475,0.99132,0.42268,0.14788,0.14788,1.03137,3.11901,-0.13518,0.0358700000000001,0.01159,-0.00852000000000001,0.242559999999997,16.02384,24.86571
"3","2013_Q3",21.64,"Up",251402000,-93460000,157942000,-92460000,-8209000,-36496000,-47755000,65482000,-4480000,-8429000,3456000,493000,61002000,61002000,-53000,60949000,60949000,-26422000,34527000,34527000,92412000,92412000,76847000,6533000,6533000,175792000,3094026000,471151000,186812000,105336000,26678000,3751989000,3927781000,146504000,23423000,123081000,146504000,1418362000,76679000,1852000,74827000,1495041000,1641545000,834798000,834798000,1451438000,2286236000,3927781000,60949000,36496000,14181000,-68311000,43315000,-173197000,-173293000,-173293000,-351049000,-39128000,-133999000,65690000,308682000,948000,948000,948000,101978000,1418362000,-139477000,0.62824,0.26047,0.13734,0.0151,0.00879,-4.03965,1.19991,0.71801,0.36111,0.15773,0.15773,1.14848,3.8136,-0.63717,0.17875,0.01948,-0.03689,1.13326,13.00231,20.24908
"4","2013_Q4",21.84234375,"Up",273502000,-93516000,179986000,-94983000,-7962000,-37615000,-49406000,85003000,-3807000,-8793000,4520000,466000,81196000,81196000,27000,81223000,81223000,-36779000,44444000,44444000,57083000,57083000,75695000,8912000,8912000,141690000,3243900000,487566000,187850000,105336000,28078000,3919316000,4061006000,178116000,19131000,158985000,178116000,1518110000,78166000,1830000,76336000,1596276000,1774392000,825074000,825074000,1461540000,2286614000,4061006000,81223000,37615000,11467000,3323000.00000001,133628000,-129922000,-129922000,-129922000,-249366000,-43231000,96091999.9999999,25097000,80409000,-35329000,-35329000,-35329000,122618000,1518110000,-4008000,0.65808,0.31079,0.1625,0.01944,0.01094,-0.0901800000000001,0.79549,0.77599,0.37383,0.20303,0.20303,1.24944,3.76918,-0.01831,0.19749,0.02258,-0.00103000000000001,0.97271,11.91527,17.18795
"5","2014_Q1",23.633606557377,"Up",334812000,-103112000,231700000,-139109000,-9965000,-43264000,-85880000,92591000,1164000,-10089000,11004000,249000,93755000,92488000,-419000,92069000,92069000,-39611000,52458000,52458000,113085000,113085000,83943000,10799000,10799000,207827000,3383255000,853400000,186343000,105336000,27401000,4422998000,4630825000,191483000,39589000,151894000,191483000,1418169000,117143000,37998000,79145000,1535312000,1726795000,905082000,1217174000,1686856000,2904030000,4630825000,92069000,43264000,4949000,34582000,174864000,-212318000,-212321000,-212321000,-256475000,-46789000,-98491000,-23587000,137613000,56002000,56002000,56002000,135855000,1418169000,-41462000,0.69203,0.27655,0.15668,0.01806,0.01133,-0.79038,1.08535,0.59462,0.30625,0.23966,0.23966,1.52963,5.56082,-0.18942,0.21376,0.02236,-0.00934,0.89193,9.60645,14.09515
"6","2014_Q2",29.0855555555556,"Up",301249000,-95391000,205858000,-109098000,-9875000,-40895000,-58328000,96760000,11000,-9736000,9251000,496000,96771000,95581000,-1785000,93796000,93796000,-40634000,53162000,53162000,94119000,94119000,100499000,7997000,7997000,202615000,3519478000,873207000,193278000,105336000,34684000,4585963000,4788578000,172624000,30219000,142405000,172624000,1912839000,80278000,428000,79850000,1993117000,2165741000,921523000,921523000,1701314000,2622837000,4788578000,93796000,42085000,3872000,-7496000,132257000,-199150000,-199150000,-199150000,-586520000,-50621000,489670000,-21282000,435297000,-18966000,-18966000,-18966000,138845000,1912839000,-66016000,0.68335,0.3212,0.17647,0.02027,0.0111,-1.24179,1.17374,0.82572,0.39946,0.24286,0.24286,1.37619,4.20979,-0.30158,0.23125,0.02248,-0.0143,0.9522,13.09892,18.7962
"7","2014_Q3",33.36375,"Up",357381000,-122318000,235063000,-126920000,-9202000,-44962000,-72756000,108143000,-3396000,-16639000,13008000,235000,104747000,104404000,-2523000,101881000,101881000,-42492000,59389000,59389000,122142000,122142000,108809000,4914000,4914000,235865000,3655367000,897478000,187764000,105336000,29519000,4740609000,4976474000,176735000,28640000,148095000,176735000,2022876000,82528000,601000,81927000,2105404000,2282139000,941814000,941814000,1752521000,2694335000,4976474000,101881000,45305000,6485000,-8286000,145385000,-191356000,-191356000,-191356000,-215010000,-54726000,109742000,-31528000,97648000,28023000,28023000,28023000,153448000,2022876000,-43671000,0.65774,0.3026,0.16618,0.02204,0.01193,-0.73534,1.33457,0.84701,0.40649,0.26836,0.26836,1.61492,4.25582,-0.19734,0.24729,0.02378,-0.0091,0.92148,12.38683,17.57612
"8","2014_Q4",34.001875,"Up",357521000,-113217000,244304000,-129777000,-9116000,-46379000,-74282000,114527000,2528000,-16653000,19063000,118000,117055000,116157000,-3891000,112266000,112266000,-45832000,66434000,66434000,78219000,78219000,126250000,6915000,6915000,211384000,3767587000,899191000,186807000,105336000,28910000,4853585000,5064969000,201413000,27011000,174402000,201413000,2082914000,86683000,779999.999999996,85903000,2169597000,2371010000,938225000,938225000,1755734000,2693959000,5064969000,112266000,47277000,784000,347000,160674000,-138686000,-138691000,-138691000,-148752000,-59378000,60373999.9999999,-64186000,-55845000.0000001,-43923000,-43923000,-43923000,161804000,2082914000,27356000,0.68333,0.32034,0.18582,0.02466,0.01312,0.41178,1.04951,0.88012,0.41124,0.30349,0.30349,1.63326,4.28609,0.12497,0.27126,0.02587,0.00562,0.89379,12.38965,17.50413
"9","2015_Q1",34.1324590163934,"Up",517226000,-127453000,389773000,-210424000,-13584000,-79573000,-117267000,179349000,-238000,-16841000,16514000,89000,179111000,176408000,-30862000,145546000,145546000,-36510000,109036000,109036000,67213000,67213000,109019000,10827000,10827000,187059000,4571443000,894492000,1302233000,389087000,28289000,6768168000,6955227000,239908000,54232000,185676000,241058000,2422954000,157356000,45642000,111714000,2580310000,2821368000,1260195000,1382704000,2751155000,4133859000,6955227000,145546000,77142000,44647000,-14989000,252346000,-262423000,-275808000,-275808000,-1789893000,-63756000,339007000,-90889000,1526505000,-11042000,-11042000,-11042000,256491000,2422954000,9941000,0.75358,0.34675,0.21081,0.02638,0.01568,0.09117,0.77599,0.6825,0.34836,0.50354,0.50354,2.38859,6.38544,0.04591,0.29443,0.02574,0.00148,0.58472,9.1845,13.13495
"10","2015_Q2",35.4820634920635,"Up",437006000,-139408000,297598000,-166356000,-11916000,-68975000,-85465000,131242000,-437000,-18737000,18220000,80000,130805000,-141825000,-12270000,-154095000,-154095000,137723000,-16372000,-16372000,59823000,59823000,144119000,11042000,11042000,214984000,4446869000,895920000,1274100000,393035000,27616000,6616889000,6831873000,241957000,51015000,190942000,241957000,2532995000,297789000,7326999.99999999,290462000,2830784000,3072741000,1156508000,1156508000,2602624000,3759132000,6831873000,-154095000,68975000,282134000,-2762000,194252000,-211545000,-211567000,-211567000,-214224000,-68409000,106652000,-56736000,12582000,-7390000,-7390000,-7390000,200217000,2532995000,-1820000,0.68099,0.30032,-0.03746,-0.00435999999999999,-0.0024,0.11117,0.88852,0.81741,0.37076,-0.07479,-0.07479,1.99637,5.28327,-0.00831,0.31251,0.0079,-0.000279999999999999,-4.17841,12.35246,18.84436
