"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",6.3284126984127,"Down",701239000,-987291000,-286052000,-106238000,-106379000,141000,-392290000,164619000,-7185000,171804000,-227671000,-227671000,-9635000,-237306000,-237306000,115929000,-121377000,-121377000,-2255806703.16354,-2255806703.16354,756521274.43077,756521274.43077,2087646652.46499,2087646652.46499,588361223.732218,11369729290.9548,4015054237.44015,902260933.789187,1703601931.13867,1206124463.77852,203066908.733776,15384783528.3949,15973144752.1271,7923491832.64784,808165490.869341,7115326341.7785,729743053.167717,729743053.167717,8653234885.81556,8653234885.81556,3845261898.69569,-229813621.397278,3615448277.29841,3704461589.01318,7319909866.31159,15973144752.1271,-237306000,39512000,138325000,79969000,20500000,-6974000,-6974000,-6974000,-7120000,-25763000,-312456000,-338219000,-324839000,-324839000,-435063099.230416,-324839000,-352778000,0,-270148000,-0.40792,-0.55942,-0.17309,-0.0839767339480596,-0.0365059481750434,2.22569,0.0798965130312173,1.19212469158388,0,-0.35275,-0.35275,2.03799,11.8092484567992,-0.78512,-0.0839767339480596,-0.618793133704095,-82.0449771932349,-65.8924957659021
"2","2010_Q3",5.55734375,"Down",550088000,-989698000,-439610000,-130386000,-121183000,-9203000,-569996000,-66932000,-7682000,-59250000,-636928000,-636928000,-19392000,-656320000,-656320000,4.63e+08,-193320000,-193320000,506739000,506739000,411316000,411316000,1143405000,1143405000,2061460000,10501480000,3910369000,860634000,1703602000,1086168000,259965000,14411849000,16473309000,7598636000,671300000,6927336000,1748093000,1748093000,9346729000,9346729000,3465288000,375341000,3840629000,3285951000,7126580000,16473309000,-656320000,40822000,665827000,-43989000,6340000,-11833000,-11833000,-11833000,-33153000,-24101999.9999999,-69603000,-93705000,-120518000,-120518000,-165271033.076805,-120518000,-529174000,0,-565604000,-0.79916,-1.03619,-0.35143,-0.02713,-0.01174,2.92574,0.22055,1.31153,0,-0.56184,-0.56184,1.5987,11.16188,-1.64379,-0.02713,-0.07937,0.9576,0.88902
"3","2010_Q4",7.09859375,"Up",7.84e+08,-793290000,-9290000,-120713000,-114291000,-6422000,-130003000,273305000,-11766000,285071000,143302000,143302000,4225000,147527000,147527000,-191885000,-44358000,-44358000,1016229000,1016229000,424931000,424931000,1336478000,1336478000,2777638000,11026730000,3936523000,820169000,1703602000,1117316000,295436000,14963253000,17740891000,8119626000,623730000,7495896000,1965471000,1965471000,10085097000,10085097000,3580488000,557736000,4138224000,3517570000,7655794000,17740891000,147527000,40872000,-132496000,233372000,289275000,-11780000,-11780000,-11780000,-12177000,345147000,-88463000,256684000,533782000,533782000,-24292000,509490000,-89131000,0,128236000,-0.01185,-0.16582,-0.05658,-0.00579,-0.0025,-2.89093,0.27542,1.31732,0,-0.11982,-0.11982,2.11769,11.17791,0.34638,-0.00579,0.01675,11.40152,7.81697
"4","2011_Q1",8.86225806451613,"Up",1084015000,-839910000,244105000,-135235000,-124505000,-10730000,108870000,89772999.9999999,-14596000,104369000,198643000,198643000,-59867000,138776000,138776000,-149749000,-10973000,-10973000,588621000,588621000,495893000,495893000,1767219000,1767219000,2851733000,11974472000,4018400000,779311000,1703602000,1242293000,293194000,15992872000,18844605000,8649601000,629135000,8020466000,1941647000,1941647000,10591248000,10591248000,3888211000,474885000,4363096000,3890261000,8253357000,18844605000,138776000,40845000,-557206000,-310415000,-6.88e+08,-23573000,-23573000,-23573000,-23739000,266325000,-6460999.99999997,259864000,-451875000,-451875000,24267000,-427608000,149715000,0,-124406000,0.22519,0.10043,-0.01012,-0.00133,-0.00058,11.33746,0.26925,1.28327,0,-0.02759,-0.02759,2.72569,10.97076,-0.31281,-0.00133,-0.01507,-3.93161,-5.40664
"5","2011_Q2",9.38920634920635,"Up",1153269000,-836551000,316718000,-140510000,-129386000,-11124000,176208000,-58994000,-13803000,-45191000,117214000,117214000,-38850000,78364000,78364000,-35660000,42704000,42704000,455811000,455811000,379827000,379827000,1647084000,1647084000,2482722000,12676464000,4089581000,738465000,1703602000,1394158000,253356000,16766045000,19248767000,8669157000,658939000,8010218000,2148795000,2148795000,10817952000,10817952000,4122841000,298645000,4421486000,4009329000,8430815000,19248767000,78364000,40846000,-225722000,548019000,441507000,-5710000,-5710000,-5710000,-5389000,-171077000,-397851000,-568928000,-132810000,-132810000,18087854.3269966,-132810000,217054000,0,798213000,0.27463,0.15279,0.03703,0.00507,0.00222,18.69176,0.2295,1.28314,0,0.09538,0.09331,2.57574,9.87507,1.78275,0.00507,0.09468,-2.09999,-2.58678
"6","2011_Q3",7.649375,"Down",1308281000,-845242000,463039000,-125404000,-126118000,714000.000000002,337635000,-88839000,-14185000,-74654000,248796000,248796000,-64199000,184597000,184597000,-98360000,86237000,86237000,434803000,434803000,528960000,528960000,1846697000,1846697000,2810460000,15319002000,4201669000,720134000,1703602000,1437947000,339986000,19520671000,22331131000,11016514000,735814000,10280700000,2033385000,2033385000,13049899000,13049899000,4391399000,214388000,4605787000,4675445000,9281232000,22331131000,184597000,41579000,245287000,-540276000,-68812999.9999998,-11460000,-11460000,-11460000,-34696000,-72630000,155123000,82493000.0000001,-21016000,-21016000,8000,-21007999.9999999,379214000,0,-108323000,0.35393,0.25808,0.06592,0.00929,0.00386,-1.25611,0.21536,1.40605,0,0.181,0.17982,2.74591,9.66694,-0.22736,0.00929,-0.01167,-1.14659,-1.28779
"7","2011_Q4",7.51301587301587,"Down",-124079000,-393585000,-517664000,-133564000,-124929000,-8635000,-651228000,-343184000,-13785000,-329399000,-994412000,-994412000,7637000,-986775000,-986775000,712208000,-274567000,-274567000,592982000,592982000,441671000,441671000,2005162000,2005162000,3039815000,14848396000,4180585000,678291000,1703602000,1467717000,330975000,19028981000,22068796000,11146116000,698583000,10447533000,2350421000,2350421000,13496537000,13496537000,4181368000,-48266000,4133102000,4439157000,8572259000,22068796000,-986775000,42339000,1056595000,273586000,385745000,-8793000,-8793000,-8793000,-9291000,-280715000,62464000,-218251000,158203000,158203000,-24000,158179000,-608889000,0,-351733000,4.17205,5.24849,2.21284,-0.03203,-0.01244,1.28105,0.22523,1.57444,0,-0.56325,-0.57875,-0.25454,8.47876,-0.72155,-0.03203,-0.04103,0.97388,0.910559999999999
"8","2012_Q1",8.54677419354839,"Up",915105000,-663047000,252058000,-192342000,-185880000,-6462000,59716000,645944000,-16051000,661995000,705660000,705660000,-250299000,455361000,455361000,-478038000,-22677000.0000001,-22677000.0000001,754744000,754744000,406140000,406140000,1724761000,1724761000,2885645000,15128299000,3895185000,595488000,1703602000,1258699000,337396000,19023484000,21909129000,10599701000,828873000,9770828000,2057142000,2057142000,12656843000,12656843000,4281841000,388822000,4670663000,4581623000,9252286000,21909129000,455361000,82827000,-339416000,142402000,341174000,-10521000,-10521000,-10521000,-10522000,-184749000,15920000,-168829000,161823000,161823000,-61000.0000000005,161762000,142543000,0,524723000,0.27544,0.0652599999999994,-0.0247799999999994,-0.00245,-0.00104,-23.139,0.22799,1.36797,0,-0.0462199999999998,-0.04622,1.86499,9.51884,1.06939,-0.00245,0.05671,-5.29485,-12.63889
"9","2012_Q2",7.22698412698413,"Down",952036000,-604767000,347269000,-164508000,-142766000,-21742000,182761000,273624000,-14518000,288142000,456385000,456385000,-38753000,417632000,417632000,-359307000,58325000,58325000,391304000,391304000,576566000,576566000,1690342000,1690342000,2658212000,19748524000,4139625000,689565000,1703602000,1290570000,455888000,23888149000,26546361000,14525640000,1011428000,13514212000,1995872000,1995872000,16521512000,16521512000,4380744000,768038000,5148782000,4876067000,10024849000,26546361000,417632000,48142000,-98208000,-233338000,134228000,-13086000,-13086000,-13086000,-170224000,-149421000,-178018000,-327439000,-363435000,-363435000,-5000,-363440000,230903000,0,23232000,0.36476,0.19197,0.06126,0.00582,0.0022,0.39832,0.16089,1.64806,0,0.11504,0.11273,1.87784,10.15568,0.04582,0.00582,0.00232,-1.69467,-2.14107
"10","2012_Q3",7.71873015873016,"Up",627203000,-574061000,53142000,-151985000,-135737000,-16248000,-98843000.0000001,234457000,-13773000,248230000,135614000,135614000,-41337000,94277000,94277000,-169241000,-74964000,-74964000,412545000,412545000,586416000,586416000,1747194000,1747194000,2746155000,19351458000,4044957000,652874000,1703602000,1229835000,458646000,23396415000,26142570000,13910948000,823413000,13087535000,1967882000,1967882000,15878830000,15878830000,4413322000,968863000,5382185000,4881555000,10263740000,26142570000,94277000.0000001,36693000,15096000,66037999.9999999,212104000,-7862000,-7862000,-7862000,-7872000,-109097000,-73784000,-182881000,21351000.0000001,21351000.0000001,-110000,21241000,-62150000,0,37363000.0000001,0.0847299999999999,-0.15759,-0.11952,-0.0073,-0.00287,-0.498410000000002,0.17294,1.54708,0,-0.14177,-0.14461,1.18613,10.17852,0.07066,-0.0073,0.00364,6.63789,4.17374
