"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",61.4673015873016,"Up",95487000,-33444000,62043000,-30928000,-2487000,-28441000,31115000,-3314000,-3314000,-3376000,62000,27801000,27801000,27801000,27801000,-2703000,25098000,-15158000,9940000,-847011862.438687,-847011862.438718,-847011862.438686,2505548873.70521,2598976521.74072,-93427648.0355041,86994598.9430964,68924349.490682,2592543472.64828,1745531610.20959,-10884934.8439274,-10884934.8439273,-10884934.8439274,228978094.186317,943939606.803746,697912048.68712,835475521.294776,1392115316.59138,124438199.431896,1516553516.02327,1745531610.20959,27801000,28441000,595000,55328000,-10855000,-10855000,-10855000,-10855000,-32218000,2033000,2033000,-30185000,14288000,14288000,14288000,59556000,0,0.64975,0.32586,0.1041,0.485753301126353,0.415804176963022,-8.37716843590835,0.154882356282628,0.131160205999853,0.37003,0.36868,3.55459,16.1906217389096,1.19934,1.31518561506302,3.24125,17.5474172018824,32.8935158750472
"2","2014_Q3",59.78375,"Down",94151000,-31535000,62616000,-31658000,-3363000,-28295000,30958000,-3308000,-3308000,-3403000,95000,27650000,27650000,27650000,27650000,-2669000,24981000,-15155000,9826000,-301890931.219343,-301890931.219359,-301890931.219343,2253219936.85261,2829800760.87036,-576580824.017752,60546799.4715482,51511674.745341,2313766736.32414,2011875805.1048,36707532.5780363,36707532.5780363,36707532.5780363,281639047.093159,969469803.401873,703493524.34356,1045307260.64739,1566796158.29569,163440599.715948,1730236758.01164,2011875805.1048,27650000,28295000,2023000,61182000,-12614000,-12614000,-12614000,-12614000,-32224000,410000,410000,-31814000,16754000,16754000,16754000,59253000,-1.49011611938477e-08,0.66506,0.32881,0.10436,0.262856650563176,0.225022088481511,-2.78976921795417,0.163416178141314,0.120440102999927,0.36529,0.36391,3.50017,21.9916408694548,1.19796,0.684192807531508,3.27946,8.93104860094121,16.7708029375236
"3","2014_Q4",59.87125,"Up",95791000,-33102000,62689000,-29889000,-3078000,-26811000,32800000,-3322000,-3322000,-3412000,90000,29478000,29478000,29478000,29478000,-3058000,26420000,-15152000,11268000,10215689.5935522,10215689.593547,10215689.5935524,2106547645.61754,2964469920.29012,-857922274.672584,45412599.8238494,42400891.5817803,2151960245.44138,2162175935.03493,60787177.5260121,60787177.5260121,60787177.5260121,309097682.364386,986489934.467291,706971841.447853,1174266753.54913,1667741386.09856,185336866.571983,1853078252.67055,2162175935.03493,29478000,26811000,1632000,62448000,-35814000,-35814000,-35814000,-35814000,-32233000,611000,611000,-31622000,-4988000,-4988000,-4988000,59611000,0,0.65444,0.34241,0.11763,0.121255550187725,0.103820696160504,0.554760260681942,0.166868726047105,0.114643367666642,0.41867,0.4173,3.55915,25.2521202898183,1.19763,0.297327602510503,2.86058,3.98035620031374,7.48567431250786
"4","2015_Q1",63.5731147540984,"Up",91486000,-29290000,62196000,-31521000,-4711000,-26810000,30675000,-3277000,-3277000,-3402000,125000,27398000,119771000,119771000,119771000,-22299000,97472000,-15352000,82120000,152467000,152467000,152467000,2035444000,3026941000,-991497000,39203000,39203000,2074647000,2227114000,68905000,68905000,68905000,318905000,9.95e+08,709276000,1244946000,1713281000,194928000,1908209000,2227114000,119771000,26810000,-89524000,49222000,172471000,-39713000,-39713000,172471000,-126352000,0,0,-126761000,94932000,94932000,94932000,57485000,2.5e+08,0.67984,0.3353,0.89762,0.04304,0.03687,2.21271,0.16712,0.11225,3.05052,3.03743,3.39844,26.68206,4.69361,0.09659,1.53863,1.69667,3.17956
"5","2015_Q2",59.067619047619,"Down",92462000,-31746000,60716000,-29632000,-3399000,-26233000,31084000,-3216000,-3216000,-3323000,107000,27868000,40355000,40355000,40355000,-5364000,34991000,-15220000,19771000,188022000,188022000,188022000,2009821000,3041171000,-1031350000,39529000,39529000,2049350000,2237372000,68612000,68612000,68612000,318612000,9.95e+08,711335000,1279937000,1721745000,197015000,1918760000,2237372000,40355000,26233000,-10791000,54263000,12746000,-11744000,-11744000,12746000,-32239000,785000,785000,-31454000,35555000,35555000,35555000,57317000,2.5e+08,0.65666,0.33618,0.21383,0.0103,0.00884,2.74037,0.16605,0.11174,0.7343,0.73161,3.43406,26.99146,1.19736,0.02398,1.63062,1.08132,1.99389
"6","2015_Q3",58.83296875,"Down",93081000,-30057000,63024000,-30522000,-3497000,-27025000,32502000,-3193000,-3193000,-3338000,145000,29309000,29309000,29309000,29309000,-3015000,26294000,-15164000,11130000,200194000,200194000,200194000,1998195000,3034218000,-1036023000,41230000,41230000,2039425000,2239619000,70014000,70014000,70014000,320014000,9.95e+08,714450000,1306231000,1722548000,197057000,1919605000,2239619000,29309000,27025000,1738000.00000001,57182000,-13967000,-13967000,-13967000,-13967000,-32258000,1215000,1215000,-31043000,12172000,12172000,12172000,59527000,2.5e+08,0.67709,0.34918,0.11957,0.0058,0.00497,2.85934,0.16671,0.11163,0.41288,0.41176,3.45294,26.98921,1.19665,0.02,2.89829,0.8367,1.5324
"7","2015_Q4",67.31015625,"Up",93452000,-30448000,63004000,-29261000,-3276000,-25985000,33743000,-3214000,-3214000,-3368000,154000,30529000,46277000,46277000,46277000,-6088000,40189000,-17706000,22483000,252142000,252142000,252142000,1970478000,3030039000,-1059561000,41917000,41917000,2012395000,2264537000,80662000,80662000,80662000,330662000,9.95e+08,719550000,1346420000,1734020000,199855000,1933875000,2264537000,46277000,25985000,-14656000,67170000,18505000,-12165000,-12165000,18505000,-35714000,1987000,1987000,-33727000,51948000,51948000,51948000,59728000,2.5e+08,0.67419,0.36107,0.24058,0.01163,0.00993,3.12591,0.17098,0.1104,0.83314,0.83123,3.46298,27.38531,1.32343,0.02665,1.58849,-0.0358600000000001,-0.0634799999999998
"8","2016_Q1",72.292131147541,"Up",94140000,-28973000,65167000,-29561000,-3410000,-26151000,35606000,-2577000,-2577000,-3301000,724000,33029000,33029000,33029000,33029000,-4028000,29001000,-14094000,14907000,188912000,188912000,188912000,1932562000,3015165000,-1082603000,65184000,38448000,1997746000,2186658000,76059000,76059000,76059000,326059000,9.2e+08,722278000,1375421000,1660496000,200103000,1860599000,2186658000,33029000,26151000,8184000,60224000,-8587000,-8587000,-8587000,-14153000,-34636000,1102000,1102000,-109301000,-63230000,-63230000,-63230000,61757000,2.5e+08,0.69223,0.37822,0.15835,0.00801,0.00682,2.48376,0.17524,0.11433,0.55162,0.55003,3.48357,27.40142,1.28168,0.02347,2.32347,0.98917,1.71567
"9","2016_Q2",79.74671875,"Up",95973000,-31894000,64079000,-28676000,-3635000,-25041000,35403000,-2923000,-2923000,-3190000,267000,32480000,32480000,32480000,32480000,-3936000,28544000,-13975000,14569000,195254000,195254000,195254000,1915344000,3020054000,-1104710000,68889000,38213000,1984233000,2179487000,74194000,74194000,74194000,324194000,9.2e+08,723916000,1403965000,1656565000,198728000,1855293000,2179487000,32480000,25041000,2315000,57373000,-6499000,-6499000,-6499000,-10439000,-39592000,9e+05,9e+05,-40592000,6342000,6342000,6342000,60444000,2.5e+08,0.66768,0.36888,0.1518,0.00785,0.00668,2.63167,0.17474,0.11471,0.53873,0.53717,3.5489,27.23681,1.46404,0.02573,2.71755,0.90573,1.54637
"10","2016_Q3",88.6540625,"Up",96218000,-29750000,66468000,-30591000,-5377000,-25214000,35877000,-1954000,-1954000,-2162000,208000,33923000,33923000,33923000,33923000,-4243000,29680000,-13949000,15731000,3702000,3702000,3702000,1898473000,3024712000,-1126239000,79907000,39931000,1978380000,1982082000,74335000,74335000,74335000,128335000,9.2e+08,727214000,1433645000,1655393000,198354000,1853747000,1982082000,33923000,25214000,3854000,61458000,-7964000,-7964000,-7964000,-17264000,-39629000,1.86264514923096e-09,1.86264514923096e-09,-235746000,-191552000,-191552000,-191552000,61091000,5.4e+07,0.69081,0.37287,0.16349,0.00849,0.00794,0.0498,0.06923,0.02724,0.58084,0.57886,3.55271,27.15331,1.46324,0.02902,2.51917,0.82333,1.40196
