"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.30079365079365,"Down",640460000,-473447000,167013000,-101888000,-101888000,65125000,-2390000,-2434000,44000,62735000,62735000,-17096000,45639000,45639000,-219000,45420000,45420000,613102000,613102000,3646416533.08775,324685000,324685000,442699000,120453000,102629000,1500939000,966919000,2737573000,-1770654000,287292000,-489383803.391468,141110000,1254211000,2755150000,428834000,117719000,31301000,279814000,482333000,281025000,451799000,287341000,287341000,13533000,148514000,732824000,1215157000,2336864000,-877385000,75656000,1535135000,4858000,1539993000,2755150000,45639000,50445000,10967000,-39003000,68048000,-17794000,-18391458647.1191,65156685.1623415,-17794000,-1605000,-516000,-2121000,48133000,48051000,-14138000,33913000,115570000,334524000,75869000,0.26077,0.10168,0.07092,0.02949,0.01649,1.67039,3.11183,0.78907,0.12142,0.24335,0.23526,3.43151,8.22507,0.4065,8,0.01952,0.03261,-2.41047,-4.27759
"2","2010_Q3",7.15390625,"Down",701655000,-491062000,210593000,-109266000,-109266000,101327000,3556000,-2400000,5956000,104883000,104883000,-27918000,76965000,76965000,-306000,76659000,76659000,674581000,674581000,2065010119.85265,359588000,359588000,449726000,120101000,103166000,1603996000,927261000,2690027000,-1762766000,249845000,-175738835.217482,111544000,1177106000,2781102000,466092000,134001000,37087000,295004000,545034000,243607000,432058000,277255000,277255000,18281000,134226000,675665000,1220699000,2337617000,-800726000,18348000,1555239000,5164000,1560403000,2781102000,76965000,48817000,12917000,-29196000,109503000,-30809000,-10208503188.2714,1.5e+07,-15809000,-11970000,-455999.999999985,-12426000,81268000,81268000,-19789000,61479000,150144000,322549000,118057000,0.30014,0.14441,0.10925,0.04913,0.02756,1.54003,2.94293,0.7823,0.11598,0.41067,0.39702,3.75886,8.33162,0.63245,7,0.03311,0.051,-2.34463,-3.47422
"3","2010_Q4",10.9940625,"Up",694365000,-475987000,218378000,-87475000,-87475000,130903000,-7261000,-2545000,-4716000,123642000,123642000,-33490000,90152000,90152000,-353000,89799000,89799000,745371000,745371000,1077928059.92633,350355000,350355000,425860000,125764000,110044000,1647350000,902270000,2662659000,-1760389000,212607000,16354465.9130071,93325000,1114877000,2762227000,483626000,135519000,48233000,299874000,560381000,221792000,427827000,278814000,278814000,11870000,134227000,649619000,1.21e+09,2338297000,-889465000,98285000,1547117000,5110000,1552227000,2762227000,90152000,44527000,36969000,-10066000,161582000,-30751000,-4866973094.13572,-1355000,-32106000,-11912000,-70841000,-82753000,46723000,46723000,24067000,70790000,175430000,298547000,168103000,0.3145,0.18852,0.12933,0.05785,0.03251,1.87199,2.9397,0.77953,0.10808,0.48111,0.46507,3.72018,8.28896,0.90064,7,0.03941,0.07377,-2.54702,-3.4134
"4","2011_Q1",14.3667741935484,"Up",688612000,-477111000,211501000,-90918000,-90918000,120583000,-6310000,-3657000,-2653000,114273000,114273000,33264000,147537000,147537000,-309000,147228000,147228000,897338000,897338000,548348353.308775,330556000,330556000,427822000,138788000,106885000,1794504000,912114000,2671382000,-1759268000,259475000,113830000,145645000,1171589000,2966093000,527138000,167795000,51060000,308283000,527161000,431682000,510100000,291117000,291117000,82043000,136940000,941782000,1468943000,2173477000,-742237000,60491000,1491731000,5419000,1497150000,2966093000,147537000,45752000,-65423000,78265000,206131000,-64871000,-1774683364.71191,-932000,-65803000,311434000,-14660000,21774000,162102000,162102000,-10135000,151967000,166335000,431705000,146465000,0.30714,0.17511,0.2138,0.09834,0.04964,0.99482,3.40409,0.98116,0.14555,0.89129,0.83814,4.16871,9.03061,0.88667,7,0.06037,0.06005,-2.79937,-3.86151
"5","2011_Q2",13.8761904761905,"Down",695151000,-480488000,214663000,-92465000,-92465000,122198000,-4561000,-4054000,-507000,117637000,117637000,-42030000,75607000,75607000,-320000,75287000,75287000,1.008e+09,668551000,339449000,339263000,339263000,460387000,148292000,114951000,1955942000,912708000,2738708000,-1.826e+09,249861000,143621667.043496,139310000,1162569000,3118511000,537269000,166746000,73883000,296640000,537780000,431997000,519701000,297955000,297955000,82171000,136968000,951698000,1489478000,2181980000,-666950000,108764000,1623794000,5239000,1629033000,3118511000,75607000,45033000,10319000,-33202000,97757000,-17406000,-339449000,-6000,-356861000,489000,-198000,7084000,-252020000,-252020000,23233000,-228787000,167231000,432508000,158653000,0.3088,0.17579,0.1083,0.04622,0.02414,2.10731,3.63707,0.91433,0.13869,0.45577,0.42859,4.20829,9.83009,0.96045,8,0.02917,0.06146,-3.4413,-4.7095
"6","2011_Q3",10.17203125,"Down",709838000,-497648000,212190000,-96685000,-92796000,115505000,-4652000,-4624000,-27999.9999999999,110853000,110853000,-28357000,82496000,82496000,-401000,82095000,82095000,1.007e+09,692592000,314408000,345121000,345121000,476292000,173396000,140565000,2001809000,905785000,2778770000,-1872985000,249101000,132663367.043496,142526000,1154886000,3156695000,534339000,184256000,60282000,289801000,534351000,422422000,553698000,298467000,298467000,119551000,133203000,976120000,1510471000,2098353000,-584855000,127086000,1640584000,5640000,1646224000,3156695000,82496000,45738000,-2330000,-49745000,76159000,-26486000,30915000,313000,4742000,89496000,-3891000,-63250000,17651000,17651000,6390000,24041000,161243000,422434000,113369000,0.29893,0.16272,0.11565,0.04987,0.02601,1.38095,3.74624,0.91754,0.13382,0.51046,0.48114,4.4137,10.20099,0.70492,4,0.03131,0.04323,-3.62537,-5.06096
"7","2011_Q4",8.19904761904762,"Down",637649000,-470172000,167477000,-92144000,-90271000,75333000,-3521000,-5311000,1790000,71812000,71812000,-21120000,50692000,50692000,-205000,50487000,50487000,1034973000,705061000,329912000,296951000,296951000,457106000,184609000,152064000,1973639000,889416000,2746914000,-1857498000,255230000,107889000,137816000,1144646000,3118285000,503711000,150802000,65017000,287892000,503761000,423440000,538044000,282623000,282623000,125125000,127948000,961484000,1465245000,2101460000,-534368000,80103000,1647195000,5845000,1653040000,3118285000,50692000,44504000,10095000,8568000,113859000,-43860000,-29939000,2165000,-90969000,-627000,-285000,825000,23715000,23715000,-11246000,12469000,119837000,423490000,105665000,0.26265,0.11814,0.07918,0.03054,0.01619,2.09292,3.91781,0.88639,0.13581,0.32122,0.30817,4.05704,10.48027,0.67229,5,0.01931,0.04041,-5.10262,-8.11707
"8","2012_Q1",10.0796774193548,"Up",551391000,-425735000,125656000,-86329000,-92091000,39327000,-2751000,-5288000,2537000,36576000,30814000,388000.000000004,31202000,31202000,-250000,30952000,30952000,998227000,749088000,249139000,270970000,270970000,417627000,143852000,119220000,1830676000,907905000,2759169000,-1851264000,255149000,103927000,142171000,1163054000,2993730000,439775000,154942000,13881000,270952000,439788000,399054000,546727000,319136000,319136000,110356000,117235000,945781000,1385569000,2102644000,-503416000,3778000,1603006000,5155000,1608161000,2993730000,31202000,44431000,-9247000.00000001,21876000,88262000,-78727000,70174000,-1122000,-9675000,-25049000,-940000,-25989000,52598000,52598000,-8571000,44027000,83758000,399067000,26519000,0.22789,0.07132,0.05613,0.01925,0.01034,0.85678,4.16263,0.86159,0.1333,0.1969,0.1888,3.50773,10.19769,0.1687,6,0.01212,0.01038,-7.15347,-15.23533
"9","2012_Q2",8.94079365079365,"Down",538547000,-401838000,136709000,-86364000,-86364000,50345000,-3409000,-4717000,1308000,46936000,46936000,-12861000,34075000,34075000,-263000,33812000,33812000,922953000,785781000,137172000,282071000,282071000,440699000,151400000,126493000,1797123000,901440000,2798794000,-1897354000,319457000,143864000,140678000,1220897000,3018020000,410631000,135055000,14537000,261039000,410683000,389486000,547840000,318979000,318979000,110210000,118651000,937326000,1348009000,2104073000,-469604000,30124000,1664593000,5418000,1670011000,3018020000,34075000,41993000,6251000,-59697000,22622000,-14026000,117240000,443000,18015000,-9966000,-4507543.50170238,-9792000,30845000,30845000,5848000,36693000,92338000,389538000,31476000,0.25385,0.09348,0.06278,0.02025,0.0112,0.93091,4.37594,0.80719,0.12907,0.21509,0.20624,3.42589,10.58908,0.20023,5,0.01297,0.01207,-5.77677,-10.59519
"10","2012_Q3",8.18809523809524,"Down",588199000,-440580000,147619000,-86889000,-86889000,60730000,-7633000,-5539000,-2094000,53097000,65250000,-19420000,45830000,45830000,-159000,45671000,45671000,948275000,708772000,239503000,298974000,298974000,434556000,140375000,115794000,1822180000,873101000,2763253000,-1890152000,312417000,139738000,137813000,1185518000,3007698000,408960000,154277000,4600000,250083000,409076000,462173000,558940000,298426000,298426000,146645000,113869000,1021113000,1430189000,2013092000,-423933000,-17227000,1571932000,5577000,1577509000,3007698000,45830000,41845000,146999.999999996,-16040000,71782000,-26917000,-111306000,-1083000,-139157000,164948000,-4827000,10121000,-57254000,-57254000,-19755000,-77009000,102575000,462289000,79038000,0.25097,0.10325,0.07765,0.02895,0.01518,1.73059,4.45438,0.90661,0.1537,0.29053,0.27858,3.74175,9.99963,0.50279,5,0.01757,0.03041,-4.73786,-8.0024
