"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",158.63,"Up",135932000,-68149000,67783000,-58097000,-58097000,-43449000,-14648000,9686000,-124000,-2000,-122000,9562000,9562000,-2650000,6912000,6912000,6912000,6912000,32294000,32294000,30264000,30264000,51711000,17981000,12570000,132250000,205871000,7206000,2538000,4668000,213077000,345327000,74718000,27673000,47045000,74771000,24215000,20255000,3960000,24959000,99730000,165723000,80757000,-883000,245597000,245597000,345327000,6912000,5098000,-2632000,-22209000,-12831000,-21177000,-21115000,-12853000,1844000,4692000,-8223000,-42169000,-42169000,-42169000,14784000,797000,-25952000,0.49865,0.07126,0.05085,0.02814,0.02002,-3.75463,1.76873,0.40607,0.00231,0.79366,0.51181,15.60822,28.20037,-2.97991,0.02554,-0.0959,-2.13048,-3.25181
"12","2013_Q3",206.7946875,"Up",181332000,-84200000,97132000,-65084000,-65084000,-50178000,-14906000,32048000,-226000,-6000,-220000,31822000,31822000,-12107000,19715000,19715000,19715000,19715000,24874000,24874000,43480000,43480000,51434000,19208000,13797000,138996000,229815000,7955000,2538000,5417000,237770000,376766000,97979000,37716000,60263000,98032000,24433000,20255000,4178000,25198000,123230000,168835000,85584000,-883000,253536000,253536000,376766000,19715000,6365000,1599000,3140000,30819000,-24386000,-24386000,-14517000,372000,664000,-13853000,-7420000,-7420000,-7420000,38413000,818000,29274000,0.53566,0.17674,0.10872,0.07776,0.05233,1.48486,1.41786,0.48605,0.00217,2.24929,1.46438,20.68819,28.92596,3.33987,0.07072,0.105,-0.62625,-0.75062
"13","2013_Q4",240.059375,"Up",216414000,-101035000,115379000,-71840000,-71840000,-56096000,-15744000,43539000,-27000,30000,-57000,43512000,42212000,-16526000,25686000,25686000,25686000,25686000,43726000,43726000,52574000,52574000,59513000,17559000,11621000,173372000,248364000,10692000,3683000,7009000,259056000,432428000,125093000,40696000,84397000,125146000,25277000,20877000,4400000,25861000,151007000,171034000,111270000,-883000,281421000,281421000,432428000,25686000,7022000,3281000,12902000,48891000,-27538000,-30291000,53000,53000,381000,252000,18852000,18852000,18852000,50561000,637000,52451000,0.53314,0.20118,0.11869,0.09127,0.0594,2.04201,1.38536,0.53659,0.00147,2.94294,1.90323,24.79537,32.24347,6.00951,0.08358,0.17066,-0.85222,-0.98966
"14","2014_Q1",227.932950819672,"Down",205375000,-100747000,104628000,-75241000,-75241000,-58207000,-17034000,29387000,-175000,9000,-184000,29212000,28945000,-10866000,18079000,18079000,18079000,18079000,49524000,49524000,42001000,42001000,56397000,16356000,9606000,164278000,266558000,13239000,3683000,9556000,279797000,444075000,104324000,34424000,69900000,104377000,37029000,32394000,4635000,37613000,141990000,173153000,129349000,-417000,302085000,302085000,444075000,18079000,7418000,13466000,-5860000,33103000,-27536000,-27536000,273000,271999.999999999,501000,231000.000000002,5798000,5798000,5798000,36805000,637000,14275000,0.50945,0.14309,0.08803,0.05985,0.04071,0.78959,1.57389,0.47003,0.00143,2.06334,1.33405,23.43928,34.47672,1.62919,0.05321,0.04202,-1.32827,-1.66356
"15","2014_Q2",227.876507936508,"Down",183845000,-93326000,90519000,-77128000,-77128000,-61257000,-15871000,13391000,-140000,-4000,-136000,13251000,13251000,-4936000,8315000,8315000,8315000,8315000,27976000,27976000,45967000,45967000,61007000,21521000,15809000,156471000,309082000,13810000,3683000,10127000,322892000,479363000,98151000,38905000,59246000,98206000,36529000,32297000,4232000,37057000,135263000,206853000,137664000,-417000,344100000,344100000,479363000,8315000,7195000,-6046000,-18274000,-8810000,-44170000,-44115000,22996000,22996000,8434000,31377000,-21548000,-21548000,-21548000,20586000,583000,-36922000,0.49237,0.07284,0.04523,0.02416,0.01735,-4.44041,1.59329,0.39309,0.00122,0.92399,0.61891,20.42949,38.23758,-4.1029,0.02181,-0.09685,-1.33066,-2.04563
"16","2014_Q3",223.81203125,"Down",231611000,-108515000,123096000,-82603000,-82603000,-65922000,-16681000,40493000,196000,-5000,201000,40689000,40689000,-15261000,25428000,25428000,25428000,25428000,31282000,31282000,57762000,57762000,64332000,21046000,15334000,174422000,347624000,11824000,3683000,8141000,359448000,533870000,124768000,45098000,79670000,124823000,36789000,32293000,4496000,37317000,162140000,209055000,163092000,-417000,371730000,371730000,533870000,25428000,8196000,1942000,11564000,47130000,-44281000,-44281000,129999.999999996,129999.999999993,326999.999999998,456999.999999993,3306000,3306000,3306000,48689000,583000,31233000,0.53148,0.17483,0.10979,0.0684,0.04763,1.22829,1.39735,0.43618,0.00109,2.76542,1.88537,25.1888,40.42741,3.39674,0.06216,0.07635,-0.63051,-0.75813
"17","2014_Q4",253.32359375,"Up",269734000,-126738000,142996000,-80771000,-80771000,-65023000,-15748000,62225000,-340000,32000,-372000,61885000,60308000,-22382000,37926000,37926000,37926000,37926000,57178000,57178000,49671000,49671000,59610000,21211000,15682000,187670000,371795000,12832000,3683000,9149000,384627000,572297000,122335000,39843000,82492000,122390000,36995000,32368000,4627000,37523000,159913000,211783000,201018000,-417000,412384000,412384000,572297000,37926000,9599000,2255000,14464000,64244000,-39841000,-39941000,315000,315000,1278000,1593000,25896000,25896000,25896000,71824000,583000,68829000,0.53014,0.23069,0.14061,0.09197,0.06627,1.81482,1.53338,0.38778,0.00102,4.10011,2.81058,29.16043,44.58205,7.44097,0.08429,0.15297,-0.78797,-0.90952
"18","2015_Q1",289.789672131148,"Up",217817000,-109417000,108400000,-76165000,-76165000,-58494000,-17671000,32235000,-689000,-2000.00000000001,-687000,31546000,31346000,-12272000,19074000,19074000,19074000,19074000,76402000,76402000,36860000,36860000,51307000,42893000,12887000,207462000,381569000,16130000,3683000,12447000,397699000,605161000,110115000,35576000,74539000,110170000,58323000,50717000,7606000,58851000,169021000,225040000,212233000,-1133000,436140000,436140000,605161000,19074000,10148000,8898000,526999.999999998,38647000,-23492000,-23494000,-4028000,3831000,8099000,4071000,19224000,19224000,19224000,42383000,583000,31690000,0.49767,0.14799,0.08757,0.04373,0.03152,1.66142,1.88311,0.38754,0.00096,2.03695,1.4108,23.26111,46.57625,3.38424,0.03853,0.06401,-1.7889,-2.35207
"19","2015_Q2",257.145238095238,"Down",199503000,-99888000,99615000,-77477000,-77477000,-60247000,-17230000,22138000,-328000,-3000,-325000,21810000,21810000,-8067000,13743000,13743000,13743000,13743000,122156000,122156000,44346000,44346000,55796000,28109000,10428000,250407000,391366000,13851000,3683000,10168000,405217000,655624000,101999000,39361000,62638000,102057000,57977000,50712000,7265000,58448000,160505000,279760000,216486000,-1127000,495119000,495119000,655624000,13743000,10312000,-10629000,7799000,21225000,-18688000,-18731000,30255000,39745000,13059000,43260000,45754000,45754000,45754000,32450000,529000,29628000,0.49932,0.11097,0.06889,0.02776,0.02096,2.15586,2.4536,0.32417,0.00081,1.43186,1.00807,20.78589,51.58564,3.08689,0.02482,0.05352,-3.74814,-5.49404
"20","2015_Q3",221.14390625,"Down",252204000,-115978000,136226000,-89406000,-89406000,-71371000,-18035000,46820000,64000.0000000001,10000,54000,46884000,46884000,-16952000,29932000,29932000,29932000,29932000,146983000,146983000,52575000,52575000,57119000,24581000,13776000,281258000,397853000,13402000,3683000,9719000,411255000,692513000,118368000,46012000,72356000,118368000,58992000,51182000,7810000,59463000,177831000,282687000,233127000,-1132000,514682000,514682000,692513000,29932000,10143000,3566000,13488000,57129000,-20192000,-20192000,-12705000,587000,595000,-12110000,24827000,24827000,24827000,56963000,471000,67211000,0.54014,0.18564,0.11868,0.05816,0.04322,2.24546,2.37613,0.34552,0.00068,3.07058,2.19009,25.87238,52.79873,6.89485,0.05213,0.11706,-2.57206,-3.12926
