"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",37.378064516129,"Up",104645000,-84703000,19942000,-10657000,-9827000,-830000,9285000,25000,25000,9310000,9310000,-3852000,5458000,5458000,5458000,5458000,63968000,63968000,62851000,62851000,231783000,13028000,1776000,371630000,107043000,72870000,6671000,62446000,3753000,179913000,551543000,68822000,34284000,34538000,2500000,2500000,71431000,214263000,174802000,37829000,1324000,214263000,285694000,229209000,102677000,-66037000,265849000,265849000,551543000,5458000,2998000,1992000,35000,10483000,-2927000,-2927000,-2429000,-3683877.67464956,-2485000,5071000,5071000,307000,5378000,12283000,109000,13243000,0.19057,0.08873,0.05216,0.02053,0.0099,2.42635,5.20264,1.07465,2e-04,0.45295,0.44887,8.68439,22.06256,1.09902,0.20158,0.01642,0.02758,0.44503,-5.19897,-6.87765
"2","2011_Q2",40.9326984126984,"Up",106351000,-88482000,17869000,-9873000,-9120000,-753000,7996000,51000,51000,8047000,8047000,-2791000,5256000,5256000,5256000,5256000,41390232.7307151,41390232.7307151,70570208.1050653,70570208.1050653,276016360.772036,13165726.1300803,5521890.12536971,401142527.737897,109279718.39337,54787852.2969302,6093011.99751422,46493988.8324407,2200851.50036015,164067570.6903,565210098.428197,92585306.5286176,58584108.6839347,34032161.8388344,2500000.0021217,2500000.0021217,95128634.3883268,174167799.494051,135387244.03764,37204000,1290449.66658948,174167799.494051,269296433.882378,231101882.250659,100849496.729049,-36037845.2245179,295913664.545819,295913664.545819,565210098.428197,5256000,2903000,2474000,-11009000,-376000,-3403000,-3293000,-2436000,19000,-2521000,-6190000,-6190000,52999.9999999999,-6137000,10899000,-1.45519152283669e-11,-722000,0.16802,0.07519,0.04942,0.000310963207919332,0.00193869410446882,-0.13737,4.30223622224713,0.894702306940368,7.95006561239122e-05,0.43619,0.43225,8.82597,24.4629390898183,-0.05992,0.20216,0.00809693881203576,0.0486057436676308,0.46347,-4.77143514803225,-6.24749989790631
"3","2011_Q3",42.62375,"Up",139114000,-118521000,20593000,-11020000,-10158000,-862000,9573000,-9000,-9000,9564000,9564000,-3348000,6216000,6216000,6216000,6216000,41358232.7307151,41358232.7307151,79824508.1050653,79824508.1050653,277643760.772036,13464926.1300803,5280890.12536971,412291427.737897,109618418.39337,55677852.2969302,6046111.99751422,47597888.8324407,2033851.50036015,165296270.6903,577587698.428197,98757506.5286176,63507508.6839347,35280961.8388344,2500000.0021217,2500000.0021217,101268134.388327,179697299.494051,141530044.03764,36579000,1297649.66658948,179697299.494051,280965433.882378,231515982.250659,106110096.729049,-41003945.2245179,296622264.545819,296622264.545819,577587698.428197,6216000,2968000,1422000,-16577000,-5971000,-3044000,-3044000,-2440000,646000,-1660000,-10675000,-10675000,156000,-10519000,12541000,0,-3732000,0.14803,0.06881,0.04468,0.00874796320791933,0.00559969410446882,-0.60039,4.07591522224712,0.935072306940368,1.95006561239122e-05,0.51469,0.50824,11.51882,24.5226610898183,-0.30901,0.20204,0.0123859388120358,0.0464447436676308,0.39254,-3.95188114803225,-5.02358089790631
"4","2011_Q4",42.4046031746032,"Down",143122000,-117801000,25321000,-11443000,-10710000,-733000,13878000,52000,52000,13930000,13930000,-5533000,8397000,8397000,8397000,8397000,52039000,52039000,87649000,87649000,259721000,13726000,3184000,413135000,109485000,65870000,6262000,57068000,2540000,175355000,588490000,95091000,57403000,37651000,2500000,2500000,97591000,207487000,169901000,35954000,1324000,207487000,305078000,231409000,115229000,-63226000,283412000,283412000,588490000,8397000,2921000,2534000,-3469000,10383000,-3348000,-3348000,-2441000,41000,-2395000,4640000,4640000,87000,4727000,16799000,0,15515000,0.17692,0.09697,0.05867,0.02963,0.01427,1.84768,4.23333,1.07645,0,0.69528,0.68657,11.85069,23.46689,1.28466,0.20212,0.02208,0.03161,0.2907,-3.09774,-3.74975
"5","2012_Q1",47.6683870967742,"Up",154309000,-124312000,29997000,-12138000,-11227000,-911000,17859000,-2000,-2000,17857000,17857000,-6598000,11259000,11259000,11259000,11259000,60062000,60062000,87680000,87680000,250051000,13642000,1728000,411435000,110678000,74456000,6440000,65113000,2903000,185134000,596569000,90174000,49086000,41088000,2500000,2500000,92674000,231042000,194042000,35329000,1348000,231042000,323716000,231854000,124047000,-83048000,272853000,272853000,596569000,11259000,3297000,16281000,-15269000,15568000,-4650000,-4650000,-2441000,0,-2725000,8193000,8193000,-170000,8023000,21156000,0,7835000,0.1944,0.11574,0.07296,0.04126,0.01887,0.69589,4.43959,1.18641,0,0.933,0.92668,12.7871,22.61046,0.64926,0.20228,0.02719,0.01555,0.2168,-2.83901,-3.36312
"6","2012_Q2",43.4379365079365,"Down",128851000,-105360000,23491000,-10581000,-9816000,-765000,12910000,36000,36000,12946000,12946000,-4503000,8443000,8443000,8443000,8443000,54363000,54363000,78652000,78652000,269316000,13067000,2861000,415398000,114437000,72385000,6328000,63594000,2463000,186822000,602220000,91341000,46672000,44669000,2500000,2500000,93841000,228563000,192188000,34704000,1348000,228563000,322404000,233751000,129799000,-83734000,279816000,279816000,602220000,8443000,3094000,491999.999999996,-8932000,3097000,-7350000,-7350000,-2691000,821000,-1254000,-5507000,-5507000,-192000,-5699000,16004000,0,4225000,0.18231,0.10019,0.06553,0.03017,0.01402,0.50041,4.42662,1.1522,0,0.69802,0.69319,10.65272,23.1337,0.3493,0.22248,0.0219,0.00831,0.31873,-3.39684,-4.21092
"7","2012_Q3",39.2285714285714,"Down",158882000,-124347000,34535000,-11501000,-10687000,-814000,23034000,9000,9000,23043000,23043000,-7892000,15151000,15151000,15151000,15151000,51389000,51389000,92758000,92758000,274142000,12869000,2736000,431158000,115946000,70839000,6224000,62418000,2197000,186785000,617943000,93170000,49842000,41669000,2500000,2500000,95670000,226522000,190772000,34079000,1348000,226522000,322192000,235617000,142244000,-82110000,295751000,295751000,617943000,15151000,3214000,8790000,-23619000,3536000,-5340000,-5340000,-2706000,778000,-1422000,-3226000,-3226000,252000,-2974000,26248000,0,5181000,0.21736,0.14498,0.09536,0.05123,0.02452,0.34196,4.50672,1.0894,0,1.24796,1.24032,13.08679,24.36042,0.42675,0.22289,0.03419,0.00992,0.1786,-1.95783,-2.23101
"8","2012_Q4",39.0787096774194,"Down",141574000,-109185000,32389000,-11217000,-10382000,-835000,21172000,38000,38000,21210000,21210000,-7478000,13732000,13732000,13732000,13732000,51346000,51346000,81267000,81267000,291425000,12354000,2198000,436392000,117137000,69825000,6121000,61894000,1810000,186962000,623354000,92990000,52198000,40792000,2500000,2500000,95490000,222096000,186971000,33454000,1348000,222096000,317586000,236195000,153272000,-83699000,305768000,305768000,623354000,13732000,3377000,5138000,-14916000,7331000,-4444000,-4444000,-2704000,36000,-2643000,244000.000000001,244000.000000001,-287000,-43000,24549000,0,12667000,0.22878,0.14955,0.097,0.04491,0.02203,0.92244,4.57003,1.03865,2.64697796016969e-23,1.1278,1.12185,11.62736,25.11249,1.04033,0.22208,0.03114,0.024,0.19691,-2.09157,-2.42518
"9","2013_Q1",41.4033333333333,"Up",150254000,-119829000,30425000,-10647000,-9776000,-871000,19778000,18000,18000,19796000,19796000,-6940000,12856000,12856000,12856000,12856000,46740000,46740000,100631000,100631000,263236000,15618000,1532000,426225000,124652000,76049000,6017000,68255000,1777000,200701000,626926000,73693000,37471000,36222000,2500000,2500000,76193000,249635000,215487000,32829000,980000,249635000,325828000,236763000,163426000,-99091000,301098000,301098000,626926000,12856000,3258000,7718000,-17015000,6817000,-8803000,-8803000,-2702000,1.16415321826935e-10,-2825000,-4811000,-4811000,205000,-4606000,23036000,0,4158000,0.20249,0.13163,0.08556,0.0427,0.02051,0.32343,5.59402,1.08213,0,1.0558,1.05134,12.33962,24.7277,0.34148,0.2219,0.02825,0.00755,0.21017,-2.029,-2.36323
"10","2013_Q2",38.943125,"Down",114300000,-95526000,18774000,-10669000,-9811000,-858000,8105000,12000,12000,8117000,8117000,-2282000,5835000,5835000,5835000,5835000,65463000,65463000,72581000,72581000,275705000,14687000,2349000,428436000,133295000,76183000,5912000,68216000,2055000,209478000,637914000,81628000,46248000,35380000,2500000,2500000,84128000,247888000,214365000,32204000,980000,247888000,332016000,237774000,166551000,-98427000,305898000,305898000,637914000,5835000,3236000,3902000,16555000,29528000,-8982000,-8982000,-2710000,598000,-1917000,18629000,18629000,94000,18723000,11341000,0,21196000,0.16425,0.07091,0.05105,0.01907,0.00915,3.63256,5.09267,1.08538,0,0.47864,0.47683,9.376,25.09274,1.7387,0.2223,0.01543,0.03827,0.46444,-5.77224,-8.07687
