"","YQ","p","d","revenue","sales_services_revenue","other_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",20.8993650793651,"Up",4.241e+09,3.657e+09,5.84e+08,-2.923e+09,1.318e+09,-1.224e+09,-1.72e+08,-2.21e+08,-8.31e+08,9.4e+07,-1.58e+08,-1.84e+08,-1.85e+08,1e+06,2.6e+07,-6.4e+07,-1.8e+07,-8.2e+07,-1e+06,-8.2e+07,-8.2e+07,-8.2e+07,-8.2e+07,16442098995.6493,14601222239.9068,4155606036.32627,1596250374.84375,1596250374.84375,631663472.494982,2464363086.29324,1234732878.45188,21134375929.2813,33817609349.9213,33817609349.9213,25351001678.9417,10539187313.1287,4.523e+09,762414455.507249,60234953679.0453,81369329608.3266,6447825677.71395,3863138618.66022,2584687059.05373,4319208799.22188,11147655465.6869,11147655464.9048,21914689942.6227,26479518452.8549,24682877899.0742,25122603098.5845,7856849566.95353,2081454549.71253,3151764363.00114,13627062998.3972,51602121551.4394,73516811494.0622,15580243342.7427,5185048.49087839,15575058294.2519,-26941247.6767427,-7687616280.42988,-13167700.3717399,7852518114.26436,7852518114.26436,81369329608.3266,4.82e+08,-4.7e+07,-2.9e+07,-7.6e+07,7.8e+07,-1e+07,6.8e+07,4.74e+08,4.74e+08,4.74e+08,0,0.31078,0.02216,-0.01934,0.0426027334447114,-0.0932810144201894,1.00039614256897,101.277198975793,0.339738306433214,-0.54305,-0.54305,28.08609,104.319578825473,-0.130500903044597,-5.2425056414621
"2","2010_Q3",21.86796875,"Up",5.161e+09,4.494e+09,6.67e+08,-3.304e+09,1.857e+09,-1.31e+09,-1.98e+08,-2.23e+08,-8.89e+08,5.47e+08,-1.69e+08,-1.76e+08,-1.78e+08,2e+06,7e+06,3.78e+08,-1.06e+08,2.72e+08,2e+06,2.73e+08,2.73e+08,2.73e+08,2.73e+08,4.906e+09,4.906e+09,2075803018.16314,9.71e+08,9.71e+08,2.8e+08,8.26e+08,4.47e+08,6.983e+09,9.603e+09,9.603e+09,2.72e+09,2.416e+09,4.523e+09,2.07e+08,1.3151e+10,2.0134e+10,1.743e+09,9.26e+08,8.17e+08,1.879e+09,4.951e+09,4.951e+09,8.573e+09,7.295e+09,6.281e+09,7.022e+09,1.94e+09,1757227274.85627,1.94e+09,4.545e+09,1.4317e+10,2.289e+10,3.148e+09,2e+06,3.146e+09,-3e+07,-5.765e+09,-1.09e+08,-2.756e+09,-2.756e+09,2.0134e+10,8.74e+08,-5.2e+07,32999999.9999995,-1.9e+07,5.5e+08,-1.5e+07,5.35e+08,1.39e+09,1.39e+09,1.39e+09,9.174e+09,0.35981,0.10599,0.0529,-0.09906,0.01356,0.81453,-8.30552,0.45565,1.625,1.30622,30.72024,-16.40476,0.02031,7.80256
"3","2010_Q4",26.6203125,"Up",5.459e+09,4.788e+09,6.71e+08,-3.43e+09,2.029e+09,-1.425e+09,-2.04e+08,-2.32e+08,-9.89e+08,6.04e+08,-1.54e+08,-1.72e+08,-1.77e+08,5e+06,1.8e+07,4.5e+08,-6.3e+07,3.87e+08,0,3.87e+08,3.87e+08,3.87e+08,3.87e+08,4.938e+09,4.938e+09,978267672.721045,1.044e+09,1.044e+09,2.86e+08,8.02e+08,4.31e+08,7.07e+09,9.49e+09,9.49e+09,2.693e+09,2.4e+09,4.523e+09,1.92e+08,1.2985e+10,2.0055e+10,1.807e+09,8.89e+08,9.18e+08,1.91e+09,4.539e+09,4.539e+09,8.256e+09,6.931e+09,6.025e+09,7.074e+09,1.948e+09,1562409091.61876,1.948e+09,4.543e+09,1.4005e+10,2.2261e+10,3.154e+09,2e+06,3.152e+09,-3.1e+07,-5.377e+09,4.8e+07,-2.206e+09,-2.206e+09,2.0055e+10,4.45e+08,-8.8e+07,3.1e+07,-5.7e+07,-3.63e+08,7e+06,-3.56e+08,3.2e+07,3.2e+07,3.2e+07,8.841e+09,0.37168,0.11064,0.07089,-0.17543,0.0193,0.85635,-10.09112,0.44084,4.60714,4.66265,64.9881,-26.2619,0.02823,6.46192
"4","2011_Q1",24.7854838709677,"Down",8.464e+09,7.297e+09,1.167e+09,-5.651e+09,2.813e+09,-2.413e+09,-3.38e+08,-4.03e+08,-1.672e+09,4e+08,-2.42e+08,-2.51e+08,-2.58e+08,7e+06,9e+06,1.58e+08,-4.82e+08,-3.24e+08,-1e+06,-3.25e+08,-3.25e+08,-3.25e+08,-3.25e+08,8.68e+09,8.069e+09,6.11e+08,1.613e+09,1.613e+09,4.66e+08,1.286e+09,6.58e+08,1.2045e+10,1.6945e+10,1.6945e+10,9.79e+09,4.917e+09,4.523e+09,3.5e+08,2.7553e+10,3.9598e+10,3.275e+09,1.805e+09,1.47e+09,2.663e+09,6.707e+09,6.707e+09,1.2645e+10,1.247e+10,1.1434e+10,1.2756e+10,3.817e+09,1.473e+09,2.344e+09,7.354e+09,2.5226e+10,3.7871e+10,7.074e+09,3e+06,7.071e+09,-3.1e+07,-5.703e+09,3.87e+08,1.727e+09,1.727e+09,3.9598e+10,1.06e+08,-1.81e+08,3.653e+09,3.472e+09,-6.86e+08,2.21e+08,-4.47e+08,3.131e+09,3.131e+09,3.131e+09,1.5133e+10,0.33235,0.04726,-0.0384,-0.18819,-0.00821,0.95255,21.92878,0.38217,-0.79657,-0.63601,20.7451,4.23284,-0.01097,16.1325
"5","2011_Q2",23.3479365079365,"Down",8.202e+09,7.117e+09,1.085e+09,-5.777e+09,2.425e+09,-2.314e+09,-3.5e+08,-3.88e+08,-1.576e+09,1.11e+08,-2.45e+08,-2.5e+08,-2.54e+08,4e+06,5e+06,-1.34e+08,-7.7e+07,-2.11e+08,-2e+06,-2.13e+08,-2.13e+08,-2.13e+08,-2.13e+08,8.887e+09,8.165e+09,7.22e+08,2.357e+09,2.357e+09,6.19e+08,1.285e+09,6.6e+08,1.3148e+10,1.6832e+10,1.6832e+10,9.841e+09,4.866e+09,4.523e+09,3.54e+08,2.7404e+10,4.0552e+10,3.105e+09,1.897e+09,1.208e+09,2.467e+09,8.302e+09,8.302e+09,1.3874e+10,1.2117e+10,1.1115e+10,1.2649e+10,3.831e+09,1.465e+09,2.366e+09,7.269e+09,2.4766e+10,3.864e+10,7.103e+09,3e+06,7.1e+09,-3.1e+07,-5.916e+09,7.56e+08,1.912e+09,1.912e+09,4.0552e+10,1.005e+09,-1.66e+08,-1.54e+08,-3.2e+08,-6.21e+08,3.2e+07,-5.89e+08,9.6e+07,9.6e+07,9.6e+07,1.4584e+10,0.29566,0.01353,-0.02597,-0.1114,-0.00525,0.94767,20.20921,0.35964,-1.02899,-0.8419,39.62319,9.23671,-0.00731,51.32432
"6","2011_Q3",19.259375,"Down",9.809e+09,8.57e+09,1.239e+09,-6.512e+09,3.297e+09,-2.343e+09,-3.75e+08,-3.85e+08,-1.583e+09,9.54e+08,-2.66e+08,-2.45e+08,-2.5e+08,5e+06,-2.1e+07,6.88e+08,-1.46e+08,5.42e+08,-4e+06,5.38e+08,5.38e+08,5.38e+08,5.38e+08,8.579e+09,7.519e+09,1.06e+09,1.863e+09,1.863e+09,5.08e+08,1.441e+09,7.73e+08,1.2391e+10,1.669e+10,1.669e+10,9.797e+09,4.815e+09,4.523e+09,3.58e+08,2.7303e+10,3.9694e+10,3.228e+09,1.999e+09,1.229e+09,1.527e+09,8.007e+09,8.007e+09,1.2762e+10,1.2071e+10,1.1101e+10,1.2919e+10,3.841e+09,1.458e+09,2.383e+09,7.46e+09,2.499e+10,3.7752e+10,7.109e+09,3e+06,7.106e+09,-3.1e+07,-5.378e+09,2.42e+08,1.942e+09,1.942e+09,3.9694e+10,7.53e+08,-1.3e+08,-3.79e+08,-5.09e+08,-8.9e+08,0,-8.9e+08,-6.46e+08,-6.46e+08,-6.46e+08,1.3598e+10,0.33612,0.09726,0.05485,0.27703,0.01355,0.97093,19.43975,0.34257,1.63526,1.4047,29.81459,5.90274,0.0189,5.26101
"7","2011_Q4",19.0761904761905,"Down",1.0171e+10,9.009e+09,1.162e+09,-6.741e+09,3.43e+09,-2.375e+09,-3.77e+08,-3.84e+08,-1.614e+09,1.055e+09,-2.75e+08,-2.21e+08,-2.27e+08,6e+06,-5.4e+07,7.8e+08,-1.2e+08,6.6e+08,-7e+06,6.53e+08,6.53e+08,6.53e+08,6.53e+08,8.357e+09,6.984e+09,1.373e+09,1.713e+09,1.713e+09,6.28e+08,1.288e+09,5.95e+08,1.1986e+10,1.6549e+10,1.6549e+10,9.724e+09,4.772e+09,4.523e+09,3.37e+08,2.7068e+10,3.9054e+10,3.212e+09,1.808e+09,1.404e+09,1.339e+09,7.347e+09,7.347e+09,1.1898e+10,1.1818e+10,1.0873e+10,1.3026e+10,3.821e+09,1.428e+09,2.393e+09,7.564e+09,2.4844e+10,3.6742e+10,7.113e+09,3e+06,7.11e+09,-3.1e+07,-4.725e+09,-4.5e+07,2.312e+09,2.312e+09,3.9054e+10,3.85e+08,-1.07e+08,-3.46e+08,-4.53e+08,-4.71e+08,4e+06,-4.67e+08,-5.35e+08,-5.35e+08,-5.35e+08,1.3157e+10,0.33723,0.10373,0.0642,0.28244,0.01672,1.0074,15.89187,0.33689,1.9848,1.54739,30.91489,7.02736,0.02292,4.54975999999999
"8","2012_Q1",20.8783870967742,"Up",8.928e+09,7.815e+09,1.113e+09,-6.337e+09,2.591e+09,-2.297e+09,-3.33e+08,-3.9e+08,-1.574e+09,2.94e+08,-1.91e+08,-2.13e+08,-2.18e+08,5e+06,2.2e+07,1.03e+08,-2.49e+08,-1.46e+08,8e+06,-1.38e+08,-1.38e+08,-1.38e+08,-1.38e+08,7.762e+09,6.246e+09,1.516e+09,1.358e+09,1.358e+09,6.15e+08,1.262e+09,6.07e+08,1.0997e+10,1.6419e+10,1.6419e+10,1.0572e+10,4.75e+09,4.523e+09,1.299e+09,2.6991e+10,3.7988e+10,3.507e+09,1.998e+09,1.509e+09,1.311e+09,6.576e+09,6.576e+09,1.1394e+10,1.1424e+10,1.0496e+10,1.3364e+10,4.269e+09,1.862e+09,2.407e+09,7.492e+09,2.4788e+10,3.6182e+10,7.117e+09,3e+06,7.114e+09,-3.1e+07,-4.863e+09,-4.17e+08,1.806e+09,1.806e+09,3.7988e+10,2.65e+08,-3.14e+08,-2.03e+08,-5.17e+08,-4.83e+08,-2.9e+07,-4.86e+08,-7.38e+08,-7.38e+08,-7.38e+08,1.2735e+10,0.29021,0.03293,-0.01546,-0.07641,-0.00363,0.96516,20.03433,0.33524,-0.41945,-0.40116,27.13678,5.48936,-0.00495,16.91497
"9","2012_Q2",22.848253968254,"Up",8.602e+09,7.508e+09,1.094e+09,-6.462e+09,2.14e+09,-2.247e+09,-3.37e+08,-3.8e+08,-1.53e+09,-1.07e+08,-1.76e+08,-2.11e+08,-2.16e+08,5e+06,3.5e+07,-2.83e+08,-1.64e+08,-4.47e+08,-1e+06,-4.48e+08,-4.48e+08,-4.48e+08,-4.48e+08,7.273e+09,5.606e+09,1.667e+09,1.908e+09,1.908e+09,6.45e+08,1.435e+09,7.83e+08,1.1261e+10,1.6444e+10,1.6444e+10,9.764e+09,4.712e+09,4.523e+09,5.29e+08,2.6938e+10,3.8199e+10,3.359e+09,2.22e+09,1.139e+09,1.14e+09,7.987e+09,7.987e+09,1.2486e+10,1.1296e+10,1.0408e+10,1.2907e+10,4.272e+09,1.857e+09,2.415e+09,7.039e+09,2.4203e+10,3.6689e+10,7.133e+09,3e+06,7.13e+09,-3.2e+07,-5.311e+09,-2.8e+08,1.51e+09,1.51e+09,3.8199e+10,1.24e+08,-1.77e+08,-1.85e+08,-3.62e+08,-4.16e+08,1.4e+07,-4.02e+08,-6.4e+08,-6.4e+08,-6.4e+08,1.2436e+10,0.24878,-0.01244,-0.05208,-0.29669,-0.01173,0.90189,24.29735,0.32556,-1.35758,-1.35758,26.06667,4.57576,-0.01668,-48.25234
"10","2012_Q3",20.19,"Down",9.939e+09,8.768e+09,1.171e+09,-6.829e+09,3.11e+09,-2.329e+09,-3.45e+08,-3.78e+08,-1.606e+09,7.81e+08,-2.35e+08,-2.06e+08,-2.13e+08,7e+06,-2.9e+07,5.46e+08,-2.06e+08,3.4e+08,-1e+06,3.39e+08,3.39e+08,3.39e+08,3.39e+08,7.704e+09,6.086e+09,1.618e+09,1.818e+09,1.818e+09,6.11e+08,1.575e+09,7.97e+08,1.1708e+10,1.6577e+10,1.6577e+10,1.0409e+10,4.681e+09,4.523e+09,1.205e+09,2.6986e+10,3.8694e+10,3.395e+09,2.165e+09,1.23e+09,1.468e+09,8.449e+09,8.449e+09,1.3312e+10,1.0979e+10,1.0128e+10,1.2768e+10,4.287e+09,1.849e+09,2.438e+09,6.835e+09,2.3747e+10,3.7059e+10,7.138e+09,3e+06,7.135e+09,-3.2e+07,-4.972e+09,-4.99e+08,1.635e+09,1.635e+09,3.8694e+10,9.59e+08,-2.3e+08,1.7e+07,-2.13e+08,-2.58e+08,-7999999.99999999,-2.66e+08,4.8e+08,4.8e+08,4.8e+08,1.2447e+10,0.31291,0.07858,0.03411,0.20734,0.00876,0.87951,22.66606,0.32168,1.02108,1.02108,29.93675,4.9247,0.01263,6.07298
