"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",123.501639344262,"Up",8043000,-21124000,-13081000,-2102000,-2001000,-101000,-15183000,-15183000,-15183000,-739000,-15922000,-15922000,501000,-15421000,-15421000,29597000,29597000,10748000,4697000,4697000,45042000,4188000,4188000,49230000,9307000,9307000,4825000,4825000,14132000,20204000,20204000,20204000,34336000,20000,-213042000,228003000,14981000,-87000,14894000,49230000,-15421000,101000,6326000,-768000,-9762000,-748000,-748000,39527000,39527000,29017000,29017000,29017000,-15082000,0,-15859000,-1.62638,-1.88773,-1.91732,-1.03538,-0.31324,1.0284,3.18723,2.30536,0,-7.98188,-7.98188,4.16304,7.75414,-8.20859,-0.43937,-0.45185,1.96241,1.94935
"2","2015_Q2",97.5195238095238,"Down",13118000,-17493000,-4375000,-4009000,-3880000,-129000,-8384000,-8384000,-8384000,-1454000,-9838000,-9838000,784000,-9054000,-9054000,24916000,24916000,12014000,7346000,7346000,44276000,4525000,4525000,48801000,6179000,6179000,6638000,6638000,12817000,25525000,25525000,25525000,38342000,20000,-217931000,229220000,11309000,-850000,10459000,48801000,-9054000,129000,4236000,549000,-4140000,-807000,-807000,330000.000000007,266000,-4681000,-4681000,-4681000,-8255000,0,-7059000,-0.33351,-0.63912,-0.6902,-0.86567,-0.18553,0.779659999999988,3.45447,3.66593,0,-4.56811,-4.56811,6.61857,5.70585,-3.56155000000001,-0.25161,-0.19617,3.01829,2.97185
"3","2015_Q3",71.92546875,"Down",14489000,-5688000,8801000,-4941000,-4542000,-399000,3860000,1001000,1001000,-233000,768000,768000,3146000,3914000,3914000,159107000,21077000,8025000,9556000,9556000,176688000,4389000,14722000,191410000,5983000,5983000,34637000,34637000,40620000,18828000,18828000,18828000,59448000,20000,-210232000,230966000,20754000,111208000,131962000,191410000,3914000,399000,-112263000,104609000,-3341000,-226000,-5726000,5249000,5228000,-3839000,-3839000,-3839000,4259000,0,108875000,0.60743,0.26641,0.27014,0.02966,0.02045,27.81681,4.34978,0.45049,0,1.97179,1.78152,7.29924,10.45542,54.84887,0.02596,0.72203,-37.35783,-41.21943
"4","2015_Q4",62.1646875,"Down",14496000,-6724000,7772000,-6495000,-6507000,12000,1277000,-8118000,-8118000,-1036000,-9154000,-9154000,9208000,54000,54000,141497000,25321000,8550000,8097000,8097000,158144000,6464000,15677000,173821000,10782000,10782000,20754000,20754000,31536000,14194000,13850000,14194000,45730000,20000,-207673000,233744000,26091000,1.02e+08,128091000,173821000,54000,-11999.9999999999,13715000,-9460000.00000003,4297000,-467000,-467000,415999.999999998,414000,4244000,4244000,4244000,1265000,0,-7626000,0.53615,0.08809,0.00373000000000001,0.0004199999999999,0.000310000000000008,-141.22222,5.01471,0.35701,0,0.02712,0.0245200000000001,7.28076,13.10447,-3.83024,0.000379999999999967,-0.0536,-111.85534,-110.80423
"5","2016_Q1",44.6980327868852,"Down",16878000,-11537000,5341000,-3195000,-2912000,-283000,2146000,5721000,5721000,-566000,5155000,5155000,-2479000,2676000,2676000,131344000,50272000,9927000,7593000,7593000,148864000,6550000,18127000,166991000,10447000,10447000,7449000,7449000,17896000,12459000,11830000,12459000,30355000,20000,-202546000,234691000,32165000,104471000,136636000,166991000,2676000,283000,18319000,4360000,25638000,-637000,-637000,-50000,-50000,24951000,24951000,24951000,2429000,0,6718000,0.31645,0.12715,0.15855,0.01958,0.01602,2.51046,8.31828,0.22216,0,1.33333,1.20649,8.40957,16.02641,3.34728,0.01795,0.04506,-54.07328,-61.2041
"6","2016_Q2",49.1403125,"Up",13409000,-9208000,4201000,-4713000,-4441000,-272000,-512000,-7758000,-7758000,-640000,-8398000,-8398000,6666000,-1732000,-1732000,124664000,122438000,13056000,13908000,13908000,151628000,6579000,13171000,164799000,6722000,6722000,13874000,13874000,20596000,12520000,10877000,12520000,33116000,20000,-202292000,232837000,30565000,101118000,131683000,164799000,-1732000,272000,72076000,64000,70680000,-70000,-70000.0000000002,1575000,1556000,72166000,72166000,72166000,-240000,0,394000,0.3133,-0.03818,-0.12917,-0.01315,-0.01051,-0.22747999999998,7.36201,0.25148,1.6940658945086e-21,-0.86255,-0.78088,6.67779,15.22161,0.196219999999999,-0.01201,0.00272999999999997,519.43333,243.48438
"7","2016_Q3",46.73859375,"Down",18152000,-15984000,2168000,-4360000,-4088000,-272000,-2192000,-1934000,-1934000,655000,-1279000,-1279000,173000,-1106000,-1106000,89579000,86432000,7309000,12725000,12725000,109613000,8756000,16699000,126312000,6442000,6442000,18076000,18076000,24518000,14357000,11976000,14357000,38875000,20000,-202668000,235022000,32374000,55063000,87437000,126312000,-1106000,272000,53405000,-45937000,6634000,-265000,1110000,-43749000,-43750000,-36006000,-36006000,-36006000,-1920000,0,-48777000,0.11944,-0.12076,-0.06093,-0.01265,-0.00876,44.10217,4.47072,0.44461,0,-0.54998,-0.54004,9.02636,16.09846,-24.2551,-0.01087,-0.47917,46.65573,40.86633
"8","2016_Q4",43.7026984126984,"Down",16538000,-12964000,3574000,-3709000,-3438000,-271000,-135000,-517000,-517000,-575000,-1092000,-1092000,807000.000000001,-285000,-285000,86755000,79602000,7878000,11036000,11036000,105669000,10834000,20288000,125957000,10199000,10199000,11489000,11489000,21688000,15346000,11697000,15346000,37034000,20000,-202268000,236594000,34346000,54577000,88923000,125957000,-285000,271000,-1817000,-1114000.00000001,-2945000,-3823000,-3823000,-62000,-62000,-6830000,-6830000,-6830000,136000,-3.63797880709171e-12,-4226000,0.21611,-0.00816,-0.01723,-0.00321,-0.00226,14.82807,4.87223,0.41647,0,-0.14151,-0.12599,8.21152,17.05362,-2.09831,-0.00273,-0.04053,-637.90441,642.62963
"9","2017_Q1",53.3016129032258,"Up",19508000,-14280000,5228000,-4846000,-4487000,-359000,382000,-1414000,-1414000,-220000,-1634000,-1634000,2361000,727000,727000,84182000,84091000,16012000,11057000,11057000,111251000,12044000,18546000,129797000,11314000,11314000,13118000,13118000,24432000,15216000,10701000,15216000,39648000,20000,-200439000,237796000,37377000,52772000,90149000,129797000,727000,359000,2497000,2838000,6421000,-2082000,-2082000,150000,150000,4489000,4489000,4489000,741000,0,1717000,0.26799,0.01958,0.03727,0.00806,0.0056,2.36176,4.5535,0.43981,0,0.36097,0.32069,9.6862,18.55859,0.85253,0.0069,0.0163,-113.60594,-220.37173
"10","2017_Q2",53.3128571428571,"Up",13013000,-11032000,1981000,-4117000,-3649000,-468000,-2136000,-2093000,-2093000,-630000,-2723000,-2723000,338000,-2385000,-2385000,40110000,40094000,15267000,14414000,14414000,69791000,12194000,21363000,91154000,16213000,16213000,17552000,17552000,33765000,19184000,13935000,19184000,52949000,20000,-201904000,239761000,37877000,328000.000000007,38205000,91154000,-2385000,468000,63290000,-50793000,10580000,-159000,-144000,-50983000,-51007000,-40571000,-40571000,-40571000,-1668000,-2.91038304567337e-11,-51990000,0.15223,-0.16414,-0.18328,-0.06243,-0.02616,21.79874,2.06696,1.38592,-4.33680868994202e-19,-1.18362,-1.16569,6.45806,18.79752,-25.80149,-0.04156,-0.90592,24.0467600000001,18.7780899999998
