"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","discontinued_operations_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.06765625,"Up",13911000,-1062000,12849000,-18779000,-18496000,-727000,444000,-5930000,-59000,-59000,-5989000,-149000,-6138000,-42000,-6180000,7999000,7999000,1819000,1819000,1819000,-24926552.1707814,-24926552.1707814,-7294544.39030382,-7294544.39030382,315254564.193021,1531458.73690527,15111141.3586743,283033467.631935,5722934.40938289,120210805.937091,90969858.1297335,3631999.9999129,25049344.7800617,559603.033303747,125933740.346474,408967207.978409,634633.833386831,-18876449.3839349,19511083.2173218,80492667.4078224,70370125.7740847,81127301.2412092,68354124.0270373,5859301.2719077,68354124.0270134,149481425.268223,908403215.082503,-8528886.96471391,-640388545.407603,259485782.710187,259485782.710186,408967207.978409,-6180000,-444000,878000,-2047000,-7793000,-733000,-783000,-1468000,-194000,-1469000,-10045000,4462000,-5583000,-5583000,-6374000,0,-9112000,0.92366,-0.42628,0.13076,4.73376866856136,0.807540338474768,-5.00935,2.20599371752343,-8.70848580517242,-3.6486100507939e-14,0.16502,0.16295,1.262,23.5467190907543,-0.82664,2.65696760303357,0.786239898004185,-5.70649549913953,-9.57702550919147
"2","2011_Q1",6.975,"Down",11905000,-1482000,10423000,-20240000,-18162000,-849000,-1229000,-9817000,-79000,-79000,-9896000,-1463000,-11359000,7791000,-3568000,-9483000,-9483000,-13051000,-13051000,-13051000,68819000,68819000,3564000,3564000,139899000,1043000,8155000,212282000,7598000,62922000,41319000,3632000,17855000,116000,70520000,282802000,30443000,6562000,23881000,120890000,118220000,151333000,29648000,3264000,29648000,180981000,908955000,-8532000,-798602000,101821000,101821000,282802000,-3568000,1229000,-7612000,8393000,-1558000,-1380000,-1730000,-3822000,5000,-3865000,-7153000,18678000,11525000,11525000,-8588000,0,-9366000,0.87551,-0.82461,-1.09626,-0.12818,-0.04615,0.717649999999999,1.40275,1.77744,0,-1.18495,-1.18495,1.0809,9.24469,-0.85037,-0.09927,-0.07124,8.01339,7.01019
"3","2011_Q2",5.07142857142857,"Down",13919000,-1206000,12713000,-23613000,-21001000,-1246000,-1366000,-10900000,-79000,-79000,-10979000,-4843000,-15822000,-265000,-16087000,-23408000,-23408000,-39495000,-39495000,-39495000,72652184.0569271,72652184.0569271,7387848.13010127,7387848.13010127,105044561.93566,890263.75436491,7601286.21377523,185084594.122688,8800438.5302057,48599231.354303,31755713.9567555,3632000.00002903,13192551.7399794,18965.6555654176,57399669.8845088,242484264.007197,40514372.0555377,16268483.1279783,24245888.9275594,132251360.864059,131309291.408638,172765732.919597,25460291.9909876,2796316.24269743,25460291.9909955,198226024.910592,909513844.972499,-8533037.6784287,-856722568.197466,44258239.0966045,44258239.0966045,242484264.007197,-16087000,1366000,1374000,2881000,-10466000,-2267000,-2267000,25000,25000,15000,-12718000,-2581000,-15299000,-15299000,-9534000,0,-8655000,0.91336,-0.7831,-2.83749,-1.44737205618712,-0.267821779491589,0.21914,1.10481876082552,5.16872360172414,1.21620335026463e-14,-3.62939,-3.62939,1.27908,4.01828613641522,-0.79535,-0.834337534344524,-0.320450799334728,9.90992349971318,9.40826850306382
"4","2011_Q3",5.065625,"Down",16931000,-1323000,15608000,-22684000,-20441000,-751000,-1492000,-7076000,-76000,-76000,-7152000,-29892000,-37044000,11928000,-25116000,-9389000,-9389000,-34505000,-34505000,-34505000,34276000,34276000,6989000,6989000,151435000,937000,10321000,192700000,9340000,55003000,40496000,3632000,10759000,116000,64343000,257043000,38076000,15951000,22125000,137488000,135049000,175564000,35778000,3464000,35778000,211342000,910148000,-8532000,-855915000,45701000,45701000,257043000,-25116000,1492000,18227000,922000,-4475000,-1871000,-3337000,-926000,-926000,-1616000,-9428000,-9815000,-19243000,-19243000,-5584000,4.2351647362715e-22,-18461000,0.92186,-0.41793,-2.03798,-0.75502,-0.13424,0.53502,1.09761,4.62445,0,-3.13283,-3.13283,1.53723,4.14936,-1.67614,-0.42348,-0.22657,6.13825,4.84398
"5","2011_Q4",4.89730158730159,"Down",13101000,-1e+06,12101000,-15149000,-12863000,-680000,-1606000,-3048000,-111000,-111000,-3159000,-711000,-3870000,465000,-3405000,16720000,16720000,13315000,13315000,13315000,10331000,10331000,5443000,5443000,217943000,1038000,12955000,233717000,9191000,54262000,40295000,3632000,10094000,241000,63453000,297170000,30807000,11691000,19116000,172002000,167565000,202809000,35213000,4215000,35213000,238022000,910998000,-8532000,-843318000,59148000,59148000,297170000,-3405000,1606000,478000,-4617000,-5938000,-1342000,-1364000,-49000,-49000,-2674000,-9976000,-13970000,-23946000,-23946000,-1442000,0,-7866000,0.92367,-0.23265,1.01633,0.22511,0.04481,-0.59076,1.1524,4.02418,0,1.2064,1.2064,1.18701,5.35906,-0.71269,0.14111,-0.08336,7.16436,3.38944
"6","2012_Q1",6.31032258064516,"Up",10666000,-604000,10062000,-14084000,-12108000,-526000,-1450000,-4022000,-102000,-102000,-4124000,-616000,-4740000,-362000,-5102000,6284000,6284000,1182000,1182000,1182000,45541000,45541000,5474000,5474000,245936000,1060000,12451000,296951000,8375000,26014000,11189000,3632000,10947000,246000,34389000,331340000,25784000,9072000,16712000,254541000,250030000,280325000,5544000,4077000,5544000,285869000,912108000,-8532000,-858105000,45471000,45471000,331340000,-5102000,1450000,1111000,-4632000,-7173000,-630000,-1123000,-12000,-12000,988000,-7308000,42518000,35210000,35210000,-2572000,0,-7472000,0.94337,-0.37709,0.11082,0.0259899999999999,0.00357,-6.32149,1.05931,6.28684,-1.26217744835362e-29,0.107,0.107,0.96551,4.11614,-0.67638,0.0231699999999999,-0.14647,17.70645,11.32297
"7","2012_Q2",8.14365079365079,"Up",13235000,-796000,12439000,-17560000,-15455000,-774000,-1331000,-5121000,-121000,-121000,-5242000,-158000,-5400000,2131000,-3269000,17418000,17418000,14149000,14149000,14149000,58953000,58953000,5645000,5645000,191676000,1204000,14852000,256274000,7696000,25956000,11082000,3632000,11011000,231000,33652000,289926000,21959000,6758000,15201000,202424000,197901000,224383000,5438000,4020000,5438000,229821000,912593000,-8532000,-843956000,60105000,60105000,289926000,-3269000,1331000,1315000,-4164000,-4787000,-606000,-606000,-827000,-827000,-3228000,-8621000,22033000,13412000,13412000,-3790000,0,-10691000,0.93986,-0.38693,1.06906,0.2354,0.0488,-0.7556,1.14213,3.82366,0,1.3405,1.3405,1.25391,5.69446,-1.01288,0.21587,-0.16311,15.55488,11.51201
"8","2012_Q3",13.4593650793651,"Up",16970000,-803000,16167000,-18708000,-16800000,-756000,-1152000,-2541000,-136000,-136000,-2677000,-219000,-2896000,1143000,-1753000,27528000,27528000,25775000,25775000,25775000,94682000,94682000,7409000,7409000,37317000,1839000,30025000,139408000,7691000,15068000,10976000,3632000,236000,224000,22759000,162167000,20071000,4625000,15446000,48831000,43053000,68902000,5922000,4960000,5922000,74824000,914185000,-8661000,-818181000,87343000,87343000,162167000,-1753000,1152000,1069000,-2271000,-1803000,-853000,-853000,350000,479000,2254000,-401999.999999999,36131000,35729000,35729000,-1389000,-1.0842021724855e-19,-5656000,0.95268,-0.14973,1.51886,0.2951,0.15894,-0.21944,2.02328,0.85667,0,2.41226,2.41226,1.58821,8.17436,-0.52934,0.27636,-0.06064,68.16559,37.26171
"9","2012_Q4",15.2656451612903,"Up",23296000,-1231000,22065000,-20796000,-18908000,-853000,-1035000,1269000,-349000,-349000,920000,-462000,458000,-188000,270000,4112000,4112000,4382000,4382000,4382000,89780000,89780000,10415000,10415000,31428000,1524000,29425000,131623000,6924000,14908000,10874000,3632000,236000,166000,21832000,153455000,21330000,3963000,17367000,37281000,31784000,58611000,1993000,1094000,1993000,60604000,915542000,-8892000,-813799000,92851000,92851000,153455000,270000,1035000,1655000,-676000,2284000,-587000,-4634000,-184000,47000,4463000,2113000,-7015000,-4902000,-4902000,2304000,0,1229000,0.94716,0.05447,0.1881,0.04719,0.02856,0.28047,2.2457,0.6527,0,0.40687,0.40687,2.16305,8.62126,0.11411,0.0462,0.01296,-38.96701,-70.74862
"10","2013_Q1",17.2913333333333,"Up",23942000,-1465000,22477000,-22093000,-20002000,-1146000,-945000,384000,-275000,-275000,109000,3997000,4106000,-1603000,2503000,-184000.000000002,-184000.000000002,2319000,2319000,2319000,80190000,80190000,11488000,11488000,30594000,773000,29414000,122272000,6155000,14744000,10831000,3632000,129000,152000,20899000,143171000,22701000,2741000,19960000,31665000,31017000,54366000,5883000,936000,5883000,60249000,903814000,-9412000,-811480000,82922000,82922000,143171000,2503000,945000,1199000,-5063000,-416000.000000001,-586000,2376000,-1033000,-514000,-15412000,-13452000,3861999.99999999,-9590000,-9590000,1329000,-1.73472347597681e-18,-2717000,0.93881,0.01604,0.0968599999999999,0.02797,0.0162,-1.17163,2.24905,0.72657,1.61558713389263e-27,0.21532,0.21532,2.22303,7.69935,-0.25227,0.1548,-0.0306,-60.3386,-208.82812
