"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",13.44,"Down",-6708000,-2992000,-3716000,-6708000,-172000,-165000,-336000,171000,-7000,-6880000,-6880000,-6880000,-6880000,-6880000,-6880000,118298000,118298000,1585000,823000,762000,119883000,203000,1962000,1962000,2165000,122048000,4654000,1591000,3063000,5211000,9105000,1735000,1735000,10840000,16051000,173013000,-67016000,105997000,105997000,122048000,-6880000,9000,535000,395000,-5941000,92809000,92809000,92408000,86463000,86463000,86463000,-6699000,9419000,-0.06491,-0.05637,23.00576,0.15143,0.07717,-0.37118,-0.37118,5.71862,-0.05873,16.25302,16.23122
"2","2018_Q2",10.27609375,"Down",-8699000,-4651000,-4048000,-8699000,-33000,9000,-342000,351000,-42000,-8732000,-8732000,-8732000,-8732000,-8732000,-8732000,109280000,109280000,2288000,1323000,965000,111568000,193000,1891000,1891000,2084000,113652000,4255000,1519000,2736000,5800000,8222000,1686000,1686000,9908000,15708000,173692000,-75748000,97944000,97944000,113652000,-8732000,10000,783000,-1135000,-9074000,55999.9999999851,55999.9999999851,56000,-9018000,-9018000,-9018000,-8689000,9487000,-0.08915,-0.07683,19.23586,0.16038,0.08347,-0.4711,-0.4711,5.28415,-0.08002,11.48498,11.47178
"3","2018_Q3",5.09111111111111,"Down",-9904000,-5049000,-4855000,-9904000,54000,65000,-359000,424000,-11000,-9850000,-9850000,-9850000,-9850000,-9850000,-9850000,100768000,100768000,2197000,1608000,589000,102965000,225000,1819000,1819000,2044000,105009000,4923000,2358000,2565000,7463000,7331000,1623000,1623000,8954000,16417000,174191000,-85599000,88592000,88592000,105009000,-9850000,9000,668000,701000,-8472000,2000,2000,2000,-8512000,-8512000,-8512000,-9895000,9562000,-0.11118,-0.0938,13.79673,0.18531,0.09106,-0.531,-0.531,4.77583,-0.09872,9.21738,9.20901
"4","2018_Q4",4.69920634920635,"Down",-5841000,-1945000,-3896000,-5841000,80000,85000,-361000,446000,-5000,-5761000,-5761000,-5761000,-5761000,-5761000,-5761000,95299000,95299000,1532000,981000,551000,96831000,215000,1773000,1773000,1988000,98819000,3879000,1667000,2212000,7430000,6421000,1578000,1578000,7999000,15429000,174750000,-91360000,83390000,83390000,98819000,-5761000,10000,727000,-441000,-5465000,9.31322574615479e-10,9.31322574615479e-10,0,-5469000,-5469000,-5469000,-5831000,9631000,-0.06909,-0.0583,13.03244,0.18502,0.09746,-0.31024,-0.31024,4.49068,-0.0609,14.69182,14.66667
"5","2019_Q1",3.4344262295082,"Down",-5223000,-2074000,-3149000,-5223000,123000,121000,-370000,491000,2000,-5100000,-5100000,-5100000,-5100000,-5100000,-5100000,89478000,89478000,2415000,1757000,658000,91893000,164000,1698000,1698000,1862000,93755000,3509000,587000,2922000,6673000,8179000,159000,159000,8338000,15011000,175203000,-96459000,78744000,78744000,93755000,-5100000,9000,625000,-1335000,-5801000,0,0,-62000,-5821000,-5821000,-5821000,-5214000,11343000,-0.06477,-0.0544,13.77087,0.19063,0.12099,-0.27464,-0.27464,4.24052,-0.05651,14.98562,14.95979
"6","2019_Q2",3.27095238095238,"Down",-8847000,-2323000,-6524000,-8847000,128000,136000,-354000,490000,-8000,-8719000,-8719000,-8719000,-8719000,-8719000,-8719000,83378000,83378000,2433000,1770000,663000,85811000,154000,1622000,1622000,1776000,87587000,5695000,221000,5474000,10096000,6904000,189000,189000,7093000,17189000,175576000,-105178000,70398000,70398000,87587000,-8719000,10000,514000,2077000,-6118000,17999.9999999999,17999.9999999999,18000,-6100000,-6100000,-6100000,-8837000,11305000,-0.12385,-0.09955,8.4995,0.24417,0.12907,-0.46938,-0.46938,3.78978,-0.10647,8.15582,8.1466
"7","2019_Q3",5.640625,"Up",-7335000,-1839000,-5496000,-7335000,80000,94000,-369000,463000,-14000,-7255000,-7255000,-7255000,-7255000,-7255000,-7255000,79467000,79467000,2306000,1658000,648000,81773000,145000,1541000,1541000,1686000,83459000,8529000,1419000,7110000,13532000,6242000,216000,216000,6458000,19990000,175902000,-112433000,63469000,63469000,83459000,-7255000,9000,499000,2836000,-3911000,0,0,0,-3911000,-3911000,-3911000,-7326000,10866000,-0.11431,-0.08693,6.04294,0.31496,0.1302,-0.39046,-0.39046,3.4159,-0.09732,9.36405,9.35256
"8","2019_Q4",5.11578125,"Down",-6290000,-1996000,-4294000,-6290000,82000,-1000,-398000,397000,83000,-6208000,-6208000,-6208000,-6208000,-6208000,-6208000,83562000,83562000,1325000,894000,431000,84887000,136000,1643000,1643000,1779000,86666000,7711000,542000,7169000,8104000,19894000,782000,16000,20676000,28780000,176526000,-118640000,57886000,57886000,86666000,-6208000,10000,505000,115000,-5578000,35000.0000000001,35000.0000000001,9673000,4095000,4095000,4095000,-6280000,19894000,-0.10725,-0.07163,10.4747,0.49718,0.22955,-0.33404,-0.33404,3.11476,-0.07902,10.13822,10.1221
"9","2020_Q1",7.25129032258064,"Up",-10433000,-2115000,-8318000,-10433000,-381000,-336000,-646000,310000,-45000,-10814000,-10814000,-10814000,-10814000,-10814000,-10814000,72624000,72624000,3023000,2619000,404000,75647000,127000,1509000,1509000,1636000,77283000,4830000,1142000,3688000,5237000,19858000,823000,58000,20681000,25918000,180820000,-129455000,51365000,51365000,77283000,-10814000,8000,645000,-4674000,-14835000,7000,7000,3897000,-10938000,-10938000,-10938000,-10425000,20265000,-0.21053,-0.13993,14.44472,0.50458,0.26222,-0.57946,-0.57946,2.75234,-0.14926,5.02245,5.01859
"10","2020_Q2",8.78380952380952,"Up",-6649000,-2503000,-4146000,-6649000,-443000,-412000,-636000,224000,-31000,-7092000,-7092000,-7092000,-7092000,-7092000,-7092000,75339000,75339000,3734000,3370000,364000,79073000,119000,1296000,1296000,1415000,80488000,4242000,652000,3590000,4663000,19828000,893000,98000,20721000,25384000,191651000,-136547000,55104000,55104000,80488000,-7092000,8000,746000,-1405000,-7743000,154000,154000,10458000,2715000,2715000,2715000,-6641000,20249000,-0.1287,-0.08811,16.95754,0.46066,0.25158,-0.35077,-0.35077,2.72543,-0.09301,8.29544,8.28546
