"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",29.3548387096774,"Up",696412000,-449966000,246446000,-143153000,-4249000,-138904000,103293000,-7518000,-8003000,485000,95775000,95775000,-19538000,76237000,76237000,-738000,75499000,75499000,142693462.905565,142693462.905565,448037198.530067,448037198.530067,570428220.824944,111661566.758102,56963001.6015323,1272820449.01868,699888960.614568,1733310829.33274,-1033421868.71818,896513541.344014,606566847.165286,203632750.675198,30591480.6156456,55018003.2633783,1596402501.95858,2869222950.97726,355160064.989928,220387791.094151,45316666.1370321,89455607.7587454,190834436.684153,140431983.418556,140431983.418556,686426485.092637,242445615.127221,283807369.982769,157690077.903968,71519641.8456505,77322584.381602,48794707.697199,526252985.10999,1212679470.20263,544853718.086819,1183052589.13013,-92960085.1948387,1634946222.02211,21597258.7525229,1656543480.77463,2869222950.97726,76237000,26151000,11427000,5971000,5456000,-20678000,-24718000,4040000,93137000,-23224000,1312000,-404474000,-11260000,324635000,-65000,-65000,-12022000,301288000,-10049000,-10049000,7061000,-2988000,129444000,0,105080000,0.35388,0.14832,0.10841,0.0547132814049027,0.0315587708774044,1.39181,1.88911950144739,0.73163482135445,0.148650503506975,0.94241,0.92537,8.69287,20.4630493736074,1.31165,0.14055,7.61004446124592,0.0427687423776655,0.0693615063306805,0.14914,1.65682620996349,1.8181952237838
"12","2013_Q1",32.4268333333333,"Up",739216000,-474358000,264858000,-147400000,-5369000,-142031000,117458000,-8863000,-8469000,-394000,108595000,108595000,-22043000,86552000,86552000,-504000,86048000,86048000,116466000,116466000,478989000,478989000,585856000,101651000,50634000,1282962000,742201000,1775393000,-1033192000,1009025000,719350000,243487000,25205000,20298000,1751226000,3034188000,355922000,219475000,39270000,97177000,75137000,147563000,147563000,578622000,490608000,296737000,190747000,22766000,69134000,36856000,787345000,1365967000,547539000,1246973000,-150662000,1643850000,24371000,1668221000,3034188000,86552000,29928000,27776000,24775000,3001000,-18912000,-9413000.00000001,-9499000,125344000,-39890000,1047000,-38842999.9999999,-11297000,-73106000.0000001,-90000.0000000019,-90000,-690000,-85183000.0000001,1318000,1318000,-10401000,-9083000,147386000,565745000,110627000,0.3583,0.1589,0.1164,0.05158,0.02836,1.28564,2.21727,0.81882,0.18646,1.07122,1.0564,9.20258,20.46448,1.37721,0.14064,5,0.03847,0.04371,0.13129,3.04832,3.82502
"13","2013_Q2",31.65296875,"Down",629459000,-421111000,208348000,-143967000,-5107000,-138860000,64381000,-5054000,-5956000,902000,59327000,59327000,-12280000,47047000,47047000,-657000,46390000,46390000,110528000,110528000,437700000,437700000,624265000,99586000,48360000,1272079000,740706000,1806741000,-1066035000,1003415000,721415000,238222000,23092000,19964000,1744121000,3016200000,291412000,183605000,25291000,82516000,70803000,118073000,118073000,480288000,530321000,293059000,190257000,-13145686.9510457,66501000,36301000,823380000,1303668000,532316000,1280439000,-125402000,1687353000,25179000,1712532000,3016200000,47047000,28991000,13997000,1763000,12234000,-86897000,46814000,-133711000,3138000,-15380000,-64000,-15444000,-12924000,35452000,-26034000,-26034000,6723000,3217000,-9089000,-9089000,3151000,-5938000,93372000,601124000,3375000,0.331,0.10228,0.0737,0.02709,0.01538,0.07275,2.64858,0.76125,0.1993,0.5781,0.56987,7.84421,21.02752,0.04206,0.16106,4,0.02275,0.00129,0.27859,5.25421,7.6202
"14","2013_Q3",34.5425,"Up",633144000,-433697000,199447000,-132978000,-5200000,-127778000,66469000,-7626000,-6970000,-656000,58843000,58843000,-15535000,43308000,43308000,-1166000,42142000,42142000,216771000,216771000,412563000,412563000,619484000,107545000,56149000,1356363000,737638000,1827864000,-1090226000,1006538000,727561000,234225000,21531000,22506000,1744176000,3100539000,242505000,155401000,15958000,71146000,2647000.00000001,117373000,117373000,362525000,704212000,289359000,188573000,-29760850.1872629,65927000,34859000,993571000,1356096000,520077000,1309757000,-109843000,1719991000,24452000,1744443000,3100539000,43308000,26776000,4016000,626000,3390000,-23003000,27084000,-50087000,51097000,-18288000,-23000,-18311000,-12824000,106509000,-20582000,-20582000,-3297000,69806000,102592000,102592000,3651000,106243000,93245000,706859000,67489000,0.31501,0.10498,0.06656,0.02416,0.01359,1.60147,3.74143,0.77738,0.22798,0.52866,0.52077,7.9426,21.57675,0.84663,0.16087,4,0.02006,0.02463,0.3043,5.25592,7.37318
"15","2013_Q4",37.79046875,"Up",655360000,-446865000,208495000,-133523000,-5194000,-128329000,74972000,-8252000,-7504000,-748000,66720000,66720000,-12343000,54377000,54377000,-462000,53915000,53915000,322089000,322089000,442486000,442486000,575889000,101966000,48494000,1442430000,728112000,1822765000,-1094653000,988389000,718751000,226656000,19796000,22470000,1716501000,3158931000,239862000,153048000,10145000,76669000,47135000,117316000,117316000,404313000,703895000,296889000,180914000,-20938838.3298487,81182000,34793000,1000784000,1405097000,507167000,1350984000,-136643000,1721508000,32326000,1753834000,3158931000,54377000,28985000,11915000,9697000,2218000,846000,-36280000,37126000,96123000,-18377000,-65000,-18442000,-12688000,44129000,-31871000,-31871000,33834000,33404000,111085000,111085000,-5767000,105318000,103957000,751030000,98769000,0.31814,0.1144,0.08227,0.03074,0.01707,1.83194,3.56761,0.80116,0.23775,0.68013,0.67052,8.26723,21.71647,1.24595,0.16006,4.46516865876774,0.02377,0.03525,0.23533,4.12614,5.72135
"16","2014_Q1",36.6798360655738,"Down",671410000,-442696000,228714000,-138142000,-5259000,-132883000,90572000,-8853000,-7042000,-1811000,81719000,81719000,-19535000,62184000,62184000,-1366000,60818000,60818000,377316000,377316000,445322000,445322000,578795000,98040000,48333000,1499473000,741482000,1848157000,-1106675000,1060084000,721755000,222765000,39590000,75303000,1801566000,3301039000,298527000,190623000,19471000,88433000,44319000,124747000,124747000,467593000,703626000,317527000,162245000,19461000,102935000,52347000,1021153000,1488746000,471603000,1399227000,-89004000,1781826000,30467000,1812293000,3301039000,62184000,28352000,-5245000,-11854000,6609000,48501000,-3816999.99999999,52318000,133792000,-27774000,-227000,-28501000,-12575000,-2933000.00000001,-42921000,-42921000,4148999.99999999,-54280000,51011000,51011000,4216000,55227000,118924000,747945000,159186000,0.34065,0.1349,0.09058,0.03356,0.01842,2.61742,3.20679,0.82147,0.22658,0.77357,0.76297,8.53994,22.66378,2.02475,0.15995,5,0.0255,0.05532,0.20676,3.11652,4.09209
"17","2014_Q2",37.2150793650794,"Up",619808000,-421571000,198237000,-139407000,-5143000,-134264000,58830000,-7692000,-7081000,-611000,51138000,51138000,-12580000,38558000,38558000,-721000,37837000,37837000,333305000,333305000,425436000,425436000,631784000,103666000,52315000,1494191000,748569000,1888358000,-1139789000,1087554000,730590000,235929000,39268000,80900000,1836123000,3330314000,288094000,173909000,23561000,90624000,2951000,133708000,133708000,424753000,703380000,328987000,165974000,91353595.9820596,102612000,60401000,1032367000,1457120000,481746000,1422997000,-62551000,1842192000,31002000,1873194000,3330314000,38558000,27394000,10002000,1120000,8882000,-31529000,26047000,-57576000,44425000,-24826000,224000,-42149000,-14067000,-41990000,-4327000,-4327000,12058000,-48326000,-46050000,-46050000,2039000,-44011000,86224000,706331000,42449000,0.31984,0.09492,0.06105,0.0202,0.01136,1.12189,3.51779,0.77788,0.21209,0.48237,0.47612,7.90178,23.48566,0.54117,0.17934,5,0.01785,0.01459,0.37178,4.32624,6.34074
"18","2014_Q3",35.48640625,"Down",689935000,-482965000,206970000,-154945000,-6524000,-148421000,52025000,-8892000,-8037000,-855000,43133000,40823000,-16656000,24167000,24167000,42000,24209000,24209000,163289000,163289000,467759000,467759000,730678000,117112000,65359000,1478838000,874378000,2043664000,-1169286000,1454984000,977644000,355581000,33582000,87518000,2329362000,3808200000,290392000,188614000,15943000,85835000,110096000,138821000,138821000,539309000,1035633000,329954000,169751000,169751000,102574000,57629000,1365587000,1904896000,490337000,1433093000,-51433000,1871997000,31307000,1903304000,3808200000,24167000,32540000,16809000,11996000,4813000,-33324000,895000,-34219000,40192000,-23534000,-284000,-640886000,-14113000,438285000,-72999.9999999925,-73000,6264000,430363000,-170331000,-170331000,315000,-170016000,84565000,1145729000,44363000,0.29998,0.07541,0.03509,0.01272,0.00636,1.8325,2.7421,1.00084,0.30086,0.30747,0.30366,8.76275,23.77592,0.56345,0.17925,4,0.01134,0.01313,0.58297,11.61757,18.884
"19","2014_Q4",30.93015625,"Down",755243000,-516287000,238956000,-159422000,-7124000,-152298000,79534000,-8323000,-8883000,560000,71211000,68508000,-16514000,51994000,51994000,-1129000,50865000,50865000,161819000,161819000,528454000,528454000,738857000,109919000,59820000,1539049000,885627000,2072134000,-1186507000,1450567000,974594000,349155000,35131000,91016000,2336194000,3875243000,327437000,203669000,25901000,97867000,113424000,148477000,148477000,589338000,1022129000,329218000,169990000,169990000,99023000,60205000,1351347000,1940685000,486768000,1469853000,-54820000,1901801000,32757000,1934558000,3875243000,51994000,35197000,849000,-1721000,2570000,-19415000,-62758000,43343000,68625000,-36673000,111000,-36562000,-14105000,-10444000,-9663000,-9663000,2517000,-31695000,368000,368000,-1838000,-1470000,114731000,1135553000,75157000,0.3164,0.10531,0.06735,0.02629,0.01313,1.47758,2.61149,1.00317,0.29303,0.64616,0.63843,9.59416,24.15936,0.95475,0.17918,3.78517333022536,0.01911,0.02211,0.2773,8.4871,12.24299
"20","2015_Q1",27.5334426229508,"Down",772204000,-519364000,252840000,-162189000,-7404000,-154785000,90651000,-9716000,-8450000,-1266000,80935000,68340000,-20861000,47479000,47479000,-2024000,45455000,45455000,177929000,177929000,531515000,531515000,703766000,111986000,64089000,1525196000,884458000,2075998000,-1191540000,1458432000,975576000,343176000,41006000,98179000,2342890000,3868086000,323736000,206891000,16953000,99892000,80117000,158903000,158903000,562756000,981666000,362056000,180784000,22516000,118092000,63180000,1343722000,1906478000,494230000,1501157000,-66131000,1929256000,32352000,1961608000,3868086000,47479000,35091000,18614000,11724000,6890000,17447000,-9224999.99999999,26672000,118631000,-31107000,305000,-20577000,-14151000,-72732000.0000001,-102000,-102000,7051000,-79934000,18120000,18120000,-2010000,16110000,125742000,1061783000,132943000,0.32743,0.11739,0.05886,0.02317,0.01175,2.92472,2.71023,0.9719,0.2745,0.5767,0.5696,9.79718,24.47704,1.68669,0.17954,4,0.01761,0.03927,0.31132,7.02911,9.75007
"21","2015_Q2",29.3753968253968,"Up",694941000,-476842000,218099000,-155515000,-7027000,-148488000,62584000,-6397000,-8210000,1813000,56187000,54624000,-14497000,40127000,40127000,-639000,39488000,39488000,156194000,156194000,488423000,488423000,709925000,109811000,63383000,1464353000,858683000,2035780000,-1177097000,1428777000,957139000,331425000,37029000,102750000,2287460000,3751813000,291748000,188999000,20292000,82457000,107258000,139365000,139365000,538371000,908605000,350583000,170060000,170060000,119165000,61358000,1259188000,1797559000,506208000,1526433000,-109886000,1922755000,31499000,1954254000,3751813000,40127000,34372000,16978000,1296000,15682000,-40525000,26189000,-66714000,50952000,-30183000,141000,-30042000,-14212000,-31440000,-79000,-78999.9999999991,5539000,-40192000,-19282000,-19282000,-2453000,-21735000,96956000,1015863000,40745000,0.31384,0.09006,0.05682,0.02021,0.01053,1.03183,2.71997,0.91982,0.27077,0.49913,0.49401,8.78405,24.3036,0.51502,0.17964,4,0.01617,0.01227,0.35991,8.86659,13.73624
"22","2015_Q3",24.61796875,"Down",675631000,-476173000,199458000,-144391000,-6932000,-137459000,55067000,-10182000,-7960000,-2222000,44885000,-343954000,-43751000,-387705000,-387705000,-597000,-388302000,-388302000,146267000,146267000,449166000,449166000,662883000,115671000,70027000,1373987000,843101000,2018872000,-1175771000,1035355000,579567000,310251000,36260000,108869000,1878456000,3252443000,288869000,159464000,66223000,63182000,95513000,144322000,144322000,528704000,867103000,326049000,167284000,167284000,105382000,53383000,1193152000,1721856000,510911000,1123892000,-135483000,1499320000,31267000,1530587000,3252443000,-387705000,32928000,375100000,-15120000,390220000,64047000,28739000,35308000,84370000,-23511000,-267000,-23778000,-14239000,-48639000,-88999.9999999998,-89000,-2434000,-65401000,-4809000,-4809000,-5118000,-9927000,87995000,962616000,172282000,0.29522,0.0815,-0.57472,-0.25369,-0.11939,-0.44368,2.59878,1.12496,0.29597,-4.89391,-4.94495,8.51521,18.89645,2.17133,0.17946,4,-0.13268,0.06111,-0.03667,9.27722,14.82465
"23","2015_Q4",21.425,"Down",638971000,-439501000,199470000,-144427000,-6402000,-138025000,55043000,-7382000,-7759000,377000,47661000,-127774000,82223000,-45551000,-45551000,-678000,-46229000,-46229000,146175000,146175000,451534000,451534000,632479000,111124000,67829000,1341312000,813026000,1956876000,-1143850000,847710000,411883000,290941000,31537000,113018000,1660736000,3002048000,265772000,174312000,16536000,74924000,99620000,159126000,159126000,524518000,804138000,271533000,152805000,152805000,71078000,47650000,1075671000,1600189000,514180000,1063415000,-206418000,1371177000,30682000,1401859000,3002048000,-45551000,32342000,116982000,-37942000,154924000,-19519000,-20641000,1122000,84254000,-22626000,169000,-22457000,-14248000,-48919000,-76000,-76000,4048000,-59195000,2602000,2602000,-2694000,-92000,87385000,903758000,-36983000,0.31217,0.08614,-0.07235,-0.03298,-0.0154,0.8,2.55723,1.14148,0.30105,-0.58232,-0.58232,8.04871,17.27184,-0.46585,0.17947,3,-0.01241,-0.01435,-0.3082,8.66949,13.76348
"24","2016_Q1",16.2726229508197,"Down",637652000,-448686000,188966000,-137248000,-6325000,-130923000,51718000,-5831000,-7537000,1706000,45887000,29489000,-7321000,22168000,22168000,-1021000,21147000,21147000,105494000,105494000,445373000,445373000,575531000,132148000,59699000,1258546000,815825000,1974804000,-1158979000,775158000,417389000,286669000,24091000,46648000,1590983000,2849529000,288364000,187381000,25237000,75746000,15702000,178678000,178678000,482744000,735885000,255465000,163029000,19230000,59744000,32692000,991350000,1474094000,519048000,1070282000,-243523000,1345807000,29628000,1375435000,2849529000,22168000,32022000,9318000.00000006,3190999.99999999,6127000,68353000,12265000,56088000,131861000,-8497000,220000,-8277000,-14280000,-153473000,-74000,-74000,-348000.000000001,-168175000,-44591000,-44591000,3910000,-40681000,83740000,751587000,150917000,0.29635,0.08111,0.03316,0.01537,0.00742000000000001,7.13657,2.60707,1.07173,0.26376,0.26593,0.26593,8.01856,16.92371,1.8978,0.17957,4,0.01487,0.06334,0.67527,7.71546,12.49261
"25","2016_Q2",19.95359375,"Up",555354000,-404130000,151224000,-135490000,-6247000,-129243000,15734000,-8066000,-6979000,-1087000,7668000,-1452000,-4252000,-5704000,-5704000,-522000,-6226000,-6226000,97199000,97199000,401121000,401121000,549608000,120583000,62203000,1168511000,800574000,1971912000,-1171338000,782955000,415080000,278188000,23462000,65937000,1583529000,2752040000,249940000,177736000,12326000,59878000,25285000,163181000,163181000,438406000,725548000,248997000,155981000,155981000,60120000,32896000,974545000,1412951000,522193000,1048141000,-260856000,1309478000,29611000,1339089000,2752040000,-5704000,31559000,31587000,14381000,17206000,-18735000,35481000,-54216000,38707000,-35284000,-72000,-35356000,-15915000,-733000,-80000,-80000,4476000,-12252000,-8901000,-8901000,606000,-8295000,47293000,750833000,-2474000,0.2723,0.02833,-0.01121,-0.00465,-0.00226,0.39737,2.66536,1.05516,0.27283,-0.07809,-0.07809,6.96561,16.42432,-0.03103,0.19962,3,0.00414,-0.00106,-2.55622,13.82095,41.54277
"26","2016_Q3",22.54828125,"Up",524022000,-383215000,140807000,-129220000,-5639000,-123581000,11587000,-6069000,-6803000,734000,5518000,-240026000,71216000,-168810000,-168810000,-417000,-169227000,-169227000,138978000,138978000,333402000,333402000,477499000,113113000,57391000,1062992000,719529000,1859464000,-1139935000,657731000,297975000,216027000,72927000,70800000,1377260000,2440252000,234917000,151597000,29572000,53748000,5942000,154124000,154124000,394983000,700711000,190281000,147766000,147766000,15310000,27205000,890992000,1285975000,526291000,862984000,-264427000,1124848000,29429000,1154277000,2440252000,-168810000,30756000,144771000,-93123000,237894000,59120000,34351000,24769000,65837000,-21489000,886000,40497000,-15930000,-43810000,-87000,-87000,-3293000,-63120000,43214000,43214000,-1435000,41779000,42343000,706653000,8758000,0.2687,0.02211,-0.32294,-0.14661,-0.06935,-0.0517499999999997,2.69123,1.1141,0.28958,-2.11958,-2.11958,6.5634,14.08878,0.10969,0.19952,4,-0.07473,0.00427,-0.0941299999999989,13.40658,48.99241
"27","2016_Q4",26.9674603174603,"Up",497836000,-340483000,157353000,-125432000,-4429000,-121003000,31921000,-5178000,-7113000,1935000,26743000,22159000,-5465000,16694000,16694000,-695000,15999000,15999000,136564000,136564000,365827000,365827000,485390000,111479000,55161000,1099260000,725535000,1885738000,-1160203000,667144000,302109000,212709000,75837000,76487000,1392679000,2491939000,264699000,169332000,29289000,66078000,4140000,152576000,152576000,421415000,699750000,195963000,153104000,153104000,15572000,27287000,895713000,1317128000,530291000,863048000,-249179000,1144160000,30651000,1174811000,2491939000,16694000,27297000,-4168000,-6684000,2516000,1047000,-25707000,26754000,40870000,-21410000,21000,-21389000,-15935000,-3812000,-64000,-64000,475000,-19336000,145000,145000,-2559000,-2414000,59218000,703890000,44320000,0.31607,0.06412,0.03214,0.01362,0.00642,2.77017,2.6085,1.12114,0.28247,0.2003,0.2003,6.23277,14.32456,0.55487,0.1995,6,0.01539,0.02136,0.996,9.5803,17.77281
"28","2017_Q1",31.7959677419355,"Up",521224000,-354541000,166683000,-125595000,-4447000,-121148000,41088000,-4315000,-6857000,2542000,36773000,20748000,-86812000,-66064000,-66064000,-450000,-66514000,-66514000,161579000,161579000,370916000,370916000,458830000,84016000,57303000,1075341000,730640000,1865251000,-1134611000,556802000,298487000,207208000,14459000,36648000,1287442000,2362783000,273111000,182039000,16602000,74470000,1895000,152269000,152269000,427275000,693548000,246159000,201473000,18876000,17126000,27560000,939707000,1366982000,536235000,780597000,-352509000,964323000,31478000,995801000,2362783000,-66064000,27854000,98057000,93754000,4303000,17232000,-11464000,28696000,77079000,-26536000,-176000,-31685000,-15937000,-2440000,-64000,-64000,-491000,-18932000,26462000,26462000,-1447000,25015000,68942000,695443000,146450000,0.31979,0.07883,-0.12761,-0.0667900000000001,-0.02815,-2.20179,2.51674,1.37275,0.29433,-0.83249,-0.83249,6.52362,12.06943,1.83296,0.19947,4,-0.02611,0.07559,-0.2396,7.74367,12.99319
"29","2017_Q2",33.9690476190476,"Up",477140000,-333610000,143530000,-124136000,-4271000,-119865000,19394000,-7111000,-6993000,-118000,12283000,-16322000,-4879000,-21201000,-21201000,-455000,-21656000,-21656000,119411000,119411000,348470000,348470000,459296000,64660000,64660000,991837000,735448000,1889985000,-1154537000,580148000,298718000,202871000,35862000,42695000,1315596000,2307433000,254745000,176004000,17504000,61237000,1381000,146448000,146448000,402574000,694027000,241424000,200998000,200998000,13280000,27146000,935451000,1338025000,543134000,742961000,-349035000,937060000,32348000,969408000,2307433000,-21201000,27438000,8155000,456000,7699000,9159000,23111000,-13952000,23551000,-41126000,159000,-40967000,-15980000,-372000,-63000,-63000,-8700000,-25115000,-42531000,-42531000,363000,-42168000,46832000,695408000,19744000,0.30081,0.04065,-0.04539,-0.02234,-0.00939,-0.91171,2.46374,1.38025,0.30138,-0.27052,-0.27052,5.96023,11.70535,0.24663,0.19962,4,-0.00298,0.01036,-0.7379,12.29922,29.69975
"30","2017_Q3",32.2533333333333,"Down",487573000,-339950000,147623000,-115154000,-4150000,-111004000,32469000,-7877000,-7151000,-726000,24592000,16136000,-8221000.00000001,7914999.99999999,7914999.99999999,-653000,7261999.99999999,7261999.99999999,102001000,102001000,339479000,339479000,449890000,80375000,80375000,971745000,725133000,1867579000,-1142446000,557903000,291952000,197267000,34368000,34314000,1283036000,2254781000,247366000,168880000,18742000,59744000,2263000,140522000,140522000,390151000,694329000,235620000,191717000,191717000,13901000,30002000,929949000,1320100000,550727000,734233000,-382154000,902806000,31875000,934681000,2254781000,7914999.99999999,26977000,4402000,817999.999999985,3584000,-14146000,-2688000,-11458000,25148000,-25938000,-58999.9999999999,-25997000,-15990000,950000,-62000,-62000,3415000,-11687000,-12536000,-12536000,-4874000,-17410000,59446000,696592000,27583000,0.30277,0.06659,0.01489,0.00776999999999999,0.00322,3.79826,2.49069,1.41235,0.30894,0.09054,0.09054,6.07886,11.25581,0.34389,0.19936,6,0.01245,0.01477,2.20187,10.0022,18.31258
"31","2017_Q4",39.0914285714286,"Up",528630000,-342366000,186264000,-121183000,-4244000,-116939000,65081000,-8957000,-7331000,-1626000,56124000,48955000,-9301000,39654000,39654000,-765000,38889000,38889000,100817000,100817000,376956000,376956000,490212000,75061000,75061000,1043046000,728775000,1893086000,-1164311000,562918000,294315000,193069000,34481000,41053000,1291693000,2334739000,284599000,190841000,17732000,76026000,1591000,140609000,140609000,426799000,694631000,233738000,190434000,190434000,13690000,29614000,928369000,1355168000,557620000,757079000,-368737000,945962000,33609000,979571000,2334739000,39654000,26619000,4541000,26000,4515000,-36720000,-33159000,-3561000,34094000,-23179000,11000,-23168000,-16043000,-777000,-63000,-63000,3131000,-13752000,-2826000,-2826000,1642000,-1184000,91700000,696222000,41102000,0.35235,0.12311,0.07357,0.0397,0.01666,1.05691,2.44388,1.38343,0.2982,0.48532,0.48532,6.59707,11.80519,0.51294,0.20021,5,0.02877,0.02152,0.41253,6.49297,9.14868
"32","2018_Q1",40.2306557377049,"Up",565025000,-397526000,167499000,-124673000,-3913000,-120760000,42826000,11068000,-7367000,18435000,53894000,33106000,-7494000,25612000,25612000,-969000,24643000,24643000,190629000,190629000,380425000,380425000,487681000,55166000,55166000,1113901000,744388000,1927778000,-1183390000,557207000,301367000,190527000,28349000,19756000,1301595000,2415496000,307606000,215722000,6202000,85682000,925000,152947000,152947000,461478000,694991000,206374000,160860000,16906000,14883000,30631000,901365000,1362843000,575379000,765607000,-323692000,1017294000,35359000,1052653000,2415496000,25612000,26622000,12130000,4967000,7163000,48181000,5130000,43051000,112545000,-22752000,136000,-22616000,-16115000,-719000,-53000,-53000,14156000,-2731000,87198000,87198000,2614000,89812000,69448000,695916000,102371000,0.29645,0.07579,0.04361,0.02341,0.0102,4.15416,2.41377,1.29467,0.2881,0.30669,0.3036,7.03196,12.66063,1.27405,0.20056,6,0.02085,0.05237,0.65394,7.27576,11.7986
"33","2018_Q2",34.04140625,"Down",542454000,-360505000,181949000,-124253000,-3661000,-120592000,57696000,-2931000,-7149000,4218000,54765000,49240000,-9602000,39638000,39638000,-455000,39183000,39183000,110697000,110697000,385624000,385624000,514720000,64874000,64874000,1075915000,755519000,1967727000,-1212208000,568266000,304678000,187740000,28772000,47076000,1323785000,2399700000,258599000,186342000,7135000,65122000,1252000,137116000,137116000,396967000,695357000,209298000,162941000,162941000,15479000,30878000,904655000,1301622000,577898000,788599000,-304517000,1061980000,36098000,1098078000,2399700000,39638000,26438000,11647000,577000,11070000,-117397000,626000,-118023000,-39674000,-21880000,-67000,-21947000,-16191000,330000,-55000,-55000,-4289000,-20205000,-81826000,-81826000,1894000,-79932000,84134000,696609000,-45541000,0.33542,0.10636,0.07223,0.03568,0.01633,-1.16226,2.71034,1.18536,0.29029,0.48332,0.47713,6.6911,13.09938,-0.56174,0.19971,6,0.02763,-0.02273,0.41321,6.96403,10.15516
"34","2018_Q3",35.3109523809524,"Up",571345000,-381843000,189502000,-125816000,-3677000,-122139000,63686000,-4011000,-7230000,3219000,59675000,59630000,-17472000,42158000,42158000,-556000,41602000,41602000,159940000,159940000,392923000,392923000,507462000,68057000,68057000,1128382000,779665000,2011408000,-1231743000,567814000,306147000,184523000,21667000,55477000,1347479000,2475861000,272593000,190592000,17370000,64631000,1360000,133668000,133668000,407621000,695722000,208570000,164701000,164701000,15141000,28728000,904292000,1311913000,602285000,813936000,-289816000,1126405000,37543000,1163948000,2475861000,42158000,26961000,14235000,6664000,7571000,-2606000,-3916000,1310000.00000003,80748000,-36797000,311000,-36486000,-16265000,172000.000000004,-54000,-54000,19038000,2891000,47153000,47153000,2090000,49243000,90647000,697082000,68715999.9999999,0.33168,0.11147,0.07281,0.03574,0.0168,1.65175,2.76821,1.12712,0.28155,0.5106,0.50263,7.01235,13.82482,0.84338,0.19963,8,0.02796,0.0332,0.39097,5.92565,8.43422
"35","2018_Q4",33.968253968254,"Down",607935000,-391518000,216417000,-134320000,-3690000,-130630000,82097000,-3592000,-7469000,3877000,78505000,77241000,-24130000,53111000,53111000,-2245000,50866000,50866000,221906000,221906000,410550000,410550000,537205000,70926000,65979000,1240587000,804954000,2063094000,-1258140000,572321000,309433000,181676000,22160000,59052000,1377275000,2617862000,336010000,220205000,27300000,88505000,1399000,140381000,140381000,477790000,696087000,217831000,168328000,168328000,14856000,34647000,913918000,1391708000,608934000,848485000,-270094000,1187325000,38829000,1226154000,2617862000,53111000,27623000,4905000,-330000,5235000,31173000,-11471000,42644000,116812000,-44737000,77000,-44660000,-16317000,99000,-54000,-54000,2329000,-13943000,58209000,58209000,3757000,61966000,109720000,697486000,120286000,0.35599,0.13504,0.08367,0.04148,0.01943,2.36476,2.59651,1.13502,0.26643,0.62586,0.61696,7.48007,14.60892,1.48001,0.20077,8,0.03137,0.05617,0.32078,4.33449,5.7929
