"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q3",67.545625,"Down",570222000,-451088000,119134000,-48570000,-25209000,-26600000,3239000,70564000,6113000,-4375000,-4375000,76677000,-13746000,62931000,-91000,62840000,62840000,62840000,62840000,395085000,232429000,182824000,182824000,172841000,89943000,89943000,840693000,870889000,106072000,71876000,71876000,1048837000,1889530000,301476000,138735000,162741000,314544000,581773000,91641000,11649000,79992000,490132000,877036000,1191580000,729246000,647440000,46788000,697950000,697950000,1889530000,62840000,26600000,24323000,27159000,10461000,-27233000,22358000,21573000,140922000,-48707000,-48707000,-48707000,-96000,1310000,-47493000,-4962000,30000.0000000005,-79750000,13679000,13679000,13679000,97164000,308331000,75707000,0.20893,0.12375,0.1102,0.09004,0.03326,1.20476,2.67274,1.70726,0.16318,3.79882,3.53411,34.47116,42.1926,4.57665,0.04425,0.04767,-0.89286,-1.22944
"12","2019_Q4",64.1665625,"Down",619467000,-491004000,128463000,-50561000,-24566000,-30249000,4254000,77902000,-1870000,-4049000,-4049000,76032000,31084000,107116000,-347000,106769000,106769000,106769000,106769000,351484000,175428000,206149000,206149000,171543000,137793000,137793000,866969000,889295000,107543000,70793000,70793000,1067631000,1934600000,328068000,166129000,161939000,339993000,596390000,90799000,12491000,78308000,505591000,889171000,1229164000,735079000,746928000,40311000,705436000,705436000,1934600000,106769000,30249000,-26208000,-2663000,-22493000,1297000,-2928000,21461000,108147000,-49542000,-49542000,-49542000,-1327000,-13440000,-64309000,-3982000,0,-100839000,-57001000,-57001000,-57001000,108151000,304706000,56293000,0.20738,0.12576,0.17236,0.15135,0.05519,0.52724,2.54996,1.74242,0.1575,6.78458,6.33569,39.36373,44.82659,3.57711,0.07082,0.03504,-0.43252,-0.60047
"13","2020_Q1",43.1838709677419,"Down",549480000,-492454000,57026000,-41547000,-21917000,-29499000,9869000,15479000,-21729000,6062000,-3629000,-6250000,-2561000,-8811000,260000,-8551000,-8551000,-8551000,-8551000,288687000,153020000,168125000,168125000,130898000,119037000,119037000,706747000,984509000,105588000,70912000,70912000,1161009000,1867756000,290227000,133060000,157167000,310980000,626174000,86043000,5476000,80567000,540131000,916240000,1227220000,730803000,731425000,5689000,640536000,640536000,1867756000,-8550999.99999999,29499000,19698000,45015000,35335000,30822000,-29791000,8649000,85661000,-128960000,-128960000,-128960000,9146000,34705000,-85109000,5954000,-8959000,-22960000,-22408000,-22408000,-22408000,44978000,310819000,-39227000,0.10378,0.02817,-0.01556,-0.01335,-0.00458,4.58742,2.27264,1.91593,0.16641,-0.56633,-0.53578,36.39181,42.42241,-2.59799,-0.00038,-0.02487,0.49206,1.42981
"14","2020_Q2",26.4230158730159,"Down",405232000,-374999000,30233000,-47883000,-22745000,-31308000,6170000,-17650000,-2872000,-3388000,-3388000,-20522000,-6568000,-27090000,1791000,-25299000,-25299000,-25299000,-25299000,234214000,105157000,149225000,149225000,149986000,106112000,106112000,639537000,1035776000,106535000,75658000,75658000,1217969000,1857506000,252026000,108972000,143054000,280482000,653224000,98966000,18897000,80069000,554258000,983260000,1263742000,734567000,698292000,-11714000,593764000,593764000,1857506000,-25299000,31308000,120000,-18164000,23728000,-19088000,-39201000,16397000,-12035000,-87690000,-87690000,-87690000,-506000,13316000,-74880000,47317000,-620000,39052000,-47863000,-47863000,-47863000,13658000,358492000,-93987000,0.07461,-0.04356,-0.06243,-0.04261,-0.01362,3.71505,2.28014,2.12836,0.193,-1.67111,-1.67111,26.76742,39.22082,-6.20827,-0.011,-0.05854,9.09928,-7.04125
"15","2020_Q3",30.17421875,"Up",319521000,-316348000,3173000,-44201000,-19738000,-30167000,5704000,-41028000,-1601000,-3523000,-3523000,-42629000,-5489000,-48118000,-1206000,-49324000,-49324000,-49324000,-49324000,217259000,150022000,118835000,118835000,154690000,73718000,73718000,564502000,1066614000,106125000,65148000,65148000,1237887000,1802389000,247768000,104464000,143304000,273470000,657283000,100647000,13875000,86772000,556636000,981137000,1254607000,739408000,648909000,-13154000,547782000,547782000,1802389000,-49324000,30167000,7936000,49178000,32089000,-4703999.99999999,-3688000,25481000,37957000,-60871000,-60871000,-60871000,8999.99999999814,77450000,16588000,-8798000,-881999.999999993,-9680000.00000001,44865000,44865000,44865000,-10861000,349556000,-21348000,0.00993,-0.1284,-0.15437,-0.09004,-0.02737,0.43281,2.06422,2.29034,0.19394,-3.25678,-3.25678,21.09746,36.16916,-1.40957,-0.03173,-0.01373,-12.18092,-3.22455
"16","2020_Q4",31.7425,"Up",382261000,-345539000,36722000,-49277000,-21541000,-32630000,4894000,-12555000,-1916000,522000,-2989000,-14471000,-176617000,-191088000,-379000,-191467000,-191467000,-191467000,-191467000,219783000,156655000,127292000,127292000,143396000,72511000,72511000,562982000,964472000,70275000,55608000,55608000,1090355000,1653337000,240131000,99110000,141021000,266118000,653295000,91750000,6108000,85642000,561545000,1021573000,1287691000,744364000,457432000,-8769000,365646000,365646000,1653337000,-191467000,32630000,174316000,14513000,-8401000,11293000,-7585000,19206000,29992000,-57100000,-57100000,-57100000,1353000,2094000,-53653000,-60116000,104329000,44213000,20552000,20552000,20552000,20075000,394265000,-22133000,0.09607,-0.03284,-0.50088,-0.52364,-0.11581,0.1156,2.11554,3.52169,0.23847,-12.63975,-12.63975,25.23508,24.13824,-1.46112,-0.13548,-0.01566,8.69151,-13.89741
"17","2021_Q1",40.927868852459,"Up",360578000,-341593000,18985000,-40342000,-18373000,-27447000,5478000,-21357000,-4235000,-4235000,-3731454.10394803,-25592000,-52734000,-78326000,-199000,-78525000,-78525000,-78525000,-78525000,284257000,187492000,110869000,110869000,126008000,67006000,67006000,588140000,1007303000,71783000,55246000,55246000,1134332000,1722472000,258999000,103743000,155256000,290096000,671600000,97267000,2879000,94388000,574333000,1148815000,1438911000,767737000,378906000,-35701000,283561000,283561000,1722472000,-78525000,27447000,45741000,10529000,-20695615.4144193,-11566439.2577187,2537933.78328571,16471295.9559608,5192000,-80160000,-67150679.7743639,-67150679.7743639,151000,19035000,-60974000,211536000,-132283000,78653000,22871000,22871000,22871000,6090000,508312000,-63342000,0.05265,-0.05923,-0.21778,-0.27692,-0.04559,0.80665,2.0274,5.07443,0.29511,-5.17292,-5.17292,23.75349,18.67991,-4.17273,-0.05325,-0.04328,36.79064,-10.49094
"18","2021_Q2",44.3996825396825,"Up",357543000,-309906000,47637000,-42009000,-21480000,-25797000,5268000,5628000,-3800000,-3800000,-4128000,1828000,-7492000,-5664000,-378000,-6042000,-6042000,-6042000,-6042000,237076000,169593000,129086000,129086000,154395000,62643000,62643000,583200000,1058942000,74503000,57513000,57513000,1190958000,1774158000,273083000,122916000,150167000,297680000,675678000,98024000,2088000,95936000,577654000,1195035000,1492715000,770306000,372882000,-34364000,281443000,281443000,1774158000,-6042000,25797000,10832000,-24901000,-18929000,-28387000,13827000,8588000,5686000,-76758000,-76758000,-76758000,188000,33805000,-42765000,-10286000,42475000,32189000,-4890000,-4890000,-4890000,31425000,543954000,-69856000,0.13323,0.01574,-0.0169000000000001,-0.0214699999999999,-0.00341,11.56173,1.95915,5.30379,0.3066,-0.395340000000001,-0.395340000000001,23.39482,18.41543,-4.57083,-0.00403,-0.04654,9.76541,54.52701
"19","2021_Q3",59.69609375,"Up",450389000,-355329000,95060000,-47656000,-24119000,-27884000,4347000,47404000,-2794000,-2794000,-2941000,44610000,-14738000,29872000,-2006000,27866000,27866000,27866000,27866000,186772000,153516000,160154000,160154000,162531000,45589000,45589000,555046000,1102570000,74974000,62356000,62356000,1239900000,1794946000,282329000,116042000,166287000,416141000,658200000,97765000,2274000,95491000,560435000,1060276000,1476417000,774919000,400771000,-29780000,318529000,318529000,1794946000,27866000,27884000,11248000,-46575000,-30639000,-8136000,763000,-8563000,20423000,-71199000,-71199000,-71199000,250000,32943000,-38006000,-10009000,-343000,-10352000,-27935000,-27935000,-27935000,75288000,535888000,-40480000,0.21106,0.10525,0.06187,0.08748,0.01552,-1.45267,1.33379,4.63511,0.29855,1.82333,1.82333,29.46993,20.84205,-2.64869,0.01842,-0.02676,4.63707,7.36469
"20","2021_Q4",75.55265625,"Up",594412000,-423826000,170586000,-50110000,-21081000,-30760000,1731000,120476000,-6151000,-6151000,-3770301.72996904,114325000,-26264000,88061000,1082000,89143000,89143000,89143000,89143000,209791000,189707000,226206000,226206000,155870000,56772000,56772000,648639000,1135399000,80016000,66895000,66895000,1282310000,1930949000,300293000,102025000,198268000,438880000,660980000,94844000,1527000,93317000,566136000,1077426000,1516306000,779267000,489914000,-27157000,414643000,414643000,1930949000,89143000,30760000,11027000,-65457000,-5480545.89364732,-14162843.4220566,-4239583.57622888,529620.636659201,65473000,-64089000,-53363484.5269465,-53363484.5269465,697000,11329000,-52063000,17275000,-497000,16778000,30188000,30188000,30188000,151236000,555033000,20608000,0.28698,0.20268,0.14997,0.21499,0.04617,0.23118,1.47794,3.6569,0.28744,5.82901,5.21274,38.86824,27.11325,1.34754,0.05467,0.01264,2.2828,2.86565
"21","2022_Q1",101.024193548387,"Up",805698000,-490775000,314923000,-77720000,-25662000,-35886000,-16172000,237203000,-10599000,-10599000,-5878010.19179848,226604000,574000,227178000,-572000,226606000,226606000,226606000,226606000,339657000,325194000,324304000,324304000,156734000,62176000,62176000,882871000,1120043000,15403000,98843000,98843000,1234289000,2117160000,299290000,131986000,167304000,522340000,573331000,74865000,1300000,73565000,498466000,910954000,1433294000,784611000,712478000,14158000,683866000,683866000,2117160000,226606000,35886000,19013000,-134803000,24384679.8858608,-38357745.814036,2729001.36058162,18057813.1324195,146702000,-33394000,-33416271.9716932,-33416271.9716932,20093000,49905000,36604000,3367999.99999999,-48532000,-47819000,135487000,135487000,135487000,273089000,560673000,105464000,0.39087,0.29441,0.28125,0.33136,0.10703,0.465410000000001,1.69022,2.09587,0.26482,14.72232,11.91722,52.34524,44.42996,6.85187,0.12676,0.05802,0.80932,0.93176
"22","2022_Q2",138.343225806452,"Up",867936000,-508225000,359711000,-55419000,-26648000,-32210000,3439000,304292000,-7023000,-7023000,-7047000,297269000,-24942000,272327000,-455000,271872000,271872000,271872000,271872000,318725000,318725000,323167000,323167000,203997000,61124000,61124000,907013000,1111359000,16494000,116019000,116019000,1243872000,2150885000,326484000,147284000,179200000,509095000,585248000,74776000,948000,73828000,510472000,717538000,1226633000,749255000,986797000,15581000,924252000,924252000,2150885000,271872000,32210000,13051000,-24194000,-399000.000000034,-47263000,14115000,9353000.00000003,292939000,-22288000,-22288000,-22288000,360000,12362000,-9566000,-281671000,-4827000,-289843000,-6470000,-6470000,-6470000,336502000,314901000,290475000,0.41444,0.35059,0.31324,0.29415,0.1264,1.06843,1.78162,1.32716,0.14641,17.6632,14.29776,56.38877,60.04756,18.87182,0.15113,0.15922,-0.01136,-0.0125699999999999
"23","2022_Q3",125.61328125,"Down",1133358000,-639760000,493598000,-64534000,-26516000,-32780000,-5238000,429064000,-4610000,-4610000,-5138000,424454000,-16395000,408059000,-496000,407563000,407563000,407563000,407563000,281944000,281944000,457883000,457883000,212752000,68752000,68752000,1021331000,1108926000,16786000,166604000,166604000,1292316000,2313647000,356268000,165143000,191125000,412188000,585644000,74891000,591000,74300000,510753000,712751000,1124939000,774430000,1234979000,6680000,1188708000,1188708000,2313647000,407563000,32780000,10794000,-182909000,-137756000,-8755000,22968000,-59366000,268228000,-30869000,-30869000,-30869000,1187000,-2939000,-32621000,-140497000,-81000,-272388000,-36781000,-36781000,-36781000,461844000,183027000,248562000,0.43552,0.37858,0.35961,0.34286,0.17616,0.60987,2.47783,0.94635,0.07911,24.25826,18.99883,67.45777,70.75222,14.79448,0.28522,0.12699,-0.21418,-0.23054
