"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",11.73109375,"Down",289471000,225716000,239523000,-13807000,63755000,902000,8309000,16090000,38454000,-14333000,275138000,-173419000,-173419000,101719000,101719000,90990000,-32107000,58883000,58883000,58883000,58883000,3313803181.49307,1893906960.78166,14931550069.6758,-110457737.316946,15042007806.9927,296591665.810529,59558715.9478603,829717101.315137,23314958543.8212,17323399164.7303,12009171690.4725,567626206.276661,1284492441.88521,308762849.584793,19484280662.477,3517722042.07124,227561775.780522,85394063.492478,3830677881.34424,3830677881.34424,23314958543.8212,58883000,12598000,14333000,828978000,-663768000,251024000,-19234000,178106000,-206526000,1946000,-42638000,-32674000,1000,-477000,403385000,24669000,394904000,603290000,603290000,603290000,114317000,0,-536578000,0.3514,0.20342,0.0126896947851425,0.00213235769709797,-9.11261,5.08632620097,0.0797907414539723,0.27019,0.26836,1.32824,17.6342958677704,-2.4621,0.14993,0.00329383527245767,0.0167285013467231,0.5549,-8.68287099660668,-9.20563566171739
"2","2015_Q1",11.5345901639344,"Down",279909000,228015000,242151000,-14136000,51894000,1026000,5730000,15472000,29666000,-5241000,274668000,-177076000,-177076000,97592000,97592000,82223000,-29641000,52582000,52582000,52582000,52582000,1605171000,2608061000,15211565000,-116167000,15327732000,317834000,56733000,793872000,22609903000,16892099000,12147295000,562615000,1107971000,269592000,18832277000,3519316000,246242000,12068000,3777626000,3777626000,22609903000,52582000,11910000,5241000,704354000,-690612000,83475000,-17676000,110255000,-78293000,4159000,18445000.0000001,-32676000,-5e+07,4086000,166223000,-28092000,59541000.0000001,161461000,161461000,161461000,109502000,1670586000,-569145000,0.34866,0.18785,0.01392,0.00233,-10.82395,4.98521,0.07389,0.23975,0.23878,1.27626,17.22434,-2.59506,0.14899,0.00377,-0.02517,0.62143,0.59739,0.67029
"3","2015_Q2",12.4533333333333,"Up",280579000,215119000,229071000,-13952000,65460000,116000,6728000,14274000,44342000,-12637000,267942000,-178537000,-178537000,89405000,89405000,73768000,-26639000,47129000,47129000,47129000,47129000,932655772.835642,2871677263.07278,15515304893.4414,-122024670.894351,15637329564.3358,328275444.729824,53920178.0173799,807991382.894954,22513460985.3929,16885685278.4232,12196372853.1758,568890431.241113,1019858019.3716,262820383.471736,18737254112.5077,3518778402.64292,263640158.073159,-6211687.830826,3776206872.88525,3776206872.88525,22513460985.3929,47129000,11490000,12637000,751715000,-846411000,-23440000,-20040000,-224080000,-224002000,2116000,-466006000,-33109000,-39999000,-2198000,331988000,8467000,265149000,-224297000,-224297000,-224297000,100895000,0,-738917000,0.31864,0.16797,0.0143709350716192,0.00240088076763401,-15.67861,4.96232793301,0.0705539195153426,0.21388,0.2132,1.27334,17.1425513774099,-3.35339,0.15026,0.00390622157584744,-0.0393070004489077,0.70252,4.66606533220223,5.10030688723913
"4","2015_Q3",12.2340625,"Down",300140000,217466000,231788000,-14322000,82674000,18999.9999999999,8711000,14811000,59133000,-11254000,288886000,-177827000,-177827000,111059000,111059000,85396000,-30612000,54784000,54784000,54784000,54784000,879947000,2867608000,15847126000,-127071000,15974197000,331208000,51120000,846437000,22793331000,17145046000,12217520000,577925000,991412000,274769000,18989152000,3517557000,281573000,5049000,3804179000,3804179000,22793331000,54784000,12921000,11254000,997798000,-970535000,106222000,-22540000,-42431999.9999999,-428743000,74485000,-419230000,-33126000,-7.5e+07,-7551000,-76165000.0000001,3923000,-187919000,-500927000,-500927000,-500927000,123980000,1569337000,-838483000,0.37002,0.18253,0.0144,0.0024,-15.30525,4.99166,0.06885,0.2485,0.24775,1.36141,17.25541,-3.80328,0.15026,0.00386,-0.03679,0.60467,5.56049,6.20742
"5","2015_Q4",12.125,"Down",282177000,219215000,233802000,-14587000,62962000,220000,5212000,15616000,41914000,-8153000,274024000,-177361000,-177361000,96663000,96663000,89240000,-31633000,57607000,57607000,57607000,57607000,957616000,2794007000,16257801000,-130133000,16387934000,330306000,48314000,836300000,23162304000,17467024000,12259895000,577387000,990692000,291649000,19326752000,3517751000,303729000,14072000,3835552000,3835552000,23162304000,57607000,13305000,8153000,881807000,-825895000,134977000,-15509000,87204000,-414311000,314000,-342302000,-33098000,0,-3091000,323172000,-1989000,284994000,77669000,77669000,77669000,109968000,1568079000,-699803000,0.34256,0.20415,0.01502,0.00249,-12.14788,5.03884,0.0677,0.2615,0.26065,1.28089,17.41074,-3.17662,0.15024,0.00392,-0.03021,0.57455,5.55128,6.31537
"6","2016_Q1",10.9373770491803,"Down",290768000,219834000,235205000,-15371000,70934000,2567000,1729000,15039000,51599000,-4545000,286223000,-182441000,-182441000,103782000,103782000,98723000,-35704000,63019000,63019000,63019000,63019000,773725000,2828626000,16736214000,-130322000,16866536000,328734000,45508000,767699000,23406381000,17707189000,12388598000,560017000,990023000,299818000,19557047000,3520591000,331301000,-2558000,3849334000,3849334000,23406381000,63019000,13877000,4545000,925959000,-848419000,158981000,-11252000,-65856000,-460303000,8038000,-529373000,-35285000,1000.00000000745,-268000,241215000,-19162000,186501000,-183891000,-183891000,-183891000,117659000,1550040000,-706308000,0.35692,0.21673,0.01637,0.00269,-11.20786,5.08063,0.06622,0.28619,0.28516,1.32048,17.48124,-3.2076,0.16024,0.0042,-0.03018,0.55991,6.59801,7.48025
"7","2016_Q2",11.43375,"Up",265225000,217702000,234064000,-16362000,47523000,696000,2371000,14516000,29940000,-4823000,260402000,-180539000,-180539000,79863000,79863000,74841000,-27272000,47569000,47569000,47569000,47569000,912920000,2850554000,16825340000,-130243000,16955583000,322822000,42948000,1084586000,23935686000,18162974000,12702664000,582120000,1004555000,307407000,20057056000,3518792000,343421000,16417000,3878630000,3878630000,23935686000,47569000,14828000,4823000,755393000,-779773000,42840000,-10099000,8998000,-354529000,29000,-355601000,-35281000,1.5e+07,-5026000,456620000,20643000,451956000,139195000,139195000,139195000,94691000,1586675000,-667909000,0.30111,0.17935,0.01226,0.00199,-14.04085,5.17117,0.06629,0.216,0.21519,1.20433,17.61196,-3.03282,0.1602,0.00346,-0.0279,0.74168,7.1153,8.43638
"8","2016_Q3",11.53375,"Up",285429000,209198000,225453000,-16255000,76231000,162000,5640000,15667000,54762000,-10589000,274840000,-181877000,-181877000,92963000,92963000,84757000,-30470000,54287000,54287000,54287000,54287000,905363000,2792086000,17224198000,-131042000,17355240000,312647000,40620000,1006904000,24132507000,18258474000,12782488000,618894000,1004092000,348889000,20230349000,3517240000,362258000,22660000,3902158000,3902158000,24132507000,54287000,15231000,10589000,1189353000,-1019028000,250432000,-5473000,73211000,-418768000,791999.999999998,-350238000,-35247000,-14999.9999999981,-3570000,96049999.9999999,35031000,92248999.9999999,-7557000,-7557000,-7557000,108194000,1622986000,-885837000,0.3257,0.19019,0.01391,0.00225,-16.31766,5.1844,0.06725,0.24629,0.2457,1.29493,17.7032,-4.01884,0.15991,0.00371,-0.03671,0.64927,6.63274,7.71945
"9","2016_Q4",12.7379365079365,"Up",292192000,209892000,226419000,-16527000,82300000,0,1285000,15762000,65253000,-13091000,279101000,-179176000,-179176000,99925000,99925000,96324000,-34515000,61809000,61809000,61809000,61809000,1466441000,2832766000,17258359000,-133692000,17392051000,306287000,38753000,1026370000,24744214000,18918780000,12924987000,569577000,1003690000,331959000,20824006000,3514858000,388678000,16672000,3920208000,3920208000,24744214000,61809000,14548000,13091000,1120768000,-1116355000,93861000,-7001000,-50564000,-45181000,5000,-102741000,-35296000,1000,-4660000,660684000,-50771000,569958000,561078000,561078000,561078000,114473000,1573267000,-974368000,0.34198,0.21154,0.01577,0.0025,-15.76418,5.31196,0.06358,0.28058,0.27992,1.32639,17.79559,-4.42309,0.16022,0.00392,-0.03938,0.57105,0.9332,1.06906
"10","2017_Q1",13.865,"Up",308005000,207796000,224703000,-16907000,100209000,0,4060000,15323000,80826000,-13171000,294834000,-180529000,-180529000,114305000,114305000,109777000,-40502000,69275000,69275000,69275000,69275000,1449432000,3016073000,17374679000,-133984000,17508663000,303882000,36886000,810194000,24813119000,19020985000,13159516000,615157000,953328000,306854000,20896324000,3515299000,422839000,-21343000,3916795000,3916795000,24813119000,69275000,14649000,13171000,1062856000,-1125441000,34510000,-7740000,-248238000,143369000,2149000,-110460000,-35250000,-5e+07,-1826000,102532000,43485000,58941000.0000001,-17009000,-17009000,-17009000,128954000,1568485000,-963725000,0.37111,0.22492,0.01769,0.00279,-13.91158,5.33506,0.06321,0.31448,0.31378,1.3982,17.78042,-4.37486,0.16002,0.00421,-0.03884,0.50884,0.92322,1.04154
