"","YQ","p","d","revenue","sales_services_revenue","financing_revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",27.7315873015873,"Up",2.087e+09,1.99e+09,9.7e+07,-1.243e+09,-1.243e+09,8.44e+08,-6.25e+08,-6.25e+08,2.19e+08,-3.1e+07,-3.1e+07,1.88e+08,1.88e+08,-7.2e+07,1.16e+08,1.16e+08,1.16e+08,1.16e+08,1.04e+09,1.04e+09,1.964e+09,1.964e+09,1.067e+09,3.18e+08,8.4e+07,4.389e+09,2.262e+09,3.05e+08,5.3e+07,2.52e+08,2.567e+09,6.956e+09,1.124e+09,9.08e+08,2.16e+08,6.21e+08,6.21e+08,1.751e+09,2.756e+09,7.55e+08,7.55e+08,3.511e+09,5.262e+09,1.107e+09,1.107e+09,6.07e+08,-2e+07,1.694e+09,1.694e+09,6.956e+09,1.16e+08,7.9e+07,4.7e+07,1e+07,-1.1e+07,4.8e+07,-3.8e+07,1.3e+07,-1.59e+08,1.72e+08,-6.4e+07,2.04e+08,-9.5e+07,-9.5e+07,-3e+06,-9.8e+07,-3.4e+07,1.46e+08,1.46e+08,2.4e+07,2.4e+07,3e+06,1.39e+08,2.45e+08,2.45e+08,2.45e+08,2.98e+08,2.762e+09,2.37e+08,0.40441,0.10494,0.05558,0.06848,0.01668,2.0431,2.50657,3.10626,0.39707,0.53114,0.52158,9.55586,7.75641,1.08516,0.15568,11.673837899036,0.02879,0.04548,0.2931,5.77852,7.86301
"2","2010_Q3",23.3840625,"Down",2.515e+09,2.417e+09,9.8e+07,-1.565e+09,-1.565e+09,9.5e+08,-6.78e+08,-6.78e+08,2.72e+08,-3.2e+07,-3.2e+07,2.4e+08,2.4e+08,-9.4e+07,1.46e+08,1.46e+08,1.46e+08,1.46e+08,1.137e+09,1.137e+09,2.153e+09,2.153e+09,1.055e+09,3.2e+08,7.5e+07,4.665e+09,2.279e+09,3.52e+08,5.3e+07,2.99e+08,2.631e+09,7.296e+09,1.323e+09,1.05e+09,2.73e+08,6.17e+08,6.17e+08,1.946e+09,2.794e+09,7.46e+08,7.46e+08,3.54e+09,5.486e+09,1.12e+09,1.12e+09,7.09e+08,-1.9e+07,1.81e+09,1.81e+09,7.296e+09,1.46e+08,8.3e+07,9e+06,1e+07,-2.3e+07,2.2e+07,4.7e+07,-1.41e+08,1.1e+07,1.04e+08,7.3e+07,2.85e+08,-9.7e+07,-9.7e+07,-8.5e+07,-1.82e+08,-4.4e+07,-1000000.00000003,-1000000.00000003,3e+06,3e+06,3.6e+07,-6e+06,9.7e+07,9.7e+07,9.7e+07,3.55e+08,2.8e+09,3.99e+08,0.37773,0.10815,0.05805,0.08066,0.02001,2.73288,2.39723,3.03094,0.38377,0.66606,0.6553,11.47354,8.2573,1.82026,0.20073,7,0.03547,0.0745,0.30137,4.68451,6.11397
"3","2010_Q4",28.58578125,"Up",2.182e+09,2.087e+09,9.5e+07,-1.331e+09,-1.331e+09,8.51e+08,-6.3e+08,-6.3e+08,2.21e+08,-3.1e+07,-3.1e+07,1.9e+08,1.9e+08,-7.1e+07,1.19e+08,1.19e+08,1.19e+08,1.19e+08,1.046e+09,1.046e+09,2.015e+09,2.015e+09,1.307e+09,3.58e+08,1.2e+08,4.726e+09,2.3e+09,3.56e+08,5.3e+07,3.03e+08,2.656e+09,7.382e+09,1.35e+09,1.054e+09,2.96e+08,5.87e+08,5.87e+08,1.943e+09,2.806e+09,7.62e+08,7.62e+08,3.568e+09,5.511e+09,1.138e+09,1.138e+09,7.52e+08,-1.9e+07,1.871e+09,1.871e+09,7.382e+09,1.19e+08,8.2e+07,4.2e+07,9e+06,1.8e+07,1.5e+07,-1.71e+08,8.2e+07,-2.14e+08,-9e+06,-3e+07,7.2e+07,-1.03e+08,-1.03e+08,3.3e+07,-7e+07,-4.5e+07,-1e+06,-1e+06,-2.2e+07,9e+06,-2.5e+07,-9.3e+07,-9.1e+07,-9.1e+07,-9.1e+07,3.03e+08,2.812e+09,1e+08,0.39001,0.10128,0.05454,0.0636,0.01612,0.84034,2.43232,2.94548,0.38093,0.54313,0.53459,9.95892,8.53948,0.45641,0.20539,6,0.03012,0.01837,0.37815,5.82838,7.99095
"4","2011_Q1",30.5543548387097,"Up",2.916e+09,2.816e+09,1e+08,-1.758e+09,-1.758e+09,1.158e+09,-7.52e+08,-7.52e+08,4.06e+08,-3.3e+07,-3.3e+07,3.73e+08,3.73e+08,-1.41e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,1.506e+09,1.506e+09,2.026e+09,2.026e+09,9.77e+08,3.15e+08,7.9e+07,4.824e+09,2.318e+09,3.2e+08,5.3e+07,2.67e+08,2.638e+09,7.462e+09,1.221e+09,8.46e+08,3.75e+08,6.52e+08,6.52e+08,1.879e+09,2.775e+09,7.87e+08,7.87e+08,3.562e+09,5.441e+09,1.168e+09,1.168e+09,8.82e+08,-2.9e+07,2.021e+09,2.021e+09,7.462e+09,2.32e+08,8.3e+07,4e+07,1.3e+07,1.8e+07,9e+06,2.61e+08,-2.8e+07,2.82e+08,-1.95e+08,2.02e+08,6.16e+08,-1.04e+08,-1.04e+08,-7999999.99999999,-1.12e+08,-4.4e+07,-2e+06,-2e+06,-4.1e+07,1.2e+07,4.3e+07,-4.4e+07,4.6e+08,4.6e+08,4.6e+08,4.89e+08,2.781e+09,7.87e+08,0.39712,0.13923,0.07956,0.11479,0.03109,3.39224,2.56732,2.69223,0.37269,1.06178,1.04223,13.34554,9.24943,3.60183,0.20137,6,0.04938,0.14081,0.18966,2.60736,3.14039
"5","2011_Q2",32.5111111111111,"Up",2.323e+09,2.229e+09,9.4e+07,-1.385e+09,-1.385e+09,9.38e+08,-6.66e+08,-6.66e+08,2.72e+08,-3.1e+07,-3.1e+07,2.41e+08,2.41e+08,-9.6e+07,1.45e+08,1.45e+08,1.45e+08,1.45e+08,1.433e+09,1.433e+09,1.969e+09,1.969e+09,1.149e+09,3.02e+08,8e+07,4.853e+09,2.361e+09,5.33e+08,2e+08,3.33e+08,2.894e+09,7.747e+09,1.267e+09,1.035e+09,2.32e+08,7.15e+08,7.15e+08,2.488e+09,2.276e+09,8.49e+08,8.49e+08,3.125e+09,5.613e+09,1.362e+09,1.362e+09,8e+08,-2.8e+07,2.134e+09,2.134e+09,7.747e+09,1.45e+08,8.6e+07,2.2e+07,1.1e+07,1e+06,1e+07,-4.4e+07,4e+06,-1.43e+08,1.54e+08,-5.9e+07,2.09e+08,-1.16e+08,-1.16e+08,2.8e+07,-8.8e+07,-5e+07,-1e+06,-1e+06,-1.42e+08,2.9e+07,-1e+06,-1.94e+08,-7.3e+07,-7.3e+07,-7.3e+07,3.58e+08,2.782e+09,2.94e+08,0.40379,0.11709,0.06242,0.06795,0.01872,2.02759,1.95056,2.63027,0.35911,0.6621,0.64935,10.60731,9.74429,1.34247,0.22831,5,0.03382,0.051,0.34483,3.76816,4.95956
"6","2011_Q3",32.8125,"Up",2.81e+09,2.716e+09,9.4e+07,-1.723e+09,-1.723e+09,1.087e+09,-7.67e+08,-7.67e+08,3.2e+08,-3e+07,-3e+07,2.9e+08,2.9e+08,-1.15e+08,1.75e+08,1.75e+08,1.75e+08,1.75e+08,1.09e+09,1.09e+09,2.204e+09,2.204e+09,1.152e+09,3.17e+08,8.9e+07,4.763e+09,2.422e+09,5.51e+08,2e+08,3.51e+08,2.973e+09,7.736e+09,1.379e+09,1.087e+09,2.92e+08,6.96e+08,6.96e+08,2.581e+09,2.296e+09,8.56e+08,8.56e+08,3.152e+09,5.733e+09,1.402e+09,1.402e+09,6.29e+08,-2.8e+07,2.003e+09,2.003e+09,7.736e+09,1.75e+08,9.3e+07,1.9e+07,1.7e+07,-9e+06,1.1e+07,1.7e+07,-1.74e+08,7000000.00000006,1.31e+08,5.3e+07,3.04e+08,-1.32e+08,-1.32e+08,-8.8e+07,-2.2e+08,-5e+07,-2e+06,-2e+06,-2.8e+08,2.1e+07,-9.5e+07,-4.27e+08,-3.43e+08,-3.43e+08,-3.43e+08,4.13e+08,2.802e+09,4.13e+08,0.38683,0.11388,0.06228,0.08737,0.02262,2.36,1.84541,2.86221,0.3622,0.81019,0.79437,13.00926,9.27315,1.91204,0.23148,8,0.03975,0.07296,0.28571,4.14528,5.35
"7","2011_Q4",34.9328571428571,"Up",2.478e+09,2.383e+09,9.5e+07,-1.511e+09,-1.511e+09,9.67e+08,-7.27e+08,-7.27e+08,2.4e+08,-3.1e+07,-3.1e+07,2.09e+08,2.09e+08,-8.2e+07,1.27e+08,1.27e+08,1.27e+08,1.27e+08,1.457e+09,1.457e+09,1.995e+09,1.995e+09,1.507e+09,3.63e+08,1.47e+08,5.322e+09,2.471e+09,5.46e+08,2e+08,3.46e+08,3.017e+09,8.339e+09,1.583e+09,1.256e+09,3.27e+08,6.98e+08,6.98e+08,2.787e+09,2.81e+09,8.46e+08,8.46e+08,3.656e+09,6.443e+09,1.436e+09,1.436e+09,4.87e+08,-2.7e+07,1.896e+09,1.896e+09,8.339e+09,1.27e+08,9.4e+07,5.8e+07,1.4e+07,2.6e+07,1.8e+07,-1.64e+08,1.14e+08,-3.08e+08,4.6e+07,-1.6e+07,1.15e+08,-1.5e+08,-1.5e+08,6.7e+07,-8.3e+07,-4.9e+07,4.97e+08,4.97e+08,-2.02e+08,1.9e+07,8.9e+07,3.35e+08,3.67e+08,3.67e+08,3.67e+08,3.34e+08,3.316e+09,1.02e+08,0.39023,0.09685,0.05125,0.06698,0.01523,0.80315,1.90958,3.39821,0.39765,0.60218,0.5907,11.74964,8.99004,0.48364,0.23234,6,0.02905,0.01684,0.38583,5.56587,7.74583
"8","2012_Q1",37.3267741935484,"Up",3.249e+09,3.169e+09,8e+07,-1.973e+09,-1.973e+09,1.276e+09,-8.59e+08,-8.59e+08,4.17e+08,-3.8e+07,-3.8e+07,3.79e+08,3.79e+08,-1.43e+08,2.36e+08,2.36e+08,2.36e+08,2.36e+08,1.877e+09,1.877e+09,2.033e+09,2.033e+09,1.148e+09,5.02e+08,2.82e+08,5.56e+09,2.469e+09,4.62e+08,1.75e+08,2.87e+08,2.931e+09,8.491e+09,1.305e+09,9.17e+08,3.88e+08,7.64e+08,7.64e+08,2.575e+09,3.141e+09,8.19e+08,8.19e+08,3.96e+09,6.535e+09,1.484e+09,1.484e+09,5.17e+08,-4.5e+07,1.956e+09,1.956e+09,8.491e+09,2.36e+08,9.8e+07,1000000.00000001,8e+06,-4e+06,-3e+06,2.14e+08,-2.5e+07,3.07e+08,-2.77e+08,2.09e+08,5.49e+08,-1.13e+08,-1.13e+08,-2.24e+08,-3.37e+08,-4.8e+07,3.24e+08,3.24e+08,-1.4e+08,7e+06,7.2e+07,2.08e+08,4.2e+08,4.2e+08,4.2e+08,5.15e+08,3.647e+09,7.59e+08,0.39274,0.12835,0.07264,0.12065,0.02779,3.2161,2.15922,3.341,0.42951,1.13407,1.11216,15.61269,9.39933,3.64728,0.23066,5,0.04422,0.11819,0.20339,3.43689,4.2446
"9","2012_Q2",37.4707936507937,"Up",2.625e+09,2.535e+09,9e+07,-1.584e+09,-1.584e+09,1.041e+09,-7.61e+08,-7.61e+08,2.8e+08,-4e+07,-4e+07,2.4e+08,2.4e+08,-9.1e+07,1.49e+08,1.49e+08,1.49e+08,1.49e+08,1.647e+09,1.647e+09,2.008e+09,2.008e+09,1.372e+09,2.94e+08,7.9e+07,5.321e+09,2.472e+09,4.65e+08,1.75e+08,2.9e+08,2.937e+09,8.258e+09,1.408e+09,1.176e+09,2.32e+08,7.93e+08,7.93e+08,2.207e+09,3.137e+09,8.31e+08,8.31e+08,3.968e+09,6.175e+09,1.557e+09,1.557e+09,5.7e+08,-4.4e+07,2.083e+09,2.083e+09,8.258e+09,1.49e+08,1.01e+08,3e+06,1.3e+07,0,-1e+07,-9.4e+07,-2e+06,-2.04e+08,2.03e+08,-9.1e+07,1.59e+08,-9.8e+07,-9.8e+07,2.17e+08,1.19e+08,-5.6e+07,-5.02e+08,-5.02e+08,-1e+07,4.7e+07,6e+07,-5.08e+08,-2.3e+08,-2.3e+08,-2.3e+08,3.81e+08,3.143e+09,2.8e+08,0.39657,0.10667,0.05676,0.07153,0.01804,1.87919,2.41097,2.96447,0.3806,0.71877,0.70482,12.66281,10.04824,1.3507,0.27014,6,0.03385,0.04623,0.37584,3.92651,5.34286
"10","2012_Q3",39.998253968254,"Up",3.006e+09,2.918e+09,8.8e+07,-1.879e+09,-1.879e+09,1.127e+09,-8.37e+08,-8.37e+08,2.9e+08,-4e+07,-4e+07,2.5e+08,2.5e+08,-9.4e+07,1.56e+08,1.56e+08,1.56e+08,1.56e+08,1.258e+09,1.258e+09,2.297e+09,2.297e+09,1.394e+09,3.18e+08,8.5e+07,5.267e+09,2.499e+09,4.8e+08,1.75e+08,3.05e+08,2.979e+09,8.246e+09,1.635e+09,1.345e+09,2.9e+08,8.05e+08,8.05e+08,2.446e+09,3.133e+09,8.31e+08,8.31e+08,3.964e+09,6.41e+09,1.582e+09,1.582e+09,2.96e+08,-4.2e+07,1.836e+09,1.836e+09,8.246e+09,1.56e+08,1.06e+08,-4e+06,1.8e+07,-3e+07,8e+06,-45000000.0000001,-2.18e+08,-14000000.0000002,1.23e+08,6.4e+07,2.13e+08,-1.21e+08,-1.21e+08,-9.6e+07,-2.17e+08,-5.6e+07,-1e+06,-1e+06,-3.51e+08,9999999.99999999,2.3e+07,-3.85e+08,-3.89e+08,-3.89e+08,-3.89e+08,3.96e+08,3.139e+09,3.24e+08,0.37492,0.09647,0.0519,0.08497,0.01892,2.07692,2.15331,3.49129,0.38067,0.75986,0.74784,14.64199,8.94301,1.57818,0.27277,6,0.03651,0.0558,0.35897,4.75,6.48621
