"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",14.95984375,"Up",90316000,-53424000,36892000,-31347000,-21187000,-8052000,-2108000,5545000,-359000,-1185000,83000,743000,5186000,-2958000,2228000,-322000,1906000,1906000,1906000,1906000,67892000,67892000,58683000,58683000,61764000,7087000,4633000,195426000,36195000,184910000,62968000,103413000,7966000,10563000,221105000,416531000,52937000,26893000,1770000,24274000,60332000,86763000,22220000,556000,21664000,108983000,169315000,453176000,-187644000,-18316000,247216000,247216000,416531000,1906000,1906000,5229000,5341000,-4178000,8298000,1248000,3168000,-2217000,-1232000,-3449000,8017000,8017000,-84000,7933000,10774000,94158000,8166000,0.40848,0.0614,0.0211,0.00771,0.00458,4.28437,3.23918,0.68489,0.22605,0.055,0.05469,2.606,7.13322,0.23562,0.00524,0.02246,2.43791,4.73688
"2","2016_Q3",16.45921875,"Up",97734000,-56238000,41496000,-30193000,-20198000,-8016000,-1979000,11303000,-228000,-1205000,707000,270000,11075000,-3705000,7370000,-2499000,4871000,4871000,4871000,4871000,60497000,60497000,57587000,57587000,59981000,9423000,4944000,187488000,37647000,188750000,64020000,108253000,6463000,10014000,226397000,413885000,56435000,25879000,1652000,28904000,63806000,79164000,21326000,42000,21284000,100490000,164296000,452747000,-182773000,-20385000,249589000,249589000,413885000,4871000,4871000,4924000,2563000,3135000,15493000,-2904000,-12278000,-6001000,-2138000,-9488000,-6273000,-6273000,-1122000,-7395000,16227000,86535000,18957000,0.42458,0.11565,0.04984,0.01952,0.01177,3.89181,2.93841,0.65827,0.20908,0.14024,0.13962,2.81378,7.18573,0.54578,0.01363,0.05303,1.60461,2.30364
"3","2016_Q4",19.0465079365079,"Up",97829000,-56617000,41212000,-30999000,-20972000,-7961000,-2066000,10213000,-207000,-1081000,188000,686000,10006000,835000,10841000,-3371000,7470000,7470000,7470000,7470000,64739000,64739000,61787000,61787000,59614000,10126000,5621000,196266000,34911000,185560000,60871000,108337000,5886000,10466000,220471000,416737000,59527000,28179000,1274000,30074000,66892000,72267000,20378000,42000,20336000,92645000,159537000,453113000,-175303000,-20610000,257200000,257200000,416737000,7470000,7470000,5164000,-46000,-1672000,10916000,1688000,1688000,-7062000,-846000,-8193000,4411000,4411000,-169000,4242000,15377000,79632000,18764000,0.42127,0.1044,0.07636,0.02904,0.01792,2.51191,2.93407,0.62028,0.19108,0.21542,0.21387,2.82115,7.41702,0.54111,0.02091,0.05253,0.96852,1.45824
"4","2017_Q1",24.3870967741935,"Up",98879000,-56027000,42852000,-29013000,-18942000,-7973000,-2098000,13839000,361000,-1088000,1339000,110000,14200000,-2117000,12083000,-4327000,7756000,7756000,7756000,7756000,68108000,68108000,63769000,63769000,59745000,7628000,5570000,199250000,35421000,190966000,61743000,108128000,8593000,12502000,226387000,425637000,63130000,32213000,3969000,26948000,70496000,70554000,25717000,1294000,24423000,96271000,166767000,454132000,-167547000,-27715000,258870000,258870000,425637000,7756000,7756000,5040000,-661999.999999998,947000,13081000,-5437000,-5443000,-969999.999999998,-1089000,-2059000,5579000,5579000,-2210000,3369000,18879000,77920000,18716000,0.43338,0.13996,0.07844,0.02996,0.01822,2.4131,2.8264,0.64421,0.18307,0.22346,0.22168,2.84888,7.45851,0.53924,0.0214,0.05163,0.51973,0.70901
"5","2017_Q2",31.7496825396825,"Up",108974000,-62880000,46094000,-34938000,-22874000,-9215000,-2849000,11156000,-1360000,-1328000,-1000,-31000,9796000,25592000,35388000,-1114000,34274000,34274000,34252000,34252000,80014000,80014000,70073000,70073000,71019000,8879000,6139000,229985000,36792000,268489000,104363000,150278000,10013000,3835000,305281000,535266000,70577000,34226000,5410000,30941000,77945000,110865000,30165000,8254000,21911000,141030000,218975000,453561000,-133295000,-26070000,294196000,316291000,535266000,34274000,34274000,6482000,-24558000,-3438000,12760000,-1760000,-36656000,39910000,-4067000,35473000,11577000,11577000,329000,11906000,17638000,118233000,13554000,0.42298,0.10237,0.31431,0.10829,0.06399,0.39571,2.95061,0.69232,0.22089,0.98524,0.97515,3.13459,8.46242,0.38987,0.07371,0.02917,2.16686,3.42587
"6","2017_Q3",38.8774603174603,"Up",119102000,-65613000,53489000,-36161000,-23810000,-9004000,-3347000,17328000,-1068000,-1435000,486000,-119000,16260000,-1581000,14679000,-4689000,9990000,9990000,9402000,9402000,89126000,89126000,69112000,69112000,76796000,10656000,6714000,245690000,36503000,267420000,100993000,151538000,11021000,3868000,303923000,549613000,75978000,37784000,4196000,33998000,83349000,104176000,30184000,8551000,21633000,134360000,217709000,454755000,-127611000,-22598000,304546000,331904000,549613000,9990000,9990000,7094000,1938999.99999999,-2261000,16762000,-1357000,-1249000,-7060000,-125000,-7185000.00000001,8328000,8328000,784000,9112000,24422000,111547000,25493000,0.4491,0.14549,0.07894,0.02833,0.01711,2.71144,2.94773,0.65594,0.20296,0.26996,0.26512,3.41982,8.74454,0.73199,0.01985,0.05382,0.91807,1.29392
"7","2017_Q4",48.7325396825397,"Up",146296000,-87589000,58707000,-42466000,-27590000,-11659000,-3217000,16241000,-2910000,-2111000,-661000,-138000,13331000,-3834000,9497000,-1131000,8366000,8366000,7532000,7532000,92149000,92149000,83008000,83008000,88861000,16360000,8253000,280378000,60244000,381686000,157938000,207720000,11772000,4256000,441930000,722308000,86692000,39666000,6086000,40940000,95807000,234188000,46328000,27106000,19222000,280516000,376323000,456139000,-127660000,-19332000,309147000,345985000,722308000,8366000,8366000,8864000,5304000,-10769000,11765000,-3385000,-136885000,127648000,-838000,126810000,1690000,1690000,1333000,3023000,25105000,243303000,12082000,0.40129,0.11101,0.05148,0.02177,0.01043,1.60409,2.92649,1.08769,0.33684,0.21623,0.21623,4.19993,8.87512,0.34685,0.01185,0.01901,6.02087,9.30694
"8","2018_Q1",54.7901639344262,"Up",146918000,-84677000,62241000,-41858000,-27380000,-11795000,-2683000,20383000,-2503000,-2291000,-271000,59000,17880000,-1310000,16570000,-6893000,9677000,9677000,8865000,8865000,100057000,100057000,81482000,81482000,91278000,15062000,10675000,287879000,61718000,377106000,155048000,210988000,7052000,4018000,438824000,726703000,89049000,39793000,5942000,43314000,98168000,225500000,44567000,25672000,18895000,270067000,368235000,457165000,-127740000,-17880000,311545000,358468000,726703000,9677000,9677000,8318000,1479000,2617000,22091000,-2546000,-2590000,-10654000,-1114000,-11768000,7733000,7733000,175000,7908000,28701000,234619000,35665000,0.42364,0.13874,0.06034,0.02473,0.0122,4.02312,2.93251,1.02725,0.32285,0.25443,0.24833,4.21657,8.94139,1.02359,0.0139,0.05593,4.68841,6.60168
"9","2018_Q2",61.14453125,"Up",146965000,-84806000,62159000,-44907000,-29220000,-11989000,-3698000,17252000,-2806000,-2358000,-407000,-41000,14446000,-25000,14421000,-1584000,12837000,12837000,11911000,11911000,111127000,111127000,76915000,76915000,98812000,11221000,8266000,298075000,61591000,374082000,151816000,213822000,6829000,1615000,435673000,733748000,82488000,41717000,2529000,38242000,91611000,224098000,44512000,26060000,18452000,268610000,360221000,456406000,-123470000,-14325000,318611000,373527000,733748000,12837000,12837000,9067000,3183000,-4678000,20409000,-2933000,-2881000,-5442000,-2878000,-8320000,9208000,9208000,1862000,11070000,26319000,233221000,20292000,0.42295,0.11739,0.08105,0.03189,0.01623,1.70364,3.2537,0.96438,0.31785,0.34142,0.3362,4.2126,9.13266,0.58165,0.01829,0.03116,4.63901,7.07709
"10","2018_Q3",70.1039682539682,"Up",150400000,-85171000,65229000,-45675000,-29231000,-12551000,-3893000,19554000,-2430000,-2561000,177000,-46000,17124000,-2439000,14685000,-3060000,11625000,11625000,1.1e+07,1.1e+07,107261000,107261000,76747000,76747000,96377000,15356000,8878000,295741000,64660000,381360000,154714000,218324000,6747000,1575000,446020000,741761000,83871000,42505000,2191000,39175000,92998000,228306000,44485000,25541000,18944000,272791000,365789000,455650000,-112167000,-19117000,324366000,375972000,741761000,11625000,11625000,9120000,819000,-1608000,19956000,-4326000,-31751000,13598000,-637000,11032000,-763000,-763000,-3103000,-3866000,28674000,237433000,25800000,0.4337,0.13001,0.07314,0.02926,0.01483,2.34545,3.18008,0.97292,0.32009,0.31474,0.31009,4.30341,9.28112,0.73822,0.01672,0.03922,4.53972,6.65705
