"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",15.9140625,"Up",215605000,-96797000,118808000,-92192000,-92192000,26616000,618000,-153000,908000,-137000,27234000,27175000,-2179000,24996000,24996000,24996000,24996000,170254275.17961,170254275.17961,-60103754.5563904,-60103754.5563904,89047750.8717125,78950476.4159707,-5005283.50357625,46324703.8895264,5434168.00492404,278148747.910903,56709362.6428255,109761886.534269,36362304.9875646,36251252.9329742,37148363.9362006,166471249.177095,444619997.087998,79817059.9511172,-56240955.4069328,81374192.3212518,54683823.0367981,117271754.119941,14331948.5874413,18459911.6498748,14324053.6545966,131595807.774538,275788704.075111,-19681402.3289979,75255962.9932337,-18339599.0563985,313024189.31346,313024189.31346,444619997.087998,24996000,9094000,4889000,9073000,48052000,-8528000,4515000,-4013000,-419000,549000,551000,44590000,44590000,1600000,46190000,35710000,0,38434000,0.55104,0.12345,0.11593,-0.265624787400435,-0.179597363789665,1.53761,2.38618051478292,0.435300683753907,-0.00521170372726792,0.29359,0.28536,2.53236,2.43869529564688,0.45142,-0.239906174218405,-0.403944266208596,-1.1257590524561,14.2656346294075
"2","2011_Q1",17.3138709677419,"Up",179192000,-91559000,87633000,-81944000,-81944000,5689000,872000,-212000,-4000,1088000,6561000,5622000,-893000,4729000,4729000,4729000,4729000,145583000,145583000,64260000,64260000,121155000,50016000,13429000,9062000,11637000,381014000,70014000,98453000,45461000,34711000,18281000,168467000,549481000,118241000,35669000,23084000,59488000,137762000,35613000,35613000,35613000,173375000,277381000,-22008000,89881000,30852000,376106000,376106000,549481000,4729000,10355000,-576000,1878000,16386000,-15974000,-995000,-15254000,-452000.000000002,4301000,3428000,4560000,4560000,-2034000,2526000,16044000,1901000,2841000,0.48905,0.03175,0.02639,0.01257,0.00861,0.60076,2.76574,0.46097,0.00346,0.05554,0.0539899999999999,2.10467,4.4175,0.03337,0.01143,0.00687,-8.9555,-25.25611
"3","2011_Q2",21.4657142857143,"Up",226708000,-107502000,119206000,-88614000,-88614000,30592000,-1831000,-188000,-1372000,-271000,28761000,27989000,-6485000,21504000,21504000,21504000,21504000,153495574.94013,153495574.94013,112721084.85213,112721084.85213,143823916.376096,49372091.1946765,20220761.1678587,2121932.03682454,15192443.9983587,459412667.363032,72544879.1190582,96827287.8219102,48522398.3374785,33469915.6890086,14834962.0212665,169372166.940968,628784834.304001,141602896.682961,67964151.8023109,8050685.89291606,65588058.987734,157144331.96002,42810933.8041862,41039779.4500417,42813565.4484678,199957897.408487,281677265.308296,-22208282.5570007,125202012.335589,44156116.3521328,428826936.895513,428826936.895513,628784834.304001,21504000,9843000,2671000,-62754000,-28736000,-9340000,-17000,-9357000,4910000,2633000,7543000,-30550000,-30550000,466000,-30084000,40435000,0,-25174000,0.52581,0.13494,0.09485,0.120681595800145,0.0822491212632216,-1.17067,2.93225316173903,0.465531438748698,0.00545473457575597,0.25257,0.24549,2.66277,5.30722573478437,-0.29568,0.109537058072802,0.163144755402865,-7.3244011491813,-22.3271523764692
"4","2011_Q3",27.22671875,"Up",295585000,-125367000,170218000,-109483000,-109483000,60735000,3303000,-241000,2624000,920000,64038000,64778000,-9272000,55506000,55506000,55506000,55506000,179979000,179979000,115651000,115651000,156464000,61861000,20292000,10620000,17127000,513955000,69337000,100222000,48164000,32429000,19629000,169559000,683514000,153531000,66186000,16076000,71269000,172125000,42384000,40475000,42384000,214509000,287058000,-21213000,166891000,36269000,469005000,469005000,683514000,55506000,9564000,-3610000,11157000,72617000,-11952000,-92000.0000000002,-12044000,-4254000,4435000,-309000,60264000,60264000,4216000,64480000,70299000,3257000,78776000,0.57587,0.20547,0.18778,0.11835,0.08121,1.41923,2.98594,0.45737,0.00477,0.65194,0.61937,3.47175,5.50863,0.92525,0.10785,0.15307,-2.51386,-2.90972
"5","2011_Q4",17.6444444444444,"Down",274896000,-127722000,147174000,-111672000,-111672000,35502000,1820000,-203000,3308000,-1285000,37322000,36827000,-6620000,30207000,30207000,30207000,30207000,220388000,220388000,95305000,95305000,151109000,67736000,18654000,16460000,18488000,534538000,66115000,103601000,47372000,31423000,24806000,169716000,704254000,155290000,57354000,22373000,75563000,171759000,42246000,41176000,42246000,214005000,291699000,-20103000,197098000,21555000,490249000,490249000,704254000,30207000,9382000,-1836000,11727000,49480000,-11088000,-402000,-11490000,-2043000,2742000,1189000,39179000,39179000,1230000,40409000,44884000,1232000,52143000,0.53538,0.12915,0.10989,0.06162,0.04289,1.72619,3.11214,0.43652,0.00175,0.33407,0.33407,3.04018,5.42185,0.57667,0.0566,0.0977,-4.88272,-6.17306
"6","2012_Q1",19.2903225806452,"Up",203714000,-103902000,99812000,-95034000,-95034000,4778000,2319000,736000,326000,1257000,7097000,7096000,-1525000,5571000,5571000,5571000,5571000,257587000,257587000,84760000,84760000,129627000,53369000,20199000,5828000,20295000,525343000,67684000,102426000,48641000,30375000,23410000,170110000,695453000,151296000,66517000,8273000,76506000,155303000,48370000,48370000,48370000,203673000,294049000,-19759000,202669000,14821000,491780000,491780000,695453000,5571000,8474000,604000,34366000,49015000,-8941000,168000,-8773000,278000,1104000,494000,40736000,40736000,-3537000,37199000,13252000,1118000,40202000,0.48996,0.02345,0.02735,0.01133,0.00801,7.2163,3.3827,0.41415,0.00161,0.06171,0.06171,2.25671,5.44785,0.44535,0.01029,0.07427,-19.35323,-53.67706
"7","2012_Q2",18.1342857142857,"Down",271798000,-126999000,144799000,-104290000,-104290000,40509000,-3725000,-47000,-4276000,598000,36784000,36071000,-7725000,28346000,28346000,28346000,28346000,206603000,206603000,165045000,165045000,169071000,64429000,25552000,8814000,22268000,605148000,67636000,100481000,47642000,30161000,22678000,168117000,773265000,166876000,78010000,18233000,70633000,194655000,49291000,49291000,49291000,243946000,296631000,-19568000,231015000,21241000,529319000,529319000,773265000,28346000,8353000,12294000,-109386000,-60393000,-9355000,-304000,-9659000,23201000,656000,23857000,-46195000,-46195000,-4789000,-50984000,48862000,24326000,-62154000,0.53274,0.14904,0.10429,0.05355,0.03666,-2.19269,3.10882,0.46087,0.03146,0.31328,0.31328,3.00395,5.85011,-0.68694,0.04701,-0.10309,-3.73044,-4.49967
"8","2012_Q3",16.417619047619,"Down",330942000,-134857000,196085000,-124719000,-124719000,71366000,2565000,775000,1627000,163000,73931000,73825000,-12301000,61524000,61524000,61524000,61524000,278827000,278827000,132331000,132331000,166013000,62534000,27654000,4133000,22938000,639705000,68585000,107430000,47360000,30849000,29221000,176015000,815720000,171082000,62965000,21781000,86336000,174623000,57417000,57417000,57417000,232040000,301353000,-19930000,292539000,9718000,583680000,583680000,815720000,61524000,8904000,1487000,38200000,110115000,-11139000,-350000,-11489000,-24274000,875000,-23892000,74734000,74734000,-2510000,72224000,80270000,60999.9999999963,119632000,0.59251,0.21565,0.18591,0.10541,0.07542,1.94448,3.66335,0.39755,7.00000000000006e-05,0.67892,0.67892,3.65198,6.44098,1.32015,0.09596,0.18659,-3.47285,-3.90615000000001
"9","2012_Q4",14.0364516129032,"Down",295569000,-134826000,160743000,-120728000,-120728000,40015000,-319000,-227000,-21000,-71000,39696000,39696000,5384000,45080000,45080000,45080000,45080000,312580000,312580000,121396000,121396000,187527000,66789000,26813000,5829000,26105000,688292000,76577000,126735000,61049000,32882000,32804000,203312000,891604000,197752000,78103000,25260000,94389000,201277000,49343000,49343000,49343000,250620000,305295000,-19211000,337620000,17280000,640984000,640984000,891604000,45080000,9558000,4497000,-1591000,57544000,-18771000,-1204000,-27757000,-39000,1827000,1788000,31575000,31575000,2178000,33753000,49573000,28000,23827000,0.54384,0.13538,0.15252,0.07033,0.05056,0.52855,3.41963,0.39099,3e-05,0.49584,0.49584,3.25101,7.05028,0.26208,0.0653,0.03451,-6.30488,-7.81087
"10","2013_Q1",15.1515,"Up",224992000,-118642000,106350000,-110656000,-110656000,-4306000,853000,359000,170000,324000,-3453000,-4044000,437000,-3607000,-3607000,-3607000,-3607000,294348000,294348000,92278000,92278000,164804000,61685000,24967000,5613000,24821000,613115000,82241000,134282000,59931000,34112000,40239000,216523000,829638000,153494000,63976000,8147000,81371000,157938000,49704000,49704000,54300000,212238000,307914000,-44214000,334012000,19688000,617400000,617400000,829638000,-3607000,9879000,9291000,5527000,21090000,-19355000,-296000,-17038000,6573000,-24726000,-18378000,-14326000,-14326000,-3906000,-18232000,5573000,6635000,-8691999.99999999,0.47268,-0.01914,-0.01603,-0.00584,-0.00434999999999999,2.40976,3.882,0.34376,0.008,-0.0399300000000001,-0.0399299999999999,2.49061,6.83449,-0.0962200000000001,-0.00534999999999999,-0.0129,-51.62623,66.81677
