"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","deferred_tax_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_investments","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.0169841269841,"Up",1.967e+09,-1.215e+09,7.52e+08,-5.13e+08,-1.72e+08,-3.41e+08,2.39e+08,-9e+07,-1e+08,-1.05e+08,5e+06,3e+06,7e+06,1.49e+08,1e+06,1.5e+08,-6.1e+07,8.9e+07,8.8e+07,8.8e+07,8.5e+07,-2029337422.08896,-2029337422.08896,1869507278.32662,1798036077.00767,101592415.558087,264288468.387389,13383627.3344385,432810457.58584,-186588302.973855,206050740.183142,9862760352.41755,14273947218.5689,-4411186866.15137,58784229.2212985,58784229.2212985,3484946558.44468,3484946558.44468,13406491140.0835,13612541880.2667,1150473279.28686,650257480.055793,500215799.231066,-2055973371.86512,-282952913.333126,890747573.757033,-1173700487.09016,-1188453005.91138,7756509096.17772,7541639025.71762,3864872251.34692,618081075.769643,3246791175.57728,11621381347.5246,10432928341.6133,4544515114.6213,780544.247058242,4543734570.37424,-2316798330.06599,-59451393.1676066,3137798605.5469,41814933.1065092,3179613538.65341,13612541880.2667,8.8e+07,1.72e+08,-2.3e+07,4.2e+08,6.57e+08,-1.9e+08,-2.2e+07,-2.12e+08,-3.4e+07,2.91e+08,7308697.12713691,7308697.12713691,-3.6e+07,2.21e+08,6.66e+08,6.65e+08,6.65e+08,4.11e+08,0,7.02e+08,0.38231,0.1215,0.04321,-0.202904214023508,-0.03603888049275,8.25882,2.30521222025011,3.22814928479917,0.422144993411383,0.29846,0.35729,6.9066,2.7545129591149,2.46489,0.11938,-0.0325002730299323,0.0920371586588888,0.4,72.6776055515955,166.504369484238
"2","2010_Q3",11.1096875,"Up",1.34e+09,-6.64e+08,6.76e+08,-4.68e+08,-1.31e+08,-3.37e+08,2.08e+08,-1.05e+08,-1.13e+08,-1.17e+08,4e+06,2e+06,6e+06,1.03e+08,5.6e+07,1.59e+08,-5.9e+07,1e+08,8.4e+07,8.2e+07,8e+07,5.36e+08,5.36e+08,7.69e+08,6.97e+08,1.04e+08,1.212e+09,3.5e+07,1.27e+08,1.048e+09,2.621e+09,9.804e+09,1.437e+10,-4.566e+09,5.2e+07,5.2e+07,2.574e+09,2.574e+09,1.243e+10,1.5051e+10,6.84e+08,4.51e+08,2.33e+08,6.53e+08,3.99e+08,2.81e+08,1.18e+08,1.736e+09,6.079e+09,5.883e+09,4.243e+09,4.93e+08,3.75e+09,1.0322e+10,1.2058e+10,4.571e+09,2e+06,4.569e+09,-1.831e+09,-3.1e+07,2.948e+09,4.5e+07,2.993e+09,1.5051e+10,8.4e+07,1.31e+08,1.06e+08,7e+07,3.91e+08,-2.34e+08,-4.4e+07,-2.78e+08,-4e+07,-2.77e+08,5e+06,5e+06,-2e+07,-3.32e+08,-2.19e+08,-2.19e+08,-2.19e+08,3.39e+08,6.732e+09,2.34e+08,0.50448,0.15522,0.0597,0.02673,0.00532,2.925,1.50979,4.02873,0.44728,0.2809,0.32297,4.70506,9.51194,0.82163,0.14045,0.00859,0.01675,0.5,18.27729,29.78846
"3","2010_Q4",12.28359375,"Up",1.443e+09,-6.71e+08,7.72e+08,-4.55e+08,-1.33e+08,-3.22e+08,3.17e+08,-8.7e+07,-9.7e+07,-1.02e+08,5e+06,3e+06,7e+06,2.3e+08,3e+06,2.33e+08,-8.7e+07,1.46e+08,1.46e+08,1.45e+08,1.34e+08,6.96e+08,6.96e+08,7.46e+08,6.72e+08,1.04e+08,1.54e+09,3.9e+07,1.11e+08,1.388e+09,3.086e+09,9.918e+09,1.4534e+10,-4.616e+09,4.9e+07,4.9e+07,2.518e+09,2.518e+09,1.2485e+10,1.5571e+10,6.15e+08,4.56e+08,1.59e+08,1.031e+09,6.51e+08,3.05e+08,3.46e+08,2.297e+09,6.203e+09,6.013e+09,4.205e+09,4.53e+08,3.752e+09,1.0408e+10,1.2705e+10,4.583e+09,2e+06,4.581e+09,-1.731e+09,-3.1e+07,2.821e+09,4.5e+07,2.866e+09,1.5571e+10,1.46e+08,1.33e+08,1.74e+08,-5.03e+08,-5e+07,-1.87e+08,-4.9e+07,-2.36e+08,-3.7e+07,5.05e+08,2e+06,2e+06,-2.4e+07,4.46e+08,1.6e+08,1.6e+08,1.6e+08,4.5e+08,7.234e+09,-1.53e+08,0.535,0.21968,0.09286,0.04676,0.00861,-1.14179,1.34349,4.43301,0.46458,0.52756,0.52756,5.6811,11.1063,-0.60236,0.14567,0.01195,-0.0107,0.27612,14.52889,20.62461
"4","2011_Q1",12.9162903225806,"Up",1.682e+09,-9.68e+08,7.14e+08,-5.56e+08,-1.4e+08,-4.16e+08,1.58e+08,-1.11e+08,-1.02e+08,-1.07e+08,5e+06,3e+06,-1.2e+07,4.7e+07,999999.999999996,4.8e+07,-1.7e+07,3.1e+07,2.5e+07,2.5e+07,2.5e+07,2.47e+08,2.47e+08,1.051e+09,9.81e+08,1.04e+08,1.357e+09,3.7e+07,1.8e+08,1.138e+09,2.759e+09,1.0069e+10,1.4715e+10,-4.646e+09,4.9e+07,4.9e+07,2.739e+09,2.739e+09,1.2857e+10,1.5616e+10,6.44e+08,4.92e+08,1.52e+08,7.5e+08,6.27e+08,4.82e+08,1.45e+08,2.021e+09,6.636e+09,6.448e+09,4.122e+09,4.87e+08,3.635e+09,1.0758e+10,1.2779e+10,4.59e+09,2e+06,4.588e+09,-1.757e+09,-4e+07,2.793e+09,4.4e+07,2.837e+09,1.5616e+10,2.5e+07,1.4e+08,-1.84e+08,-20000000.0000001,-39000000.0000001,-2.1e+08,-6.7e+07,-2.77e+08,-5.1e+07,1.12e+08,3e+06,3e+06,-1.97e+08,-1.33e+08,-4.49e+08,-4.49e+08,-4.49e+08,2.98e+08,7.386e+09,84999999.9999999,0.42449,0.09394,0.01486,0.00881,0.0016,3.4,1.36517,4.50441,0.47298,0.09535,0.09535,6.41495,10.65217,0.32418,0.19451,0.0053,0.00593,2.04,23.95638,45.18354
"5","2011_Q2",13.3352380952381,"Up",2.055e+09,-1.241e+09,8.14e+08,-5.08e+08,-1.62e+08,-3.46e+08,3.06e+08,-9.7e+07,-1.03e+08,-1.05e+08,2e+06,4e+06,2e+06,2.09e+08,1e+06,2.1e+08,-7.7e+07,1.33e+08,1.35e+08,1.35e+08,1.35e+08,8.01e+08,8.01e+08,9.85e+08,9.3e+08,1.06e+08,8.49e+08,3.9e+07,1.49e+08,6.61e+08,2.741e+09,1.0138e+10,1.4869e+10,-4.731e+09,5.1e+07,5.1e+07,2.712e+09,2.712e+09,1.2901e+10,1.5642e+10,5.17e+08,4.13e+08,1.04e+08,1.275e+09,4.98e+08,3.89e+08,1.09e+08,2.29e+09,6.108e+09,5.926e+09,4.313e+09,5.93e+08,3.72e+09,1.0421e+10,1.2711e+10,4.602e+09,3e+06,4.599e+09,-1.675e+09,-4e+07,2.887e+09,4.4e+07,2.931e+09,1.5642e+10,1.35e+08,1.62e+08,1.15e+08,4.29e+08,8.41e+08,-1.91e+08,-3.7e+07,-2.28e+08,-5.3e+07,0,17423094.3230498,17423094.3230498,-8e+06,-6.1e+07,5.52e+08,5.54e+08,5.54e+08,4.68e+08,7.383e+09,7.83e+08,0.39611,0.14891,0.06569,0.04606,0.00863,5.8,1.19694,4.33675,0.472,0.51586,0.51586,7.8525,11.03172,2.99198,0.20252,0.01285,0.05353,0.39259,14.0641,21.5098
"6","2011_Q3",13.31015625,"Down",1.364e+09,-6.96e+08,6.68e+08,-4.61e+08,-1.22e+08,-3.39e+08,2.07e+08,-9.8e+07,-1.02e+08,-1.04e+08,2e+06,2e+06,2e+06,1.09e+08,2e+06,1.11e+08,-1e+07,1.01e+08,1.01e+08,1e+08,1e+08,9.94e+08,9.94e+08,7.76e+08,7.19e+08,1.06e+08,1.08e+09,3.7e+07,1.33e+08,9.1e+08,2.956e+09,1.0255e+10,1.5057e+10,-4.802e+09,5.2e+07,5.2e+07,2.682e+09,2.682e+09,1.2989e+10,1.5945e+10,6.03e+08,4.44e+08,1.59e+08,1.123e+09,5.15e+08,3.93e+08,1.22e+08,2.241e+09,6.361e+09,6.184e+09,4.341e+09,8.15e+08,3.526e+09,1.0702e+10,1.2943e+10,4.624e+09,3e+06,4.621e+09,-1.628e+09,-3.8e+07,2.958e+09,4.4e+07,3.002e+09,1.5945e+10,1.01e+08,1.22e+08,4.2e+07,1.1e+08,3.75e+08,-2.08e+08,-3.5e+07,-2.43e+08,-5.3e+07,1.04e+08,2.2e+07,2.2e+07,-1.2e+07,6.1e+07,1.93e+08,1.93e+08,1.93e+08,3.29e+08,7.484e+09,2.41e+08,0.48974,0.15176,0.07331,0.03331,0.00627,2.41,1.31905,4.31146,0.46936,0.3827,0.3827,5.22005,11.32032,0.92231,0.20283,0.01032,0.01625,0.53,19.72644,31.35266
"7","2011_Q4",14.3607936507937,"Up",1.464e+09,-6.94e+08,7.7e+08,-4.54e+08,-1.2e+08,-3.34e+08,3.16e+08,-9.6e+07,-1e+08,-1.04e+08,4e+06,4e+06,0,2.2e+08,1e+06,2.21e+08,-8.1e+07,1.4e+08,1.4e+08,1.39e+08,1.39e+08,6.23e+08,6.23e+08,7.52e+08,6.9e+08,1.02e+08,1.383e+09,4.9e+07,1.16e+08,1.218e+09,2.86e+09,1.041e+10,1.5279e+10,-4.869e+09,5.3e+07,5.3e+07,2.635e+09,2.635e+09,1.3098e+10,1.5958e+10,7.08e+08,4.84e+08,2.24e+08,1.14e+09,3.66e+08,2.35e+08,1.31e+08,2.214e+09,6.208e+09,6.037e+09,4.449e+09,9.17e+08,3.532e+09,1.0657e+10,1.2871e+10,4.625e+09,3e+06,4.622e+09,-1.542e+09,-4e+07,3.043e+09,4.4e+07,3.087e+09,1.5958e+10,1.4e+08,1.2e+08,1.25e+08,-4.06e+08,-2.1e+07,-2.25e+08,-5.6e+07,-2.81e+08,-5.3e+07,-1.4e+07,4e+06,4e+06,-6e+06,-6.9e+07,-3.71e+08,-3.71e+08,-3.71e+08,4.36e+08,7.348e+09,-1.14e+08,0.52596,0.21585,0.09495,0.04503,0.00871,-0.82014,1.29178,4.16942,0.46046,0.52671,0.52671,5.54756,11.53088,-0.43198,0.20083,0.0129,-0.00766000000000001,0.38129,15.42431,21.28165
"8","2012_Q1",15.243064516129,"Up",1.62e+09,-8.81e+08,7.39e+08,-5.65e+08,-1.42e+08,-4.23e+08,1.74e+08,-1.12e+08,-1.01e+08,-1.02e+08,1e+06,-1e+06,-1e+07,6.2e+07,2e+06,6.4e+07,-2.3e+07,4.1e+07,4.1e+07,4.1e+07,4.1e+07,1.61e+08,1.61e+08,9.18e+08,8.69e+08,9.2e+07,1.394e+09,5e+07,1.87e+08,1.133e+09,2.565e+09,1.0633e+10,1.5534e+10,-4.901e+09,5e+07,5e+07,3.204e+09,3.204e+09,1.3887e+10,1.6452e+10,8.4e+08,5.75e+08,2.65e+08,1.057e+09,4.41e+08,2.82e+08,1.59e+08,2.338e+09,6.207e+09,6.04e+09,4.835e+09,1.081e+09,3.754e+09,1.1042e+10,1.338e+10,4.63e+09,3e+06,4.627e+09,-1.553e+09,-4.9e+07,3.028e+09,4.4e+07,3.072e+09,1.6452e+10,4.1e+07,1.42e+08,-1.7e+08,-3.9e+07,-2.6e+07,-2.58e+08,-4.8e+07,-3.06e+08,-5.2e+07,-7.3e+07,3e+06,3e+06,-8e+06,-1.3e+08,-4.62e+08,-4.62e+08,-4.62e+08,3.16e+08,7.264e+09,4.2e+07,0.45617,0.10741,0.02531,0.01335,0.00249,1.02439,1.09709,4.35547,0.44153,0.15373,0.15373,6.07424,11.35358,0.15748,0.19498,0.00613,0.00277,1.26829,22.47785,40.82184
"9","2012_Q2",16.1666666666667,"Up",1.743e+09,-1.019e+09,7.24e+08,-5.36e+08,-1.72e+08,-3.64e+08,1.88e+08,-9.2e+07,-9.8e+07,-9.9e+07,1e+06,5e+06,1e+06,9.6e+07,2e+06,9.8e+07,-3.8e+07,6e+07,6.7e+07,6.7e+07,6.7e+07,3.58e+08,3.58e+08,7.75e+08,7.5e+08,9.6e+07,1.039e+09,5e+07,1.55e+08,8.31e+08,2.268e+09,1.0755e+10,1.5763e+10,-5.008e+09,5.3e+07,5.3e+07,3.084e+09,3.084e+09,1.3892e+10,1.616e+10,6.37e+08,4.09e+08,2.28e+08,8.37e+08,3.45e+08,2.06e+08,1.39e+08,1.819e+09,6.355e+09,6.193e+09,4.893e+09,1.101e+09,3.792e+09,1.1248e+10,1.3067e+10,4.644e+09,3e+06,4.641e+09,-1.548e+09,-4.7e+07,3.049e+09,4.4e+07,3.093e+09,1.616e+10,6.7e+07,1.72e+08,8.9e+07,3.07e+08,6.35e+08,-2.94e+08,-1.9e+07,-3.13e+08,-6.2e+07,-5.4e+07,1e+06,1e+06,-1e+07,-1.25e+08,1.97e+08,1.97e+08,1.97e+08,3.6e+08,7.192e+09,4.11e+08,0.41538,0.10786,0.03844,0.02166,0.00415,6.13433,1.24684,4.2247,0.44505,0.25112,0.25112,6.53298,11.42804,1.54048,0.23238,0.0085,0.02708,0.92537,18.98333,36.35106
"10","2012_Q3",16.9265079365079,"Up",1.333e+09,-6.13e+08,7.2e+08,-4.6e+08,-1.3e+08,-3.3e+08,2.6e+08,-9.4e+07,-9.7e+07,-9.8e+07,1e+06,3e+06,0,1.66e+08,2e+06,1.68e+08,-6.7e+07,1.01e+08,1.01e+08,1e+08,1e+08,1.87e+08,1.87e+08,7.1e+08,6.7e+08,9.6e+07,1.213e+09,7e+07,1.36e+08,1.007e+09,2.206e+09,1.0997e+10,1.597e+10,-4.973e+09,5.4e+07,5.4e+07,3.036e+09,3.036e+09,1.4087e+10,1.6293e+10,7.91e+08,5.27e+08,2.64e+08,6.53e+08,3.63e+08,2.27e+08,1.36e+08,1.807e+09,6.378e+09,6.221e+09,4.953e+09,1.134e+09,3.819e+09,1.1331e+10,1.3138e+10,4.667e+09,3e+06,4.664e+09,-1.511e+09,-4.5e+07,3.111e+09,4.4e+07,3.155e+09,1.6293e+10,1.01e+08,1.3e+08,1.05e+08,-28000000.0000001,3.08e+08,-2.81e+08,-1.6e+07,-2.97e+08,-6.3e+07,-1.32e+08,2.2e+07,2.2e+07,-9e+06,-1.82e+08,-1.71e+08,-1.71e+08,-1.71e+08,3.9e+08,7.031e+09,1.48e+08,0.54014,0.19505,0.07502,0.0317,0.00614,1.48,1.22081,4.16418,0.43154,0.3723,0.3723,4.96277,11.58228,0.55101,0.23455,0.01077,0.00978,0.63,17.54872,26.32308
