"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",74.321746031746,"Down",248649000,-133050000,115599000,-62623000,-62623000,52976000,-25149000,-25169000,20000,27827000,-4951000,22876000,-8677000,14199000,14199000,14199000,14199000,480594984.032979,1220113093.9263,85440297.2116571,85440297.2116571,23126293.2522228,23140239.7511065,589161574.496859,1803316700.63032,931894133.216386,152341279.631161,686507658.784797,93045194.8004279,2744716985.84537,3333878560.34223,199874020.733804,212621397.360887,-12747376.6093598,49616370.3406067,38274376.2315077,38288588.1515939,287764767.305919,1423250269.1965,218373610.832346,218373610.832346,1641623880.02885,1929388647.33476,2226208003.80912,-392107003.512531,-437020824.282166,1396426132.4049,1404489913.00746,3333878560.34223,14199000,48689000,24972000,14974000,9998000,11952000,-6086000,15886000,2152000,99812000,-143400000,-89984000,-31557000,634106000,10883000,-15193000,629796000,698051000,698051000,-4805000,693246000,101665000,0,-21106000,0.46491,0.21306,0.0571,-0.0258282520685628,-0.0105658551271458,-1.48644,2.28937170338669,1.39017431279975,0.450770264373099,0.35891,0.34809,6.28505,38.0991454640837,-0.53349,-0.0112934779991851,-0.0663142149813186,15.1200466730943,37.3050754486702
"2","2010_Q3",72.75515625,"Down",296094000,-162582000,133512000,-83079000,-83079000,50433000,-38605000,-37124000,-1481000,11828000,-11660000,168000,-2442000,-2274000,-2274000,-2274000,-2274000,717453000,511342000,106255000,106255000,64527000,64527000,888235000,2400809000,988667000,157340000,760087000,71240000,3393973000,4282208000,224075000,138725000,85350000,29963000,45531000,45531000,299569000,2029425000,203017000,203017000,2232442000,2532011000,2288862000,-374055000,-164610000,1750197000,1750197000,4282208000,-2274000,62750000,32306000,18096000,14210000,-35876000,-25671000,3174000,-13379000,56906000,-148705000,-194942000,-327455000,-255577000,11270000,-7926000,-252233000,-522782000,-522782000,-5178000,-527960000,113183000,2059388000,-68956000,0.45091,0.17033,-0.00768000000000002,-0.0013,-0.00053,30.32366,2.96504,1.4467,0.48092,-0.05224,-0.0509899999999999,6.80207,40.20669,-1.5841,-0.00057,-0.01718,11.85633,26.60827
"3","2010_Q4",64.84359375,"Down",330347000,-185476000,144871000,-89845000,-89845000,55026000,-36399000,-38053000,1654000,18627000,-2794000,15833000,-4637000,11196000,11196000,11196000,11196000,712128000,389149000,115616000,115616000,64067000,64067000,891811000,2582890000,1002967000,155601000,778258000,69108000,3589080000,4480891000,231103000,134091000,97012000,30104000,49818000,49818000,311025000,2101451000,214442000,214442000,2315893000,2626918000,2320153000,-362859000,-103321000,1853973000,1853973000,4480891000,11196000,73298000,28077000,16950000,11127000,692000,-6729000,-3013000,10434000,113263000,-143941000,-314919000,-259495000,4091000,14026000,-5000,18112000,-128120000,-128120000,5927000,-122193000,128324000,2131555000,-10288000,0.43854,0.16657,0.03389,0.00604,0.0025,-0.9189,2.86733,1.41691,0.4757,0.2445,0.23958,7.21423,40.48772,-0.22467,0.00267,-0.00245,11.06127,25.79557
"4","2011_Q1",69.2574193548387,"Up",321124000,-171048000,150076000,-95836000,-95836000,54240000,-38115000,-38614000,499000,16125000,-6227000,9898000,3194000,13092000,13760000,13760000,13760000,590033000,442841000,116358000,116358000,71657000,71657000,778048000,2650953000,1016202000,150945000,774365000,90892000,3669961000,4448009000,237521000,145854000,91667000,27966000,52628000,52628000,318115000,2020619000,228760000,228760000,2249379000,2567494000,2341632000,-349099000,-112018000,1880515000,1880515000,4448009000,13760000,75439000,34408000,17469000,16939000,-716000,-1400000,19128000,-18444000,122891000,-143351000,-144953000,17538000,-85179000,3638000,-4448000,-85989000,54439999.9999999,54440000,-747999.999999999,53692000,129679000,2048585000,-17582000,0.46735,0.16891,0.04285,0.00732,0.00309,-1.27776,2.44581,1.36531,0.46056,0.29858,0.29202,6.96808,40.80536,-0.38151,0.00331,-0.00423,11.2474,26.89071
"5","2011_Q2",77.3766666666667,"Up",363029000,-194576000,168453000,-96237000,-96237000,72216000,-35035000,-37146000,2111000,37181000,-911000,36270000,-11125000,25145000,25145000,25145000,25145000,454506000,304466000,114207000,114207000,126277000,126277000,694990000,2881126000,1074252000,148874000,789876000,135502000,3957523000,4652513000,259115000,133536000,125579000,28585000,55574000,55574000,343274000,2095855000,225987000,225987000,2321842000,2665116000,2372707000,-323954000,-61356000,1987397000,1987397000,4652513000,25145000,78335000,26068000,15535000,10533000,-11778000,3099000,-13606000,-1271000,117770000,-175115000,-149963000,-286389000,10583000,15668000,-125000,26126000,-142493000,-142493000,4118000,-138375000,150551000,2124440000,-25217000,0.46402,0.19893,0.06926,0.01265,0.0054,-1.00286,2.02459,1.34101,0.45662,0.54132,0.53252,7.81531,42.78481,-0.54287,0.0058,-0.00581,11.09215,23.12416
"6","2011_Q3",75.07921875,"Down",394900000,-215572000,179328000,-102744000,-102744000,76584000,-36024000,-37045000,1021000,40560000,-1718000,38842000,-8109000,30733000,30733000,30730000,30730000,392118000,297872000,140316000,140316000,116654000,116654000,649088000,3085202000,1203941000,163771000,897461000,142709000,4320103000,4969191000,280391000,189739000,90652000,281054000,59006000,59006000,620451000,1976807000,238684000,238684000,2215491000,2835942000,2399102000,-293224000,-41679000,2064199000,2133249000,4969191000,30733000,85222000,31024000,18318000,12706000,-6631000,-19409000,4082000,8696000,140348000,-188875000,-125401000,-209737000,52909000,8929000,0,61837999.9999999,-7551000,-7551000.00000006,957000,-6594000,161806000,2257861000,-25591000,0.45411,0.19393,0.07782,0.01441,0.00618,-0.83277,1.04616,1.3294,0.45437,0.65487,0.57237,8.41556,43.98932,-0.54536,0.00664,-0.00553,11.53074,24.36205
"7","2011_Q4",77.614126984127,"Up",389739000,-202432000,187307000,-108216000,-108216000,79091000,-52129000,-50435000,-1694000,26962000,-2286000,24676000,-4856000,19820000,20639000,20319000,20319000,1070769000,370523000,144185000,144185000,115344000,115344000,1330298000,3122094000,1178876000,153505000,867280000,158091000,4400389000,5730687000,271274000,181093000,90181000,329195000,55687000,55687000,656156000,2730352000,253300000,253300000,2983652000,3639808000,2417828000,-272905000,-120416000,2024507000,2090879000,5730687000,20639000,90746000,30985000,19207000,11778000,-5e+05,-9989000,32000,9457000,141870000,-131525000,-752491000,-808693000,748466000,11107000,-15426000,744147000,77324000,77324000,-4673000,72651000,169837000,3059547000,42668000,0.4806,0.20293,0.05213,0.00972,0.00355,2.09991,2.02741,1.7408,0.53389,0.43042,0.48179,8.25596,42.88574,0.90385,0.00376,0.0079,11.70992,25.14544
"8","2012_Q1",103.201451612903,"Up",417957000,-216444000,201513000,-116704000,-116704000,84809000,-53014000,-54397000,1383000,31795000,-1863000,29932000,-13257000,16675000,16865000,18582000,18582000,914544000,278823000,139057000,139057000,182156000,182156000,1235757000,3225912000,1161854000,148635000,866495000,146724000,4549567000,5785324000,322267000,229043000,93224000,345297000,57690000,57690000,725254000,2753833000,286424000,286424000,3040257000,3765511000,2437671000,-255095000,-143698000,1952212000,2019813000,5785324000,16865000,93371000,33880000,18391000,15489000,43216000,3238000,49209000,-9231000,187332000,-189871000,-240719000,-194336000,123000.000000119,-83477000,-28999.9999999963,-83382999.9999999,-90386999.9999999,-90387000,-1313000,-91700000,178180000,3099130000,44782000,0.48214,0.20291,0.04446,0.0092,0.00321,2.40997,1.7039,1.86429,0.53569,0.39334,0.38306,8.84734,41.32453,0.94795,0.00344,0.00828,12.26056,25.75889
"9","2012_Q2",128.153492063492,"Up",443245000,-217098000,226147000,-124726000,-124726000,101421000,-52281000,-52127000,-154000,49140000,-675000,48465000,-13853000,34612000,34811000,34523000,34523000,916854000,632944000,158561000,158561000,98608000,98608000,1174023000,3387369000,1156516000,145350000,879914000,131252000,4710322000,5884345000,319766000,194516000,125250000,336796000,61521000,61521000,718083000,2745652000,291060000,291060000,3036712000,3754795000,2490449000,-220572000,-110367000,2060479000,2129550000,5884345000,34811000,92804000,31185000,19103000,12082000,-32807000,-19677000,-40535000,27405000,125993000,-145490000,-97383000,269433000,-61046000,17096000,-15933437.1444037,-43950000,351476000,351476000,2645000,354121000,194225000,3082448000,29781000,0.51021,0.22881,0.07789,0.01621,0.00587,0.86264,1.63494,1.76319,0.52384,0.73524,0.67611,9.43978,43.88199,0.63425,0.00627,0.00541,11.14992,21.35252
"10","2012_Q3",147.201904761905,"Up",457249000,-225289000,231960000,-128198000,-128198000,103762000,-47668000,-45824000,-1844000,56094000,-1666000,54428000,-17138000,37290000,37640000,36447000,36447000,769561000,654096000,169812000,169812000,70219000,70219000,1009592000,3525839000,1135797000,138199000,863187000,134411000,4715096000,5724688000,344692000,224989000,119703000,85769000,60698000,60698000,491159000,2807704000,282350000,282350000,3090054000,3581213000,2444689000,-184125000,-155777000,2067621000,2143475000,5724688000,37640000,95562000,27817000,20549000,7268000,33763000,-14864000,30648000,17979000,194782000,-196484000,-68435000,93880000,-263209000,6012999.99999999,-7520000,-264716000,23946000,23945999.9999999,-2794000,21151999.9999999,199324000,2893473000,53741000,0.50729,0.22693,0.07971,0.017,0.00637,1.4745,2.05553,1.67075,0.50544,0.75908,0.69815,9.52304,43.06198,1.11925,0.00685,0.0101,10.65558,20.46907
