"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",3.2596875,"Up",22031000,-15474000,6557000,-4794000,-3599000,-1074000,-121000,1763000,39000,0,39000,1802000,1802000,-673000,1129000,1129000,1129000,1129000,-616334.898560898,-616334.898560898,16098145.1990238,16098145.1990238,11600202.0618966,2166914.65913355,2166938.18034962,29248927.021493,5755044.5997202,12033096.0225579,3042037.11038157,4617206.92079542,5612342.272779,17788140.6222781,47037067.6437712,15244242.9316113,5447375.87896886,10193524.4194224,15195502.5445483,7293210.15544584,61650.1814636867,668748.317372146,5996006.97846948,7292434.50010033,22487937.0446486,20288275.4872002,6067751.85595033,-1806896.74402802,24549130.5991225,24549130.5991225,47037067.6437712,1129000,432000,783000,-1164000,1180000,-253000,-253000,188000,188000,1115000,1115000,624000,1739000,2195000,0,1451000,0.29763,0.08002,0.05125,-0.0353959920204864,-0.0249703067195156,1.28521,1.99362716907315,0.856335667851179,0.0477379705015746,0.09465,0.09424,1.847,2.34437736605171,0.12165,-0.0195249072261273,-0.174487007673987,-0.658712084951025,-1.21084432537137
"2","2011_Q1",4.78161290322581,"Up",21140000,-14956000,6184000,-4975000,-3840000,-1030000,-105000,1209000,20000,0,20000,1229000,1229000,-246000,983000,983000,983000,983000,3553000,3553000,11753000,11753000,11787000,1415000,1415000,28508000,6923000,15575000,3704000,5936000,5935000,22498000,51006000,13716000,6506000,6648000,14511000,6551000,2453000,1070000,2386000,6551000,21062000,20473000,9342000,129000,29944000,29944000,51006000,983000,415000,162000,1636000,3196000,-358000,-7386000,48000,845000,-3345000,-3345000,-168000,-3513000,1624000,795000,3148000,0.29253,0.05719,0.0465,0.03283,0.01927,3.20244,1.96458,0.70338,0.01559,0.08305,0.08153,1.786,2.5298,0.26596,0.02636,0.08442,-1.69828,-2.28122
"3","2011_Q2",4.00825396825397,"Down",26724000,-18775000,7949000,-6142000,-4428000,-1534000,-180000,1807000,-23000,-24000,1000,1784000,1784000,-571000,1213000,1213000,1213000,1213000,4421778.2995203,4421778.2995203,11684951.6003254,11684951.6003254,12450765.9793678,1603695.11362215,1603687.27321679,30161190.9928357,7347401.80009327,16424967.9924807,3830320.96320614,6461014.35973486,5892802.57574033,23772369.792574,53933560.7854096,14244252.3561296,7234874.70701038,5889658.5268592,16219249.1518172,4972763.28151805,2891866.60617877,1161667.22754262,586164.340510174,4973021.83329989,21192270.9851171,20698824.8375999,11048749.3813499,993715.581342674,32741289.8002925,32741289.8002925,53933560.7854096,1213000,542000,218000,-2626000,-653000,-428000,-760000,95000,95000,-1318000,-1318000,82000,-1236000,2349000,0,-134000,0.29745,0.06762,0.04539,0.0511928306734955,0.0312642689065052,-0.11047,1.85373761030895,0.648921444049607,0.00440817649947513,0.09768,0.09519,2.15195,2.6236692113161,-0.01079,0.0409574690753758,0.139023169224662,-1.68734680501633,-2.15088855820954
"4","2011_Q3",3.30484375,"Down",28862000,-20062000,8800000,-6620000,-4883000,-1550000,-187000,2180000,-2000,-23000,21000,2178000,2178000,-697000,1481000,1481000,1481000,1481000,3860000,3860000,13523000,13523000,13311000,2172000,2172000,32866000,7341000,15738000,3618000,6446000,5674000,23079000,55945000,15520000,7556000,6616000,18434000,3496000,2416000,1080000,0,3496000,21930000,20969000,12036000,1010000,34015000,34015000,55945000,1481000,550000,302000,298000,2631000,-565000,-565000,36000,-525000,1541000,1541000,1999.99999999994,1543000,2730000,288000,3160000,0.3049,0.07553,0.05131,0.04354,0.02647,2.13369,1.7829,0.64472,0.00515,0.11647,0.11584,2.26983,2.67508,0.24852,0.03918,0.0836,-1.30842,-1.63853
"5","2011_Q4",3.40650793650794,"Up",27331000,-19118000,8213000,-5952000,-4350000,-1417000,-185000,2261000,-99000,-21000,-78000,2162000,2162000,-605000,1557000,1557000,1557000,1557000,4949000,4949000,14242000,14242000,14061000,2180000,2180000,35432000,7241000,14855000,3253000,6090000,5512000,22096000,57528000,16472000,7367000,7723000,19398000,3278000,2305000,973000,0,3278000,22676000,21254000,13424000,174000,34852000,34852000,57528000,1557000,539000,312000,-810000,1598000,-346000,-346000,32000,29000,1281000,1281000,-192000,1089000,2800000,428000,2249000,0.3005,0.08273,0.05697,0.04467,0.02707,1.44444,1.82658,0.65064,0.00744,0.12216,0.12196,2.14436,2.73446,0.17645,0.04461,0.05833,-1.61464,-1.99956
"6","2012_Q1",4.11322580645161,"Up",28024000,-19455000,8569000,-6266000,-4604000,-1482000,-180000,2303000,-9000,-16000,7000,2294000,3395000,-679000,2716000,2716000,2716000,2716000,9155000,9155000,11689000,11689000,14429000,1193000,1193000,36466000,7352000,14869000,2936000,5665000,5580000,22221000,58687000,15712000,6598000,7842000,17182000,5183000,3516000,973000,0,5183000,22365000,21568000,15970000,-1216000,36322000,36322000,58687000,2716000,540000,-863000,2912000,5305000,-510000,-510000,-1000,-437000,4358000,4358000,-152000,4206000,2843000,157000,5924000,0.30577,0.08218,0.09692,0.07478,0.04628,2.18115,2.12234,0.61574,0.00268,0.21314,0.20644,2.19925,2.85046,0.4649,0.06927,0.14219,-3.16497,-3.90708
"7","2012_Q2",4.27666666666667,"Up",26847000,-19210000,7637000,-6039000,-4312000,-1553000,-174000,1598000,10000,-7000,17000,1608000,1608000,-450000,1158000,1158000,1158000,1158000,4581000,4581000,12543000,12543000,14652000,3046000,3046000,34822000,7631000,14094000,2841000,5835000,5418000,21725000,56547000,11607000,6298000,4828000,11765000,6422000,3528000,970000,0,6422000,18187000,22149000,16912000,-701000,38360000,38360000,56547000,1158000,489000,325000,-4946000,-2974000,-586000,-1936000,439000,223000,-4687000,-4687000,113000,-4574000,2087000,158000,-2995000,0.28446,0.05952,0.04313,0.03019,0.02048,-2.58636,2.9598,0.47411,0.00279,0.09013,0.09013,2.08967,2.98579,-0.23312,0.03057,-0.06664,-2.11931,-2.76783
"8","2012_Q3",3.86285714285714,"Down",26836000,-18685000,8151000,-5926000,-4197000,-1563000,-166000,2225000,299000,-3000,302000,2524000,2524000,-707000,1817000,1817000,1817000,1817000,6723000,6723000,12459000,12459000,15065000,2973000,2973000,37220000,8161000,13331000,2525000,5502000,5304000,21492000,58712000,12958000,7698000,4955000,13117000,6514000,3481000,878000,-4.54747350886464e-13,6514000,19631000,22210000,18527000,-1656000,39081000,39081000,58712000,1817000,491000,3e+05,942000.000000001,3550000,-946000,-946000,-92000.0000000002,-294000,2310000,2310000,-168000,2142000,2716000,159000,3419000,0.30373,0.08291,0.06771,0.04649,0.03095,1.88167,2.83754,0.50232,0.00271,0.13963,0.13963,2.06232,3.00334,0.26275,0.04413,0.07473,-2.41679,-2.95011
"9","2012_Q4",4.14758064516129,"Up",24316000,-17217000,7099000,-5066000,-3486000,-1454000,-126000,2033000,-91000,-2000,-89000,1942000,1942000,-621000,1321000,1321000,1321000,1321000,6257000,6257000,12929000,12929000,15586000,3133000,3133000,37905000,8353000,13203000,2450000,5625000,5128000,21556000,59461000,11881000,6202000,5415000,12039000,6488000,3328000,903000,0,6488000,18527000,22378000,19637000,-1081000,40934000,40934000,59461000,1321000,381000,513000,-2144000,71000,-489000,-489000,8000,-203000,-621000,-621000,155000,-466000,2414000,158000,402000,0.29195,0.08361,0.05433,0.03227,0.02222,0.30431,3.14852,0.45261,0.00266,0.10154,0.10154,1.8691,3.14647,0.0309,0.0322,0.00845,-2.52651,-3
"10","2013_Q1",4.40016666666667,"Up",23969000,-17216000,6753000,-5313000,-3741000,-1490000,-82000,1440000,8000.00000000006,-1000,9000,1448000,1424000,-323000,1101000,1101000,1101000,1101000,9728000,9728000,10806000,10806000,14701000,2155000,2155000,37390000,8631000,14946000,2431000,5782000,4742000,23577000,60967000,11674000,5748000,5926000,12071000,6744000,3812000,935000,0,6744000,18815000,22547000,20528000,-923000,42152000,42152000,60967000,1101000,437000,1291000,1128000,3957000,-576000,-576000,10000,30000.0000000001,3411000,3411000,60000,3471000,1877000,397000,2752000,0.28174,0.06008,0.04593,0.02612,0.01806,2.49955,3.09751,0.44636,0.00651,0.08584,0.08584,1.86871,3.28632,0.21456,0.0266,0.05583,-4.97123,-6.47986
