"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",33.7328125,"Up",805000,-18644000,-9762000,-8882000,-17839000,94000,124000,124000,-30000,-17745000,-17745000,-17745000,-17745000,-17745000,-17792000,229204000,229204000,1108000,1108000,1874000,1874000,232186000,15003000,1619000,1619000,16622000,248808000,10160000,2909000,7251000,25541000,62000,35701000,95000,95000,11744000,47445000,307452000,-106089000,201363000,201363000,248808000,-17745000,187000,4342000,3587000,-9629000,-943000,-943000,-2562000,98215000,98215000,98215000,86024000,86024000,86024000,-17652000,11649000,-22.16025,-22.10186,-0.08836,-0.07151,6.50363,0.23562,0.04682,-0.79854,-0.79854,0.03613,9.03751,-0.08349,12.32467,12.19547
"2","2016_Q3",20.488125,"Down",3388000,-22588000,-12158000,-10430000,-19200000,158000,153000,153000,5000,-19042000,-19042000,-19042000,-19042000,-19042000,-19042000,217650000,217650000,1195000,1195000,2373000,2373000,221218000,26741000,1643000,1643000,28384000,249602000,13690000,5844000,7846000,25673000,30999.9999999998,39363000,233000,233000,22909000,62272000,312460000,-125130000,187330000,187330000,249602000,-19042000,246000,5309000,3588000,-9899000,-1161000,-1161000,-1161000,-494000,-494000,-494000,-11554000,-11554000,-11554000,-18954000,22676000,-5.66706,-5.62043,-0.10165,-0.07629,5.61995,0.33242,0.09085,-0.85464,-0.85464,0.15206,8.40769,-0.09057,10.28669,10.1549
"3","2016_Q4",15.1752380952381,"Down",962000,-22127000,-11295000,-10832000,-21165000,145000,142000,142000,3000,-21020000,-21020000,-21020000,-21020000,-21020000,-21020000,199874000,199874000,1122000,1122000,2453000,2453000,203449000,37072000,1632000,1632000,38704000,242153000,13210000,3718000,9492000,26347000,547000,39557000,372000,372000,32420000,71977000,316326000,-146150000,170176000,170176000,242153000,-21020000,281000,3800000,-102000,-17041000,-713000,-713000,-713000,-22000,-22000,-22000,-17776000,-17776000,-17776000,-20884000,32048000,-22.00104,-21.85031,-0.12352,-0.0868,5.14319,0.42296,0.13235,-0.67718,-0.67718,0.03099,5.48236,-0.10375,8.0361,7.92941
"4","2017_Q1",20.7233870967742,"Up",898000,-39882000,-13047000,-26835000,-38984000,-392000,-357000,-357000,-35000,-39376000,-39376000,-39376000,-39376000,-39376000,-39376000,185323000,185323000,88000,88000,1772000,1772000,187183000,40378000,1621000,1621000,41999000,229182000,22079000,4640000,17439000,1004000,747999.999999999,33083000,26396000,396000,61492000,94575000,320133000,-185526000,134607000,134607000,229182000,-39376000,488000,14386000,10825000,-13677000,-656000,-676000,963000,22000,22000,-538000,-13252000,-13252000,-13252000,-38496000,45096000,-43.41203,-43.84855,-0.29253,-0.17181,5.65798,0.7026,0.19677,-1.10122,-1.10122,0.02511,3.76451,-0.19105,3.64264,3.59704
"5","2017_Q2",18.0219047619048,"Down",682000,-31309000,-12288000,-19021000,-30627000,-470000,-610000,-610000,140000,-31097000,-31097000,-31097000,-31097000,-31097000,-31097000,351552000,351552000,945000,945000,1289000,1289000,353786000,39636000,1619000,1619000,41255000,395041000,22002000,15233000,6769000,13285000,13285000,50287000,104364000,331000,138293000,188580000,423084000,-216623000,206461000,206461000,395041000,-31097000,631000,10873000,89384000,69791000,-656000,-656000,-656000,97537000,97537000,97094000,166229000,166229000,166229000,-29996000,48929000,-44.90762,-45.59677,-0.15062,-0.07872,7.03534,0.91339,0.12386,-0.85231,-0.85231,0.01869,5.65873,-0.08644,10.08878,9.88092
"6","2017_Q3",19.0342857142857,"Up",3097000,-29212000,-11894000,-17318000,-26115000,-324000,-446000,-446000,122000,-26439000,-26439000,-26439000,-26439000,-26439000,-26439000,324795000,144096000,820000,820000,2257000,2257000,327872000,39358000,1619000,1619000,40977000,368849000,19316000,8156000,11160000,14370000,1131000,48686000,101281000,328000,135159000,183845000,428133000,-243062000,185004000,185004000,368849000,-26439000,651000,5123000,-5497000,-26162000,-362000,-362000,-180985000,-361999.999999985,-361999.999999985,-309000,-207456000,-207456000,-207456000,-25464000,48878000,-8.43235000000001,-8.53697,-0.14291,-0.07168,6.73442,0.99374,0.13251,-0.72465,-0.72465,0.08488,5.07063,-0.07888,10.83557,10.56546
"7","2017_Q4",25.1815873015873,"Up",6282000,-33031000,-12635000,-20396000,-26749000,150000,-46000,-46000,196000,-26599000,-26599000,-26599000,-26599000,-26599000,-26599000,295691000,86542000,695000,695000,2030000,2030000,298416000,39092000,1619000,1619000,40711000,339127000,15426000,6976000,8450000,14070000,831000,29496000,98176000,325000,131843000,161339000,447472000,-269661000,177788000,177788000,339127000,-26599000,684000,4274000,-6336000,-27977000,-737000,-752000,-28847000,45000,45000,-730000,-57554000,-57554000,-57554000,-26065000,33667000,-4.25804,-4.23416,-0.14961,-0.07843,10.11717,0.90748,0.09928,-0.6724,-0.6724,0.1588,4.4943,-0.08591,10.05271,9.79566
"8","2018_Q1",35.6326229508197,"Up",3667000,-40109000,-13685000,-26424000,-36442000,253000,124000,124000,129000,-36189000,-36189000,-36189000,-36189000,-36189000,-36189000,329139000,146630000,679000,679000,2381000,2381000,332199000,39442000,1619000,1619000,41061000,373260000,15069000,4020000,11049000,14138000,9e+05,36707000,95042000,317000,128473000,165180000,514006000,-305850000,208080000,208080000,373260000,-36189000,717000,17294000,-6891000,-25069000,-289000,-289000,26678000,58678000,58678000,58479000,60088000,60088000,60088000,-35725000,40931000,-9.93782,-9.86883,-0.17392,-0.09695,9.05002,0.79383,0.10966,-0.84913,-0.84913,0.08604,4.88234,-0.10518,8.0674,7.90868
"9","2018_Q2",35.40734375,"Down",3927000,-35486000,-14186000,-21300000,-31559000,620000,438000,438000,182000,-30939000,-30939000,-30939000,-30939000,-30939000,-30939000,358821000,217671000,931000,931000,3060000,3060000,362812000,39551000,1619000,1619000,41170000,403982000,16763000,8996000,7767000,14231000,908000,30994000,92283000,311000,125473000,156467000,584829000,-337262000,247515000,247515000,403982000,-30939000,751000,8040000,-312000,-22460000,-1006000,-1011000,40820000,52884000,52884000,52681000,71041000,71041000,71041000,-30808000,33190000,-8.03641,-7.87853,-0.125,-0.07659,11.70588,0.63215,0.08216,-0.76727,-0.76727,0.09739,6.13821,-0.08295,10.56969,10.31817
"10","2018_Q3",32.3147619047619,"Down",7372000,-47029000,-14312000,-32717000,-39657000,935000,781000,781000,154000,-38722000,-38722000,-38722000,-38722000,-38722000,-38722000,344080000,131924000,362000,362000,3795000,3795000,348237000,39915000,5378000,5378000,45293000,393530000,15690000,4661000,11029000,8330000,944000,24020000,105234000,305000,138178000,162198000,607316000,-375985000,231332000,231332000,393530000,-38722000,784000,15189000,6016000,-16733000,-1390000,-1390000,-71681000,2874000,2874000,2667000,-85747000,-85747000,-85747000,-38873000,32944000,-5.37941,-5.25258,-0.16739,-0.0984,14.49779,0.70115,0.08371,-0.82755,-0.82755,0.15755,4.94391,-0.10479,8.00391,7.84568
"11","2018_Q4",27.2138095238095,"Down",14519000,-30777000,-13334000,-17443000,-16258000,1020000,1024000,1024000,-4000,-15238000,-15238000,-15238000,-15238000,-15238000,-15238000,337492000,111701000,43000,43000,5018000,5018000,342553000,39699000,5378000,5378000,45077000,387630000,16381000,5040000,11341000,9705000,980000,26086000,104401000,301000,137095000,163181000,615754000,-391223000,224449000,224449000,387630000,-15238000,839000,5668000,890000,-7841000,-925000,-938000,-13622000,1451000,1451000,1240000,-20223000,-20223000,-20223000,-15419000,32694000,-1.11977,-1.04952,-0.06789,-0.03931,13.13168,0.72703,0.08434,-0.32566,-0.32566,0.31029,4.79681,-0.04215,19.76769,18.74757
