"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.27063492063492,"Down",24005000,-17618000,6387000,-5247000,-4218000,-1029000,1140000,-167261.11995154,4514.42594046684,1140000,1140000,-478000,662000,662000,662000,662000,1403000,1403000,12841000,12841000,10494000,2413000,1844000,27151000,25631000,2873000,2873000,28504000,55655000,9993000,5864000,4129000,9993000,931000,931000,931000,10924000,44731000,44731000,55655000,662000,1029000,315000,-362000,1644000,-1355000,-1380000,990071.554496685,49000,49000,802.642006502777,49000,313000,313000,313000,2169000,0,930000,0.26607,0.04749,0.02758,0.0148,0.01189,1.40483,2.717,0.24422,0,0.06179,0.06134,2.24074,4.17539,0.08681,0.0145,0.02037,-0.64684,-1.2307
"2","2010_Q3",8.71671875,"Down",25338000,-18323000,7015000,-5340000,-4285000,-1055000,1675000,0,0,1675000,1636000,-705000,931000,931000,931000,931000,22727000,22727000,13539000,13539000,11310000,2947000,2268000,50523000,27403000,2821000,2821000,30224000,80747000,11975000,7416000,4559000,11975000,914000,914000,914000,12889000,67858000,67858000,80747000,931000,1055000,280000,-844000,1422000,-2150000,-2125000,0,22027000,22027000,0,22027000,21324000,21324000,21324000,2730000,0,441000,0.27686,0.06611,0.03674,0.01372,0.01153,0.47368,4.21904,0.18994,0,0.08534,0.08503,2.32267,6.22037,0.04043,0.01354,0.00641,-8.32491,-13.56836
"3","2010_Q4",10.10046875,"Up",26736000,-20396000,6340000,-5075000,-3999000,-1076000,1265000,0,0,1265000,1265000,-536000,729000,729000,729000,729000,26230000,26230000,13342000,13342000,10312000,3008000,2115000,52892000,29635000,2939000,2939000,32574000,85466000,11711000,6922000,4789000,11711000,1413000,1413000,1413000,13124000,72342000,72342000,85466000,729000,1076000,634000,985000,3424000,-3526000,-3526000,0,3605000,3605000,0,3605000,3503000,3503000,3503000,2341000,0,336000,0.23713,0.04731,0.02727,0.01008,0.00853,0.46091,4.51644,0.18142,0,0.05135,0.05118,1.88321,5.09558,0.02367,0.00988,0.00456,-11.20461,-20.73518
"4","2011_Q1",11.6314516129032,"Up",36039000,-27436000,8603000,-7002000,-5533000,-1469000,1601000,-39000,0,1562000,1601000,-652000,949000,949000,949000,949000,21757000,21757000,13478000,13478000,11647000,2912000,2154000,49794000,37051000,2727000,2727000,39778000,89572000,13213000,10058000,3155000,14352000,1676000,1676000,1676000,16028000,73544000,73544000,89572000,949000,1469000,991000,-1999000,1410000,-5705000,-5937000,0,53999.9999999981,53999.9999999981,0,54000,-4473000,-4473000,-4473000,3070000,-2.91038304567337e-11,-3982000,0.23871,0.04442,0.02633,0.0129,0.01059,-4.196,3.46948,0.21794,-2.16840434497101e-19,0.06429,0.064,2.4415,4.98232,-0.26976,0.01262,-0.05294,-7.08697,-13.58963
"5","2011_Q2",17.0833333333333,"Up",28739000,-22512000,6227000,-5651000,-4541000,-1110000,576000,-4000,-4000,572000,572000,-234000,338000,338000,338000,338000,10790000,10790000,14888000,14888000,13552000,3453000,2105000,42683000,48935000,4648000,3582000,53583000,96266000,17182000,12673000,4509000,17850000,1703000,1703000,3422000,21272000,74994000,74994000,96266000,338000,1110000,257000,-3162000,-1457000,-8640000,-9561000,2.3283064365387e-10,51000,51000,-2633.66908383724,51000,-10967000,-10967000,-10967000,1686000,2387000,-9882000,0.21667,0.02004,0.01176,0.00451,0.00351,-29.23669,2.3912,0.28365,0.0248,0.02372,0.02352,2.01691,5.26311,-0.69352,0.00427,-0.12496,-4.98399,-14.58854
"6","2011_Q3",18.7028125,"Up",31968000,-24729000,7239000,-6030000,-4815000,-1215000,1209000,-10000,-10000,1199000,1211000,-492000,719000,719000,719000,719000,7423000,7423000,17017000,17017000,17682000,3217000,2590000,45339000,57852000,4646000,3509000,62498000,107837000,16365000,12718000,3647000,18251000,1952000,1952000,13543000,31794000,76043000,76043000,107837000,719000,1215000,961000,-5215000,-2320000,-10873000,-10873000,9746000,80000,80000,-5819.15454714513,9826000,-3367000,-3367000,-3367000,2424000,11591000,-13172000,0.22645,0.03782,0.02249,0.00946,0.00667,-18.31989,2.48419,0.41811,0.10749,0.05026,0.04875,2.23474,5.31583,-0.9208,0.00803,-0.14703,1.71947,3.44748
"7","2011_Q4",16.3693650793651,"Down",37244000,-30197000,7047000,-6094000,-4886000,-1208000,953000,-9000,-9000,944000,943000,-335000,608000,608000,608000,608000,12703000,12703000,17162000,17162000,18167000,4569000,2599000,52601000,66051000,4667000,3530000,70718000,123319000,20581000,14810000,5771000,22700000,2177000,2177000,23640000,46340000,76979000,76979000,123319000,608000,1208000,204000,2503000,4523000,-9291000,-9291000,9974000,74000,74000,-6095.06273688046,10048000,5280000,5280000,5280000,2161000,21463000,-4292000,0.18921,0.02559,0.01632,0.0079,0.00493,-7.05921,2.31722,0.60198,0.17404,0.04244,0.04102,2.59993,5.37375,-0.29962,0.00604,-0.04266,4.05368,9.19203
"8","2012_Q1",20.2735483870968,"Up",54907000,-46562000,8345000,-8587000,-6473000,-2124000,-242000,-14000,-14000,-256000,-267000,76000,-191000,-191000,-191000,-191000,2186000,2186000,17047000,17047000,21260000,3981000,1955000,44474000,83058000,6524000,4469000,89582000,134056000,27879000,21266000,6613000,28932000,5733000,4706000,26571000,55503000,78553000,78553000,134056000,-191000,2124000,2992000,-768000.000000001,4157000,-14559000,-15890000,-254000,1470000,1470000,3.63797880709171e-12,1216000,-10517000,-10517000,-10517000,1882000,21891000,-13521000,0.15198,-0.00441,-0.00348,-0.00243,-0.00142,70.79058,1.53719,0.70657,0.1633,-0.01329,-0.01282,3.82015,5.46532,-0.94072,-0.0018,-0.12734,10.47024,-81.42562
"9","2012_Q2",19.2195238095238,"Down",50509000,-42337000,8172000,-7529000,-5756000,-1772000,643000,-187000,-187000,456000,456000,-186000,270000,270000,270000,270000,732000,732000,24703000,24703000,28650000,4223000,2601000,58308000,85750000,6340000,4542000,92090000,150398000,29619000,25375000,4244000,45488000,5311000,4526000,25770000,71258000,79140000,79140000,150398000,270000,1772000,163000,-6527000,-4322000,-9215000,-9215000,11862000,221000,221000,0,12083000,-1454000,-1454000,-1454000,2415000,20459000,-13141000,0.16179,0.01273,0.00535,0.00341,0.0018,-48.67037,1.28183,0.9004,0.13603,0.01864,0.01805,3.48675,5.46321,-0.90715,0.00257,-0.12526,8.16853,30.67963
"10","2012_Q3",18.4603174603175,"Down",62271000,-51908000,10363000,-8146000,-6238000,-1911000,2217000,-146000,-146000,2071000,2071000,-853000,1218000,1218000,1218000,1218000,50573000,50573000,25003000,25003000,28449000,4165000,2464000,108190000,86512000,6303000,4505000,92815000,201005000,22950000,18584000,4366000,26793000,6364000,5526000,26445000,53238000,147767000,147767000,201005000,1218000,1911000,1669000,-4404000,393999.999999999,-5494000,-5494000,-12139000,67080000,67080000,-3.63797880709171e-12,54941000,49841000,49841000,49841000,4128000,20081000,-4917000,0.16642,0.0356,0.01956,0.00824,0.00606,-4.03695,4.03799,0.36028,0.0999,0.07298,0.07106,3.73126,8.85416,-0.29463,0.00699,-0.02822,-7.38663,-13.75372
"11","2012_Q4",16.275,"Down",62066000,-52718000,9348000,-7478000,-5575000,-1904000,1870000,-112000,-112000,1758000,1758000,-723000,1035000,1035000,1035000,1035000,46379000,46379000,29044000,29044000,26415000,6884000,3409000,108722000,89484000,6222000,4424000,95706000,204428000,22980000,18596000,4384000,27203000,8382000,7802000,27960000,55163000,149265000,149265000,204428000,1035000,1904000,457000,-3518000,-122000,-3809000,-3809000,-387999.999999996,125000,125000,0,-263000,-4194000,-4194000,-4194000,3774000,19578000,-2830000,0.15061,0.03013,0.01668,0.00693,0.00506,-2.7343,3.99669,0.36956,0.09577,0.05731,0.05621,3.43666,8.26495,-0.1567,0.00584,-0.01597,-7.10148,-14.33209
"12","2013_Q1",15.3478333333333,"Down",77645000,-66605000,11040000,-11188000,-8625000,-2554000,-148000,-140000,-140000,-288000,-288000,19000,-269000,-269000,-269000,-269000,47766000,47766000,23338000,23338000,27231000,4228000,2821000,102563000,90192000,6356000,4555000,96548000,199111000,20119000,16509000,3610000,24434000,6208000,5757000,25286000,49720000,149391000,149391000,199111000,-269000,2554000,1301000,3109000,6695000,-4538000,-4538000,-388000,93000.0000000075,93000.0000000075,-475000,-769999.999999993,1387000,1387000,1387000,2406000,19078000,958000,0.14219,-0.00191,-0.00346,-0.0018,-0.00135,-3.56134,4.19755,0.33282,0.09582,-0.01458,-0.0142,4.20863,8.09751,0.05193,-0.00154,0.00548,-11.92352,193.83784
"13","2013_Q2",14.7665625,"Down",60007000,-52286000,7721000,-8442000,-6591000,-1859000,-721000,-106000,-106000,-827000,-827000,407000,-420000,-420000,-440000,-440000,44476000,44476000,24612000,24612000,28033000,5055000,3598000,102176000,91819000,9658000,5978000,101477000,203653000,23245000,19158000,4087000,27826000,5698000,5358000,25751000,53577000,149222000,150076000,203653000,-420000,1859000,-360000,912000,1991000,-3156000,-5561000,294000,177000,177000,-191000,280000,-3290000,-3290000,-3290000,1138000,20053000,-1513000,0.12867,-0.01202,-0.00733,-0.00293,-0.00216,3.43864,3.67196,0.357,0.09847,-0.02429,-0.02429,3.31292,8.23839,-0.08353,-0.0025,-0.00861,-21.46134,33.87379
"14","2013_Q3",15.4796875,"Up",63550000,-52201000,11349000,-9313000,-7049000,-2163000,2036000,-107000,-107000,1929000,1929000,-872000,1057000,1057000,1031000,1031000,40984000,40984000,27254000,27254000,29444000,4176000,3417000,101858000,93117000,9580000,6970000,102697000,204555000,22428000,17355000,5073000,27055000,6423000,6134000,25892000,52947000,150728000,151608000,204555000,1057000,2163000,1482000,-4268000,433999.999999999,-3458000,-3458000,-491000,124000,124000,-101000,-468000,-3492000,-3492000,-3492000,4199000,19469000,-2655000,0.17858,0.03204,0.01622,0.0068,0.00504,-2.57517,3.76485,0.34924,0.09518,0.05684,0.05586,3.50369,8.31007,-0.14638,0.00581,-0.01496,-5.12384,-10.56729
"15","2013_Q4",18.29609375,"Up",67603000,-55698000,11905000,-9413000,-7051000,-2224000,2492000,-97000,-97000,2395000,2395000,-1061000,1334000,1334000,1308000,1308000,30888000,30888000,32006000,32006000,27979000,5066000,4908000,95939000,97650000,17456000,9702000,115106000,211045000,24454000,18953000,5501000,29685000,6615000,6430000,25715000,55400000,154739000,155645000,211045000,1334000,2224000,1439000,-2780000,2217000,-4011000,-11801000,-491000,110000,110000,-131000,-512000,-10096000,-10096000,-10096000,4716000,19100000,-1014000,0.1761,0.03686,0.01935,0.0084,0.0062,-0.77523,3.2319,0.35594,0.0905,0.07158,0.07038,3.69981,8.46864,-0.05549,0.00721,-0.00559,-2.49958,-4.73034
"16","2014_Q1",17.8090163934426,"Down",91976000,-74453000,17523000,-12840000,-9583000,-3278000,4683000,-107000,-107000,4576000,4576000,-1902000,2674000,2674000,2646000,2646000,22632000,22632000,31172000,31172000,27307000,4665000,3661000,85776000,104474000,25708000,16054000,130182000,215958000,23728000,18291000,5437000,29364000,9238000,9238000,27290000,56654000,158370000,159304000,215958000,2674000,3278000,2545000,2244000,10741000,-7779000,-18749000,-545000,425000,425000,-128000,-248000,-8256000,-8256000,-8256000,7961000,18052000,4328000,0.19052,0.05092,0.02877,0.01661,0.01225,1.63568,2.92113,0.35563,0.08359,0.14402,0.13887,5.00604,8.61971,0.23556,0.01418,0.02319,-0.5753,-0.97801
"17","2014_Q2",16.7874603174603,"Down",65965000,-57365000,8600000,-11418000,-8843000,-2626000,-2818000,-53000,-53000,-2871000,-2871000,1235000,-1636000,-1636000,-1659000,-1659000,19939000,19939000,29302000,29302000,27955000,5194000,4190000,82390000,106710000,25077000,15386000,131787000,214177000,25058000,21247000,3811000,30505000,8061000,8061000,25988000,56493000,156727000,157684000,214177000,-1636000,2626000,-1221000,3025000,2794000,-4930000,-4930000,-548000,1e+05,1e+05,-109000,-557000,-2693000,-2693000,-2693000,-192000,17927000,-3332000,0.13037,-0.04272,-0.02515,-0.01052,-0.00775,2.00844,2.70087,0.35827,0.0837,-0.09015,-0.09015,3.58466,8.51685,-0.18107,-0.00903,-0.01814,10.47917,0.71398
"18","2014_Q3",16.54609375,"Down",78081000,-63525000,14556000,-11234000,-8306000,-2692000,3322000,-33000,-33000,3289000,3289000,-1304000,1985000,1985000,1929000,1929000,18029000,18029000,35921000,35921000,29940000,4984000,3980000,88874000,108363000,25353000,15566000,133716000,222590000,30346000,25538000,4808000,35532000,9205000,9205000,26778000,62310000,159426000,160280000,222590000,1985000,2692000,2128000,-2686000,4119000,-4299000,-5253000,-646000,101000,101000,-231000,-776000,-1910000,-1910000,-1910000,6014000,17573000,332999.999999999,0.18642,0.04255,0.02471,0.01204,0.00867,0.17263,2.50124,0.38876,0.07895,0.10471,0.10271,4.23823,8.65364,0.0180799999999999,0.01031,0.00178,-0.0758199999999967,-0.13727
"19","2014_Q4",15.41875,"Down",77916000,-62588000,15328000,-10948000,-8183000,-2593000,4380000,-24000,-24000,4356000,4356000,-1942000,2414000,2414000,2411000,2411000,15890000,15890000,36272000,36272000,30160000,6905000,5587000,89227000,111273000,25306000,15508000,136579000,225806000,29342000,23778000,5564000,34400000,11296000,11296000,28193000,62593000,162356000,163213000,225806000,2414000,2593000,2288000,-2899000,4396000,-5869000,-5869000,-674999.999999998,118000,118000,-109000,-666000,-2139000,-2139000,-2139000,6973000,16897000,147000,0.19672,0.05621,0.03094,0.01477,0.01068,0.06097,2.59381,0.3835,0.07483,0.13071,0.12818,4.22401,8.80169,0.00797,0.0126,0.00077,0.14441,0.22991
"20","2015_Q1",12.4644262295082,"Down",117090000,-107144000,9946000,-24489000,-20314000,-4966000,-14543000,-579000,-579000,-15122000,-15122000,5494000,-9628000,-9628000,-9689000,-9689000,21555000,21555000,49857000,49857000,30798000,14325000,11776000,116535000,159176000,44108000,24775000,203284000,319819000,41758000,32466000,9292000,53027000,5484000,5484000,79378000,132405000,186496000,187414000,319819000,-9628000,4966000,1684000,6346000,3368000,-5142000,-91053000,59458000,33995000,33995000,-103000,93350000,5665000,5665000,5665000,-9577000,73894000,-13867000,0.08494,-0.1242,-0.08275,-0.0517,-0.0303,1.43121,2.19765,0.70648,0.23105,-0.50609,-0.52592,6.11596,9.74124,-0.72431,-0.03632,-0.05198,-5.46507,-3.59891
"21","2015_Q2",13.7022222222222,"Up",84036000,-69714000,14322000,-15300000,-11066000,-4333000,-978000,-554000,-554000,-1532000,-1532000,632000,-9e+05,-9e+05,-941000,-941000,19389000,19389000,47653000,47653000,28574000,8176000,5627000,103792000,158445000,44281000,23280000,202726000,306518000,29925000,22234000,7691000,39114000,6131000,6131000,78320000,117434000,188337000,189084000,306518000,-9e+05,4333000,2308000,-1489000,4252000,-5462000,-5462000,-76000,106000,106000,-96000,-66000,-1276000,-1276000,-1276000,3355000,72189000,-4228000,0.17043,-0.01164,-0.0112,-0.00498,-0.00307,4.49309,2.65358,0.62107,0.23551,-0.04254,-0.04254,3.79927,8.51472,-0.19115,-0.00352,-0.01581,15.7377,-53.98773
"22","2015_Q3",12.3578125,"Down",82941000,-64363000,18578000,-14759000,-10615000,-4298000,3819000,-408000,-408000,3411000,3411000,-1413000,1998000,1998000,1970000,1970000,18081863.5595871,18081863.5595871,45078984.3481168,45078984.3481168,27672153.8948272,9146593.01003767,5605628.35469406,99979594.8125688,155138322.718626,41671889.7356576,21641236.9368046,196810212.454284,296789807.266853,22646559.3218368,16410739.1830459,6235820.13879085,30994325.0137874,9104547.9710189,9104493.59585134,75967054.2488474,106961379.262635,189194775.534801,189828428.004218,296789807.266853,1998000,4298000,3895000,-5027000,5164000,-4696000,-4696000,-1234000,116000,116000,-240000,-1358000,-890000.000000001,-890000.000000001,-890000.000000001,8117000,0,-193000,0.22399,0.04604,0.02375,0.026954949008305,0.0164002917309134,-0.0979699999999992,3.03262600352817,0.561207824900317,0.222784161655141,0.08899,0.08793,3.74654,8.23566242473365,-0.00871999999999995,0.0193237747915797,0.00908676428911012,16.2643452643035,-57.8767697785625
"23","2015_Q4",10.6134375,"Down",82686000,-63499000,19187000,-14391000,-9872000,-4419000,4796000,-404000,-404000,4392000,4392000,-1637000,2755000,2755000,2709000,2709000,20456000,20456000,44156000,44156000,27115000,11103000,7963000,102830000,157058000,45001000,22038000,202059000,304889000,27421000,19664000,7757000,37023000,8325000,8325000,75849000,112872000,191394000,192017000,304889000,2755000,4419000,5458000,-5023000,7609000,-2262000,-2262000,-4234000,123000,123000,-169000,-4280000,1067000,1067000,1067000,9215000,67524000,3567000,0.23205,0.058,0.03276,0.01411,0.00889,1.31672,2.77746,0.58782,0.22147,0.12229,0.12073,3.7325,8.63964,0.16102,0.01011,0.01332,5.10775999999998,9.81401
"24","2016_Q1",8.76819672131148,"Down",100355000,-83132000,17223000,-16719000,-13716000,-4147000,504000,-514000,-514000,-10000,-3962000,1519000,-2443000,-2443000,-2488000,-2488000,23608000,23608000,41592000,41592000,24774000,4810000,4810000,94784000,154537000,52527000,22202000,207064000,301848000,36194000,25129000,11065000,46511000,2726000,2726000,65504000,112015000,189165000,189833000,301848000,-2443000,4147000,3799000,6480000,11983000,-6115000,-6115000,-2713000,128000,128000,-131000,-2716000,3152000,3152000,3152000,4651000,62778000,3497000,0.17162,0.00502000000000001,-0.02479,-0.01311,-0.00824,-1.40555,2.03788,0.59007,0.20798,-0.1122,-0.10974,4.5258,8.53094,0.15771,-0.00974,0.0137,8.42184,77.71825
"25","2016_Q2",11.1890625,"Up",78453000,-64247000,14206000,-16278000,-12208000,-4128000,-2072000,-518000,-518000,-2590000,-2590000,864000,-1726000,-1726000,-1768000,-1768000,22399000,22399000,41891000,41891000,22253000,4286000,4286000,90829000,155129000,53670000,22161000,208799000,299628000,34859000,24077000,10782000,46231000,1861000,1861000,64797000,111028000,187890000,188600000,299628000,-1726000,4128000,1055000,2772000,6229000,-5438000,-7538000,-19000,119000,119000,0,1e+05,-1209000,-1209000,-1209000,2056000,62936000,-1474000,0.18108,-0.02641,-0.02254,-0.00937,-0.0059,0.83371,1.96468,0.5887,0.21005,-0.07955,-0.07955,3.52994,8.45399,-0.06632,-0.00698,-0.00582,19.71644,-19.56419
"26","2016_Q3",12.87984375,"Up",80552000,-61712000,18840000,-15496000,-11521000,-4118000,3344000,-451000,-451000,2893000,2893000,-1061000,1832000,1832000,1832000,1832000,25325000,25325000,43487000,43487000,21553000,6578000,6578000,96943000,154145000,53050000,21539000,207195000,304138000,37114000,25116000,11998000,49083000,2843000,2843000,64269000,113352000,190197000,190786000,304138000,1832000,4118000,1955000,257000,8162000,-3233000,-3533000,-1685000,103000,103000,-121000,-1703000,2926000,2926000,2926000,7462000,61426000,5547000,0.23389,0.04151,0.02274,0.0096,0.00602,3.02784,1.97508,0.59413,0.20197,0.08235,0.08172,3.62097,8.54972,0.24935,0.00718,0.02175,4.83798,10.79575
